vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
14,car,20.0,113.0,93.0,,733.55,13.0,13.0,80.0,25.98,,,0.1398,0.8602,,True,completed
11,car,18.0,118.0,100.0,,952.914,0.0,0.0,100.0,7.906,,,0.0,1.0,,True,completed
43,car,74.0,125.0,51.0,,377.389,0.0,0.0,51.0,4.151,,,0.0,1.0,,True,completed
16,car,24.0,126.0,102.0,,778.248,16.0,16.0,86.0,30.957,,,0.1569,0.8431,,True,completed
32,car,51.0,138.0,87.0,,594.77,19.0,19.0,68.0,31.444,,,0.2184,0.7816,,True,completed
29,car,49.0,165.0,116.0,,755.986,31.0,31.0,85.0,45.601,,,0.2672,0.7328,,True,completed
13,car,19.0,167.0,148.0,,1215.224,19.0,19.0,129.0,36.661,,,0.1284,0.8716,,True,completed
41,car,70.0,175.0,105.0,,988.772,0.0,0.0,105.0,8.946,,,0.0,1.0,,True,completed
24,car,38.0,176.0,138.0,,1267.069,0.0,3.0,135.0,21.417,,,0.0217,0.9783,,True,completed
53,car,93.0,196.0,103.0,,873.653,0.0,0.0,103.0,13.555,,,0.0,1.0,,True,completed
4,car,5.0,198.0,193.0,,1545.431,20.0,24.0,169.0,44.306,,,0.1244,0.8756,,True,completed
51,car,91.0,208.0,117.0,,1062.863,0.0,0.0,117.0,14.662,,,0.0,1.0,,True,completed
19,car,30.0,213.0,183.0,,1808.559,0.0,0.0,183.0,18.876,,,0.0,1.0,,True,completed
72,car,128.0,215.0,87.0,,737.766,8.0,8.0,79.0,18.133,,,0.092,0.908,,True,completed
17,car,27.0,220.0,193.0,,1681.041,2.0,2.0,191.0,22.237,,,0.0104,0.9896,,True,completed
59,car,103.0,221.0,118.0,,887.235,0.0,0.0,118.0,12.34,,,0.0,1.0,,True,completed
28,car,43.0,223.0,180.0,,1521.431,6.0,18.0,162.0,38.899,,,0.1,0.9,,True,completed
23,car,36.0,229.0,193.0,,1234.617,10.0,21.0,172.0,44.312,,,0.1088,0.8912,,True,completed
