step:3600/3600, q_loss:0, rewards:56.681483289930554, queue:2.8567708333333335, delay:0.07594053480360242, throughput:1394
episode:0/2000, real avg travel time:353.032281205165
intersection:0, mean_episode_reward:1.6096524000167847, mean_queue:4.955555438995361
intersection:1, mean_episode_reward:1.5216197967529297, mean_queue:5.983333110809326
intersection:2, mean_episode_reward:1.5214811563491821, mean_queue:6.016666889190674
intersection:3, mean_episode_reward:1.6452540159225464, mean_queue:4.527777671813965
intersection:4, mean_episode_reward:1.6452773809432983, mean_queue:4.516666889190674
intersection:5, mean_episode_reward:1.5466898679733276, mean_queue:5.622222423553467
intersection:6, mean_episode_reward:1.7509260177612305, mean_queue:3.1777777671813965
intersection:7, mean_episode_reward:1.5856711864471436, mean_queue:5.166666507720947
intersection:8, mean_episode_reward:1.2361340522766113, mean_queue:9.383333206176758
intersection:9, mean_episode_reward:1.1197459697723389, mean_queue:10.822221755981445
intersection:10, mean_episode_reward:1.4906482696533203, mean_queue:6.238888740539551
intersection:11, mean_episode_reward:1.5215975046157837, mean_queue:5.988888740539551
intersection:12, mean_episode_reward:1.7323384284973145, mean_queue:3.4277777671813965
intersection:13, mean_episode_reward:1.4849766492843628, mean_queue:6.388888835906982
intersection:14, mean_episode_reward:1.702199101448059, mean_queue:3.799999952316284
intersection:15, mean_episode_reward:1.5672683715820312, mean_queue:5.400000095367432
intersection:16, mean_episode_reward:2.0, mean_queue:0.0
intersection:17, mean_episode_reward:2.0, mean_queue:0.0
intersection:18, mean_episode_reward:2.0, mean_queue:0.0
intersection:19, mean_episode_reward:2.0, mean_queue:0.0
intersection:20, mean_episode_reward:2.0, mean_queue:0.0
intersection:21, mean_episode_reward:2.0, mean_queue:0.0
intersection:22, mean_episode_reward:2.0, mean_queue:0.0
intersection:23, mean_episode_reward:2.0, mean_queue:0.0
intersection:24, mean_episode_reward:2.0, mean_queue:0.0
intersection:25, mean_episode_reward:2.0, mean_queue:0.0
intersection:26, mean_episode_reward:2.0, mean_queue:0.0
intersection:27, mean_episode_reward:2.0, mean_queue:0.0
intersection:28, mean_episode_reward:2.0, mean_queue:0.0
intersection:29, mean_episode_reward:2.0, mean_queue:0.0
intersection:30, mean_episode_reward:2.0, mean_queue:0.0
intersection:31, mean_episode_reward:2.0, mean_queue:0.0
Test step:0/2000, travel time :369.3790022338049, rewards:53.59407009548611, queue:3.5079861111111112, delay:0.07959491941663954, throughput:1343
step:3600/3600, q_loss:0, rewards:57.482660590277774, queue:2.5597222222222222, delay:0.07280563778347439, throughput:1422
episode:1/2000, real avg travel time:335.67791842475384
intersection:0, mean_episode_reward:1.543310523033142, mean_queue:5.738888740539551
