vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
124779_406_0,,25206.0,25221.0,15.0,,165.721,0.0,1.0,14.0,3.656,,,0.0667,0.9333,,True,completed
98305_395_0,,25212.0,25226.0,14.0,,166.481,0.0,1.0,13.0,4.615,,,0.0714,0.9286,,True,completed
102535_396_0,,25219.0,25235.0,16.0,,167.784,0.0,1.0,15.0,5.861,,,0.0625,0.9375,,True,completed
147209_416_0,,25221.0,25237.0,16.0,,161.513,0.0,1.0,15.0,6.532,,,0.0625,0.9375,,True,completed
151372_418_0,,25208.0,25244.0,36.0,,399.262,0.0,1.0,35.0,11.06,,,0.0278,0.9722,,True,completed
121258_405_0,,25241.0,25258.0,17.0,,201.542,0.0,1.0,16.0,5.644,,,0.0588,0.9412,,True,completed
126742_407_0,,25244.0,25261.0,17.0,,200.45,0.0,1.0,16.0,5.633,,,0.0588,0.9412,,True,completed
149029_417_0,,25237.0,25261.0,24.0,,182.123,3.0,4.0,20.0,11.912,,,0.1667,0.8333,,True,completed
102501_396_0,,25246.0,25264.0,18.0,,196.555,0.0,1.0,17.0,4.596,,,0.0556,0.9444,,True,completed
120663_405_0,,25249.0,25266.0,17.0,,203.21,0.0,1.0,16.0,7.015,,,0.0588,0.9412,,True,completed
113509_402_0,,25252.0,25270.0,18.0,,178.846,0.0,1.0,17.0,5.563,,,0.0556,0.9444,,True,completed
130147_409_0,,25254.0,25270.0,16.0,,197.351,0.0,1.0,15.0,4.752,,,0.0625,0.9375,,True,completed
102630_396_0,,25257.0,25272.0,15.0,,191.46,0.0,1.0,14.0,5.27,,,0.0667,0.9333,,True,completed
122376_406_0,,25259.0,25276.0,17.0,,192.574,1.0,2.0,15.0,4.701,,,0.1176,0.8824,,True,completed
122194_406_0,,25262.0,25278.0,16.0,,189.446,0.0,1.0,15.0,5.266,,,0.0625,0.9375,,True,completed
135103_411_0,,25265.0,25281.0,16.0,,201.929,0.0,1.0,15.0,6.624,,,0.0625,0.9375,,True,completed
152958_419_0,,25268.0,25283.0,15.0,,186.632,0.0,1.0,14.0,5.236,,,0.0667,0.9333,,True,completed
125613_406_0,,25270.0,25287.0,17.0,,199.429,0.0,1.0,16.0,4.262,,,0.0588,0.9412,,True,completed
133955_411_0,,25273.0,25288.0,15.0,,185.837,0.0,1.0,14.0,4.891,,,0.0667,0.9333,,True,completed
129253_408_0,,25275.0,25291.0,16.0,,199.71,0.0,1.0,15.0,5.838,,,0.0625,0.9375,,True,completed
120275_405_0,,25278.0,25294.0,16.0,,189.928,0.0,1.0,15.0,4.928,,,0.0625,0.9375,,True,completed
123965_406_0,,25219.0,25301.0,82.0,,433.943,35.0,36.0,46.0,45.547,,,0.439,0.561,,True,completed
160150_421_0,,25225.0,25301.0,76.0,,429.517,35.0,36.0,40.0,46.618,,,0.4737,0.5263,,True,completed
91582_392_0,,25222.0,25301.0,79.0,,453.412,33.0,34.0,45.0,45.114,,,0.4304,0.5696,,True,completed
162814_422_0,,25234.0,25304.0,70.0,,435.762,26.0,27.0,43.0,35.473,,,0.3857,0.6143,,True,completed
134807_411_0,,25280.0,25305.0,25.0,,197.596,0.0,1.0,24.0,14.571,,,0.04,0.96,,True,completed
130602_409_0,,25269.0,25307.0,38.0,,430.083,0.0,1.0,37.0,4.147,,,0.0263,0.9737,,True,completed
135201_411_0,,25283.0,25310.0,27.0,,185.814,4.0,5.0,22.0,15.825,,,0.1852,0.8148,,True,completed
86189_391_0,,25285.0,25311.0,26.0,,194.712,3.0,4.0,22.0,13.946,,,0.1538,0.8462,,True,completed
129519_408_0,,25291.0,25312.0,21.0,,185.398,0.0,1.0,20.0,11.159,,,0.0476,0.9524,,True,completed
148629_417_0,,25285.0,25312.0,27.0,,185.171,3.0,4.0,23.0,15.505,,,0.1481,0.8519,,True,completed
57065_374_0,,25288.0,25312.0,24.0,,191.544,1.0,2.0,22.0,13.129,,,0.0833,0.9167,,True,completed
82015_389_0,,25294.0,25314.0,20.0,,203.033,0.0,1.0,19.0,9.294,,,0.05,0.95,,True,completed
136204_411_0,,25297.0,25316.0,19.0,,202.922,0.0,1.0,18.0,5.323,,,0.0526,0.9474,,True,completed
135431_411_0,,25299.0,25317.0,18.0,,194.876,1.0,2.0,16.0,7.075,,,0.1111,0.8889,,True,completed
128446_408_0,,25274.0,25321.0,47.0,,462.377,6.0,7.0,40.0,16.738,,,0.1489,0.8511,,True,completed
136082_411_0,,25279.0,25321.0,42.0,,442.489,0.0,1.0,41.0,4.911,,,0.0238,0.9762,,True,completed
115444_403_0,,25295.0,25322.0,27.0,,160.569,5.0,6.0,21.0,18.153,,,0.2222,0.7778,,True,completed
103540_397_0,,25301.0,25324.0,23.0,,164.072,2.0,3.0,20.0,12.039,,,0.1304,0.8696,,True,completed
83516_390_0,,25276.0,25324.0,48.0,,457.679,0.0,1.0,47.0,11.123,,,0.0208,0.9792,,True,completed
85818_390_0,,25282.0,25324.0,42.0,,445.823,0.0,1.0,41.0,5.49,,,0.0238,0.9762,,True,completed
86583_391_0,,25290.0,25325.0,35.0,,437.773,0.0,1.0,34.0,7.099,,,0.0286,0.9714,,True,completed
113303_402_0,,25285.0,25326.0,41.0,,463.221,0.0,1.0,40.0,12.589,,,0.0244,0.9756,,True,completed
125316_406_0,,25305.0,25331.0,26.0,,195.668,1.0,2.0,24.0,16.248,,,0.0769,0.9231,,True,completed
146814_416_0,,25303.0,25331.0,28.0,,199.206,5.0,6.0,22.0,18.109,,,0.2143,0.7857,,True,completed
134435_411_0,,25311.0,25332.0,21.0,,188.804,0.0,1.0,20.0,10.803,,,0.0476,0.9524,,True,completed
118286_405_0,,25309.0,25333.0,24.0,,201.19,0.0,1.0,23.0,13.295,,,0.0417,0.9583,,True,completed
108236_400_0,,25314.0,25334.0,20.0,,197.191,0.0,1.0,19.0,7.93,,,0.05,0.95,,True,completed
146536_416_0,,25317.0,25334.0,17.0,,187.896,0.0,1.0,16.0,5.87,,,0.0588,0.9412,,True,completed
110905_401_0,,25320.0,25337.0,17.0,,197.834,0.0,1.0,16.0,5.125,,,0.0588,0.9412,,True,completed
137244_412_0,,25298.0,25340.0,42.0,,425.554,0.0,1.0,41.0,5.849,,,0.0238,0.9762,,True,completed
120878_405_0,,25293.0,25341.0,48.0,,437.304,8.0,9.0,39.0,19.214,,,0.1875,0.8125,,True,completed
85922_391_0,,25296.0,25343.0,47.0,,446.237,7.0,8.0,39.0,19.54,,,0.1702,0.8298,,True,completed
118963_405_0,,25305.0,25344.0,39.0,,431.709,0.0,1.0,38.0,6.802,,,0.0256,0.9744,,True,completed
138220_412_0,,25310.0,25344.0,34.0,,434.238,0.0,1.0,33.0,5.956,,,0.0294,0.9706,,True,completed
118931_405_0,,25323.0,25351.0,28.0,,203.365,6.0,7.0,21.0,17.661,,,0.25,0.75,,True,completed
94647_393_0,,25325.0,25351.0,26.0,,199.168,1.0,2.0,24.0,14.655,,,0.0769,0.9231,,True,completed
139731_413_0,,25331.0,25352.0,21.0,,188.875,0.0,1.0,20.0,9.484,,,0.0476,0.9524,,True,completed
157203_421_0,,25328.0,25353.0,25.0,,203.197,1.0,2.0,23.0,13.883,,,0.08,0.92,,True,completed
106268_399_0,,25337.0,25354.0,17.0,,192.545,0.0,1.0,16.0,6.325,,,0.0588,0.9412,,True,completed
137559_412_0,,25334.0,25354.0,20.0,,200.614,0.0,1.0,19.0,9.107,,,0.05,0.95,,True,completed
133688_411_0,,25340.0,25356.0,16.0,,196.803,0.0,1.0,15.0,5.391,,,0.0625,0.9375,,True,completed
162096_421_0,,25307.0,25359.0,52.0,,393.221,5.0,6.0,46.0,22.095,,,0.1154,0.8846,,True,completed
142412_415_0,,25308.0,25361.0,53.0,,432.873,8.0,9.0,44.0,16.428,,,0.1698,0.8302,,True,completed
136152_411_0,,25314.0,25362.0,48.0,,443.955,8.0,9.0,39.0,19.303,,,0.1875,0.8125,,True,completed
167799_425_0,,25328.0,25367.0,39.0,,434.736,0.0,1.0,38.0,4.876,,,0.0256,0.9744,,True,completed
130372_409_0,,25331.0,25368.0,37.0,,455.568,0.0,1.0,36.0,6.603,,,0.027,0.973,,True,completed
127662_407_0,,25347.0,25371.0,24.0,,184.071,0.0,1.0,23.0,13.716,,,0.0417,0.9583,,True,completed
149973_417_0,,25345.0,25372.0,27.0,,203.251,4.0,5.0,22.0,15.536,,,0.1852,0.8148,,True,completed
133819_411_0,,25350.0,25373.0,23.0,,199.128,0.0,1.0,22.0,11.312,,,0.0435,0.9565,,True,completed
99716_396_0,,25352.0,25374.0,22.0,,202.111,0.0,1.0,21.0,8.273,,,0.0455,0.9545,,True,completed
161963_421_0,,25355.0,25375.0,20.0,,201.146,0.0,1.0,19.0,6.91,,,0.05,0.95,,True,completed
140822_414_0,,25360.0,25376.0,16.0,,187.256,0.0,1.0,15.0,5.95,,,0.0625,0.9375,,True,completed
122154_406_0,,25338.0,25380.0,42.0,,424.216,1.0,2.0,40.0,11.503,,,0.0476,0.9524,,True,completed
175147_428_0,,25325.0,25380.0,55.0,,406.907,12.0,14.0,41.0,30.149,,,0.2545,0.7455,,True,completed
104806_398_0,,25333.0,25381.0,48.0,,453.373,7.0,8.0,40.0,19.024,,,0.1667,0.8333,,True,completed
121091_405_0,,25346.0,25382.0,36.0,,430.372,0.0,1.0,35.0,5.159,,,0.0278,0.9722,,True,completed
135138_411_0,,25351.0,25382.0,31.0,,423.574,0.0,1.0,30.0,5.063,,,0.0323,0.9677,,True,completed
161721_421_0,,25338.0,25382.0,44.0,,404.709,2.0,3.0,41.0,19.04,,,0.0682,0.9318,,True,completed
169772_426_0,,25348.0,25385.0,37.0,,445.483,0.0,1.0,36.0,5.381,,,0.027,0.973,,True,completed
121429_406_0,,25365.0,25391.0,26.0,,192.159,2.0,3.0,23.0,15.945,,,0.1154,0.8846,,True,completed
146948_416_0,,25357.0,25391.0,34.0,,203.078,8.0,9.0,25.0,19.377,,,0.2647,0.7353,,True,completed
154120_420_0,,25363.0,25391.0,28.0,,187.568,5.0,6.0,22.0,16.166,,,0.2143,0.7857,,True,completed
161648_421_0,,25371.0,25393.0,22.0,,195.615,0.0,1.0,21.0,11.54,,,0.0455,0.9545,,True,completed
109585_401_0,,25374.0,25394.0,20.0,,187.112,0.0,1.0,19.0,9.782,,,0.05,0.95,,True,completed
134511_411_0,,25368.0,25394.0,26.0,,189.194,0.0,1.0,25.0,15.527,,,0.0385,0.9615,,True,completed
101928_396_0,,25380.0,25396.0,16.0,,189.201,0.0,1.0,15.0,4.7,,,0.0625,0.9375,,True,completed
111249_401_0,,25377.0,25396.0,19.0,,183.63,0.0,1.0,18.0,9.236,,,0.0526,0.9474,,True,completed
114183_402_0,,25360.0,25398.0,38.0,,438.627,0.0,1.0,37.0,4.953,,,0.0263,0.9737,,True,completed
120618_405_0,,25365.0,25399.0,34.0,,431.252,0.0,1.0,33.0,6.552,,,0.0294,0.9706,,True,completed
150753_418_0,,25354.0,25402.0,48.0,,457.089,4.0,5.0,43.0,16.451,,,0.1042,0.8958,,True,completed
148536_417_0,,25363.0,25404.0,41.0,,453.852,0.0,1.0,40.0,11.216,,,0.0244,0.9756,,True,completed
165043_423_0,,25371.0,25409.0,38.0,,451.631,0.0,1.0,37.0,7.163,,,0.0263,0.9737,,True,completed
104556_397_0,,25385.0,25413.0,28.0,,177.307,4.0,5.0,23.0,17.187,,,0.1786,0.8214,,True,completed
155579_420_0,,25382.0,25413.0,31.0,,203.174,5.0,6.0,25.0,18.101,,,0.1935,0.8065,,True,completed
117534_404_0,,25389.0,25414.0,25.0,,194.281,0.0,1.0,24.0,13.384,,,0.04,0.96,,True,completed
117148_404_0,,25394.0,25416.0,22.0,,195.962,0.0,1.0,21.0,11.745,,,0.0455,0.9545,,True,completed
125385_406_0,,25387.0,25416.0,29.0,,200.963,3.0,4.0,25.0,18.583,,,0.1379,0.8621,,True,completed
93126_392_0,,25392.0,25417.0,25.0,,186.819,0.0,1.0,24.0,13.602,,,0.04,0.96,,True,completed
120308_405_0,,25396.0,25420.0,24.0,,203.369,0.0,1.0,23.0,13.995,,,0.0417,0.9583,,True,completed
167170_425_0,,25368.0,25421.0,53.0,,429.604,7.0,8.0,45.0,16.568,,,0.1509,0.8491,,True,completed
137508_412_0,,25374.0,25422.0,48.0,,446.342,5.0,6.0,42.0,15.987,,,0.125,0.875,,True,completed
163503_422_0,,25384.0,25423.0,39.0,,432.222,0.0,1.0,38.0,4.609,,,0.0256,0.9744,,True,completed
173487_427_0,,25376.0,25423.0,47.0,,433.177,6.0,7.0,40.0,19.475,,,0.1489,0.8511,,True,completed
95948_394_0,,25387.0,25425.0,38.0,,436.801,0.0,1.0,37.0,4.97,,,0.0263,0.9737,,True,completed
115620_403_0,,25389.0,25426.0,37.0,,428.226,0.0,1.0,36.0,5.096,,,0.027,0.973,,True,completed
162547_422_0,,25379.0,25426.0,47.0,,442.414,0.0,1.0,46.0,5.493,,,0.0213,0.9787,,True,completed
171810_426_0,,25381.0,25427.0,46.0,,434.247,0.0,1.0,45.0,12.135,,,0.0217,0.9783,,True,completed
127513_407_0,,25392.0,25430.0,38.0,,432.071,0.0,1.0,37.0,4.414,,,0.0263,0.9737,,True,completed
