vehicle_id,enter_time_s,departure_time_s,travel_time_s,accumulated_waiting_time_s,waiting_fraction,completed_trip
124779_406_0,25206.0,25220.0,14.0,0.0,0.0,True
98305_395_0,25212.0,25226.0,14.0,0.0,0.0,True
102535_396_0,25219.0,25236.0,17.0,0.0,0.0,True
147209_416_0,25221.0,25239.0,18.0,0.0,0.0,True
151372_418_0,25208.0,25246.0,38.0,0.0,0.0,True
123965_406_0,25219.0,25253.0,34.0,0.0,0.0,True
121258_405_0,25241.0,25257.0,16.0,0.0,0.0,True
126742_407_0,25244.0,25259.0,15.0,0.0,0.0,True
102501_396_0,25246.0,25262.0,16.0,0.0,0.0,True
120663_405_0,25249.0,25264.0,15.0,0.0,0.0,True
149029_417_0,25237.0,25269.0,32.0,3.0,0.0938,True
113509_402_0,25252.0,25270.0,18.0,0.0,0.0,True
130147_409_0,25254.0,25271.0,17.0,0.0,0.0,True
102630_396_0,25257.0,25274.0,17.0,0.0,0.0,True
122376_406_0,25260.0,25276.0,16.0,0.0,0.0,True
122194_406_0,25262.0,25279.0,17.0,0.0,0.0,True
135103_411_0,25265.0,25281.0,16.0,0.0,0.0,True
152958_419_0,25268.0,25284.0,16.0,0.0,0.0,True
125613_406_0,25271.0,25286.0,15.0,0.0,0.0,True
133955_411_0,25273.0,25290.0,17.0,0.0,0.0,True
129253_408_0,25276.0,25293.0,17.0,0.0,0.0,True
120275_405_0,25279.0,25296.0,17.0,0.0,0.0,True
160150_421_0,25224.0,25300.0,76.0,35.0,0.4605,True
130602_409_0,25269.0,25301.0,32.0,0.0,0.0,True
91582_392_0,25221.0,25301.0,80.0,39.0,0.4875,True
162814_422_0,25234.0,25302.0,68.0,25.0,0.3676,True
135201_411_0,25284.0,25311.0,27.0,2.0,0.0741,True
148629_417_0,25285.0,25311.0,26.0,4.0,0.1538,True
134807_411_0,25281.0,25312.0,31.0,6.0,0.1935,True
57065_374_0,25290.0,25312.0,22.0,0.0,0.0,True
86189_391_0,25287.0,25313.0,26.0,2.0,0.0769,True
82015_389_0,25295.0,25314.0,19.0,0.0,0.0,True
129519_408_0,25293.0,25315.0,22.0,0.0,0.0,True
136204_411_0,25298.0,25316.0,18.0,0.0,0.0,True
136082_411_0,25279.0,25320.0,41.0,0.0,0.0,True
103540_397_0,25301.0,,19.0,0.0,0.0,False
108236_400_0,25314.0,,6.0,0.0,0.0,False
110905_401_0,25320.0,,0.0,0.0,0.0,False
113303_402_0,25285.0,,35.0,0.0,0.0,False
115444_403_0,25295.0,,25.0,7.0,0.28,False
118286_405_0,25308.0,,12.0,0.0,0.0,False
118963_405_0,25305.0,,15.0,0.0,0.0,False
120878_405_0,25292.0,,28.0,0.0,0.0,False
125316_406_0,25306.0,,14.0,2.0,0.1429,False
128446_408_0,25274.0,,46.0,4.0,0.087,False
134435_411_0,25311.0,,9.0,0.0,0.0,False
135431_411_0,25300.0,,20.0,9.0,0.45,False
136152_411_0,25314.0,,6.0,0.0,0.0,False
137244_412_0,25299.0,,21.0,0.0,0.0,False
138220_412_0,25310.0,,10.0,1.0,0.1,False
142412_415_0,25308.0,,12.0,0.0,0.0,False
146536_416_0,25317.0,,3.0,0.0,0.0,False
146814_416_0,25303.0,,17.0,5.0,0.2941,False
162096_421_0,25307.0,,13.0,0.0,0.0,False
83516_390_0,25276.0,,44.0,4.0,0.0909,False
85818_390_0,25282.0,,38.0,0.0,0.0,False
85922_391_0,25296.0,,24.0,0.0,0.0,False
86583_391_0,25290.0,,30.0,0.0,0.0,False
