vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,pkw,11.0,149.0,138.0,,1137.509,2.0,7.0,131.0,19.66,,,0.0507,0.9493,,True,completed
14,pkw,70.0,164.0,94.0,,869.263,0.0,0.0,94.0,8.893,,,0.0,1.0,,True,completed
15,pkw,74.0,183.0,109.0,,874.443,15.0,15.0,94.0,28.545,,,0.1376,0.8624,,True,completed
2,pkw,9.0,200.0,191.0,,1735.002,0.0,12.0,179.0,32.727,,,0.0628,0.9372,,True,completed
26,pkw,117.0,206.0,89.0,,855.705,0.0,0.0,89.0,5.289,,,0.0,1.0,,True,completed
20,pkw,98.0,209.0,111.0,,1142.768,0.0,0.0,111.0,6.16,,,0.0,1.0,,True,completed
7,pkw,21.0,220.0,199.0,,1460.063,41.0,50.0,149.0,66.43,,,0.2513,0.7487,,True,completed
4,pkw,12.0,226.0,214.0,,1775.683,4.0,17.0,197.0,40.717,,,0.0794,0.9206,,True,completed
27,pkw,123.0,235.0,112.0,,845.463,17.0,17.0,95.0,26.651,,,0.1518,0.8482,,True,completed
0,pkw,5.0,237.0,232.0,,1739.68,2.0,47.0,185.0,65.186,,,0.2026,0.7974,,True,completed
28,pkw,129.0,241.0,112.0,,870.1,19.0,19.0,93.0,23.236,,,0.1696,0.8304,,True,completed
47,pkw,192.0,246.0,54.0,,564.992,0.0,0.0,54.0,2.15,,,0.0,1.0,,True,completed
6,pkw,20.0,248.0,228.0,,2027.755,0.0,13.0,215.0,43.562,,,0.057,0.943,,True,completed
8,pkw,34.0,260.0,226.0,,1465.297,30.0,53.0,173.0,74.659,,,0.2345,0.7655,,True,completed
13,pkw,65.0,273.0,208.0,,1460.306,11.0,59.0,149.0,75.258,,,0.2837,0.7163,,True,completed
45,pkw,191.0,274.0,83.0,,824.333,0.0,0.0,83.0,6.275,,,0.0,1.0,,True,completed
17,pkw,82.0,278.0,196.0,,1147.238,33.0,65.0,131.0,68.507,,,0.3316,0.6684,,True,completed
16,pkw,75.0,279.0,204.0,,1445.905,9.0,55.0,149.0,72.396,,,0.2696,0.7304,,True,completed
33,pkw,152.0,282.0,130.0,,1168.71,10.0,10.0,120.0,23.472,,,0.0769,0.9231,,True,completed
21,pkw,100.0,288.0,188.0,,1443.047,23.0,23.0,165.0,37.32,,,0.1223,0.8777,,True,completed
25,pkw,110.0,295.0,185.0,,1180.792,34.0,59.0,126.0,77.728,,,0.3189,0.6811,,True,completed
39,pkw,175.0,298.0,123.0,,1167.863,0.0,0.0,123.0,6.809,,,0.0,1.0,,True,completed
38,pkw,171.0,299.0,128.0,,1162.409,12.0,12.0,116.0,22.352,,,0.0938,0.9062,,True,completed
9,pkw,43.0,301.0,258.0,,2030.13,0.0,14.0,244.0,38.765,,,0.0543,0.9457,,True,completed
19,pkw,85.0,307.0,222.0,,1744.817,5.0,33.0,189.0,55.969,,,0.1486,0.8514,,True,completed
37,pkw,169.0,326.0,157.0,,1441.248,0.0,12.0,145.0,25.589,,,0.0764,0.9236,,True,completed
34,pkw,153.0,332.0,179.0,,1455.784,24.0,27.0,152.0,46.531,,,0.1508,0.8492,,True,completed
36,pkw,165.0,332.0,167.0,,1173.473,14.0,39.0,128.0,60.386,,,0.2335,0.7665,,True,completed
31,pkw,144.0,333.0,189.0,,1163.745,34.0,67.0,122.0,82.994,,,0.3545,0.6455,,True,completed
5,pkw,20.0,333.0,313.0,,1774.524,35.0,120.0,193.0,144.379,,,0.3834,0.6166,,True,completed
52,pkw,224.0,336.0,112.0,,874.338,16.0,16.0,96.0,24.29,,,0.1429,0.8571,,True,completed
1,pkw,8.0,340.0,332.0,,1445.985,16.0,175.0,157.0,183.816,,,0.5271,0.4729,,True,completed
22,pkw,101.0,342.0,241.0,,1756.108,20.0,62.0,179.0,81.047,,,0.2573,0.7427,,True,completed
49,pkw,202.0,346.0,144.0,,1440.143,0.0,0.0,144.0,11.921,,,0.0,1.0,,True,completed
29,pkw,142.0,348.0,206.0,,1440.631,13.0,61.0,145.0,74.282,,,0.2961,0.7039,,True,completed
44,pkw,188.0,352.0,164.0,,1169.994,46.0,46.0,118.0,57.52,,,0.2805,0.7195,,True,completed
48,pkw,196.0,354.0,158.0,,859.094,37.0,63.0,95.0,72.91,,,0.3987,0.6013,,True,completed
12,pkw,65.0,355.0,290.0,,1992.922,0.0,49.0,241.0,66.441,,,0.169,0.831,,True,completed
51,pkw,223.0,370.0,147.0,,1460.571,3.0,3.0,144.0,14.215,,,0.0204,0.9796,,True,completed
18,pkw,84.0,372.0,288.0,,1465.451,45.0,129.0,159.0,154.45,,,0.4479,0.5521,,True,completed
11,pkw,59.0,373.0,314.0,,1773.92,8.0,123.0,191.0,152.294,,,0.3917,0.6083,,True,completed
30,pkw,144.0,373.0,229.0,,1444.726,8.0,72.0,157.0,89.268,,,0.3144,0.6856,,True,completed
23,pkw,103.0,375.0,272.0,,1471.986,43.0,109.0,163.0,138.318,,,0.4007,0.5993,,True,completed
72,pkw,318.0,382.0,64.0,,580.14,5.0,5.0,59.0,10.787,,,0.0781,0.9219,,True,completed
35,pkw,158.0,385.0,227.0,,1164.184,31.0,102.0,125.0,112.222,,,0.4493,0.5507,,True,completed
10,pkw,54.0,391.0,337.0,,1174.235,70.0,211.0,126.0,230.318,,,0.6261,0.3739,,True,completed
24,pkw,106.0,391.0,285.0,,1732.492,10.0,101.0,184.0,121.199,,,0.3544,0.6456,,True,completed
60,pkw,273.0,391.0,118.0,,1151.383,0.0,0.0,118.0,6.276,,,0.0,1.0,,True,completed
32,pkw,149.0,398.0,249.0,,1462.907,52.0,69.0,180.0,87.383,,,0.2771,0.7229,,True,completed
43,pkw,184.0,402.0,218.0,,1769.488,0.0,6.0,212.0,23.542,,,0.0275,0.9725,,True,completed
63,pkw,299.0,402.0,103.0,,876.73,14.0,14.0,89.0,23.094,,,0.1359,0.8641,,True,completed
84,pkw,349.0,404.0,55.0,,545.647,0.0,0.0,55.0,4.191,,,0.0,1.0,,True,completed
56,pkw,250.0,405.0,155.0,,1164.494,26.0,30.0,125.0,49.194,,,0.1935,0.8065,,True,completed
75,pkw,320.0,414.0,94.0,,879.523,3.0,3.0,91.0,12.277,,,0.0319,0.9681,,True,completed
53,pkw,240.0,416.0,176.0,,1722.562,0.0,2.0,174.0,18.448,,,0.0114,0.9886,,True,completed
76,pkw,321.0,431.0,110.0,,1142.348,0.0,0.0,110.0,5.659,,,0.0,1.0,,True,completed
41,pkw,182.0,433.0,251.0,,1161.757,68.0,120.0,131.0,140.261,,,0.4781,0.5219,,True,completed
67,pkw,305.0,434.0,129.0,,1163.818,9.0,9.0,120.0,22.772,,,0.0698,0.9302,,True,completed
40,pkw,181.0,437.0,256.0,,1468.45,16.0,75.0,181.0,92.938,,,0.293,0.707,,True,completed
71,pkw,312.0,441.0,129.0,,1142.72,8.0,8.0,121.0,16.936,,,0.062,0.938,,True,completed
54,pkw,240.0,445.0,205.0,,1975.418,0.0,6.0,199.0,24.525,,,0.0293,0.9707,,True,completed
50,pkw,212.0,454.0,242.0,,2062.864,31.0,31.0,211.0,54.921,,,0.1281,0.8719,,True,completed
90,pkw,370.0,454.0,84.0,,867.491,0.0,0.0,84.0,4.481,,,0.0,1.0,,True,completed
59,pkw,271.0,460.0,189.0,,1741.697,11.0,12.0,177.0,25.541,,,0.0635,0.9365,,True,completed
91,pkw,374.0,461.0,87.0,,880.039,0.0,0.0,87.0,6.796,,,0.0,1.0,,True,completed
83,pkw,343.0,465.0,122.0,,878.724,21.0,21.0,101.0,32.191,,,0.1721,0.8279,,True,completed
82,pkw,341.0,466.0,125.0,,1155.905,0.0,0.0,125.0,11.317,,,0.0,1.0,,True,completed
46,pkw,191.0,480.0,289.0,,2064.094,11.0,42.0,247.0,68.055,,,0.1453,0.8547,,True,completed
87,pkw,365.0,480.0,115.0,,857.694,26.0,26.0,89.0,36.139,,,0.2261,0.7739,,True,completed
73,pkw,319.0,481.0,162.0,,1416.264,16.0,16.0,146.0,29.498,,,0.0988,0.9012,,True,completed
95,pkw,385.0,481.0,96.0,,865.508,0.0,0.0,96.0,5.955,,,0.0,1.0,,True,completed
42,pkw,183.0,498.0,315.0,,1722.076,6.0,116.0,199.0,130.736,,,0.3683,0.6317,,True,completed
61,pkw,277.0,498.0,221.0,,1751.788,20.0,20.0,201.0,38.935,,,0.0905,0.9095,,True,completed
64,pkw,301.0,498.0,197.0,,1728.492,6.0,7.0,190.0,31.559,,,0.0355,0.9645,,True,completed
55,pkw,241.0,499.0,258.0,,2024.773,0.0,47.0,211.0,73.369,,,0.1822,0.8178,,True,completed
94,pkw,382.0,501.0,119.0,,1150.514,0.0,0.0,119.0,7.159,,,0.0,1.0,,True,completed
58,pkw,269.0,502.0,233.0,,1176.022,57.0,111.0,122.0,126.157,,,0.4764,0.5236,,True,completed
68,pkw,305.0,502.0,197.0,,1167.379,38.0,74.0,123.0,90.747,,,0.3756,0.6244,,True,completed
65,pkw,302.0,504.0,202.0,,1457.563,34.0,46.0,156.0,69.302,,,0.2277,0.7723,,True,completed
69,pkw,309.0,504.0,195.0,,1738.077,6.0,13.0,182.0,29.261,,,0.0667,0.9333,,True,completed
70,pkw,309.0,510.0,201.0,,1145.792,39.0,71.0,130.0,88.887,,,0.3532,0.6468,,True,completed
78,pkw,334.0,518.0,184.0,,1162.377,13.0,67.0,117.0,77.885,,,0.3641,0.6359,,True,completed
66,pkw,302.0,524.0,222.0,,1476.631,31.0,54.0,168.0,80.204,,,0.2432,0.7568,,True,completed
57,pkw,255.0,526.0,271.0,,1752.131,19.0,59.0,212.0,87.565,,,0.2177,0.7823,,True,completed
98,pkw,398.0,528.0,130.0,,1137.43,13.0,14.0,116.0,25.67,,,0.1077,0.8923,,True,completed
104,pkw,417.0,529.0,112.0,,857.979,25.0,25.0,87.0,33.42,,,0.2232,0.7768,,True,completed
93,pkw,380.0,532.0,152.0,,1436.518,1.0,1.0,151.0,15.934,,,0.0066,0.9934,,True,completed
118,pkw,458.0,537.0,79.0,,579.203,10.0,10.0,69.0,16.961,,,0.1266,0.8734,,True,completed
62,pkw,279.0,539.0,260.0,,2026.045,2.0,26.0,234.0,49.501,,,0.1,0.9,,True,completed
133,pkw,492.0,548.0,56.0,,578.408,0.0,0.0,56.0,2.943,,,0.0,1.0,,True,completed
117,pkw,453.0,551.0,98.0,,865.304,9.0,9.0,89.0,18.769,,,0.0918,0.9082,,True,completed
85,pkw,354.0,552.0,198.0,,1175.217,31.0,72.0,126.0,83.953,,,0.3636,0.6364,,True,completed
74,pkw,320.0,553.0,233.0,,1467.743,45.0,75.0,158.0,93.642,,,0.3219,0.6781,,True,completed
103,pkw,414.0,555.0,141.0,,1128.388,6.0,17.0,124.0,29.873,,,0.1206,0.8794,,True,completed
122,pkw,471.0,559.0,88.0,,842.006,0.0,0.0,88.0,10.858,,,0.0,1.0,,True,completed
109,pkw,433.0,563.0,130.0,,1144.721,7.0,7.0,123.0,20.426,,,0.0538,0.9462,,True,completed
111,pkw,437.0,563.0,126.0,,877.286,37.0,37.0,89.0,46.043,,,0.2937,0.7063,,True,completed
89,pkw,367.0,566.0,199.0,,1462.146,28.0,31.0,168.0,46.973,,,0.1558,0.8442,,True,completed
110,pkw,436.0,567.0,131.0,,1140.421,10.0,10.0,121.0,26.787,,,0.0763,0.9237,,True,completed
114,pkw,445.0,571.0,126.0,,1151.549,0.0,0.0,126.0,7.803,,,0.0,1.0,,True,completed
120,pkw,466.0,582.0,116.0,,1134.476,1.0,1.0,115.0,12.226,,,0.0086,0.9914,,True,completed
86,pkw,359.0,583.0,224.0,,1757.523,49.0,49.0,175.0,63.76,,,0.2188,0.7812,,True,completed
106,pkw,423.0,587.0,164.0,,1139.222,4.0,39.0,125.0,57.094,,,0.2378,0.7622,,True,completed
97,pkw,396.0,590.0,194.0,,1436.913,41.0,46.0,148.0,51.993,,,0.2371,0.7629,,True,completed
131,pkw,491.0,592.0,101.0,,874.21,13.0,13.0,88.0,21.32,,,0.1287,0.8713,,True,completed
88,pkw,365.0,592.0,227.0,,1462.735,38.0,77.0,150.0,93.774,,,0.3392,0.6608,,True,completed
99,pkw,400.0,593.0,193.0,,1443.061,0.0,0.0,193.0,14.462,,,0.0,1.0,,True,completed
101,pkw,403.0,594.0,191.0,,1468.844,32.0,32.0,159.0,49.06,,,0.1675,0.8325,,True,completed
105,pkw,417.0,594.0,177.0,,1712.905,8.0,8.0,169.0,11.448,,,0.0452,0.9548,,True,completed
126,pkw,475.0,594.0,119.0,,1169.115,1.0,1.0,118.0,12.536,,,0.0084,0.9916,,True,completed
129,pkw,483.0,599.0,116.0,,1155.655,1.0,1.0,115.0,10.662,,,0.0086,0.9914,,True,completed
113,pkw,444.0,608.0,164.0,,1439.481,7.0,16.0,148.0,32.782,,,0.0976,0.9024,,True,completed
79,pkw,335.0,611.0,276.0,,2069.813,23.0,34.0,242.0,56.262,,,0.1232,0.8768,,True,completed
81,pkw,340.0,612.0,272.0,,2045.78,36.0,48.0,224.0,86.261,,,0.1765,0.8235,,True,completed
116,pkw,453.0,613.0,160.0,,1420.743,0.0,7.0,153.0,21.953,,,0.0437,0.9563,,True,completed
123,pkw,473.0,616.0,143.0,,1133.46,0.0,0.0,143.0,9.178,,,0.0,1.0,,True,completed
125,pkw,475.0,618.0,143.0,,1414.095,1.0,1.0,142.0,13.572,,,0.007,0.993,,True,completed
102,pkw,406.0,626.0,220.0,,1736.626,3.0,25.0,195.0,48.223,,,0.1136,0.8864,,True,completed
108,pkw,432.0,628.0,196.0,,1434.608,13.0,45.0,151.0,64.358,,,0.2296,0.7704,,True,completed
96,pkw,391.0,628.0,237.0,,2011.767,8.0,31.0,206.0,44.617,,,0.1308,0.8692,,True,completed
124,pkw,473.0,631.0,158.0,,1453.716,12.0,12.0,146.0,25.424,,,0.0759,0.9241,,True,completed
130,pkw,488.0,632.0,144.0,,1166.553,27.0,27.0,117.0,37.579,,,0.1875,0.8125,,True,completed
142,pkw,532.0,632.0,100.0,,874.482,11.0,11.0,89.0,20.296,,,0.11,0.89,,True,completed
140,pkw,523.0,634.0,111.0,,1137.869,0.0,0.0,111.0,6.921,,,0.0,1.0,,True,completed
160,pkw,587.0,651.0,64.0,,543.972,0.0,0.0,64.0,3.959,,,0.0,1.0,,True,completed
92,pkw,375.0,652.0,277.0,,1475.457,21.0,112.0,165.0,143.208,,,0.4043,0.5957,,True,completed
141,pkw,524.0,654.0,130.0,,879.13,22.0,30.0,100.0,34.083,,,0.2308,0.7692,,True,completed
100,pkw,401.0,655.0,254.0,,1749.049,7.0,53.0,201.0,76.443,,,0.2087,0.7913,,True,completed
107,pkw,429.0,655.0,226.0,,1177.027,32.0,83.0,143.0,98.934,,,0.3673,0.6327,,True,completed
