vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
15,pkw,20.0,96.0,76.0,,734.731,1.0,1.0,75.0,8.874,,,0.0132,0.9868,,True,completed
43,pkw,74.0,125.0,51.0,,378.914,0.0,0.0,51.0,3.993,,,0.0,1.0,,True,completed
17,pkw,24.0,133.0,109.0,,783.708,19.0,19.0,90.0,37.297,,,0.1743,0.8257,,True,completed
13,pkw,18.0,149.0,131.0,,951.034,19.0,19.0,112.0,41.958,,,0.145,0.855,,True,completed
32,pkw,51.0,168.0,117.0,,594.875,35.0,40.0,77.0,60.954,,,0.3419,0.6581,,True,completed
3,pkw,3.0,175.0,172.0,,1508.721,10.0,10.0,162.0,31.834,,,0.0581,0.9419,,True,completed
5,pkw,5.0,182.0,177.0,,1582.664,1.0,8.0,169.0,18.291,,,0.0452,0.9548,,True,completed
6,pkw,7.0,188.0,181.0,,1603.476,2.0,9.0,172.0,27.419,,,0.0497,0.9503,,True,completed
1,pkw,2.0,194.0,192.0,,1597.653,0.0,12.0,180.0,29.59,,,0.0625,0.9375,,True,completed
29,pkw,49.0,203.0,154.0,,1582.626,0.0,2.0,152.0,10.319,,,0.013,0.987,,True,completed
35,pkw,55.0,204.0,149.0,,1354.787,0.0,3.0,146.0,22.493,,,0.0201,0.9799,,True,completed
41,pkw,70.0,204.0,134.0,,980.887,16.0,17.0,117.0,38.604,,,0.1269,0.8731,,True,completed
0,pkw,2.0,206.0,204.0,,1698.467,0.0,25.0,179.0,38.979,,,0.1225,0.8775,,True,completed
51,pkw,91.0,210.0,119.0,,1064.833,2.0,2.0,117.0,16.382,,,0.0168,0.9832,,True,completed
8,pkw,9.0,226.0,217.0,,1655.976,0.0,0.0,217.0,17.82,,,0.0,1.0,,True,completed
45,pkw,80.0,227.0,147.0,,1399.602,0.0,0.0,147.0,10.434,,,0.0,1.0,,True,completed
20,pkw,30.0,235.0,205.0,,1383.743,46.0,66.0,139.0,79.034,,,0.322,0.678,,True,completed
10,pkw,12.0,238.0,226.0,,1963.184,17.0,17.0,209.0,45.002,,,0.0752,0.9248,,True,completed
37,pkw,59.0,251.0,192.0,,1868.108,0.0,0.0,192.0,14.853,,,0.0,1.0,,True,completed
4,pkw,5.0,251.0,246.0,,1552.758,9.0,66.0,180.0,97.097,,,0.2683,0.7317,,True,completed
7,pkw,9.0,252.0,243.0,,2217.616,0.0,14.0,229.0,35.684,,,0.0576,0.9424,,True,completed
59,pkw,103.0,255.0,152.0,,889.227,30.0,30.0,122.0,46.178,,,0.1974,0.8026,,True,completed
47,pkw,84.0,257.0,173.0,,1408.781,12.0,12.0,161.0,34.864,,,0.0694,0.9306,,True,completed
60,pkw,106.0,260.0,154.0,,1417.041,0.0,11.0,143.0,24.383,,,0.0714,0.9286,,True,completed
33,pkw,52.0,261.0,209.0,,1687.715,0.0,0.0,209.0,21.28,,,0.0,1.0,,True,completed
24,pkw,36.0,264.0,228.0,,1920.242,0.0,15.0,213.0,43.22,,,0.0658,0.9342,,True,completed
88,pkw,152.0,264.0,112.0,,738.455,35.0,35.0,77.0,44.538,,,0.3125,0.6875,,True,completed
14,pkw,19.0,265.0,246.0,,2099.13,15.0,32.0,214.0,55.538,,,0.1301,0.8699,,True,completed
95,pkw,168.0,265.0,97.0,,682.85,23.0,23.0,74.0,32.968,,,0.2371,0.7629,,True,completed
83,pkw,144.0,267.0,123.0,,1269.059,0.0,0.0,123.0,6.271,,,0.0,1.0,,True,completed
9,pkw,11.0,267.0,256.0,,2257.854,0.0,25.0,231.0,49.747,,,0.0977,0.9023,,True,completed
63,pkw,114.0,268.0,154.0,,1441.862,8.0,8.0,146.0,19.681,,,0.0519,0.9481,,True,completed
80,pkw,138.0,268.0,130.0,,1014.043,19.0,19.0,111.0,32.981,,,0.1462,0.8538,,True,completed
76,pkw,136.0,281.0,145.0,,1516.305,0.0,0.0,145.0,6.512,,,0.0,1.0,,True,completed
69,pkw,124.0,293.0,169.0,,1472.661,3.0,9.0,160.0,28.696,,,0.0533,0.9467,,True,completed
19,pkw,28.0,294.0,266.0,,2217.552,15.0,28.0,238.0,64.345,,,0.1053,0.8947,,True,completed
38,pkw,65.0,295.0,230.0,,1837.742,0.0,19.0,211.0,42.408,,,0.0826,0.9174,,True,completed
53,pkw,93.0,295.0,202.0,,1685.804,0.0,32.0,170.0,48.625,,,0.1584,0.8416,,True,completed
28,pkw,43.0,297.0,254.0,,1524.574,61.0,89.0,165.0,112.847,,,0.3504,0.6496,,True,completed
48,pkw,84.0,300.0,216.0,,1587.941,19.0,34.0,182.0,62.281,,,0.1574,0.8426,,True,completed
39,pkw,65.0,302.0,237.0,,2130.748,1.0,16.0,221.0,39.725,,,0.0675,0.9325,,True,completed
31,pkw,51.0,304.0,253.0,,2528.415,0.0,4.0,249.0,23.612,,,0.0158,0.9842,,True,completed
58,pkw,101.0,304.0,203.0,,1662.012,1.0,25.0,178.0,51.996,,,0.1232,0.8768,,True,completed
117,pkw,215.0,309.0,94.0,,708.959,9.0,9.0,85.0,27.203,,,0.0957,0.9043,,True,completed
102,pkw,182.0,311.0,129.0,,685.01,40.0,43.0,86.0,64.641,,,0.3333,0.6667,,True,completed
90,pkw,154.0,317.0,163.0,,1441.599,9.0,15.0,148.0,32.094,,,0.092,0.908,,True,completed
78,pkw,137.0,318.0,181.0,,1520.788,0.0,8.0,173.0,36.064,,,0.0442,0.9558,,True,completed
99,pkw,176.0,320.0,144.0,,1031.455,6.0,6.0,138.0,21.644,,,0.0417,0.9583,,True,completed
74,pkw,134.0,325.0,191.0,,1207.359,26.0,60.0,131.0,77.261,,,0.3141,0.6859,,True,completed
145,pkw,262.0,330.0,68.0,,666.565,0.0,0.0,68.0,3.622,,,0.0,1.0,,True,completed
115,pkw,211.0,332.0,121.0,,1036.657,10.0,10.0,111.0,20.334,,,0.0826,0.9174,,True,completed
75,pkw,135.0,334.0,199.0,,1503.541,5.0,41.0,158.0,62.542,,,0.206,0.794,,True,completed
122,pkw,224.0,337.0,113.0,,745.278,26.0,26.0,87.0,41.04,,,0.2301,0.7699,,True,completed
64,pkw,115.0,337.0,222.0,,1387.378,0.0,49.0,173.0,67.155,,,0.2207,0.7793,,True,completed
56,pkw,100.0,338.0,238.0,,1631.02,38.0,60.0,178.0,73.809,,,0.2521,0.7479,,True,completed
109,pkw,195.0,339.0,144.0,,885.263,9.0,40.0,104.0,57.927,,,0.2778,0.7222,,True,completed
92,pkw,160.0,340.0,180.0,,1501.161,5.0,18.0,162.0,39.315,,,0.1,0.9,,True,completed
116,pkw,212.0,341.0,129.0,,643.645,40.0,40.0,89.0,51.807,,,0.3101,0.6899,,True,completed
25,pkw,38.0,344.0,306.0,,2146.862,31.0,84.0,222.0,111.257,,,0.2745,0.7255,,True,completed
27,pkw,41.0,344.0,303.0,,2168.486,22.0,77.0,226.0,95.005,,,0.2541,0.7459,,True,completed
18,pkw,27.0,345.0,318.0,,2814.096,0.0,18.0,300.0,50.023,,,0.0566,0.9434,,True,completed
61,pkw,110.0,348.0,238.0,,1969.941,12.0,19.0,219.0,58.596,,,0.0798,0.9202,,True,completed
36,pkw,56.0,350.0,294.0,,2334.769,2.0,33.0,261.0,70.058,,,0.1122,0.8878,,True,completed
