vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
16,car,24.0,105.0,81.0,,778.846,0.0,0.0,81.0,9.903,,,0.0,1.0,,True,completed
14,car,20.0,117.0,97.0,,741.865,10.0,10.0,87.0,21.232,,,0.1031,0.8969,,True,completed
43,car,74.0,124.0,50.0,,376.179,0.0,0.0,50.0,3.187,,,0.0,1.0,,True,completed
32,car,51.0,172.0,121.0,,601.092,27.0,37.0,84.0,64.894,,,0.3058,0.6942,,True,completed
11,car,18.0,179.0,161.0,,955.397,45.0,47.0,114.0,68.969,,,0.2919,0.7081,,True,completed
29,car,49.0,187.0,138.0,,755.409,51.0,52.0,86.0,67.992,,,0.3768,0.6232,,True,completed
13,car,19.0,190.0,171.0,,1215.044,35.0,35.0,136.0,59.343,,,0.2047,0.7953,,True,completed
72,car,128.0,205.0,77.0,,737.59,0.0,0.0,77.0,8.511,,,0.0,1.0,,True,completed
51,car,91.0,209.0,118.0,,1061.193,0.0,0.0,118.0,16.09,,,0.0,1.0,,True,completed
19,car,30.0,216.0,186.0,,1805.088,0.0,4.0,182.0,22.177,,,0.0215,0.9785,,True,completed
0,truck,2.0,217.0,215.0,,1692.845,0.0,0.0,215.0,10.526,,,0.0,1.0,,True,completed
36,car,55.0,218.0,163.0,,1346.649,2.0,6.0,157.0,35.084,,,0.0368,0.9632,,True,completed
41,car,70.0,226.0,156.0,,983.242,29.0,31.0,125.0,44.208,,,0.1987,0.8013,,True,completed
8,car,9.0,230.0,221.0,,1658.172,4.0,4.0,217.0,21.443,,,0.0181,0.9819,,True,completed
24,car,38.0,235.0,197.0,,1264.484,27.0,60.0,137.0,80.787,,,0.3046,0.6954,,True,completed
20,truck,30.0,242.0,212.0,,1649.428,0.0,0.0,212.0,11.753,,,0.0,1.0,,True,completed
23,car,36.0,251.0,215.0,,1227.92,21.0,38.0,177.0,58.725,,,0.1767,0.8233,,True,completed
17,car,27.0,252.0,225.0,,1683.211,0.0,24.0,201.0,54.364,,,0.1067,0.8933,,True,completed
6,car,7.0,253.0,246.0,,2110.926,0.0,41.0,205.0,54.395,,,0.1667,0.8333,,True,completed
4,car,5.0,256.0,251.0,,1552.493,3.0,59.0,192.0,102.024,,,0.2351,0.7649,,True,completed
47,car,84.0,257.0,173.0,,1411.593,15.0,15.0,158.0,34.882,,,0.0867,0.9133,,True,completed
59,car,103.0,257.0,154.0,,889.412,27.0,27.0,127.0,48.21,,,0.1753,0.8247,,True,completed
5,truck,5.0,258.0,253.0,,1575.206,11.0,32.0,221.0,62.392,,,0.1265,0.8735,,True,completed
53,car,93.0,258.0,165.0,,872.434,64.0,64.0,101.0,75.777,,,0.3879,0.6121,,True,completed
82,car,144.0,261.0,117.0,,1018.644,0.0,0.0,117.0,17.316,,,0.0,1.0,,True,completed
94,car,168.0,262.0,94.0,,678.29,17.0,17.0,77.0,30.527,,,0.1809,0.8191,,True,completed
81,car,144.0,264.0,120.0,,1262.979,0.0,0.0,120.0,4.472,,,0.0,1.0,,True,completed
27,car,52.0,266.0,214.0,,2161.616,0.0,0.0,214.0,15.772,,,0.0,1.0,,True,completed
86,car,152.0,267.0,115.0,,731.86,34.0,34.0,81.0,48.132,,,0.2957,0.7043,,True,completed
10,truck,15.0,269.0,254.0,,1994.914,0.0,0.0,254.0,12.884,,,0.0,1.0,,True,completed
64,car,114.0,270.0,156.0,,1441.567,8.0,8.0,148.0,20.127,,,0.0513,0.9487,,True,completed
22,car,35.0,273.0,238.0,,1805.732,0.0,37.0,201.0,73.48,,,0.1555,0.8445,,True,completed
26,car,41.0,276.0,235.0,,2221.638,0.0,6.0,229.0,31.87,,,0.0255,0.9745,,True,completed
74,car,130.0,287.0,157.0,,1521.213,0.0,3.0,154.0,14.641,,,0.0191,0.9809,,True,completed
76,car,136.0,290.0,154.0,,1523.425,0.0,0.0,154.0,14.748,,,0.0,1.0,,True,completed
31,car,51.0,293.0,242.0,,2003.36,10.0,10.0,232.0,44.087,,,0.0413,0.9587,,True,completed
7,car,9.0,294.0,285.0,,2220.41,14.0,36.0,249.0,77.815,,,0.1263,0.8737,,True,completed
28,car,43.0,296.0,253.0,,1524.006,38.0,86.0,167.0,111.486,,,0.3399,0.6601,,True,completed
116,car,212.0,297.0,85.0,,644.755,0.0,0.0,85.0,7.659,,,0.0,1.0,,True,completed
63,car,111.0,298.0,187.0,,1647.112,2.0,12.0,175.0,37.725,,,0.0642,0.9358,,True,completed
58,car,101.0,301.0,200.0,,1662.892,0.0,22.0,178.0,48.496,,,0.11,0.89,,True,completed
45,truck,80.0,305.0,225.0,,1391.205,25.0,37.0,188.0,56.648,,,0.1644,0.8356,,True,completed
38,car,59.0,307.0,248.0,,1865.943,29.0,29.0,219.0,70.535,,,0.1169,0.8831,,True,completed
42,car,74.0,312.0,238.0,,1772.316,8.0,40.0,198.0,70.173,,,0.1681,0.8319,,True,completed
101,car,182.0,313.0,131.0,,690.693,53.0,53.0,78.0,66.503,,,0.4046,0.5954,,True,completed
34,car,52.0,313.0,261.0,,2004.636,0.0,18.0,243.0,44.905,,,0.069,0.931,,True,completed
126,car,236.0,320.0,84.0,,875.624,0.0,0.0,84.0,3.795,,,0.0,1.0,,True,completed
39,car,65.0,320.0,255.0,,1837.7,7.0,15.0,240.0,51.352,,,0.0588,0.9412,,True,completed
48,car,84.0,320.0,236.0,,1591.109,1.0,20.0,216.0,81.095,,,0.0847,0.9153,,True,completed
60,truck,106.0,323.0,217.0,,1409.161,11.0,20.0,197.0,46.566,,,0.0922,0.9078,,True,completed
121,car,227.0,325.0,98.0,,944.96,0.0,0.0,98.0,3.607,,,0.0,1.0,,True,completed
147,car,271.0,326.0,55.0,,371.006,0.0,0.0,55.0,4.901,,,0.0,1.0,,True,completed
9,car,12.0,331.0,319.0,,1966.649,54.0,64.0,255.0,128.105,,,0.2006,0.7994,,True,completed
78,car,137.0,333.0,196.0,,1524.665,0.0,1.0,195.0,50.872,,,0.0051,0.9949,,True,completed
108,car,195.0,340.0,145.0,,883.118,3.0,37.0,108.0,60.072,,,0.2552,0.7448,,True,completed
56,car,100.0,341.0,241.0,,1629.172,29.0,44.0,197.0,85.802,,,0.1826,0.8174,,True,completed
124,car,232.0,342.0,110.0,,1019.426,0.0,0.0,110.0,11.293,,,0.0,1.0,,True,completed
91,car,160.0,343.0,183.0,,1503.987,6.0,10.0,173.0,41.087,,,0.0546,0.9454,,True,completed
71,car,124.0,345.0,221.0,,1468.884,25.0,31.0,190.0,80.747,,,0.1403,0.8597,,True,completed
50,truck,90.0,346.0,256.0,,1978.752,0.0,4.0,252.0,17.371,,,0.0156,0.9844,,True,completed
120,truck,224.0,349.0,125.0,,745.758,23.0,23.0,102.0,34.473,,,0.184,0.816,,True,completed
3,car,3.0,349.0,346.0,,2528.06,37.0,72.0,274.0,116.386,,,0.2081,0.7919,,True,completed
33,car,52.0,349.0,297.0,,2201.912,4.0,56.0,241.0,95.211,,,0.1886,0.8114,,True,completed
61,car,110.0,356.0,246.0,,1973.715,0.0,9.0,237.0,65.737,,,0.0366,0.9634,,True,completed
40,truck,65.0,357.0,292.0,,2123.206,0.0,15.0,277.0,34.385,,,0.0514,0.9486,,True,completed
123,car,231.0,364.0,133.0,,539.832,35.0,51.0,82.0,80.385,,,0.3835,0.6165,,True,completed
54,car,96.0,365.0,269.0,,2170.966,26.0,43.0,226.0,72.411,,,0.1599,0.8401,,True,completed
57,car,100.0,367.0,267.0,,1588.601,79.0,95.0,172.0,116.707,,,0.3558,0.6442,,True,completed
129,car,241.0,368.0,127.0,,1320.073,0.0,0.0,127.0,5.097,,,0.0,1.0,,True,completed
15,truck,22.0,370.0,348.0,,2455.431,0.0,22.0,326.0,41.817,,,0.0632,0.9368,,True,completed
80,truck,140.0,370.0,230.0,,1267.983,23.0,48.0,182.0,72.777,,,0.2087,0.7913,,True,completed
97,car,173.0,370.0,197.0,,1467.265,9.0,20.0,177.0,53.564,,,0.1015,0.8985,,True,completed
37,car,56.0,372.0,316.0,,2341.233,0.0,27.0,289.0,91.72,,,0.0854,0.9146,,True,completed
1,car,2.0,373.0,371.0,,2746.199,43.0,75.0,296.0,121.746,,,0.2022,0.7978,,True,completed
12,car,19.0,373.0,354.0,,2301.186,20.0,87.0,267.0,122.077,,,0.2458,0.7542,,True,completed
168,car,309.0,383.0,74.0,,736.139,0.0,0.0,74.0,5.772,,,0.0,1.0,,True,completed
115,truck,211.0,390.0,179.0,,1032.644,13.0,15.0,164.0,52.78,,,0.0838,0.9162,,True,completed
66,car,117.0,393.0,276.0,,2449.982,17.0,17.0,259.0,46.752,,,0.0616,0.9384,,True,completed
88,car,153.0,394.0,241.0,,1531.803,4.0,30.0,211.0,100.633,,,0.1245,0.8755,,True,completed
18,car,28.0,395.0,367.0,,2219.102,11.0,87.0,280.0,162.036,,,0.2371,0.7629,,True,completed
46,car,82.0,395.0,313.0,,2213.412,7.0,47.0,266.0,100.416,,,0.1502,0.8498,,True,completed
135,truck,246.0,403.0,157.0,,1170.836,0.0,0.0,157.0,9.799,,,0.0,1.0,,True,completed
99,car,176.0,403.0,227.0,,1032.803,50.0,50.0,177.0,104.254,,,0.2203,0.7797,,True,completed
35,truck,54.0,408.0,354.0,,2298.347,0.0,46.0,308.0,68.104,,,0.1299,0.8701,,True,completed
125,truck,232.0,410.0,178.0,,1391.426,0.0,0.0,178.0,9.962,,,0.0,1.0,,True,completed
128,car,240.0,415.0,175.0,,1358.69,21.0,22.0,153.0,38.333,,,0.1257,0.8743,,True,completed
211,car,374.0,415.0,41.0,,377.988,0.0,0.0,41.0,3.005,,,0.0,1.0,,True,completed
21,car,32.0,418.0,386.0,,2829.287,23.0,42.0,344.0,116.369,,,0.1088,0.8912,,True,completed
146,car,269.0,419.0,150.0,,1146.347,28.0,28.0,122.0,41.098,,,0.1867,0.8133,,True,completed
93,car,166.0,419.0,253.0,,1825.256,52.0,58.0,195.0,74.396,,,0.2292,0.7708,,True,completed
167,car,307.0,420.0,113.0,,992.824,0.0,0.0,113.0,3.897,,,0.0,1.0,,True,completed
114,car,209.0,421.0,212.0,,1396.669,14.0,37.0,175.0,78.846,,,0.1745,0.8255,,True,completed
67,car,117.0,421.0,304.0,,2484.848,19.0,33.0,271.0,78.868,,,0.1086,0.8914,,True,completed
92,car,165.0,422.0,257.0,,1628.829,49.0,68.0,189.0,95.053,,,0.2646,0.7354,,True,completed
112,car,207.0,423.0,216.0,,1688.291,2.0,9.0,207.0,59.934,,,0.0417,0.9583,,True,completed
69,car,118.0,424.0,306.0,,2538.712,19.0,25.0,281.0,74.822,,,0.0817,0.9183,,True,completed
