vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
7,car,21.0,77.0,56.0,,583.583,0.0,0.0,56.0,2.477,,,0.0,1.0,,True,completed
6,car,20.0,101.0,81.0,,821.908,0.0,0.0,81.0,5.271,,,0.0,1.0,,True,completed
2,car,5.0,116.0,111.0,,1158.871,0.0,0.0,111.0,5.409,,,0.0,1.0,,True,completed
1,car,2.0,128.0,126.0,,1159.079,10.0,10.0,116.0,20.681,,,0.0794,0.9206,,True,completed
4,car,12.0,131.0,119.0,,1135.864,0.0,0.0,119.0,7.448,,,0.0,1.0,,True,completed
13,car,65.0,148.0,83.0,,859.176,0.0,0.0,83.0,4.393,,,0.0,1.0,,True,completed
10,truck,43.0,154.0,111.0,,876.875,0.0,0.0,111.0,4.733,,,0.0,1.0,,True,completed
8,car,34.0,161.0,127.0,,1163.68,0.0,0.0,127.0,6.814,,,0.0,1.0,,True,completed
14,car,74.0,164.0,90.0,,879.799,0.0,0.0,90.0,4.377,,,0.0,1.0,,True,completed
3,car,9.0,200.0,191.0,,1740.195,0.0,0.0,191.0,11.117,,,0.0,1.0,,True,completed
0,truck,2.0,202.0,200.0,,1425.052,0.0,13.0,187.0,27.456,,,0.065,0.935,,True,completed
24,car,117.0,204.0,87.0,,862.233,0.0,0.0,87.0,5.634,,,0.0,1.0,,True,completed
5,truck,20.0,204.0,184.0,,1462.363,0.0,0.0,184.0,7.446,,,0.0,1.0,,True,completed
9,car,39.0,205.0,166.0,,1440.007,0.0,0.0,166.0,10.398,,,0.0,1.0,,True,completed
15,truck,82.0,227.0,145.0,,1144.782,0.0,0.0,145.0,6.373,,,0.0,1.0,,True,completed
18,car,98.0,228.0,130.0,,1143.982,13.0,13.0,117.0,25.251,,,0.1,0.9,,True,completed
29,car,153.0,236.0,83.0,,858.234,0.0,0.0,83.0,4.429,,,0.0,1.0,,True,completed
19,car,100.0,238.0,138.0,,1443.597,0.0,0.0,138.0,6.63,,,0.0,1.0,,True,completed
16,car,84.0,243.0,159.0,,1473.677,13.0,13.0,146.0,25.041,,,0.0818,0.9182,,True,completed
23,car,110.0,249.0,139.0,,1180.802,12.0,21.0,118.0,31.727,,,0.1511,0.8489,,True,completed
39,car,192.0,251.0,59.0,,562.083,0.0,0.0,59.0,2.786,,,0.0,1.0,,True,completed
11,car,59.0,257.0,198.0,,2056.421,0.0,0.0,198.0,10.095,,,0.0,1.0,,True,completed
35,truck,183.0,262.0,79.0,,565.03,3.0,3.0,76.0,10.169,,,0.038,0.962,,True,completed
28,car,152.0,263.0,111.0,,1172.121,0.0,0.0,111.0,4.308,,,0.0,1.0,,True,completed
25,truck,123.0,267.0,144.0,,1134.571,0.0,0.0,144.0,6.262,,,0.0,1.0,,True,completed
21,car,103.0,270.0,167.0,,1468.141,0.0,0.0,167.0,14.051,,,0.0,1.0,,True,completed
12,car,65.0,272.0,207.0,,1712.24,0.0,0.0,207.0,14.853,,,0.0,1.0,,True,completed
22,car,106.0,273.0,167.0,,1730.285,0.0,0.0,167.0,9.138,,,0.0,1.0,,True,completed
17,car,85.0,277.0,192.0,,1737.737,0.0,0.0,192.0,11.833,,,0.0,1.0,,True,completed
27,car,144.0,299.0,155.0,,1441.507,0.0,0.0,155.0,10.06,,,0.0,1.0,,True,completed
37,car,188.0,299.0,111.0,,1164.206,0.0,0.0,111.0,4.811,,,0.0,1.0,,True,completed
26,car,129.0,307.0,178.0,,1709.785,0.0,0.0,178.0,11.454,,,0.0,1.0,,True,completed
31,car,169.0,308.0,139.0,,1438.996,0.0,0.0,139.0,7.791,,,0.0,1.0,,True,completed
30,truck,165.0,314.0,149.0,,1178.353,0.0,0.0,149.0,6.541,,,0.0,1.0,,True,completed
40,truck,196.0,318.0,122.0,,858.138,8.0,8.0,114.0,17.722,,,0.0656,0.9344,,True,completed
20,truck,101.0,332.0,231.0,,1748.081,0.0,7.0,224.0,20.146,,,0.0303,0.9697,,True,completed
45,truck,224.0,334.0,110.0,,870.52,0.0,0.0,110.0,4.496,,,0.0,1.0,,True,completed
33,car,181.0,342.0,161.0,,1468.106,15.0,15.0,146.0,27.361,,,0.0932,0.9068,,True,completed
41,car,202.0,349.0,147.0,,1446.857,0.0,0.0,147.0,8.734,,,0.0,1.0,,True,completed
42,car,209.0,358.0,149.0,,1460.272,0.0,0.0,149.0,7.362,,,0.0,1.0,,True,completed
56,car,276.0,359.0,83.0,,873.07,0.0,0.0,83.0,3.423,,,0.0,1.0,,True,completed
36,car,184.0,362.0,178.0,,1768.381,3.0,3.0,175.0,17.418,,,0.0169,0.9831,,True,completed
44,car,223.0,362.0,139.0,,1458.908,0.0,0.0,139.0,6.365,,,0.0,1.0,,True,completed
32,car,175.0,368.0,193.0,,1170.76,46.0,48.0,145.0,63.297,,,0.2487,0.7513,,True,completed
54,car,269.0,380.0,111.0,,1149.674,0.0,0.0,111.0,5.5,,,0.0,1.0,,True,completed
34,car,181.0,387.0,206.0,,2024.31,5.0,5.0,201.0,21.747,,,0.0243,0.9757,,True,completed
