vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
10,car,14.0,77.0,63.0,,406.62,6.0,7.0,56.0,13.924,,,0.1111,0.8889,,True,completed
13,car,20.0,90.0,70.0,,734.57,0.0,0.0,70.0,2.888,,,0.0,1.0,,True,completed
16,car,24.0,106.0,82.0,,783.605,0.0,0.0,82.0,10.475,,,0.0,1.0,,True,completed
41,car,74.0,125.0,51.0,,377.209,1.0,1.0,50.0,8.154,,,0.0196,0.9804,,True,completed
31,car,51.0,128.0,77.0,,596.949,8.0,8.0,69.0,21.523,,,0.1039,0.8961,,True,completed
11,car,18.0,146.0,128.0,,949.244,22.0,22.0,106.0,36.218,,,0.1719,0.8281,,True,completed
6,car,7.0,161.0,154.0,,1604.182,0.0,0.0,154.0,8.622,,,0.0,1.0,,True,completed
26,car,44.0,162.0,118.0,,1038.865,0.0,0.0,118.0,11.01,,,0.0,1.0,,True,completed
3,car,3.0,163.0,160.0,,1499.776,3.0,3.0,157.0,20.844,,,0.0187,0.9812,,True,completed
2,car,2.0,167.0,165.0,,1589.597,0.0,0.0,165.0,14.865,,,0.0,1.0,,True,completed
40,car,70.0,174.0,104.0,,982.384,0.0,0.0,104.0,6.274,,,0.0,1.0,,True,completed
1,car,2.0,175.0,173.0,,1691.711,0.0,3.0,170.0,18.452,,,0.0173,0.9827,,True,completed
5,car,5.0,179.0,174.0,,1578.2,0.0,4.0,170.0,23.945,,,0.023,0.977,,True,completed
28,car,49.0,200.0,151.0,,1577.274,0.0,0.0,151.0,7.652,,,0.0,1.0,,True,completed
50,car,91.0,210.0,119.0,,1063.614,0.0,0.0,119.0,12.964,,,0.0,1.0,,True,completed
18,car,30.0,214.0,184.0,,1814.443,3.0,3.0,181.0,18.034,,,0.0163,0.9837,,True,completed
47,car,85.0,214.0,129.0,,1261.86,0.0,3.0,126.0,13.88,,,0.0233,0.9767,,True,completed
85,car,152.0,224.0,72.0,,734.947,0.0,0.0,72.0,4.854,,,0.0,1.0,,True,completed
8,car,9.0,226.0,217.0,,1658.398,0.0,0.0,217.0,17.721,,,0.0,1.0,,True,completed
60,car,103.0,228.0,125.0,,884.758,3.0,3.0,122.0,16.246,,,0.024,0.976,,True,completed
27,car,46.0,231.0,185.0,,1799.92,0.0,0.0,185.0,11.871,,,0.0,1.0,,True,completed
12,car,19.0,232.0,213.0,,2095.123,0.0,7.0,206.0,22.732,,,0.0329,0.9671,,True,completed
4,truck,5.0,234.0,229.0,,1546.724,20.0,20.0,209.0,41.077,,,0.0873,0.9127,,True,completed
45,car,84.0,241.0,157.0,,1404.097,3.0,3.0,154.0,17.673,,,0.0191,0.9809,,True,completed
20,car,34.0,244.0,210.0,,1777.914,2.0,2.0,208.0,37.148,,,0.0095,0.9905,,True,completed
73,car,130.0,248.0,118.0,,1096.468,0.0,0.0,118.0,8.985,,,0.0,1.0,,True,completed
23,car,36.0,249.0,213.0,,1916.896,5.0,9.0,204.0,34.194,,,0.0423,0.9577,,True,completed
7,car,9.0,253.0,244.0,,2214.571,2.0,2.0,242.0,37.303,,,0.0082,0.9918,,True,completed
89,truck,168.0,256.0,88.0,,680.54,0.0,0.0,88.0,4.788,,,0.0,1.0,,True,completed
52,car,93.0,257.0,164.0,,1685.852,0.0,0.0,164.0,9.626,,,0.0,1.0,,True,completed
34,truck,55.0,258.0,203.0,,1348.316,8.0,11.0,192.0,39.482,,,0.0542,0.9458,,True,completed
61,car,106.0,260.0,154.0,,1412.027,0.0,0.0,154.0,24.89,,,0.0,1.0,,True,completed
43,car,80.0,265.0,185.0,,1398.994,24.0,24.0,161.0,39.896,,,0.1297,0.8703,,True,completed
30,car,51.0,271.0,220.0,,2148.751,0.0,0.0,220.0,17.245,,,0.0,1.0,,True,completed
36,car,59.0,277.0,218.0,,1875.159,20.0,20.0,198.0,40.137,,,0.0917,0.9083,,True,completed
81,car,144.0,278.0,134.0,,1271.745,6.0,6.0,128.0,17.671,,,0.0448,0.9552,,True,completed
46,car,84.0,284.0,200.0,,1592.13,14.0,14.0,186.0,42.358,,,0.07,0.93,,True,completed
37,car,65.0,285.0,220.0,,1832.506,0.0,0.0,220.0,33.517,,,0.0,1.0,,True,completed
38,car,65.0,291.0,226.0,,2131.944,0.0,0.0,226.0,30.408,,,0.0,1.0,,True,completed
75,car,136.0,292.0,156.0,,1518.865,0.0,0.0,156.0,14.257,,,0.0,1.0,,True,completed
110,car,212.0,293.0,81.0,,642.394,0.0,0.0,81.0,7.842,,,0.0,1.0,,True,completed
0,truck,2.0,295.0,293.0,,2126.284,4.0,14.0,279.0,35.981,,,0.0478,0.9522,,True,completed
32,car,52.0,296.0,244.0,,1688.957,0.0,6.0,238.0,35.222,,,0.0246,0.9754,,True,completed
117,car,231.0,299.0,68.0,,536.35,5.0,5.0,63.0,17.941,,,0.0735,0.9265,,True,completed
103,car,195.0,300.0,105.0,,887.999,4.0,4.0,101.0,17.966,,,0.0381,0.9619,,True,completed
22,car,36.0,302.0,266.0,,2617.1,0.0,7.0,259.0,28.378,,,0.0263,0.9737,,True,completed
33,car,54.0,304.0,250.0,,2297.885,0.0,0.0,250.0,25.591,,,0.0,1.0,,True,completed
58,car,100.0,308.0,208.0,,1591.129,41.0,41.0,167.0,62.463,,,0.1971,0.8029,,True,completed
91,car,173.0,310.0,137.0,,1281.441,0.0,0.0,137.0,9.88,,,0.0,1.0,,True,completed
79,truck,140.0,314.0,174.0,,1270.897,6.0,6.0,168.0,18.035,,,0.0345,0.9655,,True,completed
115,car,224.0,318.0,94.0,,750.168,7.0,7.0,87.0,17.747,,,0.0745,0.9255,,True,completed
65,car,114.0,320.0,206.0,,1442.082,48.0,52.0,154.0,70.392,,,0.2524,0.7476,,True,completed
9,truck,12.0,320.0,308.0,,1960.556,19.0,40.0,268.0,70.155,,,0.1299,0.8701,,True,completed
24,truck,38.0,323.0,285.0,,2144.269,0.0,6.0,279.0,26.585,,,0.0211,0.9789,,True,completed
93,car,176.0,324.0,148.0,,1028.969,23.0,23.0,125.0,44.093,,,0.1554,0.8446,,True,completed
137,car,261.0,326.0,65.0,,523.326,7.0,7.0,58.0,16.398,,,0.1077,0.8923,,True,completed
55,car,98.0,326.0,228.0,,2225.203,0.0,0.0,228.0,25.417,,,0.0,1.0,,True,completed
57,car,100.0,328.0,228.0,,1631.35,6.0,15.0,213.0,57.449,,,0.0658,0.9342,,True,completed
39,truck,67.0,330.0,263.0,,1970.532,0.0,5.0,258.0,24.678,,,0.019,0.981,,True,completed
14,truck,21.0,331.0,310.0,,2354.776,1.0,1.0,309.0,24.222,,,0.0032,0.9968,,True,completed
17,car,27.0,333.0,306.0,,2808.227,3.0,3.0,303.0,30.49,,,0.0098,0.9902,,True,completed
120,car,237.0,334.0,97.0,,853.593,4.0,4.0,93.0,18.775,,,0.0412,0.9588,,True,completed
63,car,110.0,334.0,224.0,,1968.291,1.0,1.0,223.0,45.373,,,0.0045,0.9955,,True,completed
87,car,165.0,338.0,173.0,,1625.892,1.0,1.0,172.0,20.881,,,0.0058,0.9942,,True,completed
138,car,262.0,340.0,78.0,,661.942,1.0,1.0,77.0,11.761,,,0.0128,0.9872,,True,completed
59,truck,101.0,340.0,239.0,,1654.601,10.0,13.0,226.0,38.632,,,0.0544,0.9456,,True,completed
102,car,192.0,341.0,149.0,,1505.248,0.0,0.0,149.0,10.786,,,0.0,1.0,,True,completed
56,car,98.0,341.0,243.0,,2130.876,0.0,1.0,242.0,22.548,,,0.0041,0.9959,,True,completed
35,car,56.0,348.0,292.0,,2335.964,18.0,18.0,274.0,72.38,,,0.0616,0.9384,,True,completed
163,car,307.0,350.0,43.0,,443.197,0.0,0.0,43.0,1.981,,,0.0,1.0,,True,completed
71,car,128.0,352.0,224.0,,2103.636,1.0,1.0,223.0,20.274,,,0.0045,0.9955,,True,completed
88,car,166.0,354.0,188.0,,1822.664,0.0,0.0,188.0,13.361,,,0.0,1.0,,True,completed
136,car,258.0,355.0,97.0,,904.02,0.0,0.0,97.0,8.337,,,0.0,1.0,,True,completed
108,car,209.0,357.0,148.0,,1395.219,1.0,1.0,147.0,17.037,,,0.0068,0.9932,,True,completed
112,car,216.0,357.0,141.0,,1235.266,13.0,13.0,128.0,26.884,,,0.0922,0.9078,,True,completed
107,car,207.0,362.0,155.0,,1390.797,2.0,4.0,151.0,24.912,,,0.0258,0.9742,,True,completed
118,car,232.0,362.0,130.0,,1011.037,0.0,0.0,130.0,15.474,,,0.0,1.0,,True,completed
106,car,202.0,364.0,162.0,,1476.509,9.0,9.0,153.0,27.268,,,0.0556,0.9444,,True,completed
51,car,91.0,368.0,277.0,,2636.037,10.0,10.0,267.0,37.484,,,0.0361,0.9639,,True,completed
53,car,96.0,371.0,275.0,,2171.247,36.0,42.0,233.0,78.128,,,0.1527,0.8473,,True,completed
67,car,117.0,371.0,254.0,,2334.39,18.0,18.0,236.0,39.272,,,0.0709,0.9291,,True,completed
186,car,333.0,375.0,42.0,,437.232,0.0,0.0,42.0,1.649,,,0.0,1.0,,True,completed
21,car,35.0,376.0,341.0,,2999.889,10.0,14.0,327.0,61.407,,,0.0411,0.9589,,True,completed
66,car,117.0,377.0,260.0,,2446.294,1.0,7.0,253.0,30.706,,,0.0269,0.9731,,True,completed
114,truck,223.0,378.0,155.0,,1128.989,5.0,5.0,150.0,17.565,,,0.0323,0.9677,,True,completed
42,car,75.0,382.0,307.0,,2668.589,1.0,6.0,301.0,59.502,,,0.0195,0.9805,,True,completed
68,car,118.0,384.0,266.0,,2544.505,0.0,17.0,249.0,34.861,,,0.0639,0.9361,,True,completed
126,car,241.0,385.0,144.0,,1325.486,3.0,3.0,141.0,20.84,,,0.0208,0.9792,,True,completed
113,car,218.0,386.0,168.0,,1693.727,0.0,0.0,168.0,12.416,,,0.0,1.0,,True,completed
143,car,276.0,386.0,110.0,,1150.199,0.0,0.0,110.0,5.481,,,0.0,1.0,,True,completed
151,car,291.0,387.0,96.0,,842.057,5.0,5.0,91.0,19.116,,,0.0521,0.9479,,True,completed
175,car,320.0,390.0,70.0,,731.967,0.0,0.0,70.0,3.122,,,0.0,1.0,,True,completed
44,truck,82.0,390.0,308.0,,2213.581,3.0,11.0,297.0,40.901,,,0.0357,0.9643,,True,completed
109,truck,211.0,393.0,182.0,,1036.616,21.0,29.0,153.0,56.051,,,0.1593,0.8407,,True,completed
77,car,137.0,394.0,257.0,,2549.687,0.0,7.0,250.0,24.889,,,0.0272,0.9728,,True,completed
49,truck,90.0,396.0,306.0,,2224.768,5.0,16.0,290.0,37.403,,,0.0523,0.9477,,True,completed
83,car,149.0,399.0,250.0,,1825.506,5.0,14.0,236.0,63.103,,,0.056,0.944,,True,completed
15,car,22.0,402.0,380.0,,3082.009,17.0,64.0,316.0,98.852,,,0.1684,0.8316,,True,completed
164,truck,309.0,402.0,93.0,,728.146,0.0,0.0,93.0,4.164,,,0.0,1.0,,True,completed
86,car,154.0,402.0,248.0,,2302.785,2.0,5.0,243.0,37.748,,,0.0202,0.9798,,True,completed
69,truck,123.0,404.0,281.0,,2087.864,0.0,13.0,268.0,29.325,,,0.0463,0.9537,,True,completed
153,car,294.0,405.0,111.0,,1169.442,0.0,0.0,111.0,4.749,,,0.0,1.0,,True,completed
76,car,136.0,406.0,270.0,,2628.106,3.0,3.0,267.0,31.343,,,0.0111,0.9889,,True,completed
54,truck,96.0,407.0,311.0,,2412.044,0.0,2.0,309.0,20.439,,,0.0064,0.9936,,True,completed
147,car,286.0,409.0,123.0,,1213.536,0.0,0.0,123.0,8.52,,,0.0,1.0,,True,completed
125,car,240.0,412.0,172.0,,1358.027,12.0,12.0,160.0,46.004,,,0.0698,0.9302,,True,completed
96,car,181.0,414.0,233.0,,2337.285,0.0,0.0,233.0,17.721,,,0.0,1.0,,True,completed
97,car,183.0,422.0,239.0,,2140.349,19.0,25.0,214.0,44.337,,,0.1046,0.8954,,True,completed
121,car,239.0,423.0,184.0,,1491.33,0.0,7.0,177.0,27.929,,,0.038,0.962,,True,completed
95,car,181.0,423.0,242.0,,1417.283,40.0,58.0,184.0,110.546,,,0.2397,0.7603,,True,completed
198,car,349.0,424.0,75.0,,749.805,0.0,0.0,75.0,5.255,,,0.0,1.0,,True,completed
214,truck,374.0,424.0,50.0,,376.806,0.0,0.0,50.0,2.578,,,0.0,1.0,,True,completed
141,car,265.0,425.0,160.0,,1624.308,0.0,0.0,160.0,12.081,,,0.0,1.0,,True,completed
92,car,175.0,425.0,250.0,,2378.233,5.0,13.0,237.0,34.283,,,0.052,0.948,,True,completed
72,car,129.0,430.0,301.0,,2444.87,33.0,48.0,253.0,78.501,,,0.1595,0.8405,,True,completed
19,truck,32.0,432.0,400.0,,2822.131,4.0,14.0,386.0,59.642,,,0.035,0.965,,True,completed
25,car,43.0,436.0,393.0,,3389.407,0.0,7.0,386.0,45.422,,,0.0178,0.9822,,True,completed
62,car,108.0,438.0,330.0,,2971.204,0.0,1.0,329.0,41.296,,,0.003,0.997,,True,completed
101,car,188.0,439.0,251.0,,1647.202,29.0,33.0,218.0,98.746,,,0.1315,0.8685,,True,completed
193,car,343.0,443.0,100.0,,787.507,2.0,2.0,98.0,27.35,,,0.02,0.98,,True,completed
122,car,240.0,445.0,205.0,,2143.203,0.0,0.0,205.0,10.196,,,0.0,1.0,,True,completed
172,car,318.0,447.0,129.0,,1270.305,0.0,0.0,129.0,13.05,,,0.0,1.0,,True,completed
64,truck,111.0,448.0,337.0,,2429.966,3.0,17.0,320.0,44.287,,,0.0504,0.9496,,True,completed
206,car,359.0,450.0,91.0,,661.957,17.0,17.0,74.0,27.168,,,0.1868,0.8132,,True,completed
99,truck,187.0,453.0,266.0,,1914.448,0.0,6.0,260.0,29.999,,,0.0226,0.9774,,True,completed
169,truck,314.0,455.0,141.0,,991.211,6.0,6.0,135.0,19.501,,,0.0426,0.9574,,True,completed
167,car,313.0,457.0,144.0,,1486.764,0.0,0.0,144.0,8.262,,,0.0,1.0,,True,completed
194,truck,346.0,457.0,111.0,,784.987,0.0,0.0,111.0,15.433,,,0.0,1.0,,True,completed
210,car,366.0,460.0,94.0,,925.966,0.0,0.0,94.0,8.361,,,0.0,1.0,,True,completed
90,car,171.0,466.0,295.0,,2250.593,34.0,58.0,237.0,89.99,,,0.1966,0.8034,,True,completed
197,car,343.0,467.0,124.0,,1067.891,8.0,8.0,116.0,26.298,,,0.0645,0.9355,,True,completed
100,car,188.0,469.0,281.0,,2256.311,24.0,37.0,244.0,64.392,,,0.1317,0.8683,,True,completed
146,car,279.0,478.0,199.0,,1791.0,0.0,4.0,195.0,26.897,,,0.0201,0.9799,,True,completed
157,car,302.0,478.0,176.0,,1693.617,7.0,7.0,169.0,22.329,,,0.0398,0.9602,,True,completed
