step:3600/3600, q_loss:0.010210391821125622, rewards:-5.110972425672743, queue:1.9574652777777777, delay:0.05935276349385579, throughput:1435
episode:0/200, real avg travel time:296.17839721254353
intersection:0, mean_episode_reward:-0.25962984561920166, mean_queue:3.2138888835906982
intersection:1, mean_episode_reward:-0.3289814591407776, mean_queue:4.036110877990723
intersection:2, mean_episode_reward:-0.2921065092086792, mean_queue:3.586111068725586
intersection:3, mean_episode_reward:-0.20412038266658783, mean_queue:2.5416667461395264
intersection:4, mean_episode_reward:-0.3707176148891449, mean_queue:4.52222204208374
intersection:5, mean_episode_reward:-0.3477543592453003, mean_queue:4.238888740539551
intersection:6, mean_episode_reward:-0.2261342853307724, mean_queue:2.7833333015441895
intersection:7, mean_episode_reward:-0.22939808666706085, mean_queue:2.827777862548828
intersection:8, mean_episode_reward:-0.36203718185424805, mean_queue:4.461111068725586
intersection:9, mean_episode_reward:-0.38687482476234436, mean_queue:4.711111068725586
intersection:10, mean_episode_reward:-0.49363455176353455, mean_queue:5.97777795791626
intersection:11, mean_episode_reward:-0.2169676423072815, mean_queue:2.6888887882232666
intersection:12, mean_episode_reward:-0.3781016170978546, mean_queue:4.622222423553467
intersection:13, mean_episode_reward:-0.26671302318573, mean_queue:3.297222137451172
intersection:14, mean_episode_reward:-0.4209953248500824, mean_queue:5.136111259460449
intersection:15, mean_episode_reward:-0.3268055319786072, mean_queue:3.9944443702697754
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
