step:3600/3600, q_loss:0.01148705910453647, rewards:-5.784861246744792, queue:2.2124131944444443, delay:0.06143457624647353, throughput:1415
episode:0/500, real avg travel time:312.3081272084806
intersection:0, mean_episode_reward:-0.23687498271465302, mean_queue:2.9583332538604736
intersection:1, mean_episode_reward:-0.25437501072883606, mean_queue:3.1500000953674316
intersection:2, mean_episode_reward:-0.5338423252105713, mean_queue:6.488888740539551
intersection:3, mean_episode_reward:-0.20474545657634735, mean_queue:2.5722222328186035
intersection:4, mean_episode_reward:-0.6430323719978333, mean_queue:7.77222204208374
intersection:5, mean_episode_reward:-0.27557873725891113, mean_queue:3.3888888359069824
intersection:6, mean_episode_reward:-0.22023166716098785, mean_queue:2.7277777194976807
intersection:7, mean_episode_reward:-0.24099555611610413, mean_queue:2.972222328186035
intersection:8, mean_episode_reward:-0.4242824912071228, mean_queue:5.191666603088379
intersection:9, mean_episode_reward:-0.30310186743736267, mean_queue:3.722222328186035
intersection:10, mean_episode_reward:-0.30483800172805786, mean_queue:3.719444513320923
intersection:11, mean_episode_reward:-0.2754167914390564, mean_queue:3.4000000953674316
intersection:12, mean_episode_reward:-0.6277082562446594, mean_queue:7.605555534362793
intersection:13, mean_episode_reward:-0.2479630410671234, mean_queue:3.058333396911621
intersection:14, mean_episode_reward:-0.716643214225769, mean_queue:8.677778244018555
intersection:15, mean_episode_reward:-0.2752314507961273, mean_queue:3.3916666507720947
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
