step:3600/3600, q_loss:0.009939655549534498, rewards:-5.354583062065972, queue:2.05078125, delay:0.06304333474900987, throughput:1412
episode:0/200, real avg travel time:297.99504249291783
intersection:0, mean_episode_reward:-0.2243519276380539, mean_queue:2.8111112117767334
intersection:1, mean_episode_reward:-0.27011576294898987, mean_queue:3.3222222328186035
intersection:2, mean_episode_reward:-0.3921757936477661, mean_queue:4.769444465637207
intersection:3, mean_episode_reward:-0.42493054270744324, mean_queue:5.205555438995361
intersection:4, mean_episode_reward:-0.3618515729904175, mean_queue:4.419444561004639
intersection:5, mean_episode_reward:-0.22479169070720673, mean_queue:2.758333444595337
intersection:6, mean_episode_reward:-0.26002317667007446, mean_queue:3.1861112117767334
intersection:7, mean_episode_reward:-0.31960639357566833, mean_queue:3.922222137451172
intersection:8, mean_episode_reward:-0.3841666877269745, mean_queue:4.6972222328186035
intersection:9, mean_episode_reward:-0.3912964165210724, mean_queue:4.788888931274414
intersection:10, mean_episode_reward:-0.27057865262031555, mean_queue:3.3138887882232666
intersection:11, mean_episode_reward:-0.35905107855796814, mean_queue:4.411110877990723
intersection:12, mean_episode_reward:-0.36659714579582214, mean_queue:4.511111259460449
intersection:13, mean_episode_reward:-0.5274997353553772, mean_queue:6.422222137451172
intersection:14, mean_episode_reward:-0.3327777087688446, mean_queue:4.058333396911621
intersection:15, mean_episode_reward:-0.2447684407234192, mean_queue:3.027777671813965
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :280.2061928219564, rewards:-4.633426242404514, queue:1.781423611111111, delay:0.05857716136508518, throughput:1421
step:3600/3600, q_loss:0.018303493320767302, rewards:-5.892338053385417, queue:2.2537326388888888, delay:0.06446281539069282, throughput:1406
episode:1/200, real avg travel time:312.2226173541963
intersection:0, mean_episode_reward:-0.5066897869110107, mean_queue:6.1777777671813965
intersection:1, mean_episode_reward:-0.31143516302108765, mean_queue:3.855555534362793
intersection:2, mean_episode_reward:-0.3354167342185974, mean_queue:4.108333110809326
intersection:3, mean_episode_reward:-0.3698381185531616, mean_queue:4.530555725097656
intersection:4, mean_episode_reward:-0.4991897642612457, mean_queue:6.086111068725586
intersection:5, mean_episode_reward:-0.3230786621570587, mean_queue:3.980555534362793
intersection:6, mean_episode_reward:-0.3342823386192322, mean_queue:4.05555534362793
intersection:7, mean_episode_reward:-0.44557833671569824, mean_queue:5.4083333015441895
intersection:8, mean_episode_reward:-0.40506938099861145, mean_queue:4.949999809265137
intersection:9, mean_episode_reward:-0.3442361056804657, mean_queue:4.2166666984558105
intersection:10, mean_episode_reward:-0.1908564418554306, mean_queue:2.3527777194976807
intersection:11, mean_episode_reward:-0.21259251236915588, mean_queue:2.6416666507720947
intersection:12, mean_episode_reward:-0.5387037396430969, mean_queue:6.5527777671813965
intersection:13, mean_episode_reward:-0.40094897150993347, mean_queue:4.919444561004639
intersection:14, mean_episode_reward:-0.3359260559082031, mean_queue:4.127777576446533
intersection:15, mean_episode_reward:-0.3384954333305359, mean_queue:4.155555725097656
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
