step:3600/3600, q_loss:0.015709912768595378, rewards:-6.396968364715576, queue:2.440885305404663, delay:0.06421344727277756, throughput:1398
episode:0/200, real avg travel time:319.06223175965664
intersection:0, mean_episode_reward:-0.30037039518356323, mean_queue:3.7083332538604736
intersection:1, mean_episode_reward:-0.3796065151691437, mean_queue:4.661110877990723
intersection:2, mean_episode_reward:-0.4536345601081848, mean_queue:5.5333333015441895
intersection:3, mean_episode_reward:-0.32979169487953186, mean_queue:4.025000095367432
intersection:4, mean_episode_reward:-0.3221065402030945, mean_queue:3.9666666984558105
intersection:5, mean_episode_reward:-0.4087730348110199, mean_queue:4.97777795791626
intersection:6, mean_episode_reward:-0.3241204619407654, mean_queue:3.9583332538604736
intersection:7, mean_episode_reward:-0.3309028744697571, mean_queue:4.044444561004639
intersection:8, mean_episode_reward:-0.2893054187297821, mean_queue:3.5527777671813965
intersection:9, mean_episode_reward:-0.7655320763587952, mean_queue:9.26111125946045
intersection:10, mean_episode_reward:-0.30939796566963196, mean_queue:3.7666666507720947
intersection:11, mean_episode_reward:-0.25303247570991516, mean_queue:3.1277778148651123
intersection:12, mean_episode_reward:-0.9705790877342224, mean_queue:11.755555152893066
intersection:13, mean_episode_reward:-0.2064352184534073, mean_queue:2.5888888835906982
intersection:14, mean_episode_reward:-0.3308796286582947, mean_queue:4.030555725097656
intersection:15, mean_episode_reward:-0.4225001335144043, mean_queue:5.150000095367432
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :306.55420827389446, rewards:-5.877453804016113, queue:2.2474825382232666, delay:0.06421009451150894, throughput:1402
step:3600/3600, q_loss:0.033378007543544905, rewards:-5.619259834289551, queue:2.152083396911621, delay:0.06334295123815536, throughput:1407
episode:1/200, real avg travel time:305.272921108742
intersection:0, mean_episode_reward:-0.21837958693504333, mean_queue:2.7138888835906982
intersection:1, mean_episode_reward:-0.30143535137176514, mean_queue:3.719444513320923
intersection:2, mean_episode_reward:-0.679444432258606, mean_queue:8.230555534362793
intersection:3, mean_episode_reward:-0.2363889217376709, mean_queue:2.930555582046509
intersection:4, mean_episode_reward:-0.9200465679168701, mean_queue:11.144444465637207
intersection:5, mean_episode_reward:-0.44583338499069214, mean_queue:5.4083333015441895
intersection:6, mean_episode_reward:-0.19256937503814697, mean_queue:2.3888888359069824
intersection:7, mean_episode_reward:-0.20187507569789886, mean_queue:2.5138888359069824
intersection:8, mean_episode_reward:-0.34650474786758423, mean_queue:4.255555629730225
intersection:9, mean_episode_reward:-0.2742592394351959, mean_queue:3.375
intersection:10, mean_episode_reward:-0.26312515139579773, mean_queue:3.2444443702697754
intersection:11, mean_episode_reward:-0.4375463128089905, mean_queue:5.3222222328186035
intersection:12, mean_episode_reward:-0.4156480133533478, mean_queue:5.088889122009277
intersection:13, mean_episode_reward:-0.30458328127861023, mean_queue:3.7638888359069824
intersection:14, mean_episode_reward:-0.18118053674697876, mean_queue:2.2472221851348877
intersection:15, mean_episode_reward:-0.20043985545635223, mean_queue:2.519444465637207
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:1/200, travel time :288.69985875706215, rewards:-4.963449001312256, queue:1.9034721851348877, delay:0.0627654418349266, throughput:1416
step:3600/3600, q_loss:0.02815078980479544, rewards:-4.844860553741455, queue:1.8584201335906982, delay:0.0612410232424736, throughput:1433
episode:2/200, real avg travel time:288.7076064200977
intersection:0, mean_episode_reward:-0.37835633754730225, mean_queue:4.630555629730225
intersection:1, mean_episode_reward:-0.2671990990638733, mean_queue:3.297222137451172
intersection:2, mean_episode_reward:-0.295879602432251, mean_queue:3.6222221851348877
intersection:3, mean_episode_reward:-0.26773157715797424, mean_queue:3.305555582046509
intersection:4, mean_episode_reward:-0.33664336800575256, mean_queue:4.116666793823242
intersection:5, mean_episode_reward:-0.2762731909751892, mean_queue:3.3805556297302246
intersection:6, mean_episode_reward:-0.20835639536380768, mean_queue:2.5638887882232666
intersection:7, mean_episode_reward:-0.27905094623565674, mean_queue:3.422222137451172
intersection:8, mean_episode_reward:-0.28847232460975647, mean_queue:3.5611112117767334
intersection:9, mean_episode_reward:-0.35194435715675354, mean_queue:4.297222137451172
intersection:10, mean_episode_reward:-0.1486111581325531, mean_queue:1.855555534362793
intersection:11, mean_episode_reward:-0.2189352810382843, mean_queue:2.7166666984558105
intersection:12, mean_episode_reward:-0.3000926375389099, mean_queue:3.6861112117767334
intersection:13, mean_episode_reward:-0.3472452461719513, mean_queue:4.277777671813965
intersection:14, mean_episode_reward:-0.547129213809967, mean_queue:6.644444465637207
intersection:15, mean_episode_reward:-0.33293992280960083, mean_queue:4.0916666984558105
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:2/200, travel time :297.95470629865537, rewards:-5.429537296295166, queue:2.0790798664093018, delay:0.06249936297535896, throughput:1413
step:3600/3600, q_loss:0.028700484464785812, rewards:-5.89460563659668, queue:2.2560763359069824, delay:0.06320062279701233, throughput:1417
episode:3/200, real avg travel time:317.4431898376852
intersection:0, mean_episode_reward:-0.6457403898239136, mean_queue:7.827777862548828
intersection:1, mean_episode_reward:-0.20601849257946014, mean_queue:2.5888888835906982
intersection:2, mean_episode_reward:-0.41932880878448486, mean_queue:5.130555629730225
intersection:3, mean_episode_reward:-0.3507639467716217, mean_queue:4.3027777671813965
intersection:4, mean_episode_reward:-0.30759263038635254, mean_queue:3.777777671813965
intersection:5, mean_episode_reward:-0.383911669254303, mean_queue:4.6972222328186035
intersection:6, mean_episode_reward:-0.3037962317466736, mean_queue:3.711111068725586
intersection:7, mean_episode_reward:-0.1788194179534912, mean_queue:2.2361111640930176
intersection:8, mean_episode_reward:-0.25074076652526855, mean_queue:3.1083333492279053
intersection:9, mean_episode_reward:-1.2139118909835815, mean_queue:14.661110877990723
intersection:10, mean_episode_reward:-0.21861106157302856, mean_queue:2.6861112117767334
intersection:11, mean_episode_reward:-0.23638877272605896, mean_queue:2.924999952316284
intersection:12, mean_episode_reward:-0.4752085506916046, mean_queue:5.816666603088379
intersection:13, mean_episode_reward:-0.2679861783981323, mean_queue:3.3111112117767334
intersection:14, mean_episode_reward:-0.31812503933906555, mean_queue:3.8972222805023193
intersection:15, mean_episode_reward:-0.11766199767589569, mean_queue:1.5166666507720947
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
