step:3600/3600, q_loss:0.01208560716509019, rewards:-5.48951416015625, queue:2.103645833333333, delay:0.062056477864583334, throughput:1403
episode:0/200, real avg travel time:295.4746970776907
intersection:0, mean_episode_reward:-0.28201401233673096, mean_queue:3.4972221851348877
intersection:1, mean_episode_reward:-0.44652798771858215, mean_queue:5.44444465637207
intersection:2, mean_episode_reward:-0.25620368123054504, mean_queue:3.144444465637207
intersection:3, mean_episode_reward:-0.2614121437072754, mean_queue:3.23888897895813
intersection:4, mean_episode_reward:-0.4047451317310333, mean_queue:4.936110973358154
intersection:5, mean_episode_reward:-0.40180549025535583, mean_queue:4.894444465637207
intersection:6, mean_episode_reward:-0.20344918966293335, mean_queue:2.527777671813965
intersection:7, mean_episode_reward:-0.3068055808544159, mean_queue:3.7722222805023193
intersection:8, mean_episode_reward:-0.5062038898468018, mean_queue:6.186110973358154
intersection:9, mean_episode_reward:-0.23400458693504333, mean_queue:2.9000000953674316
intersection:10, mean_episode_reward:-0.210393488407135, mean_queue:2.5888888835906982
intersection:11, mean_episode_reward:-0.22328713536262512, mean_queue:2.7666666507720947
intersection:12, mean_episode_reward:-0.6199305653572083, mean_queue:7.530555725097656
intersection:13, mean_episode_reward:-0.3251388967037201, mean_queue:4.019444465637207
intersection:14, mean_episode_reward:-0.3745368421077728, mean_queue:4.563889026641846
intersection:15, mean_episode_reward:-0.43305566906929016, mean_queue:5.30555534362793
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/200, travel time :300.99087719298245, rewards:-5.334027777777778, queue:2.0444444444444443, delay:0.06288184589809842, throughput:1425
step:3600/3600, q_loss:0.02514069848462047, rewards:-6.05861070421007, queue:2.315798611111111, delay:0.06404079861111112, throughput:1411
episode:1/200, real avg travel time:319.28986534372785
intersection:0, mean_episode_reward:-0.5239812135696411, mean_queue:6.366666793823242
intersection:1, mean_episode_reward:-0.32937490940093994, mean_queue:4.05555534362793
intersection:2, mean_episode_reward:-0.3503241240978241, mean_queue:4.2833333015441895
intersection:3, mean_episode_reward:-0.26770827174186707, mean_queue:3.3222222328186035
intersection:4, mean_episode_reward:-0.2796991765499115, mean_queue:3.452777862548828
intersection:5, mean_episode_reward:-0.4847683310508728, mean_queue:5.902777671813965
intersection:6, mean_episode_reward:-0.24381937086582184, mean_queue:2.98888897895813
intersection:7, mean_episode_reward:-0.33504629135131836, mean_queue:4.105555534362793
