step:3600/3600, q_loss:nan, rewards:-15.35474582248264, queue:6.547135416666666, delay:0.08423579533894857, throughput:1014
episode:0/2000, real avg travel time:337.00887573964496
intersection:0, mean_episode_reward:-2.275670289993286, mean_queue:29.2722225189209
intersection:1, mean_episode_reward:-2.728362798690796, mean_queue:39.73055648803711
intersection:2, mean_episode_reward:-0.15685704350471497, mean_queue:2.941666603088379
intersection:3, mean_episode_reward:-0.06167379394173622, mean_queue:1.3444443941116333
intersection:4, mean_episode_reward:-2.5370168685913086, mean_queue:37.61944580078125
intersection:5, mean_episode_reward:-0.10518099367618561, mean_queue:2.3972222805023193
intersection:6, mean_episode_reward:-0.12746071815490723, mean_queue:2.1388888359069824
intersection:7, mean_episode_reward:-0.15129289031028748, mean_queue:1.5972222089767456
intersection:8, mean_episode_reward:-1.0147242546081543, mean_queue:10.352777481079102
intersection:9, mean_episode_reward:-0.10722461342811584, mean_queue:1.2666666507720947
intersection:10, mean_episode_reward:-0.4855957329273224, mean_queue:3.9583332538604736
intersection:11, mean_episode_reward:-2.0524814128875732, mean_queue:30.197221755981445
intersection:12, mean_episode_reward:-0.03311145678162575, mean_queue:1.9722222089767456
intersection:13, mean_episode_reward:-1.7110813856124878, mean_queue:25.06944465637207
intersection:14, mean_episode_reward:-1.7374095916748047, mean_queue:17.127777099609375
intersection:15, mean_episode_reward:-0.06960225105285645, mean_queue:2.5222222805023193
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
intersection:20, mean_episode_reward:0.0, mean_queue:0.0
intersection:21, mean_episode_reward:0.0, mean_queue:0.0
intersection:22, mean_episode_reward:0.0, mean_queue:0.0
intersection:23, mean_episode_reward:0.0, mean_queue:0.0
intersection:24, mean_episode_reward:0.0, mean_queue:0.0
intersection:25, mean_episode_reward:0.0, mean_queue:0.0
intersection:26, mean_episode_reward:0.0, mean_queue:0.0
intersection:27, mean_episode_reward:0.0, mean_queue:0.0
intersection:28, mean_episode_reward:0.0, mean_queue:0.0
intersection:29, mean_episode_reward:0.0, mean_queue:0.0
intersection:30, mean_episode_reward:0.0, mean_queue:0.0
intersection:31, mean_episode_reward:0.0, mean_queue:0.0
Test step:0/2000, travel time :319.0316205533597, rewards:-15.313167317708333, queue:6.334461805555556, delay:0.07940934499104818, throughput:1012
step:3600/3600, q_loss:-0.000549065150242376, rewards:-15.37258572048611, queue:6.016319444444444, delay:0.08026918835110135, throughput:1022
episode:1/2000, real avg travel time:312.1340508806262
intersection:0, mean_episode_reward:-1.9194022417068481, mean_queue:23.200000762939453
intersection:1, mean_episode_reward:-2.2492780685424805, mean_queue:27.52777862548828
intersection:2, mean_episode_reward:-0.04833104833960533, mean_queue:1.2944444417953491
intersection:3, mean_episode_reward:-0.033849310129880905, mean_queue:1.380555510520935
intersection:4, mean_episode_reward:-2.291837453842163, mean_queue:34.44722366333008
intersection:5, mean_episode_reward:-0.1665123850107193, mean_queue:2.875
intersection:6, mean_episode_reward:-0.12213674932718277, mean_queue:2.452777862548828
intersection:7, mean_episode_reward:-0.1527629941701889, mean_queue:1.4972221851348877
intersection:8, mean_episode_reward:-1.0143760442733765, mean_queue:10.308333396911621
intersection:9, mean_episode_reward:-0.14148758351802826, mean_queue:2.0805554389953613
intersection:10, mean_episode_reward:-0.11254651099443436, mean_queue:1.6472222805023193
intersection:11, mean_episode_reward:-1.744417667388916, mean_queue:19.808332443237305
intersection:12, mean_episode_reward:-0.015605983324348927, mean_queue:1.369444489479065
intersection:13, mean_episode_reward:-1.7989132404327393, mean_queue:28.183332443237305
intersection:14, mean_episode_reward:-2.266385555267334, mean_queue:22.108333587646484
intersection:15, mean_episode_reward:-1.2947434186935425, mean_queue:12.341666221618652
intersection:16, mean_episode_reward:0.0, mean_queue:0.0
intersection:17, mean_episode_reward:0.0, mean_queue:0.0
intersection:18, mean_episode_reward:0.0, mean_queue:0.0
intersection:19, mean_episode_reward:0.0, mean_queue:0.0
