step:3600/3600, q_loss:0, rewards:-15.90027804904514, queue:1.8030381944444445, delay:0.0570717281765408, throughput:1433
episode:0/200, real avg travel time:283.728541521284
intersection:0, mean_episode_reward:-3.8613884449005127, mean_queue:4.2166666984558105
intersection:1, mean_episode_reward:-2.6636109352111816, mean_queue:3.6500000953674316
intersection:2, mean_episode_reward:-5.291387557983398, mean_queue:5.972222328186035
intersection:3, mean_episode_reward:-2.8425002098083496, mean_queue:2.0638887882232666
intersection:4, mean_episode_reward:-2.4294450283050537, mean_queue:6.22777795791626
intersection:5, mean_episode_reward:-0.20888914167881012, mean_queue:3.7361111640930176
intersection:6, mean_episode_reward:2.2952778339385986, mean_queue:3.11388897895813
intersection:7, mean_episode_reward:-1.470833659172058, mean_queue:2.319444417953491
intersection:8, mean_episode_reward:2.830554485321045, mean_queue:3.1277778148651123
intersection:9, mean_episode_reward:-1.618056058883667, mean_queue:5.530555725097656
intersection:10, mean_episode_reward:0.6652779579162598, mean_queue:2.430555582046509
intersection:11, mean_episode_reward:-2.569166660308838, mean_queue:3.961111068725586
intersection:12, mean_episode_reward:-0.8858331441879272, mean_queue:2.577777862548828
intersection:13, mean_episode_reward:2.041389226913452, mean_queue:2.5055556297302246
intersection:14, mean_episode_reward:-1.1175004243850708, mean_queue:2.7472221851348877
intersection:15, mean_episode_reward:-1.4277777671813965, mean_queue:3.5166666507720947
intersection:16, mean_episode_reward:0.061388883739709854, mean_queue:0.0
intersection:17, mean_episode_reward:0.10750000923871994, mean_queue:0.0
intersection:18, mean_episode_reward:0.16500002145767212, mean_queue:0.0
intersection:19, mean_episode_reward:0.27916663885116577, mean_queue:0.0
intersection:20, mean_episode_reward:0.2036111056804657, mean_queue:0.0
intersection:21, mean_episode_reward:0.11472222208976746, mean_queue:0.0
intersection:22, mean_episode_reward:0.03222221881151199, mean_queue:0.0
intersection:23, mean_episode_reward:0.021388890221714973, mean_queue:0.0
intersection:24, mean_episode_reward:0.13833332061767578, mean_queue:0.0
intersection:25, mean_episode_reward:0.27138885855674744, mean_queue:0.0
intersection:26, mean_episode_reward:0.38333332538604736, mean_queue:0.0
intersection:27, mean_episode_reward:0.5972222089767456, mean_queue:0.0
intersection:28, mean_episode_reward:0.07916666567325592, mean_queue:0.0
intersection:29, mean_episode_reward:0.09499999135732651, mean_queue:0.0
intersection:30, mean_episode_reward:0.0672222226858139, mean_queue:0.0
intersection:31, mean_episode_reward:0.036944448947906494, mean_queue:0.0
Test step:0/200, travel time :440.2632850241546, rewards:-94.67694227430556, queue:9.476128472222221, delay:0.11595216327243381, throughput:828
step:3600/3600, q_loss:0, rewards:-15.521668836805556, queue:1.6138020833333333, delay:0.05538108613755968, throughput:1430
episode:1/200, real avg travel time:270.71958041958044
intersection:0, mean_episode_reward:-2.0019447803497314, mean_queue:2.0416667461395264
intersection:1, mean_episode_reward:-2.1380560398101807, mean_queue:3.23888897895813
intersection:2, mean_episode_reward:-2.1933321952819824, mean_queue:3.0138888359069824
intersection:3, mean_episode_reward:-3.114999294281006, mean_queue:2.3722221851348877
intersection:4, mean_episode_reward:-1.0150002241134644, mean_queue:3.027777671813965
intersection:5, mean_episode_reward:-2.603611469268799, mean_queue:6.252777576446533
intersection:6, mean_episode_reward:0.9655551314353943, mean_queue:1.4555555582046509
intersection:7, mean_episode_reward:-1.4249998331069946, mean_queue:2.3972222805023193
intersection:8, mean_episode_reward:0.378055602312088, mean_queue:3.469444513320923
intersection:9, mean_episode_reward:-1.6686121225357056, mean_queue:7.422222137451172
intersection:10, mean_episode_reward:0.42083320021629333, mean_queue:2.1111111640930176
intersection:11, mean_episode_reward:-2.574167490005493, mean_queue:3.9555554389953613
intersection:12, mean_episode_reward:-0.33500006794929504, mean_queue:2.319444417953491
intersection:13, mean_episode_reward:1.6313893795013428, mean_queue:2.4638888835906982
intersection:14, mean_episode_reward:-1.6805559396743774, mean_queue:3.125
intersection:15, mean_episode_reward:-0.7802779078483582, mean_queue:2.9749999046325684
intersection:16, mean_episode_reward:0.04694444313645363, mean_queue:0.0
intersection:17, mean_episode_reward:0.08916666358709335, mean_queue:0.0
intersection:18, mean_episode_reward:0.1733333021402359, mean_queue:0.0
intersection:19, mean_episode_reward:0.23777775466442108, mean_queue:0.0
intersection:20, mean_episode_reward:0.2036111056804657, mean_queue:0.0
intersection:21, mean_episode_reward:0.1158333346247673, mean_queue:0.0
intersection:22, mean_episode_reward:0.03194444254040718, mean_queue:0.0
intersection:23, mean_episode_reward:0.021388888359069824, mean_queue:0.0
intersection:24, mean_episode_reward:0.07305555790662766, mean_queue:0.0
intersection:25, mean_episode_reward:0.26055553555488586, mean_queue:0.0
intersection:26, mean_episode_reward:0.3702777922153473, mean_queue:0.0
intersection:27, mean_episode_reward:0.7113888263702393, mean_queue:0.0
intersection:28, mean_episode_reward:0.07916666567325592, mean_queue:0.0
intersection:29, mean_episode_reward:0.09583333134651184, mean_queue:0.0
