vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
2,DEFAULT_VEHTYPE,15.0,89.0,74.0,,870.368,0.0,0.0,74.0,4.795,,,0.0,1.0,,True,completed
6,DEFAULT_VEHTYPE,39.0,132.0,93.0,,892.416,6.0,6.0,87.0,13.935,,,0.0645,0.9355,,True,completed
1,DEFAULT_VEHTYPE,10.0,144.0,134.0,,1489.952,0.0,0.0,134.0,7.87,,,0.0,1.0,,True,completed
8,DEFAULT_VEHTYPE,58.0,156.0,98.0,,889.985,0.0,0.0,98.0,6.037,,,0.0,1.0,,True,completed
25,DEFAULT_VEHTYPE,112.0,165.0,53.0,,573.681,0.0,0.0,53.0,3.721,,,0.0,1.0,,True,completed
7,DEFAULT_VEHTYPE,54.0,166.0,112.0,,1192.492,5.0,5.0,107.0,16.132,,,0.0446,0.9554,,True,completed
5,DEFAULT_VEHTYPE,37.0,181.0,144.0,,1491.778,7.0,7.0,137.0,19.246,,,0.0486,0.9514,,True,completed
0,DEFAULT_VEHTYPE,1.0,183.0,182.0,,1742.648,0.0,0.0,182.0,14.337,,,0.0,1.0,,True,completed
16,DEFAULT_VEHTYPE,85.0,186.0,101.0,,1192.714,0.0,0.0,101.0,4.785,,,0.0,1.0,,True,completed
13,DEFAULT_VEHTYPE,77.0,189.0,112.0,,1176.178,4.0,4.0,108.0,19.669,,,0.0357,0.9643,,True,completed
14,DEFAULT_VEHTYPE,78.0,201.0,123.0,,1153.57,0.0,0.0,123.0,10.054,,,0.0,1.0,,True,completed
10,DEFAULT_VEHTYPE,63.0,206.0,143.0,,1475.078,0.0,0.0,143.0,9.046,,,0.0,1.0,,True,completed
23,DEFAULT_VEHTYPE,107.0,220.0,113.0,,1176.589,6.0,6.0,107.0,17.258,,,0.0531,0.9469,,True,completed
4,DEFAULT_VEHTYPE,35.0,220.0,185.0,,1741.899,0.0,0.0,185.0,13.602,,,0.0,1.0,,True,completed
19,DEFAULT_VEHTYPE,91.0,223.0,132.0,,1485.829,2.0,7.0,125.0,23.127,,,0.053,0.947,,True,completed
15,DEFAULT_VEHTYPE,80.0,225.0,145.0,,1491.035,0.0,0.0,145.0,8.52,,,0.0,1.0,,True,completed
20,DEFAULT_VEHTYPE,99.0,233.0,134.0,,1477.685,0.0,0.0,134.0,11.26,,,0.0,1.0,,True,completed
31,DEFAULT_VEHTYPE,139.0,238.0,99.0,,896.28,13.0,13.0,86.0,23.032,,,0.1313,0.8687,,True,completed
22,DEFAULT_VEHTYPE,105.0,239.0,134.0,,1196.674,10.0,16.0,118.0,30.322,,,0.1194,0.8806,,True,completed
24,DEFAULT_VEHTYPE,111.0,244.0,133.0,,892.288,36.0,36.0,97.0,49.052,,,0.2707,0.7293,,True,completed
32,DEFAULT_VEHTYPE,140.0,246.0,106.0,,892.579,0.0,0.0,106.0,7.37,,,0.0,1.0,,True,completed
11,DEFAULT_VEHTYPE,71.0,248.0,177.0,,1746.717,0.0,0.0,177.0,16.288,,,0.0,1.0,,True,completed
12,DEFAULT_VEHTYPE,75.0,252.0,177.0,,1489.555,0.0,0.0,177.0,11.513,,,0.0,1.0,,True,completed
43,DEFAULT_VEHTYPE,187.0,257.0,70.0,,575.046,0.0,0.0,70.0,5.733,,,0.0,1.0,,True,completed
33,DEFAULT_VEHTYPE,140.0,282.0,142.0,,1489.114,0.0,0.0,142.0,8.293,,,0.0,1.0,,True,completed
17,DEFAULT_VEHTYPE,86.0,284.0,198.0,,1775.838,0.0,0.0,198.0,14.107,,,0.0,1.0,,True,completed
35,DEFAULT_VEHTYPE,147.0,284.0,137.0,,1469.136,0.0,0.0,137.0,20.599,,,0.0,1.0,,True,completed
29,DEFAULT_VEHTYPE,119.0,291.0,172.0,,1778.59,8.0,8.0,164.0,22.02,,,0.0465,0.9535,,True,completed
44,DEFAULT_VEHTYPE,198.0,295.0,97.0,,884.52,17.0,17.0,80.0,24.82,,,0.1753,0.8247,,True,completed
49,DEFAULT_VEHTYPE,221.0,303.0,82.0,,876.723,0.0,0.0,82.0,4.722,,,0.0,1.0,,True,completed
26,DEFAULT_VEHTYPE,112.0,305.0,193.0,,1778.774,5.0,5.0,188.0,21.018,,,0.0259,0.9741,,True,completed
38,DEFAULT_VEHTYPE,170.0,305.0,135.0,,1469.981,0.0,0.0,135.0,8.087,,,0.0,1.0,,True,completed
40,DEFAULT_VEHTYPE,176.0,310.0,134.0,,1189.445,0.0,0.0,134.0,8.453,,,0.0,1.0,,True,completed
28,DEFAULT_VEHTYPE,118.0,313.0,195.0,,1778.429,18.0,18.0,177.0,33.026,,,0.0923,0.9077,,True,completed
54,DEFAULT_VEHTYPE,237.0,315.0,78.0,,847.174,0.0,0.0,78.0,6.638,,,0.0,1.0,,True,completed
9,DEFAULT_VEHTYPE,62.0,315.0,253.0,,2095.338,0.0,10.0,243.0,28.721,,,0.0395,0.9605,,True,completed
3,DEFAULT_VEHTYPE,28.0,327.0,299.0,,2388.754,23.0,26.0,273.0,53.965,,,0.087,0.913,,True,completed
18,DEFAULT_VEHTYPE,88.0,328.0,240.0,,2372.259,0.0,2.0,238.0,25.003,,,0.0083,0.9917,,True,completed
51,DEFAULT_VEHTYPE,229.0,330.0,101.0,,1176.087,0.0,0.0,101.0,6.126,,,0.0,1.0,,True,completed
42,DEFAULT_VEHTYPE,179.0,337.0,158.0,,1470.929,0.0,0.0,158.0,14.751,,,0.0,1.0,,True,completed
21,DEFAULT_VEHTYPE,102.0,338.0,236.0,,2078.384,0.0,2.0,234.0,20.468,,,0.0085,0.9915,,True,completed
27,DEFAULT_VEHTYPE,115.0,350.0,235.0,,1794.548,1.0,37.0,198.0,55.677,,,0.1574,0.8426,,True,completed
52,DEFAULT_VEHTYPE,230.0,357.0,127.0,,1191.292,0.0,0.0,127.0,7.796,,,0.0,1.0,,True,completed
34,DEFAULT_VEHTYPE,144.0,360.0,216.0,,2092.581,16.0,23.0,193.0,51.54,,,0.1065,0.8935,,True,completed
36,DEFAULT_VEHTYPE,155.0,364.0,209.0,,1793.728,5.0,33.0,176.0,55.901,,,0.1579,0.8421,,True,completed
30,DEFAULT_VEHTYPE,138.0,366.0,228.0,,2074.271,0.0,5.0,223.0,28.559,,,0.0219,0.9781,,True,completed
55,DEFAULT_VEHTYPE,258.0,367.0,109.0,,1194.321,0.0,0.0,109.0,7.354,,,0.0,1.0,,True,completed
37,DEFAULT_VEHTYPE,156.0,370.0,214.0,,2373.59,0.0,0.0,214.0,12.275,,,0.0,1.0,,True,completed
60,DEFAULT_VEHTYPE,279.0,373.0,94.0,,871.752,2.0,2.0,92.0,9.112,,,0.0213,0.9787,,True,completed
57,DEFAULT_VEHTYPE,269.0,378.0,109.0,,894.24,5.0,5.0,104.0,15.466,,,0.0459,0.9541,,True,completed
45,DEFAULT_VEHTYPE,205.0,383.0,178.0,,1747.845,1.0,1.0,177.0,16.498,,,0.0056,0.9944,,True,completed
56,DEFAULT_VEHTYPE,260.0,386.0,126.0,,1488.149,0.0,0.0,126.0,7.154,,,0.0,1.0,,True,completed
68,DEFAULT_VEHTYPE,308.0,386.0,78.0,,854.453,0.0,0.0,78.0,5.97,,,0.0,1.0,,True,completed
41,DEFAULT_VEHTYPE,177.0,388.0,211.0,,2080.666,0.0,0.0,211.0,13.401,,,0.0,1.0,,True,completed
66,DEFAULT_VEHTYPE,298.0,390.0,92.0,,889.032,0.0,0.0,92.0,6.313,,,0.0,1.0,,True,completed
64,DEFAULT_VEHTYPE,287.0,393.0,106.0,,1191.855,0.0,0.0,106.0,5.914,,,0.0,1.0,,True,completed
39,DEFAULT_VEHTYPE,174.0,395.0,221.0,,1772.589,3.0,16.0,205.0,45.252,,,0.0724,0.9276,,True,completed
53,DEFAULT_VEHTYPE,232.0,402.0,170.0,,1772.746,0.0,3.0,167.0,16.908,,,0.0176,0.9824,,True,completed
59,DEFAULT_VEHTYPE,277.0,404.0,127.0,,894.101,32.0,32.0,95.0,43.178,,,0.252,0.748,,True,completed
71,DEFAULT_VEHTYPE,325.0,412.0,87.0,,896.123,0.0,0.0,87.0,5.276,,,0.0,1.0,,True,completed
50,DEFAULT_VEHTYPE,223.0,414.0,191.0,,1738.022,0.0,19.0,172.0,36.176,,,0.0995,0.9005,,True,completed
