vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
2,DEFAULT_VEHTYPE,15.0,89.0,74.0,,870.368,0.0,0.0,74.0,4.795,,,0.0,1.0,,True,completed
6,DEFAULT_VEHTYPE,39.0,122.0,83.0,,888.671,0.0,0.0,83.0,4.262,,,0.0,1.0,,True,completed
1,DEFAULT_VEHTYPE,10.0,144.0,134.0,,1489.572,0.0,0.0,134.0,7.902,,,0.0,1.0,,True,completed
7,DEFAULT_VEHTYPE,54.0,165.0,111.0,,1190.174,5.0,5.0,106.0,15.316,,,0.045,0.955,,True,completed
8,DEFAULT_VEHTYPE,58.0,169.0,111.0,,888.285,9.0,9.0,102.0,19.23,,,0.0811,0.9189,,True,completed
25,DEFAULT_VEHTYPE,112.0,170.0,58.0,,568.094,3.0,3.0,55.0,8.858,,,0.0517,0.9483,,True,completed
13,DEFAULT_VEHTYPE,77.0,175.0,98.0,,1178.408,0.0,0.0,98.0,5.497,,,0.0,1.0,,True,completed
5,DEFAULT_VEHTYPE,37.0,181.0,144.0,,1494.844,6.0,6.0,138.0,18.991,,,0.0417,0.9583,,True,completed
0,DEFAULT_VEHTYPE,1.0,183.0,182.0,,1742.371,0.0,0.0,182.0,14.363,,,0.0,1.0,,True,completed
16,DEFAULT_VEHTYPE,85.0,194.0,109.0,,1183.914,4.0,4.0,105.0,13.499,,,0.0367,0.9633,,True,completed
24,DEFAULT_VEHTYPE,111.0,199.0,88.0,,888.247,0.0,0.0,88.0,4.444,,,0.0,1.0,,True,completed
14,DEFAULT_VEHTYPE,78.0,201.0,123.0,,1153.618,0.0,0.0,123.0,10.025,,,0.0,1.0,,True,completed
10,DEFAULT_VEHTYPE,63.0,207.0,144.0,,1475.874,0.0,0.0,144.0,9.977,,,0.0,1.0,,True,completed
23,DEFAULT_VEHTYPE,107.0,211.0,104.0,,1172.28,0.0,0.0,104.0,8.585,,,0.0,1.0,,True,completed
15,DEFAULT_VEHTYPE,80.0,225.0,145.0,,1493.202,0.0,0.0,145.0,8.323,,,0.0,1.0,,True,completed
22,DEFAULT_VEHTYPE,105.0,231.0,126.0,,1188.443,10.0,10.0,116.0,23.028,,,0.0794,0.9206,,True,completed
4,DEFAULT_VEHTYPE,35.0,235.0,200.0,,1740.638,3.0,7.0,193.0,28.763,,,0.035,0.965,,True,completed
31,DEFAULT_VEHTYPE,139.0,237.0,98.0,,891.024,14.0,14.0,84.0,22.471,,,0.1429,0.8571,,True,completed
19,DEFAULT_VEHTYPE,91.0,240.0,149.0,,1482.773,9.0,24.0,125.0,40.338,,,0.1611,0.8389,,True,completed
20,DEFAULT_VEHTYPE,99.0,242.0,143.0,,1470.531,6.0,6.0,137.0,20.55,,,0.042,0.958,,True,completed
11,DEFAULT_VEHTYPE,71.0,244.0,173.0,,1748.277,0.0,0.0,173.0,12.174,,,0.0,1.0,,True,completed
32,DEFAULT_VEHTYPE,140.0,246.0,106.0,,894.541,0.0,0.0,106.0,7.158,,,0.0,1.0,,True,completed
12,DEFAULT_VEHTYPE,75.0,253.0,178.0,,1494.372,0.0,0.0,178.0,11.981,,,0.0,1.0,,True,completed
43,DEFAULT_VEHTYPE,187.0,256.0,69.0,,568.299,0.0,0.0,69.0,5.403,,,0.0,1.0,,True,completed
