step:3600/3600, q_loss:0, rewards:-14.204442003038194, queue:1.578298611111111, delay:0.06354141235351562, throughput:1430
episode:0/200, real avg travel time:257.0027972027972
intersection:0, mean_episode_reward:-2.1008334159851074, mean_queue:3.105555534362793
intersection:1, mean_episode_reward:-1.5663882493972778, mean_queue:3.6500000953674316
intersection:2, mean_episode_reward:-0.6763888597488403, mean_queue:3.0527777671813965
intersection:3, mean_episode_reward:-2.2058322429656982, mean_queue:2.7083332538604736
intersection:4, mean_episode_reward:-0.887499988079071, mean_queue:3.288888931274414
intersection:5, mean_episode_reward:0.2805553376674652, mean_queue:2.7722222805023193
intersection:6, mean_episode_reward:-0.11000002920627594, mean_queue:2.6194443702697754
intersection:7, mean_episode_reward:-1.0799999237060547, mean_queue:2.799999952316284
intersection:8, mean_episode_reward:-1.6961110830307007, mean_queue:3.844444513320923
intersection:9, mean_episode_reward:-0.7733332514762878, mean_queue:3.5722222328186035
intersection:10, mean_episode_reward:0.47222229838371277, mean_queue:3.0527777671813965
intersection:11, mean_episode_reward:-0.4355555772781372, mean_queue:3.1861112117767334
intersection:12, mean_episode_reward:-1.7125002145767212, mean_queue:2.8805556297302246
intersection:13, mean_episode_reward:-1.976942777633667, mean_queue:3.844444513320923
intersection:14, mean_episode_reward:-0.9911113381385803, mean_queue:3.3416666984558105
intersection:15, mean_episode_reward:-1.7627781629562378, mean_queue:2.7861111164093018
intersection:16, mean_episode_reward:0.08972222357988358, mean_queue:0.0
intersection:17, mean_episode_reward:0.09666667878627777, mean_queue:0.0
intersection:18, mean_episode_reward:0.1900000274181366, mean_queue:0.0
intersection:19, mean_episode_reward:0.31999996304512024, mean_queue:0.0
intersection:20, mean_episode_reward:0.41277775168418884, mean_queue:0.0
intersection:21, mean_episode_reward:0.30694445967674255, mean_queue:0.0
intersection:22, mean_episode_reward:0.06611111015081406, mean_queue:0.0
intersection:23, mean_episode_reward:0.05222221836447716, mean_queue:0.0
intersection:24, mean_episode_reward:0.10555555671453476, mean_queue:0.0
intersection:25, mean_episode_reward:0.15555556118488312, mean_queue:0.0
intersection:26, mean_episode_reward:0.2199999988079071, mean_queue:0.0
intersection:27, mean_episode_reward:0.4144443869590759, mean_queue:0.0
intersection:28, mean_episode_reward:0.17638887465000153, mean_queue:0.0
intersection:29, mean_episode_reward:0.1780555695295334, mean_queue:0.0
intersection:30, mean_episode_reward:0.1619444489479065, mean_queue:0.0
intersection:31, mean_episode_reward:0.0716666653752327, mean_queue:0.0
Test step:0/200, travel time :858.4853932584269, rewards:-227.36030815972222, queue:14.069184027777778, delay:0.160925473107232, throughput:445
step:3600/3600, q_loss:0, rewards:-14.772498914930555, queue:1.66171875, delay:0.0655295795864529, throughput:1425
episode:1/200, real avg travel time:262.53754385964913
intersection:0, mean_episode_reward:-2.2049999237060547, mean_queue:3.3138887882232666
intersection:1, mean_episode_reward:-0.6299996972084045, mean_queue:3.1472222805023193
intersection:2, mean_episode_reward:-2.0888895988464355, mean_queue:4.4083333015441895
intersection:3, mean_episode_reward:-1.9658324718475342, mean_queue:2.741666555404663
intersection:4, mean_episode_reward:-1.1430554389953613, mean_queue:3.325000047683716
intersection:5, mean_episode_reward:-0.6911112666130066, mean_queue:3.3583333492279053
intersection:6, mean_episode_reward:0.32194462418556213, mean_queue:3.01111102104187
intersection:7, mean_episode_reward:-1.1036107540130615, mean_queue:3.194444417953491
intersection:8, mean_episode_reward:-0.8213887810707092, mean_queue:3.2750000953674316
intersection:9, mean_episode_reward:-0.6949998736381531, mean_queue:4.2833333015441895
intersection:10, mean_episode_reward:-0.4055554270744324, mean_queue:3.3499999046325684
intersection:11, mean_episode_reward:-0.8219445943832397, mean_queue:3.1972222328186035
intersection:12, mean_episode_reward:-2.492499828338623, mean_queue:3.51111102104187
intersection:13, mean_episode_reward:-0.8688888549804688, mean_queue:3.7666666507720947
intersection:14, mean_episode_reward:-0.44138890504837036, mean_queue:2.672222137451172
intersection:15, mean_episode_reward:-2.015277624130249, mean_queue:2.6194443702697754
intersection:16, mean_episode_reward:0.08416666090488434, mean_queue:0.0
intersection:17, mean_episode_reward:0.1183333471417427, mean_queue:0.0
intersection:18, mean_episode_reward:0.22805555164813995, mean_queue:0.0
intersection:19, mean_episode_reward:0.33166661858558655, mean_queue:0.0
intersection:20, mean_episode_reward:0.5780555009841919, mean_queue:0.0
intersection:21, mean_episode_reward:0.3036111295223236, mean_queue:0.0
intersection:22, mean_episode_reward:0.05111110955476761, mean_queue:0.0
intersection:23, mean_episode_reward:0.029722224920988083, mean_queue:0.0
intersection:24, mean_episode_reward:0.1205555722117424, mean_queue:0.0
intersection:25, mean_episode_reward:0.15638889372348785, mean_queue:0.0
intersection:26, mean_episode_reward:0.28138890862464905, mean_queue:0.0
intersection:27, mean_episode_reward:0.340277761220932, mean_queue:0.0
intersection:28, mean_episode_reward:0.17861111462116241, mean_queue:0.0
intersection:29, mean_episode_reward:0.19583335518836975, mean_queue:0.0
intersection:30, mean_episode_reward:0.22083331644535065, mean_queue:0.0
intersection:31, mean_episode_reward:0.0763888880610466, mean_queue:0.0
Test step:1/200, travel time :857.4298440979956, rewards:-229.6197265625, queue:14.046440972222221, delay:0.16113164689805773, throughput:449
step:3600/3600, q_loss:1.2403535842895508, rewards:-18.85166558159722, queue:1.9613715277777777, delay:0.07690427038404676, throughput:1349
episode:2/200, real avg travel time:265.8658265381764
intersection:0, mean_episode_reward:-2.836388111114502, mean_queue:4.377777576446533
intersection:1, mean_episode_reward:-1.1775003671646118, mean_queue:4.019444465637207
intersection:2, mean_episode_reward:-1.1227779388427734, mean_queue:4.0527777671813965
intersection:3, mean_episode_reward:-2.812777519226074, mean_queue:4.166666507720947
intersection:4, mean_episode_reward:-2.4272232055664062, mean_queue:4.94444465637207
intersection:5, mean_episode_reward:0.03500007838010788, mean_queue:2.9000000953674316
intersection:6, mean_episode_reward:0.2838887870311737, mean_queue:3.366666555404663
intersection:7, mean_episode_reward:-2.138611316680908, mean_queue:4.252777576446533
intersection:8, mean_episode_reward:-0.1455555409193039, mean_queue:3.672222137451172
intersection:9, mean_episode_reward:-0.062222231179475784, mean_queue:3.616666555404663
intersection:10, mean_episode_reward:-0.647777795791626, mean_queue:3.788888931274414
intersection:11, mean_episode_reward:-0.5800001621246338, mean_queue:3.3388888835906982
intersection:12, mean_episode_reward:-3.1222214698791504, mean_queue:4.166666507720947
intersection:13, mean_episode_reward:-1.40055513381958, mean_queue:3.913888931274414
intersection:14, mean_episode_reward:-2.9669439792633057, mean_queue:4.741666793823242
intersection:15, mean_episode_reward:-1.8619440793991089, mean_queue:3.444444417953491
intersection:16, mean_episode_reward:0.0416666641831398, mean_queue:0.0
intersection:17, mean_episode_reward:0.09138889610767365, mean_queue:0.0
intersection:18, mean_episode_reward:0.15777777135372162, mean_queue:0.0
intersection:19, mean_episode_reward:0.25055551528930664, mean_queue:0.0
intersection:20, mean_episode_reward:0.9519442915916443, mean_queue:0.0
intersection:21, mean_episode_reward:0.3633333444595337, mean_queue:0.0
intersection:22, mean_episode_reward:0.09083333611488342, mean_queue:0.0
intersection:23, mean_episode_reward:0.03638888895511627, mean_queue:0.0
intersection:24, mean_episode_reward:0.1644444465637207, mean_queue:0.0
intersection:25, mean_episode_reward:0.3152777850627899, mean_queue:0.0
intersection:26, mean_episode_reward:0.33194443583488464, mean_queue:0.0
intersection:27, mean_episode_reward:0.4636111259460449, mean_queue:0.0
intersection:28, mean_episode_reward:0.2825000286102295, mean_queue:0.0
intersection:29, mean_episode_reward:0.31388887763023376, mean_queue:0.0
intersection:30, mean_episode_reward:0.2013888955116272, mean_queue:0.0
intersection:31, mean_episode_reward:0.07500000298023224, mean_queue:0.0
Test step:2/200, travel time :813.7986270022883, rewards:-197.269140625, queue:14.609375, delay:0.1672255833943685, throughput:437
step:3600/3600, q_loss:2.890089511871338, rewards:-71.50025499131945, queue:9.283333333333333, delay:0.14582062827216255, throughput:1107
episode:3/200, real avg travel time:768.3541102077687
intersection:0, mean_episode_reward:-9.291387557983398, mean_queue:20.84166717529297
intersection:1, mean_episode_reward:-10.746665000915527, mean_queue:25.48055648803711
intersection:2, mean_episode_reward:-16.935832977294922, mean_queue:27.344444274902344
intersection:3, mean_episode_reward:-7.357497692108154, mean_queue:16.066667556762695
intersection:4, mean_episode_reward:-1.3325005769729614, mean_queue:10.208333015441895
intersection:5, mean_episode_reward:-9.23277759552002, mean_queue:19.755556106567383
intersection:6, mean_episode_reward:2.0102782249450684, mean_queue:14.69444465637207
intersection:7, mean_episode_reward:1.8130550384521484, mean_queue:14.566666603088379
intersection:8, mean_episode_reward:-7.612771034240723, mean_queue:15.594444274902344
intersection:9, mean_episode_reward:3.3405561447143555, mean_queue:11.88888931274414
intersection:10, mean_episode_reward:-3.7375004291534424, mean_queue:18.697221755981445
intersection:11, mean_episode_reward:4.125, mean_queue:17.28333282470703
intersection:12, mean_episode_reward:-11.072775840759277, mean_queue:22.26388931274414
intersection:13, mean_episode_reward:-6.738332748413086, mean_queue:21.933332443237305
intersection:14, mean_episode_reward:0.657500147819519, mean_queue:17.502777099609375
intersection:15, mean_episode_reward:-15.35055160522461, mean_queue:22.94444465637207
intersection:16, mean_episode_reward:0.5152777433395386, mean_queue:0.0
intersection:17, mean_episode_reward:1.233610987663269, mean_queue:0.0
intersection:18, mean_episode_reward:0.3075000047683716, mean_queue:0.0
intersection:19, mean_episode_reward:1.3730555772781372, mean_queue:0.0
intersection:20, mean_episode_reward:2.423888921737671, mean_queue:0.0
intersection:21, mean_episode_reward:1.5427778959274292, mean_queue:0.0
intersection:22, mean_episode_reward:0.7705554366111755, mean_queue:0.0
intersection:23, mean_episode_reward:0.2502777874469757, mean_queue:0.0
intersection:24, mean_episode_reward:0.8561110496520996, mean_queue:0.0
intersection:25, mean_episode_reward:0.6127776503562927, mean_queue:0.0
intersection:26, mean_episode_reward:1.275833249092102, mean_queue:0.0
intersection:27, mean_episode_reward:1.7575000524520874, mean_queue:0.0
intersection:28, mean_episode_reward:0.846666693687439, mean_queue:0.0
intersection:29, mean_episode_reward:0.268888920545578, mean_queue:0.0
intersection:30, mean_episode_reward:1.1849998235702515, mean_queue:0.0
intersection:31, mean_episode_reward:0.7422221899032593, mean_queue:0.0
Test step:3/200, travel time :764.2463465553236, rewards:-186.10750868055555, queue:13.884461805555556, delay:0.1555718315972222, throughput:479
step:3600/3600, q_loss:12.093329429626465, rewards:-64.35166015625, queue:9.233420138888889, delay:0.14616222381591798, throughput:1103
episode:4/200, real avg travel time:708.3227561196736
intersection:0, mean_episode_reward:-11.814726829528809, mean_queue:18.322221755981445
intersection:1, mean_episode_reward:-3.447774887084961, mean_queue:13.30555534362793
intersection:2, mean_episode_reward:-14.00694751739502, mean_queue:29.41666603088379
intersection:3, mean_episode_reward:0.5355555415153503, mean_queue:16.502777099609375
intersection:4, mean_episode_reward:-3.6483330726623535, mean_queue:7.6972222328186035
intersection:5, mean_episode_reward:8.08305549621582, mean_queue:9.966666221618652
intersection:6, mean_episode_reward:-9.355279922485352, mean_queue:30.30555534362793
intersection:7, mean_episode_reward:0.4558338224887848, mean_queue:20.34722137451172
intersection:8, mean_episode_reward:-10.633054733276367, mean_queue:18.136110305786133
intersection:9, mean_episode_reward:11.434165954589844, mean_queue:13.183333396911621
intersection:10, mean_episode_reward:-12.075834274291992, mean_queue:18.15277862548828
intersection:11, mean_episode_reward:-1.2205548286437988, mean_queue:11.597222328186035
intersection:12, mean_episode_reward:-10.406108856201172, mean_queue:16.297222137451172
intersection:13, mean_episode_reward:-14.430554389953613, mean_queue:28.54166603088379
intersection:14, mean_episode_reward:4.738611698150635, mean_queue:21.09166717529297
intersection:15, mean_episode_reward:-16.490827560424805, mean_queue:22.60555648803711
intersection:16, mean_episode_reward:0.45249998569488525, mean_queue:0.0
intersection:17, mean_episode_reward:0.7611111402511597, mean_queue:0.0
intersection:18, mean_episode_reward:1.2455556392669678, mean_queue:0.0
intersection:19, mean_episode_reward:0.4658333361148834, mean_queue:0.0
intersection:20, mean_episode_reward:1.099166750907898, mean_queue:0.0
intersection:21, mean_episode_reward:1.036388874053955, mean_queue:0.0
intersection:22, mean_episode_reward:0.4647221863269806, mean_queue:0.0
intersection:23, mean_episode_reward:0.02388888970017433, mean_queue:0.0
intersection:24, mean_episode_reward:0.5488888621330261, mean_queue:0.0
intersection:25, mean_episode_reward:0.9899998903274536, mean_queue:0.0
intersection:26, mean_episode_reward:4.888888359069824, mean_queue:0.0
intersection:27, mean_episode_reward:1.1861109733581543, mean_queue:0.0
intersection:28, mean_episode_reward:1.513055443763733, mean_queue:0.0
intersection:29, mean_episode_reward:0.320000022649765, mean_queue:0.0
intersection:30, mean_episode_reward:2.8461110591888428, mean_queue:0.0
intersection:31, mean_episode_reward:0.08888888359069824, mean_queue:0.0
Test step:4/200, travel time :652.3566878980891, rewards:-123.92582465277778, queue:12.192708333333334, delay:0.15849217308892144, throughput:628
step:3600/3600, q_loss:22.03164291381836, rewards:-37.884434678819446, queue:7.329340277777778, delay:0.13993547227647568, throughput:1180
episode:5/200, real avg travel time:605.4177966101695
intersection:0, mean_episode_reward:-5.720278739929199, mean_queue:11.577777862548828
intersection:1, mean_episode_reward:-1.932499885559082, mean_queue:13.597222328186035
intersection:2, mean_episode_reward:-15.82055950164795, mean_queue:25.405555725097656
intersection:3, mean_episode_reward:-1.3219443559646606, mean_queue:10.594444274902344
intersection:4, mean_episode_reward:2.0219452381134033, mean_queue:13.875
intersection:5, mean_episode_reward:-3.092499017715454, mean_queue:11.202777862548828
intersection:6, mean_episode_reward:1.3513894081115723, mean_queue:10.683333396911621
intersection:7, mean_episode_reward:5.649168968200684, mean_queue:7.599999904632568
intersection:8, mean_episode_reward:-8.396111488342285, mean_queue:17.219444274902344
intersection:9, mean_episode_reward:8.33055591583252, mean_queue:8.108333587646484
intersection:10, mean_episode_reward:3.5002777576446533, mean_queue:10.072221755981445
intersection:11, mean_episode_reward:-12.7091646194458, mean_queue:20.744443893432617
