step:3600/3600, q_loss:0, rewards:-14.708888075086806, queue:1.6447916666666667, delay:0.06734322971767849, throughput:1427
episode:0/200, real avg travel time:274.04204625087596
intersection:0, mean_episode_reward:-2.2858335971832275, mean_queue:3.4583332538604736
intersection:1, mean_episode_reward:-1.3533329963684082, mean_queue:3.6666667461395264
intersection:2, mean_episode_reward:-0.8202776312828064, mean_queue:3.366666555404663
intersection:3, mean_episode_reward:-2.4694437980651855, mean_queue:2.9166667461395264
intersection:4, mean_episode_reward:-0.5388891100883484, mean_queue:3.1583333015441895
intersection:5, mean_episode_reward:-0.30694422125816345, mean_queue:2.9277777671813965
intersection:6, mean_episode_reward:-0.05694440379738808, mean_queue:2.700000047683716
intersection:7, mean_episode_reward:-0.7683331966400146, mean_queue:2.672222137451172
intersection:8, mean_episode_reward:-1.747499942779541, mean_queue:3.9777777194976807
intersection:9, mean_episode_reward:-1.0524998903274536, mean_queue:3.9361112117767334
intersection:10, mean_episode_reward:0.9613886475563049, mean_queue:3.222222328186035
intersection:11, mean_episode_reward:-1.0830553770065308, mean_queue:3.7138888835906982
intersection:12, mean_episode_reward:-1.7122228145599365, mean_queue:2.7750000953674316
intersection:13, mean_episode_reward:-2.1916658878326416, mean_queue:3.9972221851348877
intersection:14, mean_episode_reward:-1.074167013168335, mean_queue:3.5444445610046387
intersection:15, mean_episode_reward:-1.380833387374878, mean_queue:2.5999999046325684
intersection:16, mean_episode_reward:0.08361110836267471, mean_queue:0.0
intersection:17, mean_episode_reward:0.15555556118488312, mean_queue:0.0
intersection:18, mean_episode_reward:0.2016666680574417, mean_queue:0.0
intersection:19, mean_episode_reward:0.3127777874469757, mean_queue:0.0
intersection:20, mean_episode_reward:0.40805554389953613, mean_queue:0.0
intersection:21, mean_episode_reward:0.31166669726371765, mean_queue:0.0
intersection:22, mean_episode_reward:0.07444445043802261, mean_queue:0.0
intersection:23, mean_episode_reward:0.04916666820645332, mean_queue:0.0
intersection:24, mean_episode_reward:0.10833333432674408, mean_queue:0.0
intersection:25, mean_episode_reward:0.14444445073604584, mean_queue:0.0
intersection:26, mean_episode_reward:0.210833340883255, mean_queue:0.0
intersection:27, mean_episode_reward:0.48916664719581604, mean_queue:0.0
intersection:28, mean_episode_reward:0.17444443702697754, mean_queue:0.0
intersection:29, mean_episode_reward:0.19555553793907166, mean_queue:0.0
intersection:30, mean_episode_reward:0.18416665494441986, mean_queue:0.0
intersection:31, mean_episode_reward:0.06777778267860413, mean_queue:0.0
