step:3600/3600, q_loss:0, rewards:-14.708888075086806, queue:1.6447916666666667, delay:0.06734322971767849, throughput:1427
episode:0/200, real avg travel time:274.04204625087596
intersection:0, mean_episode_reward:-2.2858335971832275, mean_queue:3.4583332538604736
intersection:1, mean_episode_reward:-1.3533329963684082, mean_queue:3.6666667461395264
intersection:2, mean_episode_reward:-0.8202776312828064, mean_queue:3.366666555404663
intersection:3, mean_episode_reward:-2.4694437980651855, mean_queue:2.9166667461395264
intersection:4, mean_episode_reward:-0.5388891100883484, mean_queue:3.1583333015441895
intersection:5, mean_episode_reward:-0.30694422125816345, mean_queue:2.9277777671813965
intersection:6, mean_episode_reward:-0.05694440379738808, mean_queue:2.700000047683716
intersection:7, mean_episode_reward:-0.7683331966400146, mean_queue:2.672222137451172
intersection:8, mean_episode_reward:-1.747499942779541, mean_queue:3.9777777194976807
intersection:9, mean_episode_reward:-1.0524998903274536, mean_queue:3.9361112117767334
intersection:10, mean_episode_reward:0.9613886475563049, mean_queue:3.222222328186035
intersection:11, mean_episode_reward:-1.0830553770065308, mean_queue:3.7138888835906982
intersection:12, mean_episode_reward:-1.7122228145599365, mean_queue:2.7750000953674316
intersection:13, mean_episode_reward:-2.1916658878326416, mean_queue:3.9972221851348877
intersection:14, mean_episode_reward:-1.074167013168335, mean_queue:3.5444445610046387
intersection:15, mean_episode_reward:-1.380833387374878, mean_queue:2.5999999046325684
intersection:16, mean_episode_reward:0.08361110836267471, mean_queue:0.0
intersection:17, mean_episode_reward:0.15555556118488312, mean_queue:0.0
intersection:18, mean_episode_reward:0.2016666680574417, mean_queue:0.0
intersection:19, mean_episode_reward:0.3127777874469757, mean_queue:0.0
intersection:20, mean_episode_reward:0.40805554389953613, mean_queue:0.0
intersection:21, mean_episode_reward:0.31166669726371765, mean_queue:0.0
intersection:22, mean_episode_reward:0.07444445043802261, mean_queue:0.0
intersection:23, mean_episode_reward:0.04916666820645332, mean_queue:0.0
intersection:24, mean_episode_reward:0.10833333432674408, mean_queue:0.0
intersection:25, mean_episode_reward:0.14444445073604584, mean_queue:0.0
intersection:26, mean_episode_reward:0.210833340883255, mean_queue:0.0
intersection:27, mean_episode_reward:0.48916664719581604, mean_queue:0.0
intersection:28, mean_episode_reward:0.17444443702697754, mean_queue:0.0
intersection:29, mean_episode_reward:0.19555553793907166, mean_queue:0.0
intersection:30, mean_episode_reward:0.18416665494441986, mean_queue:0.0
intersection:31, mean_episode_reward:0.06777778267860413, mean_queue:0.0
Test step:0/200, travel time :968.4829545454545, rewards:-266.8375, queue:15.723177083333333, delay:0.17491965823703343, throughput:352
step:3600/3600, q_loss:0, rewards:-15.39999728732639, queue:1.7159722222222222, delay:0.06845281918843588, throughput:1421
episode:1/200, real avg travel time:278.1660802251935
intersection:0, mean_episode_reward:-2.4422223567962646, mean_queue:3.527777671813965
intersection:1, mean_episode_reward:-0.6586112380027771, mean_queue:3.405555486679077
intersection:2, mean_episode_reward:-1.9338879585266113, mean_queue:4.311110973358154
intersection:3, mean_episode_reward:-2.0683326721191406, mean_queue:2.883333444595337
intersection:4, mean_episode_reward:-0.9633331298828125, mean_queue:3.394444465637207
intersection:5, mean_episode_reward:-0.9652776718139648, mean_queue:3.555555582046509
intersection:6, mean_episode_reward:-0.1513887494802475, mean_queue:3.222222328186035
intersection:7, mean_episode_reward:-1.1486108303070068, mean_queue:3.2333333492279053
intersection:8, mean_episode_reward:-0.8533331155776978, mean_queue:3.5250000953674316
intersection:9, mean_episode_reward:-1.0627774000167847, mean_queue:4.80555534362793
intersection:10, mean_episode_reward:-0.5147224068641663, mean_queue:3.6972222328186035
intersection:11, mean_episode_reward:-0.68666672706604, mean_queue:3.11388897895813
intersection:12, mean_episode_reward:-2.3697221279144287, mean_queue:3.5888888835906982
intersection:13, mean_episode_reward:-0.6574996709823608, mean_queue:3.5999999046325684
intersection:14, mean_episode_reward:-0.203055277466774, mean_queue:2.51111102104187
intersection:15, mean_episode_reward:-2.139443874359131, mean_queue:2.5361111164093018
intersection:16, mean_episode_reward:0.11555555462837219, mean_queue:0.0
intersection:17, mean_episode_reward:0.1391666680574417, mean_queue:0.0
intersection:18, mean_episode_reward:0.2222221940755844, mean_queue:0.0
intersection:19, mean_episode_reward:0.35583335161209106, mean_queue:0.0
intersection:20, mean_episode_reward:0.5963888168334961, mean_queue:0.0
intersection:21, mean_episode_reward:0.34583336114883423, mean_queue:0.0
intersection:22, mean_episode_reward:0.059166666120290756, mean_queue:0.0
intersection:23, mean_episode_reward:0.054722223430871964, mean_queue:0.0
intersection:24, mean_episode_reward:0.12472223490476608, mean_queue:0.0
intersection:25, mean_episode_reward:0.14861111342906952, mean_queue:0.0
intersection:26, mean_episode_reward:0.2758333384990692, mean_queue:0.0
intersection:27, mean_episode_reward:0.3261111378669739, mean_queue:0.0
intersection:28, mean_episode_reward:0.16833332180976868, mean_queue:0.0
intersection:29, mean_episode_reward:0.1994444578886032, mean_queue:0.0
intersection:30, mean_episode_reward:0.2105555385351181, mean_queue:0.0
intersection:31, mean_episode_reward:0.0763888955116272, mean_queue:0.0
Test step:1/200, travel time :968.4829545454545, rewards:-266.8375, queue:15.723177083333333, delay:0.17491965823703343, throughput:352
