vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
7,pkw,21.0,82.0,61.0,,581.413,0.0,0.0,61.0,7.672,,,0.0,1.0,,True,completed
6,pkw,20.0,102.0,82.0,,830.29,0.0,0.0,82.0,5.519,,,0.0,1.0,,True,completed
2,pkw,5.0,116.0,111.0,,1160.315,0.0,0.0,111.0,5.279,,,0.0,1.0,,True,completed
1,pkw,2.0,129.0,127.0,,1166.736,10.0,10.0,117.0,20.992,,,0.0787,0.9213,,True,completed
4,pkw,12.0,131.0,119.0,,1135.419,0.0,0.0,119.0,7.506,,,0.0,1.0,,True,completed
10,pkw,43.0,132.0,89.0,,875.998,0.0,0.0,89.0,9.159,,,0.0,1.0,,True,completed
0,pkw,2.0,152.0,150.0,,1428.351,0.0,0.0,150.0,12.254,,,0.0,1.0,,True,completed
13,pkw,65.0,159.0,94.0,,853.689,5.0,5.0,89.0,15.887,,,0.0532,0.9468,,True,completed
8,pkw,34.0,161.0,127.0,,1163.71,0.0,0.0,127.0,6.831,,,0.0,1.0,,True,completed
5,pkw,20.0,165.0,145.0,,1461.636,2.0,2.0,143.0,12.131,,,0.0138,0.9862,,True,completed
14,pkw,74.0,174.0,100.0,,875.732,6.0,6.0,94.0,14.769,,,0.06,0.94,,True,completed
15,pkw,82.0,202.0,120.0,,1151.631,1.0,1.0,119.0,13.615,,,0.0083,0.9917,,True,completed
24,pkw,117.0,203.0,86.0,,854.893,0.0,0.0,86.0,5.298,,,0.0,1.0,,True,completed
9,pkw,39.0,205.0,166.0,,1440.03,0.0,0.0,166.0,10.797,,,0.0,1.0,,True,completed
18,pkw,98.0,209.0,111.0,,1135.572,0.0,0.0,111.0,7.045,,,0.0,1.0,,True,completed
23,pkw,110.0,222.0,112.0,,1177.407,0.0,0.0,112.0,5.032,,,0.0,1.0,,True,completed
16,pkw,84.0,226.0,142.0,,1465.468,0.0,0.0,142.0,8.775,,,0.0,1.0,,True,completed
25,pkw,123.0,235.0,112.0,,1138.043,0.0,0.0,112.0,7.869,,,0.0,1.0,,True,completed
29,pkw,153.0,236.0,83.0,,859.246,0.0,0.0,83.0,4.306,,,0.0,1.0,,True,completed
3,pkw,9.0,239.0,230.0,,1740.915,2.0,30.0,200.0,50.059,,,0.1304,0.8696,,True,completed
35,pkw,183.0,242.0,59.0,,564.156,0.0,0.0,59.0,7.225,,,0.0,1.0,,True,completed
19,pkw,100.0,249.0,149.0,,1442.719,5.0,5.0,144.0,17.72,,,0.0336,0.9664,,True,completed
11,pkw,59.0,257.0,198.0,,2054.051,0.0,0.0,198.0,10.012,,,0.0,1.0,,True,completed
21,pkw,103.0,271.0,168.0,,1469.145,0.0,3.0,165.0,15.234,,,0.0179,0.9821,,True,completed
22,pkw,106.0,273.0,167.0,,1729.032,0.0,0.0,167.0,9.22,,,0.0,1.0,,True,completed
39,pkw,192.0,274.0,82.0,,562.624,19.0,19.0,63.0,25.733,,,0.2317,0.7683,,True,completed
12,pkw,65.0,277.0,212.0,,1707.974,0.0,2.0,210.0,20.248,,,0.0094,0.9906,,True,completed
17,pkw,85.0,282.0,197.0,,1741.615,0.0,0.0,197.0,15.636,,,0.0,1.0,,True,completed
28,pkw,152.0,282.0,130.0,,1177.026,7.0,7.0,123.0,22.866,,,0.0538,0.9462,,True,completed
20,pkw,101.0,291.0,190.0,,1752.015,12.0,12.0,178.0,30.925,,,0.0632,0.9368,,True,completed
30,pkw,165.0,294.0,129.0,,1180.188,4.0,4.0,125.0,15.292,,,0.031,0.969,,True,completed
40,pkw,196.0,294.0,98.0,,856.689,0.0,0.0,98.0,6.596,,,0.0,1.0,,True,completed
37,pkw,188.0,308.0,120.0,,1164.628,4.0,4.0,116.0,13.755,,,0.0333,0.9667,,True,completed
27,pkw,144.0,316.0,172.0,,1440.453,3.0,8.0,164.0,27.169,,,0.0465,0.9535,,True,completed
45,pkw,224.0,321.0,97.0,,874.051,8.0,8.0,89.0,16.565,,,0.0825,0.9175,,True,completed
26,pkw,129.0,323.0,194.0,,1709.42,8.0,12.0,182.0,27.824,,,0.0619,0.9381,,True,completed
31,pkw,169.0,338.0,169.0,,1439.762,13.0,19.0,150.0,37.727,,,0.1124,0.8876,,True,completed
32,pkw,175.0,338.0,163.0,,1167.517,18.0,18.0,145.0,33.632,,,0.1104,0.8896,,True,completed
33,pkw,181.0,338.0,157.0,,1462.735,6.0,6.0,151.0,23.836,,,0.0382,0.9618,,True,completed
41,pkw,202.0,349.0,147.0,,1438.502,0.0,0.0,147.0,9.174,,,0.0,1.0,,True,completed
44,pkw,223.0,363.0,140.0,,1467.412,0.0,0.0,140.0,6.588,,,0.0,1.0,,True,completed
56,pkw,276.0,370.0,94.0,,880.708,6.0,6.0,88.0,13.736,,,0.0638,0.9362,,True,completed
54,pkw,269.0,380.0,111.0,,1144.578,0.0,0.0,111.0,5.946,,,0.0,1.0,,True,completed
49,pkw,245.0,383.0,138.0,,1445.076,0.0,0.0,138.0,6.603,,,0.0,1.0,,True,completed
42,pkw,209.0,384.0,175.0,,1459.799,17.0,17.0,158.0,33.341,,,0.0971,0.9029,,True,completed
52,pkw,260.0,385.0,125.0,,1161.117,0.0,0.0,125.0,8.555,,,0.0,1.0,,True,completed
