vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
11,car,70.0,175.0,105.0,,865.991,14.0,14.0,91.0,25.363,,,0.1333,0.8667,,True,completed
1,car,5.0,196.0,191.0,,1737.566,0.0,17.0,174.0,32.911,,,0.089,0.911,,True,completed
5,truck,20.0,202.0,182.0,,1169.974,17.0,24.0,158.0,40.547,,,0.1319,0.8681,,True,completed
13,car,75.0,211.0,136.0,,1447.548,0.0,0.0,136.0,4.116,,,0.0,1.0,,True,completed
21,car,117.0,211.0,94.0,,860.046,0.0,0.0,94.0,3.661,,,0.0,1.0,,True,completed
22,car,123.0,218.0,95.0,,842.125,7.0,7.0,88.0,8.913,,,0.0737,0.9263,,True,completed
3,car,9.0,218.0,209.0,,1734.096,0.0,9.0,200.0,29.573,,,0.0431,0.9569,,True,completed
14,car,82.0,226.0,144.0,,1146.034,5.0,21.0,123.0,32.366,,,0.1458,0.8542,,True,completed
7,car,21.0,231.0,210.0,,1464.342,49.0,51.0,159.0,67.162,,,0.2429,0.7571,,True,completed
36,car,181.0,235.0,54.0,,575.988,0.0,0.0,54.0,1.161,,,0.0,1.0,,True,completed
4,car,12.0,237.0,225.0,,1464.162,65.0,70.0,155.0,82.148,,,0.3111,0.6889,,True,completed
12,car,74.0,240.0,166.0,,882.758,39.0,52.0,114.0,67.52,,,0.3133,0.6867,,True,completed
0,truck,2.0,244.0,242.0,,1411.584,0.0,58.0,184.0,70.757,,,0.2397,0.7603,,True,completed
6,car,20.0,244.0,224.0,,1709.487,0.0,43.0,181.0,60.186,,,0.192,0.808,,True,completed
24,car,129.0,256.0,127.0,,870.407,26.0,26.0,101.0,45.233,,,0.2047,0.7953,,True,completed
41,car,192.0,256.0,64.0,,567.885,0.0,0.0,64.0,9.426,,,0.0,1.0,,True,completed
17,car,100.0,257.0,157.0,,1449.399,0.0,0.0,157.0,6.467,,,0.0,1.0,,True,completed
39,car,191.0,279.0,88.0,,827.682,0.0,0.0,88.0,4.887,,,0.0,1.0,,True,completed
9,car,54.0,289.0,235.0,,1179.892,62.0,90.0,145.0,108.304,,,0.383,0.617,,True,completed
16,car,98.0,297.0,199.0,,1424.79,5.0,36.0,163.0,69.106,,,0.1809,0.8191,,True,completed
26,car,144.0,305.0,161.0,,1440.59,6.0,8.0,153.0,21.178,,,0.0497,0.9503,,True,completed
33,car,171.0,309.0,138.0,,1166.835,2.0,13.0,125.0,31.849,,,0.0942,0.9058,,True,completed
37,car,182.0,309.0,127.0,,1160.196,10.0,10.0,117.0,21.57,,,0.0787,0.9213,,True,completed
34,car,173.0,313.0,140.0,,1429.369,0.0,0.0,140.0,9.574,,,0.0,1.0,,True,completed
27,car,153.0,318.0,165.0,,1438.392,3.0,3.0,162.0,19.978,,,0.0182,0.9818,,True,completed
35,truck,175.0,322.0,147.0,,860.508,27.0,27.0,120.0,42.698,,,0.1837,0.8163,,True,completed
47,car,224.0,325.0,101.0,,876.615,10.0,10.0,91.0,21.104,,,0.099,0.901,,True,completed
8,car,43.0,325.0,282.0,,2031.033,0.0,40.0,242.0,71.898,,,0.1418,0.8582,,True,completed
2,car,8.0,333.0,325.0,,1446.281,27.0,165.0,160.0,193.38,,,0.5077,0.4923,,True,completed
19,car,103.0,336.0,233.0,,1471.748,65.0,71.0,162.0,99.357,,,0.3047,0.6953,,True,completed
51,car,244.0,352.0,108.0,,1109.361,0.0,0.0,108.0,5.547,,,0.0,1.0,,True,completed
20,truck,106.0,357.0,251.0,,1726.548,0.0,27.0,224.0,42.395,,,0.1076,0.8924,,True,completed
29,car,158.0,366.0,208.0,,1165.51,54.0,74.0,134.0,102.103,,,0.3558,0.6442,,True,completed
23,car,124.0,370.0,246.0,,2028.914,0.0,30.0,216.0,61.386,,,0.122,0.878,,True,completed
28,car,153.0,374.0,221.0,,1459.311,37.0,59.0,162.0,78.932,,,0.267,0.733,,True,completed
38,car,183.0,374.0,191.0,,1690.115,4.0,7.0,184.0,36.448,,,0.0366,0.9634,,True,completed
42,car,196.0,375.0,179.0,,1156.096,0.0,44.0,135.0,66.376,,,0.2458,0.7542,,True,completed
43,car,202.0,387.0,185.0,,1445.526,0.0,11.0,174.0,25.585,,,0.0595,0.9405,,True,completed
58,car,273.0,392.0,119.0,,1154.618,2.0,2.0,117.0,13.969,,,0.0168,0.9832,,True,completed
18,car,101.0,395.0,294.0,,1748.482,32.0,106.0,188.0,134.862,,,0.3605,0.6395,,True,completed
78,car,343.0,397.0,54.0,,555.818,0.0,0.0,54.0,2.576,,,0.0,1.0,,True,completed
45,truck,218.0,403.0,185.0,,1160.903,16.0,22.0,163.0,37.225,,,0.1189,0.8811,,True,completed
49,car,240.0,406.0,166.0,,1723.341,0.0,0.0,166.0,8.044,,,0.0,1.0,,True,completed
46,car,223.0,410.0,187.0,,1459.64,0.0,9.0,178.0,22.841,,,0.0481,0.9519,,True,completed
10,truck,59.0,411.0,352.0,,1773.445,0.0,109.0,243.0,138.101,,,0.3097,0.6903,,True,completed
15,truck,85.0,413.0,328.0,,1735.905,0.0,86.0,242.0,117.959,,,0.2622,0.7378,,True,completed
59,car,276.0,416.0,140.0,,880.522,41.0,41.0,99.0,57.47,,,0.2929,0.7071,,True,completed
31,car,165.0,423.0,258.0,,1178.06,15.0,131.0,127.0,150.974,,,0.5078,0.4922,,True,completed
52,car,250.0,431.0,181.0,,1165.52,29.0,38.0,143.0,64.274,,,0.2099,0.7901,,True,completed
72,car,328.0,432.0,104.0,,840.221,14.0,14.0,90.0,26.587,,,0.1346,0.8654,,True,completed
25,truck,138.0,439.0,301.0,,1453.225,22.0,107.0,194.0,125.364,,,0.3555,0.6445,,True,completed
71,car,321.0,441.0,120.0,,1137.011,1.0,1.0,119.0,15.758,,,0.0083,0.9917,,True,completed
67,car,312.0,452.0,140.0,,1136.159,0.0,10.0,130.0,35.861,,,0.0714,0.9286,,True,completed
53,car,255.0,455.0,200.0,,1753.893,18.0,18.0,182.0,40.39,,,0.09,0.91,,True,completed
68,car,318.0,458.0,140.0,,1434.046,0.0,0.0,140.0,9.187,,,0.0,1.0,,True,completed
69,car,319.0,458.0,139.0,,1413.139,0.0,0.0,139.0,9.822,,,0.0,1.0,,True,completed
65,truck,305.0,472.0,167.0,,1163.198,17.0,17.0,150.0,26.36,,,0.1018,0.8982,,True,completed
86,car,370.0,476.0,106.0,,867.883,8.0,8.0,98.0,26.44,,,0.0755,0.9245,,True,completed
62,car,299.0,481.0,182.0,,1456.006,1.0,10.0,172.0,30.362,,,0.0549,0.9451,,True,completed
48,car,232.0,486.0,254.0,,1460.013,35.0,90.0,164.0,110.084,,,0.3543,0.6457,,True,completed
91,car,385.0,491.0,106.0,,855.389,3.0,3.0,103.0,27.147,,,0.0283,0.9717,,True,completed
77,car,341.0,501.0,160.0,,1176.005,5.0,11.0,149.0,29.229,,,0.0688,0.9313,,True,completed
55,truck,262.0,502.0,240.0,,1747.509,0.0,16.0,224.0,29.215,,,0.0667,0.9333,,True,completed
79,car,344.0,505.0,161.0,,1446.564,0.0,0.0,161.0,6.777,,,0.0,1.0,,True,completed
76,car,340.0,507.0,167.0,,1182.956,25.0,25.0,142.0,59.533,,,0.1497,0.8503,,True,completed
64,car,302.0,520.0,218.0,,1465.266,25.0,58.0,160.0,84.857,,,0.2661,0.7339,,True,completed
98,car,408.0,522.0,114.0,,1138.75,0.0,0.0,114.0,9.782,,,0.0,1.0,,True,completed
84,car,368.0,523.0,155.0,,1462.943,6.0,6.0,149.0,22.318,,,0.0387,0.9613,,True,completed
44,car,212.0,526.0,314.0,,2068.209,44.0,80.0,234.0,126.343,,,0.2548,0.7452,,True,completed
57,car,269.0,528.0,259.0,,1175.296,36.0,106.0,153.0,126.97,,,0.4093,0.5907,,True,completed
109,car,444.0,531.0,87.0,,863.574,0.0,0.0,87.0,3.763,,,0.0,1.0,,True,completed
94,car,398.0,535.0,137.0,,1172.372,6.0,12.0,125.0,15.805,,,0.0876,0.9124,,True,completed
63,car,301.0,540.0,239.0,,1733.864,6.0,57.0,182.0,81.18,,,0.2385,0.7615,,True,completed
50,truck,241.0,546.0,305.0,,1759.325,16.0,69.0,236.0,82.766,,,0.2262,0.7738,,True,completed
101,car,417.0,549.0,132.0,,861.074,22.0,22.0,110.0,48.276,,,0.1667,0.8333,,True,completed
83,car,365.0,552.0,187.0,,1455.646,0.0,14.0,173.0,37.432,,,0.0749,0.9251,,True,completed
70,truck,320.0,556.0,236.0,,1459.302,5.0,28.0,208.0,50.471,,,0.1186,0.8814,,True,completed
89,car,382.0,558.0,176.0,,1173.114,3.0,27.0,149.0,45.885,,,0.1534,0.8466,,True,completed
117,car,471.0,563.0,92.0,,841.533,3.0,3.0,89.0,14.489,,,0.0326,0.9674,,True,completed
87,car,375.0,563.0,188.0,,1472.67,24.0,28.0,160.0,54.458,,,0.1489,0.8511,,True,completed
60,truck,277.0,569.0,292.0,,1748.708,22.0,61.0,231.0,80.87,,,0.2089,0.7911,,True,completed
61,car,279.0,572.0,293.0,,2029.631,0.0,49.0,244.0,81.626,,,0.1672,0.8328,,True,completed
88,car,380.0,581.0,201.0,,1718.448,10.0,28.0,173.0,44.589,,,0.1393,0.8607,,True,completed
81,car,359.0,586.0,227.0,,1758.399,26.0,31.0,196.0,67.103,,,0.1366,0.8634,,True,completed
40,truck,191.0,590.0,399.0,,2062.771,21.0,121.0,278.0,140.011,,,0.3033,0.6967,,True,completed
92,car,387.0,595.0,208.0,,1426.635,54.0,55.0,153.0,77.678,,,0.2644,0.7356,,True,completed
