vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
11,car,70.0,175.0,105.0,,865.748,14.0,14.0,91.0,25.385,,,0.1333,0.8667,,True,completed
1,car,5.0,196.0,191.0,,1738.757,0.0,17.0,174.0,32.431,,,0.089,0.911,,True,completed
22,car,123.0,204.0,81.0,,849.476,0.0,0.0,81.0,2.783,,,0.0,1.0,,True,completed
13,car,75.0,211.0,136.0,,1449.153,0.0,0.0,136.0,3.97,,,0.0,1.0,,True,completed
21,car,117.0,211.0,94.0,,860.063,0.0,0.0,94.0,3.659,,,0.0,1.0,,True,completed
5,truck,20.0,215.0,195.0,,1172.684,15.0,31.0,164.0,44.914,,,0.159,0.841,,True,completed
7,car,21.0,215.0,194.0,,1460.475,40.0,42.0,152.0,61.217,,,0.2165,0.7835,,True,completed
3,car,9.0,218.0,209.0,,1734.575,0.0,9.0,200.0,29.524,,,0.0431,0.9569,,True,completed
14,car,82.0,226.0,144.0,,1146.034,5.0,21.0,123.0,32.366,,,0.1458,0.8542,,True,completed
6,car,20.0,230.0,210.0,,1702.242,0.0,36.0,174.0,54.17,,,0.1714,0.8286,,True,completed
36,car,181.0,235.0,54.0,,575.356,0.0,0.0,54.0,1.217,,,0.0,1.0,,True,completed
4,car,12.0,236.0,224.0,,1460.986,65.0,69.0,155.0,81.455,,,0.308,0.692,,True,completed
12,car,74.0,240.0,166.0,,881.664,39.0,52.0,114.0,67.641,,,0.3133,0.6867,,True,completed
0,truck,2.0,244.0,242.0,,1410.833,0.0,58.0,184.0,70.617,,,0.2397,0.7603,,True,completed
24,car,129.0,255.0,126.0,,864.454,26.0,26.0,100.0,44.785,,,0.2063,0.7937,,True,completed
41,car,192.0,256.0,64.0,,567.885,0.0,0.0,64.0,9.426,,,0.0,1.0,,True,completed
17,car,100.0,257.0,157.0,,1448.474,0.0,0.0,157.0,6.561,,,0.0,1.0,,True,completed
39,car,191.0,279.0,88.0,,827.836,0.0,0.0,88.0,4.865,,,0.0,1.0,,True,completed
9,car,54.0,289.0,235.0,,1178.926,62.0,89.0,146.0,108.406,,,0.3787,0.6213,,True,completed
16,car,98.0,297.0,199.0,,1423.68,5.0,36.0,163.0,69.206,,,0.1809,0.8191,,True,completed
33,car,171.0,308.0,137.0,,1158.185,3.0,13.0,124.0,31.633,,,0.0949,0.9051,,True,completed
34,car,173.0,312.0,139.0,,1429.681,0.0,0.0,139.0,8.541,,,0.0,1.0,,True,completed
26,car,144.0,321.0,177.0,,1439.087,8.0,15.0,162.0,27.609,,,0.0847,0.9153,,True,completed
2,car,8.0,322.0,314.0,,1448.0,16.0,148.0,166.0,166.745,,,0.4713,0.5287,,True,completed
35,truck,175.0,322.0,147.0,,859.452,27.0,28.0,119.0,42.825,,,0.1905,0.8095,,True,completed
37,car,182.0,324.0,142.0,,1157.287,8.0,18.0,124.0,27.593,,,0.1268,0.8732,,True,completed
27,car,153.0,334.0,181.0,,1442.517,12.0,12.0,169.0,25.64,,,0.0663,0.9337,,True,completed
19,car,103.0,335.0,232.0,,1471.037,66.0,71.0,161.0,98.421,,,0.306,0.694,,True,completed
8,car,43.0,337.0,294.0,,2027.644,5.0,52.0,242.0,84.342,,,0.1769,0.8231,,True,completed
47,car,224.0,345.0,121.0,,871.767,29.0,29.0,92.0,31.54,,,0.2397,0.7603,,True,completed
51,car,244.0,351.0,107.0,,1103.264,0.0,0.0,107.0,5.415,,,0.0,1.0,,True,completed
23,car,124.0,355.0,231.0,,2031.398,0.0,31.0,200.0,45.989,,,0.1342,0.8658,,True,completed
20,truck,106.0,357.0,251.0,,1728.303,0.0,27.0,224.0,41.996,,,0.1076,0.8924,,True,completed
38,car,183.0,359.0,176.0,,1691.008,0.0,3.0,173.0,21.038,,,0.017,0.983,,True,completed
45,truck,218.0,363.0,145.0,,1155.629,0.0,0.0,145.0,5.207,,,0.0,1.0,,True,completed
29,car,158.0,366.0,208.0,,1166.685,53.0,73.0,135.0,101.997,,,0.351,0.649,,True,completed
28,car,153.0,374.0,221.0,,1464.015,37.0,59.0,162.0,87.532,,,0.267,0.733,,True,completed
42,car,196.0,375.0,179.0,,1154.929,0.0,44.0,135.0,66.466,,,0.2458,0.7542,,True,completed
43,car,202.0,387.0,185.0,,1440.888,0.0,11.0,174.0,26.068,,,0.0595,0.9405,,True,completed
58,car,273.0,393.0,120.0,,1160.086,3.0,3.0,117.0,14.361,,,0.025,0.975,,True,completed
18,car,101.0,395.0,294.0,,1755.063,32.0,107.0,187.0,134.489,,,0.3639,0.6361,,True,completed
78,car,343.0,397.0,54.0,,555.514,0.0,0.0,54.0,2.601,,,0.0,1.0,,True,completed
49,car,240.0,405.0,165.0,,1722.731,0.0,0.0,165.0,7.828,,,0.0,1.0,,True,completed
46,car,223.0,407.0,184.0,,1464.562,0.0,15.0,169.0,26.775,,,0.0815,0.9185,,True,completed
15,truck,85.0,413.0,328.0,,1734.914,0.0,85.0,243.0,118.307,,,0.2591,0.7409,,True,completed
59,car,276.0,415.0,139.0,,872.865,40.0,40.0,99.0,57.179,,,0.2878,0.7122,,True,completed
31,car,165.0,423.0,258.0,,1180.423,15.0,131.0,127.0,150.761,,,0.5078,0.4922,,True,completed
10,truck,59.0,427.0,368.0,,1771.832,0.0,120.0,248.0,135.952,,,0.3261,0.6739,,True,completed
52,car,250.0,431.0,181.0,,1165.637,29.0,38.0,143.0,64.262,,,0.2099,0.7901,,True,completed
72,car,328.0,433.0,105.0,,843.577,15.0,15.0,90.0,27.676,,,0.1429,0.8571,,True,completed
25,truck,138.0,439.0,301.0,,1454.898,22.0,107.0,194.0,125.163,,,0.3555,0.6445,,True,completed
71,car,321.0,442.0,121.0,,1139.413,1.0,1.0,120.0,16.562,,,0.0083,0.9917,,True,completed
67,car,312.0,452.0,140.0,,1140.409,0.0,11.0,129.0,35.075,,,0.0786,0.9214,,True,completed
86,car,370.0,452.0,82.0,,868.73,0.0,0.0,82.0,2.575,,,0.0,1.0,,True,completed
53,car,255.0,455.0,200.0,,1751.569,12.0,12.0,188.0,40.869,,,0.06,0.94,,True,completed
68,car,318.0,458.0,140.0,,1433.469,0.0,0.0,140.0,8.898,,,0.0,1.0,,True,completed
69,car,319.0,459.0,140.0,,1414.873,0.0,0.0,140.0,10.031,,,0.0,1.0,,True,completed
65,truck,305.0,472.0,167.0,,1157.679,17.0,17.0,150.0,27.023,,,0.1018,0.8982,,True,completed
62,car,299.0,481.0,182.0,,1458.669,1.0,10.0,172.0,30.027,,,0.0549,0.9451,,True,completed
48,car,232.0,487.0,255.0,,1464.527,34.0,91.0,164.0,110.62,,,0.3569,0.6431,,True,completed
77,car,341.0,501.0,160.0,,1179.626,4.0,10.0,150.0,28.829,,,0.0625,0.9375,,True,completed
55,truck,262.0,503.0,241.0,,1753.394,0.0,16.0,225.0,29.509,,,0.0664,0.9336,,True,completed
79,car,344.0,505.0,161.0,,1450.184,0.0,0.0,161.0,6.399,,,0.0,1.0,,True,completed
76,car,340.0,507.0,167.0,,1181.945,25.0,26.0,141.0,59.624,,,0.1557,0.8443,,True,completed
98,car,408.0,517.0,109.0,,1134.57,0.0,0.0,109.0,4.856,,,0.0,1.0,,True,completed
64,car,302.0,521.0,219.0,,1461.437,23.0,57.0,162.0,86.184,,,0.2603,0.7397,,True,completed
84,car,368.0,523.0,155.0,,1466.676,6.0,6.0,149.0,21.982,,,0.0387,0.9613,,True,completed
44,car,212.0,526.0,314.0,,2067.309,44.0,80.0,234.0,126.683,,,0.2548,0.7452,,True,completed
57,car,269.0,528.0,259.0,,1175.066,51.0,108.0,151.0,136.652,,,0.417,0.583,,True,completed
109,car,444.0,530.0,86.0,,858.173,0.0,0.0,86.0,3.274,,,0.0,1.0,,True,completed
91,car,385.0,532.0,147.0,,856.487,39.0,49.0,98.0,60.299,,,0.3333,0.6667,,True,completed
94,car,398.0,535.0,137.0,,1167.156,6.0,13.0,124.0,24.551,,,0.0949,0.9051,,True,completed
101,car,417.0,539.0,122.0,,860.779,22.0,22.0,100.0,38.295,,,0.1803,0.8197,,True,completed
63,car,301.0,540.0,239.0,,1734.664,7.0,59.0,180.0,80.642,,,0.2469,0.7531,,True,completed
50,truck,241.0,542.0,301.0,,1760.932,17.0,64.0,237.0,88.573,,,0.2126,0.7874,,True,completed
40,truck,191.0,546.0,355.0,,2061.391,5.0,72.0,283.0,106.186,,,0.2028,0.7972,,True,completed
70,truck,320.0,552.0,232.0,,1460.342,1.0,31.0,201.0,55.689,,,0.1336,0.8664,,True,completed
83,car,365.0,552.0,187.0,,1447.582,0.0,13.0,174.0,38.406,,,0.0695,0.9305,,True,completed
89,car,382.0,558.0,176.0,,1181.311,11.0,28.0,148.0,53.041,,,0.1591,0.8409,,True,completed
117,car,471.0,563.0,92.0,,840.633,2.0,2.0,90.0,14.952,,,0.0217,0.9783,,True,completed
81,car,359.0,566.0,207.0,,1751.089,19.0,19.0,188.0,47.948,,,0.0918,0.9082,,True,completed
61,car,279.0,572.0,293.0,,2028.036,0.0,49.0,244.0,82.047,,,0.1672,0.8328,,True,completed
