vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
17,pkw,24.0,100.0,76.0,,782.181,0.0,0.0,76.0,4.389,,,0.0,1.0,,True,completed
15,pkw,20.0,114.0,94.0,,739.903,14.0,14.0,80.0,26.408,,,0.1489,0.8511,,True,completed
32,pkw,51.0,130.0,79.0,,597.266,12.0,12.0,67.0,23.26,,,0.1519,0.8481,,True,completed
43,pkw,74.0,131.0,57.0,,380.758,2.0,2.0,55.0,9.514,,,0.0351,0.9649,,True,completed
20,pkw,30.0,170.0,140.0,,1384.879,1.0,1.0,139.0,13.903,,,0.0071,0.9929,,True,completed
0,pkw,2.0,171.0,169.0,,1693.16,0.0,0.0,169.0,13.896,,,0.0,1.0,,True,completed
1,pkw,2.0,172.0,170.0,,1590.242,0.0,0.0,170.0,15.879,,,0.0,1.0,,True,completed
5,pkw,5.0,172.0,167.0,,1580.399,0.0,1.0,166.0,16.57,,,0.006,0.994,,True,completed
41,pkw,70.0,174.0,104.0,,988.937,0.0,0.0,104.0,7.941,,,0.0,1.0,,True,completed
3,pkw,3.0,185.0,182.0,,1506.467,26.0,26.0,156.0,41.933,,,0.1429,0.8571,,True,completed
28,pkw,43.0,193.0,150.0,,1523.17,0.0,0.0,150.0,9.061,,,0.0,1.0,,True,completed
35,pkw,55.0,194.0,139.0,,1347.711,0.0,0.0,139.0,12.95,,,0.0,1.0,,True,completed
6,pkw,7.0,198.0,191.0,,1613.9,14.0,20.0,171.0,44.748,,,0.1047,0.8953,,True,completed
13,pkw,18.0,199.0,181.0,,950.29,52.0,73.0,108.0,92.036,,,0.4033,0.5967,,True,completed
29,pkw,49.0,204.0,155.0,,1577.983,0.0,2.0,153.0,11.736,,,0.0129,0.9871,,True,completed
51,pkw,91.0,204.0,113.0,,1065.025,0.0,0.0,113.0,10.59,,,0.0,1.0,,True,completed
7,pkw,9.0,236.0,227.0,,2218.693,1.0,1.0,226.0,19.65,,,0.0044,0.9956,,True,completed
23,pkw,36.0,237.0,201.0,,1969.898,0.0,1.0,200.0,20.624,,,0.005,0.995,,True,completed
47,pkw,84.0,237.0,153.0,,1408.647,0.0,0.0,153.0,14.491,,,0.0,1.0,,True,completed
8,pkw,9.0,237.0,228.0,,1654.635,0.0,8.0,220.0,29.373,,,0.0351,0.9649,,True,completed
59,pkw,103.0,240.0,137.0,,887.299,17.0,17.0,120.0,25.364,,,0.1241,0.8759,,True,completed
80,pkw,138.0,241.0,103.0,,1015.761,0.0,0.0,103.0,5.854,,,0.0,1.0,,True,completed
60,pkw,106.0,243.0,137.0,,1419.385,0.0,0.0,137.0,7.399,,,0.0,1.0,,True,completed
88,pkw,152.0,243.0,91.0,,733.213,14.0,14.0,77.0,24.01,,,0.1538,0.8462,,True,completed
4,pkw,5.0,248.0,243.0,,1553.31,37.0,72.0,171.0,93.968,,,0.2963,0.7037,,True,completed
33,pkw,52.0,255.0,203.0,,1690.352,0.0,0.0,203.0,14.474,,,0.0,1.0,,True,completed
24,pkw,36.0,264.0,228.0,,1920.683,14.0,16.0,212.0,43.503,,,0.0702,0.9298,,True,completed
57,pkw,100.0,264.0,164.0,,1593.055,0.0,0.0,164.0,12.926,,,0.0,1.0,,True,completed
48,pkw,84.0,265.0,181.0,,1597.167,0.0,3.0,178.0,25.933,,,0.0166,0.9834,,True,completed
9,pkw,11.0,277.0,266.0,,2256.092,2.0,28.0,238.0,60.097,,,0.1053,0.8947,,True,completed
37,pkw,59.0,279.0,220.0,,1863.124,1.0,12.0,208.0,43.154,,,0.0545,0.9455,,True,completed
75,pkw,135.0,282.0,147.0,,1504.78,0.0,0.0,147.0,10.537,,,0.0,1.0,,True,completed
39,pkw,65.0,284.0,219.0,,2126.678,0.0,7.0,212.0,21.799,,,0.032,0.968,,True,completed
64,pkw,115.0,284.0,169.0,,1388.854,0.0,0.0,169.0,13.949,,,0.0,1.0,,True,completed
124,pkw,231.0,287.0,56.0,,537.616,0.0,0.0,56.0,6.272,,,0.0,1.0,,True,completed
109,pkw,195.0,288.0,93.0,,885.62,0.0,0.0,93.0,6.897,,,0.0,1.0,,True,completed
102,pkw,182.0,290.0,108.0,,692.746,33.0,33.0,75.0,43.291,,,0.3056,0.6944,,True,completed
76,pkw,136.0,290.0,154.0,,1524.006,2.0,2.0,152.0,14.705,,,0.013,0.987,,True,completed
117,pkw,215.0,292.0,77.0,,725.674,0.0,0.0,77.0,9.035,,,0.0,1.0,,True,completed
19,pkw,28.0,293.0,265.0,,2217.015,16.0,31.0,234.0,63.184,,,0.117,0.883,,True,completed
38,pkw,65.0,295.0,230.0,,1830.217,0.0,17.0,213.0,42.799,,,0.0739,0.9261,,True,completed
12,pkw,15.0,296.0,281.0,,2637.723,0.0,13.0,268.0,38.046,,,0.0463,0.9537,,True,completed
116,pkw,212.0,298.0,86.0,,648.592,0.0,0.0,86.0,8.383,,,0.0,1.0,,True,completed
56,pkw,100.0,298.0,198.0,,1623.655,1.0,19.0,179.0,43.35,,,0.096,0.904,,True,completed
83,pkw,144.0,301.0,157.0,,1272.021,10.0,18.0,139.0,40.37,,,0.1146,0.8854,,True,completed
74,pkw,134.0,305.0,171.0,,1207.451,26.0,45.0,126.0,56.993,,,0.2632,0.7368,,True,completed
122,pkw,224.0,306.0,82.0,,749.495,0.0,0.0,82.0,9.668,,,0.0,1.0,,True,completed
45,pkw,80.0,306.0,226.0,,1395.745,41.0,69.0,157.0,89.386,,,0.3053,0.6947,,True,completed
53,pkw,93.0,306.0,213.0,,1687.911,9.0,41.0,172.0,59.381,,,0.1925,0.8075,,True,completed
11,pkw,15.0,309.0,294.0,,2569.407,9.0,16.0,278.0,42.716,,,0.0544,0.9456,,True,completed
95,pkw,168.0,310.0,142.0,,666.96,28.0,61.0,81.0,79.482,,,0.4296,0.5704,,True,completed
92,pkw,160.0,311.0,151.0,,1500.992,0.0,0.0,151.0,10.738,,,0.0,1.0,,True,completed
34,pkw,54.0,314.0,260.0,,2302.406,0.0,19.0,241.0,42.501,,,0.0731,0.9269,,True,completed
90,pkw,154.0,317.0,163.0,,1442.879,16.0,16.0,147.0,32.14,,,0.0982,0.9018,,True,completed
31,pkw,51.0,319.0,268.0,,2528.266,0.0,9.0,259.0,38.395,,,0.0336,0.9664,,True,completed
14,pkw,19.0,326.0,307.0,,2099.983,35.0,100.0,207.0,109.221,,,0.3257,0.6743,,True,completed
25,pkw,38.0,328.0,290.0,,2145.882,34.0,74.0,216.0,95.461,,,0.2552,0.7448,,True,completed
42,pkw,74.0,329.0,255.0,,1875.221,12.0,57.0,198.0,77.961,,,0.2235,0.7765,,True,completed
50,pkw,90.0,329.0,239.0,,2234.732,0.0,11.0,228.0,34.835,,,0.046,0.954,,True,completed
145,pkw,262.0,330.0,68.0,,663.891,0.0,0.0,68.0,3.883,,,0.0,1.0,,True,completed
78,pkw,137.0,333.0,196.0,,1521.224,18.0,24.0,172.0,51.399,,,0.1224,0.8776,,True,completed
18,pkw,27.0,335.0,308.0,,2810.167,3.0,8.0,300.0,38.287,,,0.026,0.974,,True,completed
81,pkw,140.0,337.0,197.0,,1274.844,46.0,62.0,135.0,75.688,,,0.3147,0.6853,,True,completed
36,pkw,56.0,339.0,283.0,,2338.552,11.0,20.0,263.0,58.631,,,0.0707,0.9293,,True,completed
93,pkw,165.0,341.0,176.0,,1625.387,0.0,0.0,176.0,19.982,,,0.0,1.0,,True,completed
69,pkw,124.0,342.0,218.0,,1469.358,24.0,54.0,164.0,78.511,,,0.2477,0.7523,,True,completed
55,pkw,98.0,345.0,247.0,,2128.89,0.0,0.0,247.0,21.403,,,0.0,1.0,,True,completed
89,pkw,153.0,347.0,194.0,,1524.187,32.0,32.0,162.0,44.364,,,0.1649,0.8351,,True,completed
144,pkw,261.0,350.0,89.0,,527.921,27.0,27.0,62.0,40.098,,,0.3034,0.6966,,True,completed
54,pkw,96.0,351.0,255.0,,2171.963,19.0,32.0,223.0,58.214,,,0.1255,0.8745,,True,completed
61,pkw,110.0,351.0,241.0,,1971.149,0.0,34.0,207.0,61.097,,,0.1411,0.8589,,True,completed
66,pkw,117.0,353.0,236.0,,2336.435,0.0,0.0,236.0,18.695,,,0.0,1.0,,True,completed
27,pkw,41.0,355.0,314.0,,2168.897,19.0,86.0,228.0,115.059,,,0.2739,0.7261,,True,completed
44,pkw,75.0,355.0,280.0,,2668.291,0.0,16.0,264.0,35.442,,,0.0571,0.9429,,True,completed
114,pkw,209.0,357.0,148.0,,1387.919,1.0,1.0,147.0,15.22,,,0.0068,0.9932,,True,completed
30,pkw,49.0,357.0,308.0,,2745.521,0.0,23.0,285.0,45.03,,,0.0747,0.9253,,True,completed
63,pkw,114.0,359.0,245.0,,1438.382,33.0,95.0,150.0,111.095,,,0.3878,0.6122,,True,completed
10,pkw,12.0,363.0,351.0,,1966.192,88.0,134.0,217.0,169.712,,,0.3818,0.6182,,True,completed
180,pkw,320.0,363.0,43.0,,444.77,0.0,0.0,43.0,1.97,,,0.0,1.0,,True,completed
22,pkw,35.0,365.0,330.0,,3001.923,12.0,20.0,310.0,53.095,,,0.0606,0.9394,,True,completed
94,pkw,166.0,365.0,199.0,,1831.152,0.0,0.0,199.0,18.852,,,0.0,1.0,,True,completed
86,pkw,149.0,369.0,220.0,,1821.952,6.0,6.0,214.0,41.807,,,0.0273,0.9727,,True,completed
111,pkw,202.0,370.0,168.0,,1483.743,10.0,12.0,156.0,31.951,,,0.0714,0.9286,,True,completed
118,pkw,216.0,373.0,157.0,,1238.685,22.0,22.0,135.0,41.787,,,0.1401,0.8599,,True,completed
58,pkw,101.0,373.0,272.0,,1657.346,48.0,107.0,165.0,121.037,,,0.3934,0.6066,,True,completed
143,pkw,258.0,375.0,117.0,,898.001,8.0,21.0,96.0,34.39,,,0.1795,0.8205,,True,completed
68,pkw,123.0,376.0,253.0,,2092.43,5.0,31.0,222.0,63.541,,,0.1225,0.8775,,True,completed
82,pkw,142.0,377.0,235.0,,2155.565,0.0,4.0,231.0,26.006,,,0.017,0.983,,True,completed
71,pkw,128.0,381.0,253.0,,2095.851,17.0,21.0,232.0,50.29,,,0.083,0.917,,True,completed
16,pkw,22.0,383.0,361.0,,3085.601,16.0,30.0,331.0,80.728,,,0.0831,0.9169,,True,completed
21,pkw,32.0,384.0,352.0,,2830.912,4.0,46.0,306.0,82.244,,,0.1307,0.8693,,True,completed
26,pkw,39.0,386.0,347.0,,2639.365,5.0,58.0,289.0,98.726,,,0.1671,0.8329,,True,completed
62,pkw,111.0,389.0,278.0,,2434.969,5.0,30.0,248.0,56.523,,,0.1079,0.8921,,True,completed
108,pkw,192.0,396.0,204.0,,1501.589,37.0,45.0,159.0,57.119,,,0.2206,0.7794,,True,completed
149,pkw,269.0,396.0,127.0,,1139.061,2.0,2.0,125.0,18.684,,,0.0157,0.9843,,True,completed
