vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
10,car,14.0,89.0,75.0,,406.852,16.0,17.0,58.0,25.602,,,0.2267,0.7733,,True,completed
16,car,24.0,98.0,74.0,,781.725,0.0,0.0,74.0,2.644,,,0.0,1.0,,True,completed
13,car,20.0,117.0,97.0,,741.839,5.0,6.0,91.0,29.234,,,0.0619,0.9381,,True,completed
41,car,74.0,119.0,45.0,,381.344,0.0,0.0,45.0,1.937,,,0.0,1.0,,True,completed
31,car,51.0,136.0,85.0,,597.343,19.0,19.0,66.0,29.849,,,0.2235,0.7765,,True,completed
6,car,7.0,158.0,151.0,,1608.648,0.0,0.0,151.0,5.22,,,0.0,1.0,,True,completed
26,car,44.0,162.0,118.0,,1037.316,0.0,0.0,118.0,11.316,,,0.0,1.0,,True,completed
5,car,5.0,169.0,164.0,,1585.295,0.0,0.0,164.0,12.998,,,0.0,1.0,,True,completed
2,car,2.0,171.0,169.0,,1593.606,0.0,0.0,169.0,17.784,,,0.0,1.0,,True,completed
3,car,3.0,188.0,185.0,,1502.277,17.0,17.0,168.0,45.329,,,0.0919,0.9081,,True,completed
1,car,2.0,204.0,202.0,,1694.707,30.0,30.0,172.0,47.212,,,0.1485,0.8515,,True,completed
50,car,91.0,208.0,117.0,,1059.745,0.0,0.0,117.0,11.379,,,0.0,1.0,,True,completed
40,car,70.0,215.0,145.0,,986.111,26.0,26.0,119.0,37.854,,,0.1793,0.8207,,True,completed
18,car,30.0,218.0,188.0,,1804.89,0.0,3.0,185.0,22.844,,,0.016,0.984,,True,completed
60,car,103.0,223.0,120.0,,888.05,0.0,0.0,120.0,10.96,,,0.0,1.0,,True,completed
7,car,9.0,230.0,221.0,,2216.099,0.0,0.0,221.0,14.215,,,0.0,1.0,,True,completed
45,car,84.0,235.0,151.0,,1411.304,0.0,0.0,151.0,11.261,,,0.0,1.0,,True,completed
8,car,9.0,244.0,235.0,,1654.988,0.0,19.0,216.0,36.254,,,0.0809,0.9191,,True,completed
27,car,46.0,247.0,201.0,,1798.26,0.0,14.0,187.0,28.315,,,0.0697,0.9303,,True,completed
47,car,85.0,247.0,162.0,,1263.815,4.0,17.0,145.0,46.672,,,0.1049,0.8951,,True,completed
85,car,152.0,247.0,95.0,,739.95,15.0,15.0,80.0,27.404,,,0.1579,0.8421,,True,completed
12,car,19.0,251.0,232.0,,2099.375,10.0,19.0,213.0,41.263,,,0.0819,0.9181,,True,completed
58,car,100.0,254.0,154.0,,1586.387,0.0,0.0,154.0,8.882,,,0.0,1.0,,True,completed
73,car,130.0,255.0,125.0,,1100.727,3.0,3.0,122.0,15.436,,,0.024,0.976,,True,completed
34,truck,55.0,260.0,205.0,,1349.157,20.0,20.0,185.0,41.38,,,0.0976,0.9024,,True,completed
23,car,36.0,261.0,225.0,,1919.474,22.0,22.0,203.0,45.9,,,0.0978,0.9022,,True,completed
20,car,34.0,266.0,232.0,,1771.898,16.0,20.0,212.0,59.698,,,0.0862,0.9138,,True,completed
36,car,59.0,268.0,209.0,,1870.144,1.0,6.0,203.0,31.586,,,0.0287,0.9713,,True,completed
89,truck,171.0,272.0,101.0,,680.759,2.0,2.0,99.0,17.618,,,0.0198,0.9802,,True,completed
0,truck,2.0,278.0,276.0,,2127.167,1.0,1.0,275.0,18.824,,,0.0036,0.9964,,True,completed
28,car,49.0,279.0,230.0,,1581.177,69.0,71.0,159.0,86.377,,,0.3087,0.6913,,True,completed
