vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
14,car,20.0,96.0,76.0,,739.808,0.0,0.0,76.0,8.417,,,0.0,1.0,,True,completed
16,car,24.0,98.0,74.0,,781.644,0.0,0.0,74.0,2.651,,,0.0,1.0,,True,completed
43,car,74.0,124.0,50.0,,375.39,0.0,0.0,50.0,3.258,,,0.0,1.0,,True,completed
13,car,19.0,135.0,116.0,,1209.491,0.0,0.0,116.0,4.853,,,0.0,1.0,,True,completed
32,car,51.0,153.0,102.0,,601.227,21.0,21.0,81.0,45.327,,,0.2059,0.7941,,True,completed
29,car,49.0,176.0,127.0,,752.843,39.0,40.0,87.0,57.319,,,0.315,0.685,,True,completed
41,car,70.0,200.0,130.0,,983.854,23.0,23.0,107.0,26.397,,,0.1769,0.8231,,True,completed
72,car,128.0,202.0,74.0,,740.228,0.0,0.0,74.0,5.28,,,0.0,1.0,,True,completed
36,car,55.0,205.0,150.0,,1349.721,0.0,0.0,150.0,21.219,,,0.0,1.0,,True,completed
51,car,91.0,209.0,118.0,,1064.947,0.0,0.0,118.0,15.698,,,0.0,1.0,,True,completed
19,car,30.0,215.0,185.0,,1812.12,0.0,3.0,182.0,20.503,,,0.0162,0.9838,,True,completed
22,car,35.0,221.0,186.0,,1814.45,0.0,0.0,186.0,20.466,,,0.0,1.0,,True,completed
17,car,27.0,222.0,195.0,,1682.09,0.0,3.0,192.0,24.47,,,0.0154,0.9846,,True,completed
7,car,9.0,227.0,218.0,,2214.561,0.0,0.0,218.0,11.604,,,0.0,1.0,,True,completed
47,car,84.0,237.0,153.0,,1412.408,0.0,0.0,153.0,14.607,,,0.0,1.0,,True,completed
59,car,103.0,237.0,134.0,,888.583,5.0,5.0,129.0,28.225,,,0.0373,0.9627,,True,completed
53,car,93.0,239.0,146.0,,875.657,43.0,43.0,103.0,56.05,,,0.2945,0.7055,,True,completed
8,car,9.0,244.0,235.0,,1655.249,0.0,18.0,217.0,36.046,,,0.0766,0.9234,,True,completed
24,car,38.0,247.0,209.0,,1266.621,33.0,59.0,150.0,92.575,,,0.2823,0.7177,,True,completed
86,car,152.0,247.0,95.0,,734.419,16.0,16.0,79.0,27.902,,,0.1684,0.8316,,True,completed
20,truck,30.0,250.0,220.0,,1648.782,0.0,1.0,219.0,20.004,,,0.0045,0.9955,,True,completed
42,car,74.0,250.0,176.0,,1770.171,0.0,0.0,176.0,8.291,,,0.0,1.0,,True,completed
23,car,36.0,251.0,215.0,,1235.563,24.0,40.0,175.0,66.462,,,0.186,0.814,,True,completed
5,truck,5.0,251.0,246.0,,1580.91,27.0,27.0,219.0,54.493,,,0.1098,0.8902,,True,completed
57,car,100.0,260.0,160.0,,1587.043,0.0,0.0,160.0,9.794,,,0.0,1.0,,True,completed
82,car,144.0,263.0,119.0,,1016.128,0.0,0.0,119.0,19.861,,,0.0,1.0,,True,completed
94,car,168.0,272.0,104.0,,680.542,13.0,16.0,88.0,40.681,,,0.1538,0.8462,,True,completed
10,truck,15.0,274.0,259.0,,1991.973,0.0,0.0,259.0,18.237,,,0.0,1.0,,True,completed
18,car,28.0,276.0,248.0,,2213.04,4.0,19.0,229.0,44.596,,,0.0766,0.9234,,True,completed
28,car,43.0,276.0,233.0,,1522.033,65.0,78.0,155.0,91.714,,,0.3348,0.6652,,True,completed
38,car,59.0,278.0,219.0,,1863.15,5.0,10.0,209.0,41.637,,,0.0457,0.9543,,True,completed
48,car,84.0,282.0,198.0,,1599.606,1.0,1.0,197.0,43.075,,,0.0051,0.9949,,True,completed
74,car,130.0,287.0,157.0,,1519.739,0.0,3.0,154.0,14.789,,,0.0191,0.9809,,True,completed
76,car,136.0,290.0,154.0,,1522.234,0.0,0.0,154.0,14.842,,,0.0,1.0,,True,completed
116,car,212.0,298.0,86.0,,644.833,0.0,0.0,86.0,8.691,,,0.0,1.0,,True,completed
