vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,car,11.0,149.0,138.0,,1138.066,2.0,7.0,131.0,19.966,,,0.0507,0.9493,,True,completed
1,car,8.0,171.0,163.0,,1449.462,6.0,12.0,151.0,31.015,,,0.0736,0.9264,,True,completed
7,car,21.0,173.0,152.0,,1463.367,5.0,5.0,147.0,19.133,,,0.0329,0.9671,,True,completed
2,car,9.0,176.0,167.0,,1730.188,0.0,0.0,167.0,9.103,,,0.0,1.0,,True,completed
14,truck,70.0,179.0,109.0,,859.46,0.0,0.0,109.0,4.71,,,0.0,1.0,,True,completed
15,car,74.0,193.0,119.0,,882.672,25.0,25.0,94.0,37.798,,,0.2101,0.7899,,True,completed
10,car,54.0,198.0,144.0,,1172.016,13.0,28.0,116.0,37.518,,,0.1944,0.8056,,True,completed
8,car,34.0,204.0,170.0,,1464.873,0.0,4.0,166.0,18.7,,,0.0235,0.9765,,True,completed
20,car,98.0,217.0,119.0,,1141.391,3.0,3.0,116.0,14.289,,,0.0252,0.9748,,True,completed
17,car,82.0,220.0,138.0,,1144.846,1.0,8.0,130.0,19.05,,,0.058,0.942,,True,completed
28,car,129.0,221.0,92.0,,867.96,4.0,4.0,88.0,12.735,,,0.0435,0.9565,,True,completed
6,car,20.0,222.0,202.0,,2028.458,0.0,1.0,201.0,17.225,,,0.005,0.995,,True,completed
27,car,123.0,226.0,103.0,,849.691,8.0,8.0,95.0,17.203,,,0.0777,0.9223,,True,completed
13,car,65.0,227.0,162.0,,1461.269,0.0,20.0,142.0,29.138,,,0.1235,0.8765,,True,completed
0,truck,5.0,232.0,227.0,,1738.875,0.0,2.0,225.0,16.793,,,0.0088,0.9912,,True,completed
26,car,117.0,234.0,117.0,,857.658,22.0,22.0,95.0,33.02,,,0.188,0.812,,True,completed
47,car,192.0,250.0,58.0,,565.512,0.0,0.0,58.0,6.103,,,0.0,1.0,,True,completed
18,car,84.0,252.0,168.0,,1467.95,10.0,18.0,150.0,34.623,,,0.1071,0.8929,,True,completed
16,car,75.0,253.0,178.0,,1443.842,4.0,31.0,147.0,46.394,,,0.1742,0.8258,,True,completed
23,car,103.0,255.0,152.0,,1472.68,6.0,6.0,146.0,18.125,,,0.0395,0.9605,,True,completed
33,car,152.0,264.0,112.0,,1172.009,0.0,0.0,112.0,5.278,,,0.0,1.0,,True,completed
11,car,59.0,269.0,210.0,,1777.589,6.0,24.0,186.0,47.933,,,0.1143,0.8857,,True,completed
21,car,100.0,271.0,171.0,,1448.654,0.0,6.0,165.0,19.37,,,0.0351,0.9649,,True,completed
4,truck,12.0,273.0,261.0,,1770.219,7.0,16.0,245.0,47.196,,,0.0613,0.9387,,True,completed
31,car,144.0,274.0,130.0,,1167.561,7.0,7.0,123.0,23.629,,,0.0538,0.9462,,True,completed
45,car,191.0,274.0,83.0,,825.728,0.0,0.0,83.0,5.786,,,0.0,1.0,,True,completed
36,car,165.0,278.0,113.0,,1183.766,0.0,0.0,113.0,5.46,,,0.0,1.0,,True,completed
35,car,158.0,294.0,136.0,,1158.207,13.0,13.0,123.0,30.76,,,0.0956,0.9044,,True,completed
25,car,110.0,298.0,188.0,,1176.451,13.0,72.0,116.0,81.118,,,0.383,0.617,,True,completed
41,car,182.0,298.0,116.0,,1157.448,0.0,0.0,116.0,5.678,,,0.0,1.0,,True,completed
12,car,65.0,311.0,246.0,,1992.319,0.0,3.0,243.0,22.943,,,0.0122,0.9878,,True,completed
38,car,171.0,311.0,140.0,,1163.678,23.0,23.0,117.0,34.24,,,0.1643,0.8357,,True,completed
37,car,169.0,316.0,147.0,,1437.428,0.0,2.0,145.0,15.928,,,0.0136,0.9864,,True,completed
48,car,196.0,318.0,122.0,,857.679,22.0,22.0,100.0,37.089,,,0.1803,0.8197,,True,completed
19,truck,85.0,323.0,238.0,,1738.104,0.0,9.0,229.0,27.99,,,0.0378,0.9622,,True,completed
30,car,144.0,325.0,181.0,,1444.427,0.0,6.0,175.0,40.905,,,0.0331,0.9669,,True,completed
9,truck,43.0,328.0,285.0,,2029.995,0.0,16.0,269.0,39.573,,,0.0561,0.9439,,True,completed
44,truck,188.0,334.0,146.0,,1160.365,0.0,0.0,146.0,5.7,,,0.0,1.0,,True,completed
32,car,149.0,338.0,189.0,,1460.028,3.0,9.0,180.0,27.72,,,0.0476,0.9524,,True,completed
22,car,101.0,341.0,240.0,,1749.038,47.0,59.0,181.0,80.683,,,0.2458,0.7542,,True,completed
34,truck,153.0,342.0,189.0,,1457.807,0.0,0.0,189.0,12.893,,,0.0,1.0,,True,completed
39,truck,175.0,342.0,167.0,,1167.017,9.0,9.0,158.0,25.774,,,0.0539,0.9461,,True,completed
24,truck,106.0,354.0,248.0,,1730.633,0.0,23.0,225.0,38.717,,,0.0927,0.9073,,True,completed
29,truck,142.0,354.0,212.0,,1435.565,0.0,24.0,188.0,38.131,,,0.1132,0.8868,,True,completed
51,car,223.0,363.0,140.0,,1464.62,0.0,0.0,140.0,6.855,,,0.0,1.0,,True,completed
40,car,181.0,366.0,185.0,,1465.596,0.0,16.0,169.0,30.018,,,0.0865,0.9135,,True,completed
72,car,318.0,373.0,55.0,,573.71,0.0,0.0,55.0,2.366,,,0.0,1.0,,True,completed
63,car,299.0,383.0,84.0,,876.857,0.0,0.0,84.0,4.082,,,0.0,1.0,,True,completed
42,car,183.0,384.0,201.0,,1719.705,0.0,15.0,186.0,33.063,,,0.0746,0.9254,,True,completed
52,car,224.0,387.0,163.0,,878.994,34.0,65.0,98.0,74.828,,,0.3988,0.6012,,True,completed
60,car,273.0,390.0,117.0,,1147.714,0.0,0.0,117.0,5.935,,,0.0,1.0,,True,completed
49,truck,202.0,397.0,195.0,,1440.935,2.0,4.0,191.0,20.607,,,0.0205,0.9795,,True,completed
43,car,184.0,407.0,223.0,,1766.103,1.0,4.0,219.0,29.162,,,0.0179,0.9821,,True,completed
53,car,240.0,407.0,167.0,,1720.593,0.0,0.0,167.0,10.052,,,0.0,1.0,,True,completed
75,car,320.0,411.0,91.0,,881.414,2.0,2.0,89.0,9.103,,,0.022,0.978,,True,completed
58,car,269.0,412.0,143.0,,1172.213,13.0,16.0,127.0,36.5,,,0.1119,0.8881,,True,completed
68,car,305.0,417.0,112.0,,1168.86,0.0,0.0,112.0,5.409,,,0.0,1.0,,True,completed
84,truck,349.0,418.0,69.0,,539.564,0.0,0.0,69.0,3.042,,,0.0,1.0,,True,completed
70,car,309.0,420.0,111.0,,1140.969,0.0,0.0,111.0,6.631,,,0.0,1.0,,True,completed
56,car,250.0,422.0,172.0,,1163.147,12.0,44.0,128.0,66.316,,,0.2558,0.7442,,True,completed
71,car,312.0,430.0,118.0,,1134.243,0.0,0.0,118.0,14.061,,,0.0,1.0,,True,completed
76,car,321.0,431.0,110.0,,1140.645,0.0,0.0,110.0,5.789,,,0.0,1.0,,True,completed
67,car,305.0,432.0,127.0,,1161.49,9.0,9.0,118.0,20.969,,,0.0709,0.9291,,True,completed
66,car,302.0,452.0,150.0,,1476.843,0.0,0.0,150.0,8.128,,,0.0,1.0,,True,completed
83,car,343.0,455.0,112.0,,877.864,8.0,8.0,104.0,22.278,,,0.0714,0.9286,,True,completed
55,car,241.0,456.0,215.0,,2027.256,0.0,12.0,203.0,30.255,,,0.0558,0.9442,,True,completed
57,car,255.0,466.0,211.0,,1752.356,9.0,9.0,202.0,27.842,,,0.0427,0.9573,,True,completed
73,car,319.0,471.0,152.0,,1415.563,7.0,7.0,145.0,20.003,,,0.0461,0.9539,,True,completed
91,car,374.0,471.0,97.0,,881.251,9.0,9.0,88.0,16.687,,,0.0928,0.9072,,True,completed
90,car,370.0,475.0,105.0,,870.19,11.0,11.0,94.0,25.197,,,0.1048,0.8952,,True,completed
82,car,341.0,476.0,135.0,,1158.948,8.0,8.0,127.0,21.013,,,0.0593,0.9407,,True,completed
46,car,191.0,477.0,286.0,,2063.189,9.0,44.0,242.0,65.129,,,0.1538,0.8462,,True,completed
87,car,365.0,480.0,115.0,,853.535,26.0,26.0,89.0,36.54,,,0.2261,0.7739,,True,completed
95,car,385.0,480.0,95.0,,857.371,0.0,0.0,95.0,5.783,,,0.0,1.0,,True,completed
65,car,302.0,482.0,180.0,,1463.804,25.0,26.0,154.0,46.711,,,0.1444,0.8556,,True,completed
50,car,212.0,490.0,278.0,,2060.14,27.0,73.0,205.0,91.165,,,0.2626,0.7374,,True,completed
54,truck,240.0,495.0,255.0,,1976.624,0.0,0.0,255.0,15.832,,,0.0,1.0,,True,completed
59,truck,271.0,503.0,232.0,,1736.196,0.0,9.0,223.0,21.692,,,0.0388,0.9612,,True,completed
74,truck,320.0,504.0,184.0,,1464.223,0.0,0.0,184.0,7.132,,,0.0,1.0,,True,completed
61,car,277.0,506.0,229.0,,1755.545,25.0,25.0,204.0,46.778,,,0.1092,0.8908,,True,completed
62,car,279.0,509.0,230.0,,2023.189,1.0,1.0,229.0,19.812,,,0.0043,0.9957,,True,completed
98,car,398.0,509.0,111.0,,1137.037,0.0,0.0,111.0,6.992,,,0.0,1.0,,True,completed
64,truck,301.0,519.0,218.0,,1725.332,0.0,0.0,218.0,9.514,,,0.0,1.0,,True,completed
5,car,20.0,520.0,500.0,,1749.687,74.0,317.0,183.0,341.816,,,0.634,0.366,,True,completed
118,car,458.0,526.0,68.0,,575.229,0.0,0.0,68.0,6.38,,,0.0,1.0,,True,completed
93,car,380.0,527.0,147.0,,1439.841,0.0,0.0,147.0,11.192,,,0.0,1.0,,True,completed
94,truck,382.0,528.0,146.0,,1147.536,0.0,0.0,146.0,6.911,,,0.0,1.0,,True,completed
111,car,437.0,531.0,94.0,,873.638,5.0,5.0,89.0,14.372,,,0.0532,0.9468,,True,completed
86,car,359.0,532.0,173.0,,1750.487,0.0,0.0,173.0,13.595,,,0.0,1.0,,True,completed
117,car,453.0,536.0,83.0,,857.222,0.0,0.0,83.0,4.456,,,0.0,1.0,,True,completed
106,car,423.0,537.0,114.0,,1140.41,0.0,0.0,114.0,7.31,,,0.0,1.0,,True,completed
85,car,354.0,542.0,188.0,,1178.181,1.0,58.0,130.0,80.963,,,0.3085,0.6915,,True,completed
110,car,436.0,546.0,110.0,,1142.981,0.0,0.0,110.0,5.346,,,0.0,1.0,,True,completed
133,car,492.0,548.0,56.0,,574.609,0.0,0.0,56.0,3.285,,,0.0,1.0,,True,completed
97,car,396.0,550.0,154.0,,1436.713,6.0,6.0,148.0,21.974,,,0.039,0.961,,True,completed
88,car,365.0,552.0,187.0,,1458.923,13.0,31.0,156.0,54.385,,,0.1658,0.8342,,True,completed
103,car,414.0,555.0,141.0,,1129.079,2.0,9.0,132.0,30.28,,,0.0638,0.9362,,True,completed
104,truck,417.0,557.0,140.0,,852.466,24.0,25.0,115.0,36.483,,,0.1786,0.8214,,True,completed
89,truck,367.0,561.0,194.0,,1456.18,6.0,6.0,188.0,18.188,,,0.0309,0.9691,,True,completed
69,truck,309.0,565.0,256.0,,1740.251,0.0,20.0,236.0,45.319,,,0.0781,0.9219,,True,completed
107,car,429.0,566.0,137.0,,1176.476,4.0,4.0,133.0,17.538,,,0.0292,0.9708,,True,completed
78,car,334.0,572.0,238.0,,1170.922,59.0,118.0,120.0,131.369,,,0.4958,0.5042,,True,completed
101,car,403.0,574.0,171.0,,1462.553,6.0,6.0,165.0,29.714,,,0.0351,0.9649,,True,completed
120,car,466.0,575.0,109.0,,1130.727,0.0,0.0,109.0,5.57,,,0.0,1.0,,True,completed
109,truck,433.0,577.0,144.0,,1139.921,0.0,0.0,144.0,6.023,,,0.0,1.0,,True,completed
81,car,340.0,577.0,237.0,,2044.812,0.0,38.0,199.0,51.074,,,0.1603,0.8397,,True,completed
122,car,471.0,580.0,109.0,,843.044,22.0,22.0,87.0,31.441,,,0.2018,0.7982,,True,completed
131,car,491.0,582.0,91.0,,878.693,1.0,1.0,90.0,10.917,,,0.011,0.989,,True,completed
105,car,417.0,586.0,169.0,,1707.74,0.0,0.0,169.0,13.512,,,0.0,1.0,,True,completed
126,car,475.0,586.0,111.0,,1164.227,0.0,0.0,111.0,4.749,,,0.0,1.0,,True,completed
99,truck,400.0,587.0,187.0,,1442.364,0.0,0.0,187.0,12.321,,,0.0,1.0,,True,completed
102,car,406.0,590.0,184.0,,1737.458,0.0,0.0,184.0,12.197,,,0.0,1.0,,True,completed
114,truck,445.0,590.0,145.0,,1142.258,0.0,0.0,145.0,6.721,,,0.0,1.0,,True,completed
