vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
2,car,8.0,159.0,151.0,,1448.344,8.0,8.0,143.0,19.227,,,0.053,0.947,,True,completed
11,car,70.0,163.0,93.0,,869.693,3.0,3.0,90.0,12.768,,,0.0323,0.9677,,True,completed
7,car,21.0,172.0,151.0,,1463.675,5.0,5.0,146.0,18.106,,,0.0331,0.9669,,True,completed
1,car,5.0,177.0,172.0,,1738.614,0.0,0.0,172.0,13.116,,,0.0,1.0,,True,completed
5,truck,20.0,177.0,157.0,,1174.287,0.0,3.0,154.0,15.029,,,0.0191,0.9809,,True,completed
12,car,74.0,178.0,104.0,,882.436,0.0,0.0,104.0,5.555,,,0.0,1.0,,True,completed
4,car,12.0,193.0,181.0,,1459.485,4.0,16.0,165.0,38.28,,,0.0884,0.9116,,True,completed
0,truck,2.0,194.0,192.0,,1414.083,0.0,6.0,186.0,20.706,,,0.0312,0.9688,,True,completed
6,car,20.0,196.0,176.0,,1703.243,0.0,4.0,172.0,20.47,,,0.0227,0.9773,,True,completed
14,car,82.0,201.0,119.0,,1146.833,0.0,0.0,119.0,6.909,,,0.0,1.0,,True,completed
3,car,9.0,201.0,192.0,,1731.43,0.0,0.0,192.0,12.886,,,0.0,1.0,,True,completed
22,car,123.0,205.0,82.0,,848.271,0.0,0.0,82.0,3.911,,,0.0,1.0,,True,completed
24,car,129.0,215.0,86.0,,868.748,0.0,0.0,86.0,4.386,,,0.0,1.0,,True,completed
9,car,54.0,220.0,166.0,,1175.135,1.0,23.0,143.0,39.81,,,0.1386,0.8614,,True,completed
21,car,117.0,228.0,111.0,,856.425,11.0,11.0,100.0,21.078,,,0.0991,0.9009,,True,completed
13,car,75.0,235.0,160.0,,1444.521,0.0,16.0,144.0,28.497,,,0.1,0.9,,True,completed
36,car,181.0,254.0,73.0,,573.67,12.0,12.0,61.0,20.369,,,0.1644,0.8356,,True,completed
41,car,192.0,263.0,71.0,,562.207,9.0,9.0,62.0,16.962,,,0.1268,0.8732,,True,completed
16,car,98.0,277.0,179.0,,1424.382,14.0,31.0,148.0,48.84,,,0.1732,0.8268,,True,completed
39,car,191.0,281.0,90.0,,831.071,0.0,0.0,90.0,6.182,,,0.0,1.0,,True,completed
31,car,165.0,282.0,117.0,,1179.071,0.0,0.0,117.0,9.883,,,0.0,1.0,,True,completed
8,car,43.0,286.0,243.0,,2034.264,0.0,15.0,228.0,33.248,,,0.0617,0.9383,,True,completed
17,car,100.0,288.0,188.0,,1444.107,3.0,19.0,169.0,37.732,,,0.1011,0.8989,,True,completed
35,truck,175.0,288.0,113.0,,859.489,0.0,0.0,113.0,8.82,,,0.0,1.0,,True,completed
18,car,101.0,291.0,190.0,,1749.781,17.0,17.0,173.0,30.722,,,0.0895,0.9105,,True,completed
37,car,182.0,293.0,111.0,,1164.472,0.0,0.0,111.0,5.186,,,0.0,1.0,,True,completed
33,car,171.0,297.0,126.0,,1166.791,3.0,3.0,123.0,19.884,,,0.0238,0.9762,,True,completed
26,car,144.0,299.0,155.0,,1442.502,3.0,3.0,152.0,14.346,,,0.0194,0.9806,,True,completed
