step:3600/3600, q_loss:0, rewards:-13.926112196180556, queue:1.4982638888888888, delay:0.06189080874125163, throughput:1432
episode:0/200, real avg travel time:253.28631284916202
intersection:0, mean_episode_reward:-2.238055467605591, mean_queue:3.105555534362793
intersection:1, mean_episode_reward:-1.346943974494934, mean_queue:3.4555554389953613
intersection:2, mean_episode_reward:-0.7647222876548767, mean_queue:2.9972221851348877
intersection:3, mean_episode_reward:-2.282778024673462, mean_queue:2.719444513320923
intersection:4, mean_episode_reward:-0.65583336353302, mean_queue:2.944444417953491
intersection:5, mean_episode_reward:0.07388889789581299, mean_queue:2.6861112117767334
intersection:6, mean_episode_reward:-0.05055573955178261, mean_queue:2.469444513320923
intersection:7, mean_episode_reward:-0.706944465637207, mean_queue:2.3805556297302246
intersection:8, mean_episode_reward:-1.5041669607162476, mean_queue:3.61388897895813
intersection:9, mean_episode_reward:-1.0308336019515991, mean_queue:3.6083333492279053
intersection:10, mean_episode_reward:0.6441666483879089, mean_queue:2.894444465637207
intersection:11, mean_episode_reward:-0.6261111497879028, mean_queue:3.133333444595337
intersection:12, mean_episode_reward:-1.6138895750045776, mean_queue:2.538888931274414
intersection:13, mean_episode_reward:-1.8994444608688354, mean_queue:3.616666555404663
intersection:14, mean_episode_reward:-1.168889045715332, mean_queue:3.1972222328186035
intersection:15, mean_episode_reward:-1.7044436931610107, mean_queue:2.5833332538604736
intersection:16, mean_episode_reward:0.08749999105930328, mean_queue:0.0
intersection:17, mean_episode_reward:0.09361112117767334, mean_queue:0.0
intersection:18, mean_episode_reward:0.19972220063209534, mean_queue:0.0
intersection:19, mean_episode_reward:0.31333333253860474, mean_queue:0.0
intersection:20, mean_episode_reward:0.3986111879348755, mean_queue:0.0
intersection:21, mean_episode_reward:0.31166666746139526, mean_queue:0.0
intersection:22, mean_episode_reward:0.06111111491918564, mean_queue:0.0
intersection:23, mean_episode_reward:0.05000000074505806, mean_queue:0.0
intersection:24, mean_episode_reward:0.11138888448476791, mean_queue:0.0
intersection:25, mean_episode_reward:0.14888888597488403, mean_queue:0.0
intersection:26, mean_episode_reward:0.20777776837348938, mean_queue:0.0
intersection:27, mean_episode_reward:0.3875000476837158, mean_queue:0.0
intersection:28, mean_episode_reward:0.17000000178813934, mean_queue:0.0
intersection:29, mean_episode_reward:0.17000000178813934, mean_queue:0.0
intersection:30, mean_episode_reward:0.17000001668930054, mean_queue:0.0
intersection:31, mean_episode_reward:0.06833332777023315, mean_queue:0.0
Test step:0/200, travel time :891.9257425742575, rewards:-271.7400173611111, queue:15.403559027777778, delay:0.1687607871161567, throughput:404
step:3600/3600, q_loss:0, rewards:-14.262226019965278, queue:1.5526041666666666, delay:0.06298954221937392, throughput:1427
episode:1/200, real avg travel time:257.0665732305536
intersection:0, mean_episode_reward:-2.0863890647888184, mean_queue:3.1305556297302246
intersection:1, mean_episode_reward:-0.46361106634140015, mean_queue:3.047222137451172
intersection:2, mean_episode_reward:-1.7724997997283936, mean_queue:3.9194445610046387
intersection:3, mean_episode_reward:-2.028334617614746, mean_queue:2.6777777671813965
intersection:4, mean_episode_reward:-1.1958330869674683, mean_queue:3.2277777194976807
intersection:5, mean_episode_reward:-0.7594444155693054, mean_queue:3.2277777194976807
intersection:6, mean_episode_reward:0.18055565655231476, mean_queue:2.6888887882232666
intersection:7, mean_episode_reward:-1.175000548362732, mean_queue:3.077777862548828
intersection:8, mean_episode_reward:-0.7550000548362732, mean_queue:3.105555534362793
intersection:9, mean_episode_reward:-0.5513890385627747, mean_queue:3.9000000953674316
intersection:10, mean_episode_reward:-0.82750004529953, mean_queue:3.230555534362793
intersection:11, mean_episode_reward:-0.594722330570221, mean_queue:2.855555534362793
intersection:12, mean_episode_reward:-2.52583384513855, mean_queue:3.394444465637207
intersection:13, mean_episode_reward:-0.569166898727417, mean_queue:3.3972222805023193
intersection:14, mean_episode_reward:-0.2883334755897522, mean_queue:2.383333444595337
intersection:15, mean_episode_reward:-2.102222442626953, mean_queue:2.4194445610046387
intersection:16, mean_episode_reward:0.08194444328546524, mean_queue:0.0
intersection:17, mean_episode_reward:0.11249999701976776, mean_queue:0.0
intersection:18, mean_episode_reward:0.21638885140419006, mean_queue:0.0
intersection:19, mean_episode_reward:0.335833340883255, mean_queue:0.0
intersection:20, mean_episode_reward:0.5641666650772095, mean_queue:0.0
intersection:21, mean_episode_reward:0.33694446086883545, mean_queue:0.0
intersection:22, mean_episode_reward:0.05027777701616287, mean_queue:0.0
intersection:23, mean_episode_reward:0.031388889998197556, mean_queue:0.0
intersection:24, mean_episode_reward:0.11888888478279114, mean_queue:0.0
intersection:25, mean_episode_reward:0.150277778506279, mean_queue:0.0
intersection:26, mean_episode_reward:0.27027779817581177, mean_queue:0.0
intersection:27, mean_episode_reward:0.33027777075767517, mean_queue:0.0
intersection:28, mean_episode_reward:0.17222222685813904, mean_queue:0.0
intersection:29, mean_episode_reward:0.18805557489395142, mean_queue:0.0
intersection:30, mean_episode_reward:0.2152777761220932, mean_queue:0.0
intersection:31, mean_episode_reward:0.07777778059244156, mean_queue:0.0
Test step:1/200, travel time :891.9257425742575, rewards:-271.7400173611111, queue:15.403559027777778, delay:0.1687607871161567, throughput:404
step:3600/3600, q_loss:1.1968680620193481, rewards:-17.805555555555557, queue:1.9005208333333334, delay:0.07558194266425239, throughput:1350
episode:2/200, real avg travel time:264.7266666666667
intersection:0, mean_episode_reward:-2.659722328186035, mean_queue:4.361111164093018
intersection:1, mean_episode_reward:-1.0022225379943848, mean_queue:4.011111259460449
intersection:2, mean_episode_reward:-1.5180550813674927, mean_queue:4.261111259460449
intersection:3, mean_episode_reward:-2.245833396911621, mean_queue:3.8805556297302246
intersection:4, mean_episode_reward:-1.812221646308899, mean_queue:4.286110877990723
intersection:5, mean_episode_reward:-0.07444435358047485, mean_queue:2.9083333015441895
intersection:6, mean_episode_reward:0.10416679084300995, mean_queue:3.2249999046325684
intersection:7, mean_episode_reward:-2.494166135787964, mean_queue:4.355555534362793
intersection:8, mean_episode_reward:-0.36166641116142273, mean_queue:3.7666666507720947
intersection:9, mean_episode_reward:0.07305558770895004, mean_queue:3.5027778148651123
intersection:10, mean_episode_reward:-0.8386110663414001, mean_queue:3.7249999046325684
intersection:11, mean_episode_reward:-0.8130553960800171, mean_queue:3.2833333015441895
intersection:12, mean_episode_reward:-2.950556516647339, mean_queue:4.14722204208374
intersection:13, mean_episode_reward:-1.3686110973358154, mean_queue:3.855555534362793
intersection:14, mean_episode_reward:-2.5147225856781006, mean_queue:4.138888835906982
intersection:15, mean_episode_reward:-1.7108334302902222, mean_queue:3.1083333492279053
intersection:16, mean_episode_reward:0.04027777910232544, mean_queue:0.0
intersection:17, mean_episode_reward:0.08583333343267441, mean_queue:0.0
intersection:18, mean_episode_reward:0.15000000596046448, mean_queue:0.0
intersection:19, mean_episode_reward:0.2524999976158142, mean_queue:0.0
intersection:20, mean_episode_reward:1.1552777290344238, mean_queue:0.0
intersection:21, mean_episode_reward:0.40583336353302, mean_queue:0.0
intersection:22, mean_episode_reward:0.12138888984918594, mean_queue:0.0
intersection:23, mean_episode_reward:0.03527778014540672, mean_queue:0.0
intersection:24, mean_episode_reward:0.16055555641651154, mean_queue:0.0
intersection:25, mean_episode_reward:0.30916666984558105, mean_queue:0.0
intersection:26, mean_episode_reward:0.33416664600372314, mean_queue:0.0
intersection:27, mean_episode_reward:0.4605555236339569, mean_queue:0.0
intersection:28, mean_episode_reward:0.2819444537162781, mean_queue:0.0
intersection:29, mean_episode_reward:0.30500003695487976, mean_queue:0.0
intersection:30, mean_episode_reward:0.20861110091209412, mean_queue:0.0
intersection:31, mean_episode_reward:0.07555555552244186, mean_queue:0.0
Test step:2/200, travel time :890.983682983683, rewards:-251.3408420138889, queue:14.940277777777778, delay:0.16629727681477866, throughput:429
step:3600/3600, q_loss:2.716625452041626, rewards:-58.749994574652774, queue:8.63845486111111, delay:0.1418832778930664, throughput:1096
episode:3/200, real avg travel time:708.7673357664233
intersection:0, mean_episode_reward:-6.360554218292236, mean_queue:14.744444847106934
intersection:1, mean_episode_reward:-9.883052825927734, mean_queue:23.64444351196289
intersection:2, mean_episode_reward:-3.672778606414795, mean_queue:19.255556106567383
intersection:3, mean_episode_reward:-8.861109733581543, mean_queue:17.36111068725586
intersection:4, mean_episode_reward:-9.422501564025879, mean_queue:18.66111183166504
intersection:5, mean_episode_reward:-2.7016663551330566, mean_queue:16.23055648803711
intersection:6, mean_episode_reward:4.798334121704102, mean_queue:13.991666793823242
intersection:7, mean_episode_reward:-2.7247214317321777, mean_queue:12.43055534362793
intersection:8, mean_episode_reward:-3.8472235202789307, mean_queue:11.116666793823242
intersection:9, mean_episode_reward:3.216111660003662, mean_queue:12.994444847106934
intersection:10, mean_episode_reward:-5.005832672119141, mean_queue:21.375
intersection:11, mean_episode_reward:-7.403056621551514, mean_queue:21.988889694213867
intersection:12, mean_episode_reward:-6.457499027252197, mean_queue:15.644444465637207
intersection:13, mean_episode_reward:-7.199721813201904, mean_queue:21.600000381469727
intersection:14, mean_episode_reward:3.3780558109283447, mean_queue:14.730555534362793
intersection:15, mean_episode_reward:-12.915276527404785, mean_queue:20.66111183166504
intersection:16, mean_episode_reward:0.4833332896232605, mean_queue:0.0
intersection:17, mean_episode_reward:1.235555648803711, mean_queue:0.0
intersection:18, mean_episode_reward:0.5344443917274475, mean_queue:0.0
intersection:19, mean_episode_reward:1.8463892936706543, mean_queue:0.0
intersection:20, mean_episode_reward:1.458611011505127, mean_queue:0.0
intersection:21, mean_episode_reward:2.5369441509246826, mean_queue:0.0
intersection:22, mean_episode_reward:0.42888885736465454, mean_queue:0.0
intersection:23, mean_episode_reward:0.03861111402511597, mean_queue:0.0
intersection:24, mean_episode_reward:1.1841667890548706, mean_queue:0.0
intersection:25, mean_episode_reward:0.47611117362976074, mean_queue:0.0
intersection:26, mean_episode_reward:1.240277886390686, mean_queue:0.0
intersection:27, mean_episode_reward:1.360555648803711, mean_queue:0.0
intersection:28, mean_episode_reward:0.9663889408111572, mean_queue:0.0
intersection:29, mean_episode_reward:0.5600000619888306, mean_queue:0.0
intersection:30, mean_episode_reward:1.1780555248260498, mean_queue:0.0
intersection:31, mean_episode_reward:0.7841666340827942, mean_queue:0.0
Test step:3/200, travel time :768.7333333333333, rewards:-229.31612413194443, queue:14.633506944444445, delay:0.16392702526516384, throughput:480
step:3600/3600, q_loss:11.736852645874023, rewards:-64.71918402777777, queue:8.481423611111111, delay:0.13988734351264107, throughput:1202
episode:4/200, real avg travel time:740.8643926788685
intersection:0, mean_episode_reward:-8.814165115356445, mean_queue:11.19444465637207
intersection:1, mean_episode_reward:1.3566670417785645, mean_queue:10.766666412353516
intersection:2, mean_episode_reward:-4.246111869812012, mean_queue:14.658333778381348
intersection:3, mean_episode_reward:-10.613334655761719, mean_queue:21.077777862548828
intersection:4, mean_episode_reward:-9.246947288513184, mean_queue:17.83333396911621
intersection:5, mean_episode_reward:-4.77666711807251, mean_queue:18.225000381469727
intersection:6, mean_episode_reward:3.1466643810272217, mean_queue:19.483333587646484
intersection:7, mean_episode_reward:2.3152778148651123, mean_queue:14.947221755981445
intersection:8, mean_episode_reward:-5.151666641235352, mean_queue:18.155555725097656
intersection:9, mean_episode_reward:5.7438883781433105, mean_queue:13.022222518920898
intersection:10, mean_episode_reward:-18.849170684814453, mean_queue:23.65833282470703
intersection:11, mean_episode_reward:-4.181390762329102, mean_queue:16.186111450195312
intersection:12, mean_episode_reward:-9.263052940368652, mean_queue:13.797222137451172
intersection:13, mean_episode_reward:-16.327781677246094, mean_queue:27.225000381469727
intersection:14, mean_episode_reward:3.1972222328186035, mean_queue:14.88888931274414
intersection:15, mean_episode_reward:-9.19778060913086, mean_queue:16.28611183166504
intersection:16, mean_episode_reward:0.3538888692855835, mean_queue:0.0
intersection:17, mean_episode_reward:0.46027782559394836, mean_queue:0.0
intersection:18, mean_episode_reward:0.6944444179534912, mean_queue:0.0
intersection:19, mean_episode_reward:2.388333559036255, mean_queue:0.0
intersection:20, mean_episode_reward:0.9916666746139526, mean_queue:0.0
intersection:21, mean_episode_reward:1.9533334970474243, mean_queue:0.0
intersection:22, mean_episode_reward:0.5152778029441833, mean_queue:0.0
intersection:23, mean_episode_reward:0.021111110225319862, mean_queue:0.0
