step:3600/3600, q_loss:0, rewards:-9.581667073567708, queue:6.192274305555555, delay:0.06189080874125163, throughput:1432
episode:0/200, real avg travel time:253.28631284916202
intersection:0, mean_episode_reward:-1.4513887166976929, mean_queue:11.630555152893066
intersection:1, mean_episode_reward:-0.9408330917358398, mean_queue:11.741666793823242
intersection:2, mean_episode_reward:-0.4572223126888275, mean_queue:11.699999809265137
intersection:3, mean_episode_reward:-1.7508329153060913, mean_queue:11.105555534362793
intersection:4, mean_episode_reward:-0.4563888609409332, mean_queue:11.86388874053955
intersection:5, mean_episode_reward:0.07138895988464355, mean_queue:11.144444465637207
intersection:6, mean_episode_reward:0.13333337008953094, mean_queue:11.38611125946045
intersection:7, mean_episode_reward:-0.5536109805107117, mean_queue:11.030555725097656
intersection:8, mean_episode_reward:-1.095000147819519, mean_queue:11.949999809265137
intersection:9, mean_episode_reward:-0.8477780818939209, mean_queue:11.952777862548828
intersection:10, mean_episode_reward:0.4524999260902405, mean_queue:11.88611125946045
intersection:11, mean_episode_reward:-0.17777785658836365, mean_queue:11.51111125946045
intersection:12, mean_episode_reward:-1.03000009059906, mean_queue:11.397222518920898
intersection:13, mean_episode_reward:-1.4033337831497192, mean_queue:11.933333396911621
intersection:14, mean_episode_reward:-0.8308332562446594, mean_queue:11.838889122009277
intersection:15, mean_episode_reward:-1.327222228050232, mean_queue:11.41944408416748
intersection:16, mean_episode_reward:0.05333331972360611, mean_queue:0.7749999761581421
intersection:17, mean_episode_reward:0.10055553913116455, mean_queue:0.7777777910232544
intersection:18, mean_episode_reward:0.1019444391131401, mean_queue:0.7888888716697693
intersection:19, mean_episode_reward:0.21555554866790771, mean_queue:0.8166666626930237
intersection:20, mean_episode_reward:0.20027773082256317, mean_queue:0.7527777552604675
intersection:21, mean_episode_reward:0.19833338260650635, mean_queue:0.8138889074325562
intersection:22, mean_episode_reward:0.0647222101688385, mean_queue:0.7888888716697693
intersection:23, mean_episode_reward:0.0072222184389829636, mean_queue:0.7805555462837219
intersection:24, mean_episode_reward:0.18277786672115326, mean_queue:0.7749999761581421
intersection:25, mean_episode_reward:0.0972222313284874, mean_queue:0.7749999761581421
intersection:26, mean_episode_reward:0.13277778029441833, mean_queue:0.75
intersection:27, mean_episode_reward:0.23138883709907532, mean_queue:0.769444465637207
intersection:28, mean_episode_reward:0.17472214996814728, mean_queue:0.7833333611488342
intersection:29, mean_episode_reward:0.11916673183441162, mean_queue:0.8333333134651184
intersection:30, mean_episode_reward:0.12944439053535461, mean_queue:0.8722222447395325
intersection:31, mean_episode_reward:0.0738888829946518, mean_queue:0.8083333373069763
Test step:0/200, travel time :691.8518518518518, rewards:-203.78446180555557, queue:17.459635416666668, delay:0.14370287789238823, throughput:540
step:3600/3600, q_loss:0, rewards:-10.036109754774305, queue:6.239756944444444, delay:0.06298954221937392, throughput:1427
episode:1/200, real avg travel time:257.0665732305536
intersection:0, mean_episode_reward:-1.3633333444595337, mean_queue:11.649999618530273
intersection:1, mean_episode_reward:-0.10972214490175247, mean_queue:11.38611125946045
intersection:2, mean_episode_reward:-1.3602783679962158, mean_queue:12.541666984558105
intersection:3, mean_episode_reward:-1.5566658973693848, mean_queue:10.983333587646484
intersection:4, mean_episode_reward:-0.9805558919906616, mean_queue:12.052778244018555
intersection:5, mean_episode_reward:-0.7136115431785583, mean_queue:11.602777481079102
intersection:6, mean_episode_reward:0.34861114621162415, mean_queue:11.522222518920898
intersection:7, mean_episode_reward:-0.9472218155860901, mean_queue:11.73611068725586
intersection:8, mean_episode_reward:-0.43972235918045044, mean_queue:11.48611068725586
intersection:9, mean_episode_reward:-0.3408333361148834, mean_queue:12.158333778381348
intersection:10, mean_episode_reward:-0.7511110901832581, mean_queue:12.166666984558105
intersection:11, mean_episode_reward:-0.2569444179534912, mean_queue:11.383333206176758
intersection:12, mean_episode_reward:-1.836388111114502, mean_queue:12.191666603088379
intersection:13, mean_episode_reward:-0.27749985456466675, mean_queue:11.725000381469727
intersection:14, mean_episode_reward:-0.17222227156162262, mean_queue:11.100000381469727
intersection:15, mean_episode_reward:-1.5911098718643188, mean_queue:11.324999809265137
intersection:16, mean_episode_reward:0.04666666314005852, mean_queue:0.7749999761581421
intersection:17, mean_episode_reward:0.1133333221077919, mean_queue:0.7777777910232544
intersection:18, mean_episode_reward:0.11083333939313889, mean_queue:0.7888888716697693
intersection:19, mean_episode_reward:0.2361111342906952, mean_queue:0.8166666626930237
intersection:20, mean_episode_reward:0.32138893008232117, mean_queue:0.7527777552604675
intersection:21, mean_episode_reward:0.21972224116325378, mean_queue:0.8138889074325562
intersection:22, mean_episode_reward:0.057500001043081284, mean_queue:0.7888888716697693
intersection:23, mean_episode_reward:-0.0027777780778706074, mean_queue:0.7805555462837219
intersection:24, mean_episode_reward:0.18527784943580627, mean_queue:0.7749999761581421
intersection:25, mean_episode_reward:0.09638889878988266, mean_queue:0.7749999761581421
intersection:26, mean_episode_reward:0.1719444841146469, mean_queue:0.75
intersection:27, mean_episode_reward:0.20138882100582123, mean_queue:0.769444465637207
intersection:28, mean_episode_reward:0.18583327531814575, mean_queue:0.7833333611488342
intersection:29, mean_episode_reward:0.1275000274181366, mean_queue:0.8333333134651184
intersection:30, mean_episode_reward:0.1613888442516327, mean_queue:0.8722222447395325
intersection:31, mean_episode_reward:0.08000000566244125, mean_queue:0.8083333373069763
Test step:1/200, travel time :691.8518518518518, rewards:-203.78446180555557, queue:17.459635416666668, delay:0.14370287789238823, throughput:540
step:3600/3600, q_loss:1.109173059463501, rewards:-12.084722222222222, queue:6.397048611111111, delay:0.07103687392340766, throughput:1389
episode:2/200, real avg travel time:264.3599712023038
intersection:0, mean_episode_reward:-1.3061110973358154, mean_queue:11.730555534362793
intersection:1, mean_episode_reward:-0.824444591999054, mean_queue:12.019444465637207
intersection:2, mean_episode_reward:-1.1566665172576904, mean_queue:12.574999809265137
intersection:3, mean_episode_reward:-1.4280552864074707, mean_queue:11.452777862548828
intersection:4, mean_episode_reward:-0.8669440150260925, mean_queue:12.494444847106934
intersection:5, mean_episode_reward:-0.46027788519859314, mean_queue:11.577777862548828
intersection:6, mean_episode_reward:0.26194438338279724, mean_queue:11.852777481079102
intersection:7, mean_episode_reward:-1.7877780199050903, mean_queue:12.144444465637207
intersection:8, mean_episode_reward:0.44111114740371704, mean_queue:11.641666412353516
intersection:9, mean_episode_reward:0.09222224354743958, mean_queue:11.641666412353516
intersection:10, mean_episode_reward:-0.3525000810623169, mean_queue:12.283333778381348
intersection:11, mean_episode_reward:-0.6474999189376831, mean_queue:11.727777481079102
intersection:12, mean_episode_reward:-2.5213890075683594, mean_queue:12.727777481079102
intersection:13, mean_episode_reward:-1.248333215713501, mean_queue:12.394444465637207
