step:3600/3600, q_loss:0, rewards:-10.92777845594618, queue:1.1764756944444446, delay:0.054483429590861006, throughput:1432
episode:0/200, real avg travel time:253.28631284916202
intersection:0, mean_episode_reward:-1.851388931274414, mean_queue:2.452777862548828
intersection:1, mean_episode_reward:-1.042777180671692, mean_queue:2.741666555404663
intersection:2, mean_episode_reward:-0.7855555415153503, mean_queue:2.394444465637207
intersection:3, mean_episode_reward:-1.7644449472427368, mean_queue:2.163888931274414
intersection:4, mean_episode_reward:-0.5938889980316162, mean_queue:2.424999952316284
intersection:5, mean_episode_reward:0.023055491968989372, mean_queue:2.2166666984558105
intersection:6, mean_episode_reward:0.1327776312828064, mean_queue:1.8388888835906982
intersection:7, mean_episode_reward:-0.5641668438911438, mean_queue:1.9222222566604614
intersection:8, mean_episode_reward:-1.0111109018325806, mean_queue:2.7333333492279053
intersection:9, mean_episode_reward:-0.7888894081115723, mean_queue:2.9111111164093018
intersection:10, mean_episode_reward:0.39611124992370605, mean_queue:2.2444443702697754
intersection:11, mean_episode_reward:-0.523888885974884, mean_queue:2.491666555404663
intersection:12, mean_episode_reward:-1.2927778959274292, mean_queue:1.9361110925674438
intersection:13, mean_episode_reward:-1.463611125946045, mean_queue:2.8027777671813965
intersection:14, mean_episode_reward:-0.568888783454895, mean_queue:2.219444513320923
intersection:15, mean_episode_reward:-1.5458331108093262, mean_queue:2.152777671813965
intersection:16, mean_episode_reward:0.07527777552604675, mean_queue:0.0
intersection:17, mean_episode_reward:0.08472222089767456, mean_queue:0.0
intersection:18, mean_episode_reward:0.1455555558204651, mean_queue:0.0
intersection:19, mean_episode_reward:0.26027777791023254, mean_queue:0.0
intersection:20, mean_episode_reward:0.2638889253139496, mean_queue:0.0
intersection:21, mean_episode_reward:0.23083336651325226, mean_queue:0.0
intersection:22, mean_episode_reward:0.024166669696569443, mean_queue:0.0
intersection:23, mean_episode_reward:0.05000000074505806, mean_queue:0.0
intersection:24, mean_episode_reward:0.06750000268220901, mean_queue:0.0
intersection:25, mean_episode_reward:0.11722222715616226, mean_queue:0.0
intersection:26, mean_episode_reward:0.16111110150814056, mean_queue:0.0
intersection:27, mean_episode_reward:0.3100000321865082, mean_queue:0.0
intersection:28, mean_episode_reward:0.13750000298023224, mean_queue:0.0
intersection:29, mean_episode_reward:0.15694443881511688, mean_queue:0.0
intersection:30, mean_episode_reward:0.17000001668930054, mean_queue:0.0
intersection:31, mean_episode_reward:0.0625, mean_queue:0.0
Test step:0/200, travel time :903.3680203045685, rewards:-223.88999565972222, queue:12.526996527777778, delay:0.1605852550930447, throughput:394
step:3600/3600, q_loss:0, rewards:-11.276945665147569, queue:1.2353298611111112, delay:0.055751567416720924, throughput:1427
episode:1/200, real avg travel time:257.0665732305536
intersection:0, mean_episode_reward:-1.8247219324111938, mean_queue:2.6083333492279053
intersection:1, mean_episode_reward:-0.3105555474758148, mean_queue:2.555555582046509
intersection:2, mean_episode_reward:-1.5755552053451538, mean_queue:3.194444417953491
intersection:3, mean_episode_reward:-1.682222843170166, mean_queue:2.222222328186035
intersection:4, mean_episode_reward:-1.096388816833496, mean_queue:2.6611111164093018
intersection:5, mean_episode_reward:-0.5722222924232483, mean_queue:2.566666603088379
intersection:6, mean_episode_reward:0.2613888084888458, mean_queue:1.9722222089767456
intersection:7, mean_episode_reward:-1.0474998950958252, mean_queue:2.519444465637207
intersection:8, mean_episode_reward:-0.5136108994483948, mean_queue:2.469444513320923
intersection:9, mean_episode_reward:-0.45333319902420044, mean_queue:3.0916666984558105
intersection:10, mean_episode_reward:-0.6019445061683655, mean_queue:2.469444513320923
intersection:11, mean_episode_reward:-0.4522222876548767, mean_queue:2.202777862548828
intersection:12, mean_episode_reward:-1.8419445753097534, mean_queue:2.555555582046509
intersection:13, mean_episode_reward:-0.5072223544120789, mean_queue:2.7361111640930176
intersection:14, mean_episode_reward:-0.07999981194734573, mean_queue:1.8388888835906982
intersection:15, mean_episode_reward:-1.6869451999664307, mean_queue:1.8666666746139526
intersection:16, mean_episode_reward:0.07750000059604645, mean_queue:0.0
intersection:17, mean_episode_reward:0.09805555641651154, mean_queue:0.0
intersection:18, mean_episode_reward:0.19361110031604767, mean_queue:0.0
intersection:19, mean_episode_reward:0.3027777671813965, mean_queue:0.0
intersection:20, mean_episode_reward:0.4330555498600006, mean_queue:0.0
intersection:21, mean_episode_reward:0.27500003576278687, mean_queue:0.0
intersection:22, mean_episode_reward:0.03638888895511627, mean_queue:0.0
intersection:23, mean_episode_reward:0.031388889998197556, mean_queue:0.0
intersection:24, mean_episode_reward:0.07472222298383713, mean_queue:0.0
intersection:25, mean_episode_reward:0.09749999642372131, mean_queue:0.0
intersection:26, mean_episode_reward:0.2194444239139557, mean_queue:0.0
intersection:27, mean_episode_reward:0.2547222375869751, mean_queue:0.0
intersection:28, mean_episode_reward:0.15416666865348816, mean_queue:0.0
intersection:29, mean_episode_reward:0.17194445431232452, mean_queue:0.0
intersection:30, mean_episode_reward:0.2152777761220932, mean_queue:0.0
intersection:31, mean_episode_reward:0.07250000536441803, mean_queue:0.0
