vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,pkw,11.0,138.0,127.0,,1139.181,0.0,0.0,127.0,8.897,,,0.0,1.0,,True,completed
14,pkw,70.0,164.0,94.0,,867.766,0.0,0.0,94.0,9.042,,,0.0,1.0,,True,completed
15,pkw,74.0,191.0,117.0,,876.484,27.0,27.0,90.0,36.36,,,0.2308,0.7692,,True,completed
7,pkw,21.0,192.0,171.0,,1460.831,19.0,20.0,151.0,38.361,,,0.117,0.883,,True,completed
1,pkw,8.0,194.0,186.0,,1443.408,11.0,37.0,149.0,54.56,,,0.1989,0.8011,,True,completed
2,pkw,9.0,195.0,186.0,,1731.31,0.0,11.0,175.0,28.438,,,0.0591,0.9409,,True,completed
26,pkw,117.0,206.0,89.0,,857.346,0.0,0.0,89.0,5.469,,,0.0,1.0,,True,completed
20,pkw,98.0,208.0,110.0,,1134.979,0.0,0.0,110.0,6.173,,,0.0,1.0,,True,completed
16,pkw,75.0,214.0,139.0,,1447.851,0.0,0.0,139.0,7.022,,,0.0,1.0,,True,completed
27,pkw,123.0,214.0,91.0,,848.328,0.0,0.0,91.0,4.957,,,0.0,1.0,,True,completed
10,pkw,54.0,219.0,165.0,,1181.056,12.0,47.0,118.0,57.704,,,0.2848,0.7152,,True,completed
13,pkw,65.0,231.0,166.0,,1456.104,6.0,16.0,150.0,33.644,,,0.0964,0.9036,,True,completed
17,pkw,82.0,237.0,155.0,,1144.363,3.0,21.0,134.0,36.105,,,0.1355,0.8645,,True,completed
8,pkw,34.0,240.0,206.0,,1465.177,16.0,30.0,176.0,54.575,,,0.1456,0.8544,,True,completed
28,pkw,129.0,241.0,112.0,,866.707,24.0,24.0,88.0,32.848,,,0.2143,0.7857,,True,completed
47,pkw,192.0,246.0,54.0,,562.53,0.0,0.0,54.0,2.372,,,0.0,1.0,,True,completed
6,pkw,20.0,265.0,245.0,,2027.871,0.0,43.0,202.0,59.812,,,0.1755,0.8245,,True,completed
45,pkw,191.0,274.0,83.0,,821.56,0.0,0.0,83.0,6.521,,,0.0,1.0,,True,completed
36,pkw,165.0,278.0,113.0,,1184.087,0.0,0.0,113.0,5.431,,,0.0,1.0,,True,completed
0,pkw,5.0,279.0,274.0,,1742.254,3.0,77.0,197.0,106.6,,,0.281,0.719,,True,completed
24,pkw,106.0,279.0,173.0,,1730.758,0.0,0.0,173.0,10.09,,,0.0,1.0,,True,completed
