vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
0,pkw,2.0,149.0,147.0,,1418.674,0.0,0.0,147.0,9.376,,,0.0,1.0,,True,completed
11,pkw,70.0,163.0,93.0,,870.832,3.0,3.0,90.0,12.669,,,0.0323,0.9677,,True,completed
1,pkw,5.0,189.0,184.0,,1742.748,1.0,9.0,175.0,25.489,,,0.0489,0.9511,,True,completed
5,pkw,20.0,192.0,172.0,,1172.764,37.0,51.0,121.0,65.45,,,0.2965,0.7035,,True,completed
12,pkw,74.0,203.0,129.0,,876.732,21.0,21.0,108.0,31.185,,,0.1628,0.8372,,True,completed
22,pkw,123.0,205.0,82.0,,846.485,0.0,0.0,82.0,4.457,,,0.0,1.0,,True,completed
3,pkw,9.0,209.0,200.0,,1730.434,2.0,2.0,198.0,20.384,,,0.01,0.99,,True,completed
21,pkw,117.0,213.0,96.0,,858.296,0.0,0.0,96.0,5.9,,,0.0,1.0,,True,completed
2,pkw,8.0,222.0,214.0,,1444.165,47.0,62.0,152.0,82.603,,,0.2897,0.7103,,True,completed
7,pkw,21.0,224.0,203.0,,1458.735,46.0,47.0,156.0,70.384,,,0.2315,0.7685,,True,completed
13,pkw,75.0,226.0,151.0,,1451.971,7.0,7.0,144.0,10.234,,,0.0464,0.9536,,True,completed
6,pkw,20.0,227.0,207.0,,1711.911,0.0,28.0,179.0,50.74,,,0.1353,0.8647,,True,completed
4,pkw,12.0,234.0,222.0,,1465.192,66.0,66.0,156.0,79.042,,,0.2973,0.7027,,True,completed
9,pkw,54.0,240.0,186.0,,1179.603,7.0,39.0,147.0,51.788,,,0.2097,0.7903,,True,completed
24,pkw,129.0,242.0,113.0,,868.886,23.0,23.0,90.0,31.374,,,0.2035,0.7965,,True,completed
36,pkw,181.0,244.0,63.0,,578.795,2.0,2.0,61.0,9.908,,,0.0317,0.9683,,True,completed
14,pkw,82.0,245.0,163.0,,1146.136,32.0,35.0,128.0,43.509,,,0.2147,0.7853,,True,completed
16,pkw,98.0,247.0,149.0,,1426.496,7.0,7.0,142.0,18.976,,,0.047,0.953,,True,completed
41,pkw,192.0,249.0,57.0,,563.274,0.0,0.0,57.0,2.861,,,0.0,1.0,,True,completed
8,pkw,43.0,268.0,225.0,,2034.992,0.0,0.0,225.0,14.492,,,0.0,1.0,,True,completed
20,pkw,106.0,273.0,167.0,,1731.171,0.0,0.0,167.0,9.313,,,0.0,1.0,,True,completed
35,pkw,175.0,280.0,105.0,,866.054,18.0,18.0,87.0,26.054,,,0.1714,0.8286,,True,completed
39,pkw,191.0,281.0,90.0,,827.218,0.0,0.0,90.0,6.58,,,0.0,1.0,,True,completed
17,pkw,100.0,283.0,183.0,,1445.659,16.0,16.0,167.0,32.212,,,0.0874,0.9126,,True,completed
19,pkw,103.0,292.0,189.0,,1464.523,43.0,43.0,146.0,56.098,,,0.2275,0.7725,,True,completed
31,pkw,165.0,292.0,127.0,,1175.48,10.0,10.0,117.0,20.206,,,0.0787,0.9213,,True,completed
18,pkw,101.0,301.0,200.0,,1749.807,27.0,27.0,173.0,40.425,,,0.135,0.865,,True,completed
37,pkw,182.0,301.0,119.0,,1162.007,0.0,0.0,119.0,13.402,,,0.0,1.0,,True,completed
26,pkw,144.0,307.0,163.0,,1446.733,5.0,6.0,157.0,22.367,,,0.0368,0.9632,,True,completed
25,pkw,138.0,310.0,172.0,,1461.086,11.0,22.0,150.0,39.149,,,0.1279,0.8721,,True,completed
34,pkw,173.0,316.0,143.0,,1427.973,0.0,0.0,143.0,12.71,,,0.0,1.0,,True,completed
15,pkw,85.0,320.0,235.0,,1744.152,7.0,50.0,185.0,67.418,,,0.2128,0.7872,,True,completed
47,pkw,224.0,322.0,98.0,,877.485,10.0,10.0,88.0,18.026,,,0.102,0.898,,True,completed
29,pkw,158.0,330.0,172.0,,1159.849,27.0,53.0,119.0,66.613,,,0.3081,0.6919,,True,completed
45,pkw,218.0,331.0,113.0,,1163.95,0.0,0.0,113.0,5.527,,,0.0,1.0,,True,completed
27,pkw,153.0,349.0,196.0,,1438.627,0.0,35.0,161.0,50.964,,,0.1786,0.8214,,True,completed
33,pkw,171.0,352.0,181.0,,1160.566,35.0,59.0,122.0,75.44,,,0.326,0.674,,True,completed
42,pkw,196.0,354.0,158.0,,1160.294,4.0,27.0,131.0,44.562,,,0.1709,0.8291,,True,completed
28,pkw,153.0,355.0,202.0,,1465.609,32.0,44.0,158.0,68.423,,,0.2178,0.7822,,True,completed
38,pkw,183.0,356.0,173.0,,1692.114,0.0,0.0,173.0,18.05,,,0.0,1.0,,True,completed
51,pkw,244.0,363.0,119.0,,1102.367,7.0,7.0,112.0,9.565,,,0.0588,0.9412,,True,completed
43,pkw,202.0,384.0,182.0,,1445.155,9.0,9.0,173.0,13.167,,,0.0495,0.9505,,True,completed
52,pkw,250.0,384.0,134.0,,1165.118,7.0,7.0,127.0,8.857,,,0.0522,0.9478,,True,completed
10,pkw,59.0,390.0,331.0,,1780.323,41.0,146.0,185.0,161.606,,,0.4411,0.5589,,True,completed
59,pkw,276.0,393.0,117.0,,877.414,15.0,15.0,102.0,26.456,,,0.1282,0.8718,,True,completed
78,pkw,343.0,398.0,55.0,,557.606,0.0,0.0,55.0,3.021,,,0.0,1.0,,True,completed
72,pkw,328.0,411.0,83.0,,849.557,0.0,0.0,83.0,5.16,,,0.0,1.0,,True,completed
58,pkw,273.0,412.0,139.0,,1155.12,19.0,19.0,120.0,33.817,,,0.1367,0.8633,,True,completed
46,pkw,223.0,419.0,196.0,,1462.388,0.0,25.0,171.0,39.046,,,0.1276,0.8724,,True,completed
57,pkw,269.0,421.0,152.0,,1176.241,5.0,14.0,138.0,29.531,,,0.0921,0.9079,,True,completed
48,pkw,232.0,424.0,192.0,,1467.758,35.0,35.0,157.0,47.297,,,0.1823,0.8177,,True,completed
67,pkw,312.0,424.0,112.0,,1143.907,0.0,0.0,112.0,7.31,,,0.0,1.0,,True,completed
49,pkw,240.0,426.0,186.0,,1721.877,0.0,12.0,174.0,28.979,,,0.0645,0.9355,,True,completed
71,pkw,321.0,433.0,112.0,,1147.387,0.0,0.0,112.0,6.827,,,0.0,1.0,,True,completed
44,pkw,212.0,439.0,227.0,,2068.238,12.0,18.0,209.0,39.38,,,0.0793,0.9207,,True,completed
65,pkw,305.0,442.0,137.0,,1166.268,17.0,17.0,120.0,30.65,,,0.1241,0.8759,,True,completed
86,pkw,370.0,453.0,83.0,,860.838,0.0,0.0,83.0,4.039,,,0.0,1.0,,True,completed
63,pkw,301.0,467.0,166.0,,1733.408,0.0,0.0,166.0,8.076,,,0.0,1.0,,True,completed
91,pkw,385.0,468.0,83.0,,858.634,0.0,0.0,83.0,4.356,,,0.0,1.0,,True,completed
62,pkw,299.0,470.0,171.0,,1458.258,0.0,6.0,165.0,11.295,,,0.0351,0.9649,,True,completed
69,pkw,319.0,471.0,152.0,,1419.462,9.0,9.0,143.0,21.68,,,0.0592,0.9408,,True,completed
50,pkw,241.0,472.0,231.0,,1764.709,30.0,53.0,178.0,70.56,,,0.2294,0.7706,,True,completed
23,pkw,124.0,474.0,350.0,,2031.705,0.0,144.0,206.0,164.866,,,0.4114,0.5886,,True,completed
30,pkw,160.0,483.0,323.0,,2029.82,8.0,102.0,221.0,126.333,,,0.3158,0.6842,,True,completed
70,pkw,320.0,486.0,166.0,,1461.785,0.0,20.0,146.0,32.042,,,0.1205,0.8795,,True,completed
40,pkw,191.0,489.0,298.0,,2064.975,32.0,59.0,239.0,79.983,,,0.198,0.802,,True,completed
53,pkw,255.0,492.0,237.0,,1747.589,40.0,48.0,189.0,78.046,,,0.2025,0.7975,,True,completed
55,pkw,262.0,493.0,231.0,,1758.212,30.0,44.0,187.0,61.889,,,0.1905,0.8095,,True,completed
68,pkw,318.0,495.0,177.0,,1435.603,29.0,29.0,148.0,46.07,,,0.1638,0.8362,,True,completed
60,pkw,277.0,503.0,226.0,,1752.333,29.0,31.0,195.0,56.348,,,0.1372,0.8628,,True,completed
64,pkw,302.0,513.0,211.0,,1464.648,31.0,48.0,163.0,68.398,,,0.2275,0.7725,,True,completed
94,pkw,398.0,517.0,119.0,,1168.493,0.0,0.0,119.0,6.199,,,0.0,1.0,,True,completed
87,pkw,375.0,522.0,147.0,,1476.56,1.0,1.0,146.0,13.108,,,0.0068,0.9932,,True,completed
109,pkw,444.0,532.0,88.0,,865.56,0.0,0.0,88.0,4.99,,,0.0,1.0,,True,completed
101,pkw,417.0,533.0,116.0,,857.291,23.0,23.0,93.0,32.65,,,0.1983,0.8017,,True,completed
98,pkw,408.0,538.0,130.0,,1140.785,13.0,13.0,117.0,24.976,,,0.1,0.9,,True,completed
61,pkw,279.0,539.0,260.0,,2025.867,2.0,24.0,236.0,41.175,,,0.0923,0.9077,,True,completed
32,pkw,170.0,540.0,370.0,,1779.664,61.0,143.0,227.0,173.796,,,0.3865,0.6135,,True,completed
79,pkw,344.0,540.0,196.0,,1443.301,23.0,23.0,173.0,42.186,,,0.1173,0.8827,,True,completed
81,pkw,359.0,541.0,182.0,,1756.152,1.0,8.0,174.0,12.919,,,0.044,0.956,,True,completed
90,pkw,384.0,541.0,157.0,,1461.366,0.0,7.0,150.0,24.256,,,0.0446,0.9554,,True,completed
73,pkw,334.0,543.0,209.0,,1478.436,13.0,46.0,163.0,72.372,,,0.2201,0.7799,,True,completed
97,pkw,403.0,543.0,140.0,,1461.407,0.0,0.0,140.0,7.074,,,0.0,1.0,,True,completed
66,pkw,309.0,544.0,235.0,,1743.777,7.0,44.0,191.0,67.185,,,0.1872,0.8128,,True,completed
83,pkw,365.0,551.0,186.0,,1454.004,11.0,20.0,166.0,27.517,,,0.1075,0.8925,,True,completed
117,pkw,471.0,553.0,82.0,,843.217,0.0,0.0,82.0,4.372,,,0.0,1.0,,True,completed
85,pkw,369.0,556.0,187.0,,1723.319,0.0,14.0,173.0,29.534,,,0.0749,0.9251,,True,completed
104,pkw,429.0,562.0,133.0,,1162.777,4.0,11.0,122.0,18.739,,,0.0827,0.9173,,True,completed
84,pkw,367.0,565.0,198.0,,1462.997,16.0,41.0,157.0,65.313,,,0.2071,0.7929,,True,completed
89,pkw,382.0,566.0,184.0,,1173.665,24.0,37.0,147.0,52.323,,,0.2011,0.7989,,True,completed
74,pkw,336.0,569.0,233.0,,2280.739,0.0,0.0,233.0,15.084,,,0.0,1.0,,True,completed
76,pkw,340.0,573.0,233.0,,1174.935,68.0,111.0,122.0,126.255,,,0.4764,0.5236,,True,completed
88,pkw,380.0,578.0,198.0,,1722.985,13.0,26.0,172.0,40.87,,,0.1313,0.8687,,True,completed
80,pkw,354.0,580.0,226.0,,1180.539,18.0,70.0,156.0,86.425,,,0.3097,0.6903,,True,completed
54,pkw,260.0,583.0,323.0,,1764.91,68.0,144.0,179.0,162.968,,,0.4458,0.5542,,True,completed
114,pkw,466.0,591.0,125.0,,1134.263,0.0,0.0,125.0,7.923,,,0.0,1.0,,True,completed
108,pkw,440.0,592.0,152.0,,1407.518,0.0,4.0,148.0,22.908,,,0.0263,0.9737,,True,completed
112,pkw,452.0,592.0,140.0,,1172.353,0.0,6.0,134.0,17.417,,,0.0429,0.9571,,True,completed
116,pkw,469.0,594.0,125.0,,1166.77,2.0,2.0,123.0,11.737,,,0.016,0.984,,True,completed
128,pkw,502.0,594.0,92.0,,874.124,0.0,0.0,92.0,4.234,,,0.0,1.0,,True,completed
107,pkw,437.0,596.0,159.0,,1428.618,0.0,0.0,159.0,12.465,,,0.0,1.0,,True,completed
110,pkw,444.0,597.0,153.0,,1436.445,8.0,8.0,145.0,21.89,,,0.0523,0.9477,,True,completed
105,pkw,436.0,608.0,172.0,,1708.885,0.0,0.0,172.0,16.089,,,0.0,1.0,,True,completed
77,pkw,341.0,608.0,267.0,,1173.851,13.0,118.0,149.0,136.484,,,0.4419,0.5581,,True,completed
111,pkw,449.0,611.0,162.0,,1460.919,0.0,13.0,149.0,28.852,,,0.0802,0.9198,,True,completed
106,pkw,436.0,612.0,176.0,,1470.71,9.0,28.0,148.0,39.67,,,0.1591,0.8409,,True,completed
120,pkw,481.0,612.0,131.0,,1175.144,14.0,14.0,117.0,24.236,,,0.1069,0.8931,,True,completed
119,pkw,475.0,613.0,138.0,,1169.074,8.0,16.0,122.0,22.263,,,0.1159,0.8841,,True,completed
56,pkw,268.0,614.0,346.0,,1750.514,67.0,163.0,183.0,186.895,,,0.4711,0.5289,,True,completed
124,pkw,492.0,616.0,124.0,,1143.662,6.0,6.0,118.0,19.309,,,0.0484,0.9516,,True,completed
118,pkw,473.0,619.0,146.0,,1132.837,0.0,8.0,138.0,15.229,,,0.0548,0.9452,,True,completed
146,pkw,547.0,622.0,75.0,,564.487,15.0,15.0,60.0,23.196,,,0.2,0.8,,True,completed
126,pkw,498.0,624.0,126.0,,1163.785,2.0,7.0,119.0,16.258,,,0.0556,0.9444,,True,completed
122,pkw,484.0,629.0,145.0,,1457.239,0.0,0.0,145.0,12.013,,,0.0,1.0,,True,completed
100,pkw,414.0,630.0,216.0,,1711.588,0.0,19.0,197.0,41.663,,,0.088,0.912,,True,completed
139,pkw,540.0,632.0,92.0,,871.65,2.0,2.0,90.0,12.551,,,0.0217,0.9783,,True,completed
113,pkw,465.0,636.0,171.0,,1739.887,0.0,0.0,171.0,12.718,,,0.0,1.0,,True,completed
133,pkw,524.0,642.0,118.0,,880.585,24.0,24.0,94.0,37.747,,,0.2034,0.7966,,True,completed
96,pkw,401.0,644.0,243.0,,1749.919,38.0,64.0,179.0,83.753,,,0.2634,0.7366,,True,completed
92,pkw,387.0,646.0,259.0,,1425.578,35.0,109.0,150.0,128.507,,,0.4208,0.5792,,True,completed
95,pkw,400.0,646.0,246.0,,1464.89,65.0,75.0,171.0,94.27,,,0.3049,0.6951,,True,completed
125,pkw,496.0,647.0,151.0,,1419.231,5.0,5.0,146.0,20.426,,,0.0331,0.9669,,True,completed
145,pkw,545.0,654.0,109.0,,877.096,14.0,14.0,95.0,29.061,,,0.1284,0.8716,,True,completed
143,pkw,543.0,655.0,112.0,,1142.572,0.0,0.0,112.0,7.713,,,0.0,1.0,,True,completed
