vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
11,car,70.0,152.0,82.0,,863.865,0.0,0.0,82.0,2.556,,,0.0,1.0,,True,completed
12,car,74.0,175.0,101.0,,880.773,0.0,0.0,101.0,2.739,,,0.0,1.0,,True,completed
0,truck,2.0,200.0,198.0,,1413.271,10.0,10.0,188.0,17.985,,,0.0505,0.9495,,True,completed
1,car,5.0,208.0,203.0,,1738.661,0.0,14.0,189.0,37.564,,,0.069,0.931,,True,completed
6,car,20.0,208.0,188.0,,1705.02,0.0,16.0,172.0,32.269,,,0.0851,0.9149,,True,completed
21,car,117.0,211.0,94.0,,860.482,0.0,0.0,94.0,3.609,,,0.0,1.0,,True,completed
5,truck,20.0,213.0,193.0,,1173.557,16.0,34.0,159.0,51.117,,,0.1762,0.8238,,True,completed
14,car,82.0,217.0,135.0,,1146.382,3.0,3.0,132.0,23.331,,,0.0222,0.9778,,True,completed
22,car,123.0,232.0,109.0,,843.951,21.0,21.0,88.0,31.67,,,0.1927,0.8073,,True,completed
3,car,9.0,232.0,223.0,,1736.249,0.0,19.0,204.0,42.804,,,0.0852,0.9148,,True,completed
7,car,21.0,235.0,214.0,,1462.198,66.0,69.0,145.0,81.066,,,0.3224,0.6776,,True,completed
16,car,98.0,236.0,138.0,,1425.075,0.0,0.0,138.0,8.037,,,0.0,1.0,,True,completed
9,car,54.0,236.0,182.0,,1175.196,25.0,32.0,150.0,55.804,,,0.1758,0.8242,,True,completed
2,car,8.0,238.0,230.0,,1448.265,43.0,63.0,167.0,89.981,,,0.2739,0.7261,,True,completed
24,car,129.0,245.0,116.0,,860.75,26.0,26.0,90.0,35.129,,,0.2241,0.7759,,True,completed
13,car,75.0,250.0,175.0,,1447.751,0.0,24.0,151.0,43.099,,,0.1371,0.8629,,True,completed
19,car,103.0,255.0,152.0,,1468.097,6.0,6.0,146.0,18.683,,,0.0395,0.9605,,True,completed
