vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
11,car,70.0,152.0,82.0,,863.865,0.0,0.0,82.0,2.556,,,0.0,1.0,,True,completed
7,car,21.0,157.0,136.0,,1459.892,0.0,0.0,136.0,3.273,,,0.0,1.0,,True,completed
12,car,74.0,175.0,101.0,,880.773,0.0,0.0,101.0,2.739,,,0.0,1.0,,True,completed
0,truck,2.0,181.0,179.0,,1415.828,0.0,0.0,179.0,7.281,,,0.0,1.0,,True,completed
6,car,20.0,208.0,188.0,,1703.996,0.0,16.0,172.0,32.371,,,0.0851,0.9149,,True,completed
5,truck,20.0,213.0,193.0,,1174.965,16.0,34.0,159.0,50.948,,,0.1762,0.8238,,True,completed
14,car,82.0,217.0,135.0,,1146.264,3.0,3.0,132.0,23.349,,,0.0222,0.9778,,True,completed
21,car,117.0,224.0,107.0,,856.603,6.0,6.0,101.0,9.926,,,0.0561,0.9439,,True,completed
2,car,8.0,225.0,217.0,,1442.527,36.0,65.0,152.0,85.718,,,0.2995,0.7005,,True,completed
3,car,9.0,232.0,223.0,,1736.249,0.0,26.0,197.0,42.956,,,0.1166,0.8834,,True,completed
22,car,123.0,233.0,110.0,,847.628,20.0,20.0,90.0,32.354,,,0.1818,0.8182,,True,completed
24,car,129.0,245.0,116.0,,862.902,25.0,25.0,91.0,34.929,,,0.2155,0.7845,,True,completed
9,car,54.0,250.0,196.0,,1175.301,19.0,40.0,156.0,61.291,,,0.2041,0.7959,,True,completed
13,car,75.0,251.0,176.0,,1451.326,0.0,24.0,152.0,43.46,,,0.1364,0.8636,,True,completed
16,car,98.0,252.0,154.0,,1426.875,7.0,7.0,147.0,15.75,,,0.0455,0.9545,,True,completed
19,car,103.0,255.0,152.0,,1465.16,6.0,6.0,146.0,18.943,,,0.0395,0.9605,,True,completed
41,car,192.0,256.0,64.0,,566.552,0.0,0.0,64.0,9.552,,,0.0,1.0,,True,completed
36,car,181.0,258.0,77.0,,573.982,8.0,8.0,69.0,24.341,,,0.1039,0.8961,,True,completed
1,car,5.0,271.0,266.0,,1736.294,10.0,82.0,184.0,108.022,,,0.3083,0.6917,,True,completed
39,car,191.0,280.0,89.0,,828.835,0.0,0.0,89.0,5.415,,,0.0,1.0,,True,completed
4,car,12.0,286.0,274.0,,1462.906,64.0,108.0,166.0,122.263,,,0.3942,0.6058,,True,completed
35,truck,175.0,288.0,113.0,,859.357,0.0,0.0,113.0,8.836,,,0.0,1.0,,True,completed
26,car,144.0,306.0,162.0,,1440.108,0.0,6.0,156.0,22.222,,,0.037,0.963,,True,completed
10,truck,59.0,309.0,250.0,,1773.215,21.0,21.0,229.0,36.129,,,0.084,0.916,,True,completed
34,car,173.0,311.0,138.0,,1431.613,0.0,0.0,138.0,7.213,,,0.0,1.0,,True,completed
27,car,153.0,313.0,160.0,,1442.768,0.0,0.0,160.0,14.865,,,0.0,1.0,,True,completed
47,car,224.0,325.0,101.0,,876.415,10.0,10.0,91.0,21.122,,,0.099,0.901,,True,completed
31,car,165.0,326.0,161.0,,1181.976,25.0,33.0,128.0,44.621,,,0.205,0.795,,True,completed
37,car,182.0,334.0,152.0,,1158.787,19.0,21.0,131.0,46.697,,,0.1382,0.8618,,True,completed
15,truck,85.0,339.0,254.0,,1735.828,0.0,16.0,238.0,44.197,,,0.063,0.937,,True,completed
29,car,158.0,345.0,187.0,,1159.286,66.0,70.0,117.0,81.663,,,0.3743,0.6257,,True,completed
25,truck,138.0,347.0,209.0,,1457.352,0.0,18.0,191.0,32.864,,,0.0861,0.9139,,True,completed
51,car,244.0,352.0,108.0,,1107.43,0.0,0.0,108.0,6.365,,,0.0,1.0,,True,completed
17,car,100.0,360.0,260.0,,1446.709,30.0,88.0,172.0,99.738,,,0.3385,0.6615,,True,completed
42,car,196.0,366.0,170.0,,1156.087,23.0,37.0,133.0,48.36,,,0.2176,0.7824,,True,completed
8,car,43.0,372.0,329.0,,2032.776,0.0,77.0,252.0,109.558,,,0.234,0.766,,True,completed
18,car,101.0,375.0,274.0,,1756.345,30.0,84.0,190.0,105.1,,,0.3066,0.6934,,True,completed
43,car,202.0,382.0,180.0,,1439.465,0.0,8.0,172.0,12.684,,,0.0444,0.9556,,True,completed
78,car,343.0,397.0,54.0,,552.55,0.0,0.0,54.0,2.87,,,0.0,1.0,,True,completed
20,truck,106.0,398.0,292.0,,1729.167,0.0,63.0,229.0,82.885,,,0.2158,0.7842,,True,completed
58,car,273.0,405.0,132.0,,1158.275,16.0,16.0,116.0,26.531,,,0.1212,0.8788,,True,completed
57,car,269.0,413.0,144.0,,1173.097,0.0,10.0,134.0,21.856,,,0.0694,0.9306,,True,completed
72,car,328.0,424.0,96.0,,845.085,7.0,7.0,89.0,18.553,,,0.0729,0.9271,,True,completed
59,car,276.0,427.0,151.0,,880.988,45.0,45.0,106.0,68.427,,,0.298,0.702,,True,completed
48,car,232.0,437.0,205.0,,1462.301,27.0,40.0,165.0,60.891,,,0.1951,0.8049,,True,completed
32,car,170.0,441.0,271.0,,1778.553,36.0,53.0,218.0,74.917,,,0.1956,0.8044,,True,completed
71,car,321.0,441.0,120.0,,1137.515,0.0,0.0,120.0,15.322,,,0.0,1.0,,True,completed
46,car,223.0,442.0,219.0,,1460.571,2.0,36.0,183.0,62.197,,,0.1644,0.8356,,True,completed
33,car,171.0,451.0,280.0,,1160.919,11.0,162.0,118.0,165.404,,,0.5786,0.4214,,True,completed
28,car,153.0,454.0,301.0,,1458.882,9.0,146.0,155.0,158.98,,,0.485,0.515,,True,completed
64,car,302.0,454.0,152.0,,1455.604,9.0,9.0,143.0,19.717,,,0.0592,0.9408,,True,completed
49,car,240.0,455.0,215.0,,1722.181,7.0,23.0,192.0,39.119,,,0.107,0.893,,True,completed
69,car,319.0,459.0,140.0,,1413.964,0.0,0.0,140.0,10.014,,,0.0,1.0,,True,completed
86,car,370.0,465.0,95.0,,868.296,5.0,5.0,90.0,15.61,,,0.0526,0.9474,,True,completed
67,car,312.0,468.0,156.0,,1139.528,2.0,22.0,134.0,51.563,,,0.141,0.859,,True,completed
44,car,212.0,475.0,263.0,,2060.922,27.0,34.0,229.0,67.945,,,0.1293,0.8707,,True,completed
45,truck,218.0,475.0,257.0,,1158.869,53.0,93.0,164.0,108.515,,,0.3619,0.6381,,True,completed
91,car,385.0,483.0,98.0,,856.849,0.0,0.0,98.0,19.489,,,0.0,1.0,,True,completed
53,car,255.0,486.0,231.0,,1751.966,45.0,51.0,180.0,71.835,,,0.2208,0.7792,,True,completed
55,truck,262.0,489.0,227.0,,1746.651,2.0,2.0,225.0,16.318,,,0.0088,0.9912,,True,completed
65,truck,305.0,492.0,187.0,,1156.167,17.0,31.0,156.0,47.204,,,0.1658,0.8342,,True,completed
40,truck,191.0,493.0,302.0,,2056.549,0.0,20.0,282.0,53.947,,,0.0662,0.9338,,True,completed
52,car,250.0,498.0,248.0,,1161.565,25.0,105.0,143.0,131.656,,,0.4234,0.5766,,True,completed
60,truck,277.0,509.0,232.0,,1747.653,1.0,2.0,230.0,20.992,,,0.0086,0.9914,,True,completed
79,car,344.0,514.0,170.0,,1444.201,0.0,1.0,169.0,15.664,,,0.0059,0.9941,,True,completed
61,car,279.0,515.0,236.0,,2026.975,0.0,8.0,228.0,25.456,,,0.0339,0.9661,,True,completed
63,car,301.0,525.0,224.0,,1728.803,6.0,22.0,202.0,66.61,,,0.0982,0.9018,,True,completed
23,car,124.0,526.0,402.0,,2028.684,5.0,167.0,235.0,199.741,,,0.4154,0.5846,,True,completed
38,car,183.0,528.0,345.0,,1688.336,4.0,154.0,191.0,190.422,,,0.4464,0.5536,,True,completed
62,car,299.0,530.0,231.0,,1455.552,31.0,59.0,172.0,79.742,,,0.2554,0.7446,,True,completed
101,car,417.0,531.0,114.0,,862.578,15.0,15.0,99.0,29.712,,,0.1316,0.8684,,True,completed
81,car,359.0,533.0,174.0,,1753.128,1.0,1.0,173.0,14.768,,,0.0057,0.9943,,True,completed
30,truck,160.0,534.0,374.0,,2027.284,0.0,106.0,268.0,128.888,,,0.2834,0.7166,,True,completed
50,truck,241.0,542.0,301.0,,1756.601,16.0,60.0,241.0,80.084,,,0.1993,0.8007,,True,completed
98,car,408.0,544.0,136.0,,1135.999,7.0,12.0,124.0,23.811,,,0.0882,0.9118,,True,completed
83,car,365.0,545.0,180.0,,1451.71,11.0,11.0,169.0,31.063,,,0.0611,0.9389,,True,completed
68,car,318.0,546.0,228.0,,1436.622,30.0,76.0,152.0,87.618,,,0.3333,0.6667,,True,completed
117,car,471.0,552.0,81.0,,847.027,0.0,0.0,81.0,3.376,,,0.0,1.0,,True,completed
54,car,260.0,556.0,296.0,,1761.352,65.0,102.0,194.0,119.829,,,0.3446,0.6554,,True,completed
109,car,444.0,560.0,116.0,,864.403,15.0,15.0,101.0,15.735,,,0.1293,0.8707,,True,completed
93,car,391.0,575.0,184.0,,1456.665,18.0,21.0,163.0,47.946,,,0.1141,0.8859,,True,completed
94,car,398.0,575.0,177.0,,1165.804,6.0,53.0,124.0,64.427,,,0.2994,0.7006,,True,completed
88,car,380.0,578.0,198.0,,1724.191,0.0,20.0,178.0,41.045,,,0.101,0.899,,True,completed
108,car,440.0,580.0,140.0,,1405.277,0.0,0.0,140.0,10.998,,,0.0,1.0,,True,completed
70,truck,320.0,582.0,262.0,,1463.82,35.0,61.0,201.0,67.271,,,0.2328,0.7672,,True,completed
56,car,268.0,586.0,318.0,,1747.546,65.0,131.0,187.0,158.901,,,0.4119,0.5881,,True,completed
66,car,309.0,589.0,280.0,,1741.439,6.0,72.0,208.0,104.527,,,0.2571,0.7429,,True,completed
97,car,403.0,590.0,187.0,,1470.134,8.0,8.0,179.0,44.579,,,0.0428,0.9572,,True,completed
74,car,336.0,593.0,257.0,,2287.719,6.0,6.0,251.0,31.316,,,0.0233,0.9767,,True,completed
90,truck,384.0,594.0,210.0,,1459.379,7.0,16.0,194.0,25.487,,,0.0762,0.9238,,True,completed
116,car,469.0,600.0,131.0,,1166.762,0.0,0.0,131.0,17.711,,,0.0,1.0,,True,completed
112,car,452.0,602.0,150.0,,1167.117,10.0,10.0,140.0,19.254,,,0.0667,0.9333,,True,completed
124,car,492.0,609.0,117.0,,1141.878,2.0,2.0,115.0,12.698,,,0.0171,0.9829,,True,completed
99,car,410.0,614.0,204.0,,1183.391,33.0,41.0,163.0,49.973,,,0.201,0.799,,True,completed
92,car,387.0,615.0,228.0,,1431.284,43.0,74.0,154.0,96.912,,,0.3246,0.6754,,True,completed
76,car,340.0,616.0,276.0,,1178.279,54.0,144.0,132.0,168.954,,,0.5217,0.4783,,True,completed
128,car,502.0,618.0,116.0,,874.714,16.0,16.0,100.0,28.176,,,0.1379,0.8621,,True,completed
89,car,382.0,618.0,236.0,,1174.155,13.0,79.0,157.0,105.002,,,0.3347,0.6653,,True,completed
118,car,473.0,619.0,146.0,,1135.201,7.0,7.0,139.0,24.303,,,0.0479,0.9521,,True,completed
133,car,524.0,619.0,95.0,,875.454,0.0,0.0,95.0,15.208,,,0.0,1.0,,True,completed
84,car,367.0,619.0,252.0,,1464.736,16.0,48.0,204.0,101.155,,,0.1905,0.8095,,True,completed
107,car,437.0,623.0,186.0,,1434.049,19.0,19.0,167.0,39.536,,,0.1022,0.8978,,True,completed
110,truck,444.0,625.0,181.0,,1435.916,0.0,0.0,181.0,7.012,,,0.0,1.0,,True,completed
73,car,334.0,625.0,291.0,,1474.317,43.0,113.0,178.0,137.786,,,0.3883,0.6117,,True,completed
95,truck,400.0,626.0,226.0,,1462.247,18.0,25.0,201.0,49.3,,,0.1106,0.8894,,True,completed
144,car,544.0,627.0,83.0,,856.345,0.0,0.0,83.0,4.536,,,0.0,1.0,,True,completed
114,car,466.0,630.0,164.0,,1130.315,23.0,23.0,141.0,39.158,,,0.1402,0.8598,,True,completed
119,car,475.0,631.0,156.0,,1168.761,10.0,38.0,118.0,49.559,,,0.2436,0.7564,,True,completed
106,car,436.0,635.0,199.0,,1465.759,6.0,40.0,159.0,63.109,,,0.201,0.799,,True,completed
85,truck,369.0,635.0,266.0,,1721.415,6.0,26.0,240.0,41.092,,,0.0977,0.9023,,True,completed
139,car,540.0,645.0,105.0,,872.632,8.0,8.0,97.0,25.462,,,0.0762,0.9238,,True,completed
104,car,429.0,655.0,226.0,,1160.48,40.0,86.0,140.0,112.291,,,0.3805,0.6195,,True,completed
82,car,365.0,657.0,292.0,,2062.3,27.0,43.0,249.0,90.295,,,0.1473,0.8527,,True,completed
146,car,547.0,658.0,111.0,,564.155,29.0,29.0,82.0,51.226,,,0.2613,0.7387,,True,completed
105,truck,436.0,662.0,226.0,,1703.972,0.0,7.0,219.0,11.673,,,0.031,0.969,,True,completed
80,truck,354.0,662.0,308.0,,1175.759,55.0,143.0,165.0,148.484,,,0.4643,0.5357,,True,completed
138,car,540.0,666.0,126.0,,1152.688,7.0,7.0,119.0,17.488,,,0.0556,0.9444,,True,completed
143,car,543.0,668.0,125.0,,1137.29,8.0,8.0,117.0,21.159,,,0.064,0.936,,True,completed
102,car,417.0,669.0,252.0,,1708.258,7.0,54.0,198.0,75.582,,,0.2143,0.7857,,True,completed
132,car,523.0,672.0,149.0,,1142.353,0.0,15.0,134.0,29.993,,,0.1007,0.8993,,True,completed
87,car,375.0,675.0,300.0,,1478.099,45.0,129.0,171.0,165.97,,,0.43,0.57,,True,completed
120,truck,481.0,682.0,201.0,,1168.358,18.0,40.0,161.0,59.741,,,0.199,0.801,,True,completed
96,car,401.0,686.0,285.0,,1757.083,14.0,80.0,205.0,116.86,,,0.2807,0.7193,,True,completed
131,car,518.0,691.0,173.0,,1440.287,10.0,26.0,147.0,41.579,,,0.1503,0.8497,,True,completed
137,car,537.0,698.0,161.0,,1172.934,12.0,25.0,136.0,34.198,,,0.1553,0.8447,,True,completed
191,car,639.0,702.0,63.0,,543.189,0.0,0.0,63.0,12.785,,,0.0,1.0,,True,completed
127,car,501.0,704.0,203.0,,1436.755,9.0,9.0,194.0,28.425,,,0.0443,0.9557,,True,completed
166,car,609.0,707.0,98.0,,864.765,8.0,8.0,90.0,9.649,,,0.0816,0.9184,,True,completed
100,truck,414.0,710.0,296.0,,1703.946,0.0,69.0,227.0,88.978,,,0.2331,0.7669,,True,completed
111,car,449.0,710.0,261.0,,1462.32,24.0,90.0,171.0,118.542,,,0.3448,0.6552,,True,completed
141,car,540.0,716.0,176.0,,1163.929,17.0,17.0,159.0,51.939,,,0.0966,0.9034,,True,completed
174,car,617.0,716.0,99.0,,878.942,6.0,6.0,93.0,18.894,,,0.0606,0.9394,,True,completed
200,truck,655.0,724.0,69.0,,542.445,0.0,0.0,69.0,2.492,,,0.0,1.0,,True,completed
122,car,484.0,725.0,241.0,,1451.968,36.0,79.0,162.0,108.752,,,0.3278,0.6722,,True,completed
152,car,576.0,725.0,149.0,,872.485,51.0,51.0,98.0,69.476,,,0.3423,0.6577,,True,completed
149,car,563.0,726.0,163.0,,1132.259,33.0,33.0,130.0,49.674,,,0.2025,0.7975,,True,completed
167,car,609.0,730.0,121.0,,1143.541,0.0,0.0,121.0,5.567,,,0.0,1.0,,True,completed
155,truck,591.0,731.0,140.0,,858.317,18.0,20.0,120.0,26.395,,,0.1429,0.8571,,True,completed
145,truck,545.0,732.0,187.0,,875.171,57.0,65.0,122.0,80.937,,,0.3476,0.6524,,True,completed
134,car,532.0,734.0,202.0,,1717.752,9.0,9.0,193.0,35.082,,,0.0446,0.9554,,True,completed
142,car,541.0,734.0,193.0,,2028.605,0.0,0.0,193.0,7.74,,,0.0,1.0,,True,completed
