vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
15,pkw,20.0,96.0,76.0,,737.257,1.0,1.0,75.0,8.646,,,0.0132,0.9868,,True,completed
17,pkw,24.0,110.0,86.0,,780.009,5.0,5.0,81.0,14.62,,,0.0581,0.9419,,True,completed
32,pkw,51.0,112.0,61.0,,599.063,0.0,0.0,61.0,5.14,,,0.0,1.0,,True,completed
43,pkw,74.0,125.0,51.0,,376.201,0.0,0.0,51.0,4.218,,,0.0,1.0,,True,completed
13,pkw,18.0,159.0,141.0,,947.107,28.0,28.0,113.0,52.312,,,0.1986,0.8014,,True,completed
4,pkw,5.0,166.0,161.0,,1553.477,0.0,0.0,161.0,12.094,,,0.0,1.0,,True,completed
5,pkw,5.0,166.0,161.0,,1580.424,0.0,0.0,161.0,10.898,,,0.0,1.0,,True,completed
1,pkw,2.0,173.0,171.0,,1596.455,0.0,0.0,171.0,16.733,,,0.0,1.0,,True,completed
3,pkw,3.0,174.0,171.0,,1499.806,10.0,10.0,161.0,31.465,,,0.0585,0.9415,,True,completed
20,pkw,30.0,178.0,148.0,,1385.574,8.0,8.0,140.0,21.851,,,0.0541,0.9459,,True,completed
41,pkw,70.0,180.0,110.0,,983.071,3.0,3.0,107.0,14.432,,,0.0273,0.9727,,True,completed
0,pkw,2.0,188.0,186.0,,1697.417,7.0,9.0,177.0,30.448,,,0.0484,0.9516,,True,completed
6,pkw,7.0,190.0,183.0,,1613.326,8.0,16.0,167.0,36.799,,,0.0874,0.9126,,True,completed
51,pkw,91.0,203.0,112.0,,1063.972,0.0,0.0,112.0,9.565,,,0.0,1.0,,True,completed
29,pkw,49.0,206.0,157.0,,1578.061,1.0,1.0,156.0,13.142,,,0.0064,0.9936,,True,completed
35,pkw,55.0,207.0,152.0,,1351.88,0.0,9.0,143.0,25.506,,,0.0592,0.9408,,True,completed
28,pkw,43.0,213.0,170.0,,1523.108,3.0,10.0,160.0,28.94,,,0.0588,0.9412,,True,completed
59,pkw,103.0,221.0,118.0,,886.122,0.0,0.0,118.0,12.259,,,0.0,1.0,,True,completed
8,pkw,9.0,226.0,217.0,,1656.108,0.0,0.0,217.0,18.102,,,0.0,1.0,,True,completed
7,pkw,9.0,228.0,219.0,,2213.365,0.0,0.0,219.0,12.685,,,0.0,1.0,,True,completed
23,pkw,36.0,229.0,193.0,,1968.863,0.0,0.0,193.0,12.656,,,0.0,1.0,,True,completed
95,pkw,168.0,236.0,68.0,,678.209,0.0,0.0,68.0,4.421,,,0.0,1.0,,True,completed
80,pkw,138.0,241.0,103.0,,1011.94,0.0,0.0,103.0,6.227,,,0.0,1.0,,True,completed
60,pkw,106.0,243.0,137.0,,1419.91,0.0,0.0,137.0,7.744,,,0.0,1.0,,True,completed
24,pkw,36.0,244.0,208.0,,1916.511,1.0,2.0,206.0,23.728,,,0.0096,0.9904,,True,completed
9,pkw,11.0,244.0,233.0,,2251.584,0.0,4.0,229.0,27.586,,,0.0172,0.9828,,True,completed
47,pkw,84.0,245.0,161.0,,1404.845,7.0,7.0,154.0,23.368,,,0.0435,0.9565,,True,completed
102,pkw,182.0,252.0,70.0,,685.449,0.0,0.0,70.0,5.593,,,0.0,1.0,,True,completed
88,pkw,152.0,253.0,101.0,,733.879,25.0,25.0,76.0,33.95,,,0.2475,0.7525,,True,completed
37,pkw,59.0,256.0,197.0,,1868.593,0.0,1.0,196.0,19.798,,,0.0051,0.9949,,True,completed
19,pkw,28.0,259.0,231.0,,2212.017,7.0,7.0,224.0,29.806,,,0.0303,0.9697,,True,completed
10,pkw,12.0,262.0,250.0,,1961.775,36.0,39.0,211.0,69.485,,,0.156,0.844,,True,completed
14,pkw,19.0,262.0,243.0,,2099.304,23.0,30.0,213.0,52.521,,,0.1235,0.8765,,True,completed
57,pkw,100.0,264.0,164.0,,1588.201,0.0,0.0,164.0,13.067,,,0.0,1.0,,True,completed
74,pkw,134.0,265.0,131.0,,1203.466,5.0,5.0,126.0,17.794,,,0.0382,0.9618,,True,completed
58,pkw,101.0,266.0,165.0,,1664.155,0.0,0.0,165.0,13.408,,,0.0,1.0,,True,completed
48,pkw,84.0,267.0,183.0,,1594.353,8.0,8.0,175.0,27.83,,,0.0437,0.9563,,True,completed
33,pkw,52.0,272.0,220.0,,1687.373,0.0,7.0,213.0,32.125,,,0.0318,0.9682,,True,completed
64,pkw,115.0,283.0,168.0,,1387.566,0.0,0.0,168.0,13.099,,,0.0,1.0,,True,completed
83,pkw,144.0,283.0,139.0,,1268.6,0.0,11.0,128.0,22.658,,,0.0791,0.9209,,True,completed
75,pkw,135.0,288.0,153.0,,1502.907,1.0,6.0,147.0,12.656,,,0.0392,0.9608,,True,completed
109,pkw,195.0,289.0,94.0,,883.921,0.0,0.0,94.0,7.69,,,0.0,1.0,,True,completed
76,pkw,136.0,291.0,155.0,,1522.732,1.0,1.0,154.0,15.869,,,0.0065,0.9935,,True,completed
53,pkw,93.0,292.0,199.0,,1690.452,15.0,26.0,173.0,44.654,,,0.1307,0.8693,,True,completed
39,pkw,65.0,293.0,228.0,,2130.277,10.0,10.0,218.0,30.903,,,0.0439,0.9561,,True,completed
124,pkw,231.0,294.0,63.0,,534.186,7.0,7.0,56.0,13.606,,,0.1111,0.8889,,True,completed
56,pkw,100.0,298.0,198.0,,1623.794,4.0,15.0,183.0,43.361,,,0.0758,0.9242,,True,completed
25,pkw,38.0,300.0,262.0,,2147.429,17.0,32.0,230.0,67.279,,,0.1221,0.8779,,True,completed
42,pkw,74.0,301.0,227.0,,1872.101,22.0,23.0,204.0,49.524,,,0.1013,0.8987,,True,completed
