vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
17,car,24.0,98.0,74.0,,780.504,0.0,0.0,74.0,2.564,,,0.0,1.0,,True,completed
15,truck,20.0,119.0,99.0,,732.39,1.0,1.0,98.0,9.078,,,0.0101,0.9899,,True,completed
32,car,51.0,122.0,71.0,,592.914,2.0,2.0,69.0,15.654,,,0.0282,0.9718,,True,completed
43,car,74.0,124.0,50.0,,376.727,0.0,0.0,50.0,3.138,,,0.0,1.0,,True,completed
13,car,18.0,138.0,120.0,,955.439,8.0,8.0,112.0,30.515,,,0.0667,0.9333,,True,completed
6,car,7.0,158.0,151.0,,1608.846,0.0,0.0,151.0,5.202,,,0.0,1.0,,True,completed
3,car,3.0,161.0,158.0,,1504.771,0.0,3.0,155.0,18.38,,,0.019,0.981,,True,completed
1,car,2.0,177.0,175.0,,1588.892,0.0,0.0,175.0,21.422,,,0.0,1.0,,True,completed
41,car,70.0,183.0,113.0,,984.64,6.0,6.0,107.0,17.322,,,0.0531,0.9469,,True,completed
51,car,91.0,210.0,119.0,,1063.16,0.0,0.0,119.0,17.039,,,0.0,1.0,,True,completed
29,car,49.0,218.0,169.0,,1578.795,0.0,6.0,163.0,25.264,,,0.0355,0.9645,,True,completed
59,car,103.0,219.0,116.0,,888.996,0.0,0.0,116.0,10.004,,,0.0,1.0,,True,completed
14,car,19.0,225.0,206.0,,2100.16,0.0,0.0,206.0,15.465,,,0.0,1.0,,True,completed
5,truck,5.0,232.0,227.0,,1580.163,0.0,8.0,219.0,26.612,,,0.0352,0.9648,,True,completed
8,car,9.0,235.0,226.0,,1659.16,0.0,10.0,216.0,26.697,,,0.0442,0.9558,,True,completed
47,car,84.0,237.0,153.0,,1411.997,0.0,0.0,153.0,14.595,,,0.0,1.0,,True,completed
7,car,9.0,239.0,230.0,,2217.131,0.0,0.0,230.0,22.857,,,0.0,1.0,,True,completed
24,car,36.0,244.0,208.0,,1919.56,8.0,8.0,200.0,23.757,,,0.0385,0.9615,,True,completed
23,car,36.0,245.0,209.0,,1967.062,6.0,6.0,203.0,29.171,,,0.0287,0.9713,,True,completed
88,car,152.0,247.0,95.0,,732.555,15.0,15.0,80.0,28.069,,,0.1579,0.8421,,True,completed
37,car,59.0,256.0,197.0,,1868.283,0.0,0.0,197.0,19.601,,,0.0,1.0,,True,completed
0,truck,2.0,262.0,260.0,,1692.952,0.0,40.0,220.0,55.512,,,0.1538,0.8462,,True,completed
35,truck,55.0,264.0,209.0,,1351.711,22.0,23.0,186.0,45.049,,,0.11,0.89,,True,completed
48,car,84.0,268.0,184.0,,1599.121,0.0,5.0,179.0,29.247,,,0.0272,0.9728,,True,completed
74,car,134.0,270.0,136.0,,1201.291,2.0,2.0,134.0,23.436,,,0.0147,0.9853,,True,completed
57,car,100.0,271.0,171.0,,1589.908,0.0,0.0,171.0,20.561,,,0.0,1.0,,True,completed
19,car,28.0,272.0,244.0,,2217.821,18.0,18.0,226.0,41.989,,,0.0738,0.9262,,True,completed
33,car,52.0,274.0,222.0,,1693.893,0.0,8.0,214.0,33.273,,,0.036,0.964,,True,completed
95,truck,168.0,277.0,109.0,,681.178,7.0,7.0,102.0,25.74,,,0.0642,0.9358,,True,completed
80,truck,138.0,279.0,141.0,,1013.247,8.0,8.0,133.0,8.826,,,0.0567,0.9433,,True,completed
76,car,136.0,280.0,144.0,,1524.888,0.0,0.0,144.0,4.647,,,0.0,1.0,,True,completed
63,car,114.0,283.0,169.0,,1443.747,15.0,15.0,154.0,34.606,,,0.0888,0.9112,,True,completed
27,car,41.0,288.0,247.0,,2159.261,8.0,25.0,222.0,39.984,,,0.1012,0.8988,,True,completed
10,truck,12.0,291.0,279.0,,1960.185,0.0,19.0,260.0,41.915,,,0.0681,0.9319,,True,completed
102,car,182.0,293.0,111.0,,688.606,26.0,26.0,85.0,46.643,,,0.2342,0.7658,,True,completed
9,car,11.0,294.0,283.0,,2255.477,0.0,44.0,239.0,77.231,,,0.1555,0.8445,,True,completed
116,car,212.0,297.0,85.0,,645.94,0.0,0.0,85.0,7.874,,,0.0,1.0,,True,completed
109,car,195.0,300.0,105.0,,887.509,3.0,3.0,102.0,18.283,,,0.0286,0.9714,,True,completed
81,car,140.0,301.0,161.0,,1271.794,29.0,29.0,132.0,39.868,,,0.1801,0.8199,,True,completed
83,car,144.0,302.0,158.0,,1265.313,9.0,15.0,143.0,41.542,,,0.0949,0.9051,,True,completed
34,car,54.0,303.0,249.0,,2299.118,0.0,3.0,246.0,31.494,,,0.012,0.988,,True,completed
