vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
13,car,20.0,96.0,76.0,,733.106,0.0,0.0,76.0,9.02,,,0.0,1.0,,True,completed
16,car,24.0,98.0,74.0,,780.659,0.0,0.0,74.0,2.74,,,0.0,1.0,,True,completed
10,car,14.0,118.0,104.0,,403.754,43.0,47.0,57.0,55.326,,,0.4519,0.5481,,True,completed
41,car,74.0,121.0,47.0,,374.48,0.0,0.0,47.0,4.522,,,0.0,1.0,,True,completed
31,car,51.0,127.0,76.0,,598.949,5.0,5.0,71.0,20.331,,,0.0658,0.9342,,True,completed
11,car,18.0,139.0,121.0,,947.829,8.0,8.0,113.0,29.645,,,0.0661,0.9339,,True,completed
6,car,7.0,158.0,151.0,,1608.896,0.0,0.0,151.0,5.198,,,0.0,1.0,,True,completed
26,car,44.0,161.0,117.0,,1035.437,0.0,0.0,117.0,10.38,,,0.0,1.0,,True,completed
3,car,3.0,162.0,159.0,,1502.531,0.0,3.0,156.0,19.563,,,0.0189,0.9811,,True,completed
5,car,5.0,169.0,164.0,,1584.279,0.0,0.0,164.0,13.034,,,0.0,1.0,,True,completed
2,car,2.0,175.0,173.0,,1591.198,0.0,0.0,173.0,22.327,,,0.0,1.0,,True,completed
40,car,70.0,182.0,112.0,,983.953,0.0,0.0,112.0,14.024,,,0.0,1.0,,True,completed
50,car,91.0,209.0,118.0,,1064.934,0.0,0.0,118.0,11.436,,,0.0,1.0,,True,completed
18,car,30.0,217.0,187.0,,1805.944,0.0,3.0,184.0,21.754,,,0.016,0.984,,True,completed
12,car,19.0,218.0,199.0,,2094.385,0.0,0.0,199.0,8.805,,,0.0,1.0,,True,completed
28,car,49.0,220.0,171.0,,1583.161,1.0,9.0,162.0,27.126,,,0.0526,0.9474,,True,completed
60,car,103.0,221.0,118.0,,888.427,0.0,0.0,118.0,9.096,,,0.0,1.0,,True,completed
7,car,9.0,228.0,219.0,,2215.736,0.0,0.0,219.0,12.418,,,0.0,1.0,,True,completed
1,car,2.0,233.0,231.0,,1690.101,0.0,47.0,184.0,76.78,,,0.2035,0.7965,,True,completed
8,car,9.0,234.0,225.0,,1653.775,0.0,10.0,215.0,26.444,,,0.0444,0.9556,,True,completed
34,truck,55.0,238.0,183.0,,1348.94,0.0,0.0,183.0,19.229,,,0.0,1.0,,True,completed
27,car,46.0,244.0,198.0,,1803.426,0.0,4.0,194.0,24.818,,,0.0202,0.9798,,True,completed
73,car,130.0,247.0,117.0,,1100.983,0.0,0.0,117.0,7.212,,,0.0,1.0,,True,completed
85,car,152.0,247.0,95.0,,733.718,14.0,14.0,81.0,27.965,,,0.1474,0.8526,,True,completed
45,car,84.0,255.0,171.0,,1410.17,9.0,9.0,162.0,31.118,,,0.0526,0.9474,,True,completed
47,car,85.0,255.0,170.0,,1264.243,0.0,27.0,143.0,54.651,,,0.1588,0.8412,,True,completed
58,car,100.0,269.0,169.0,,1585.652,0.0,0.0,169.0,23.638,,,0.0,1.0,,True,completed
89,truck,168.0,272.0,104.0,,681.701,7.0,7.0,97.0,20.484,,,0.0673,0.9327,,True,completed
20,car,34.0,279.0,245.0,,1776.283,7.0,16.0,229.0,72.327,,,0.0653,0.9347,,True,completed
81,car,144.0,281.0,137.0,,1262.237,0.0,5.0,132.0,21.543,,,0.0365,0.9635,,True,completed
23,car,36.0,285.0,249.0,,1912.145,0.0,22.0,227.0,70.685,,,0.0884,0.9116,,True,completed
46,car,84.0,287.0,203.0,,1596.261,5.0,11.0,192.0,45.633,,,0.0542,0.9458,,True,completed
103,car,195.0,288.0,93.0,,882.794,0.0,0.0,93.0,6.636,,,0.0,1.0,,True,completed
0,truck,2.0,291.0,289.0,,2127.644,10.0,13.0,276.0,31.62,,,0.045,0.955,,True,completed
75,car,136.0,292.0,156.0,,1520.484,0.0,0.0,156.0,13.886,,,0.0,1.0,,True,completed
32,car,52.0,295.0,243.0,,1692.477,0.0,9.0,234.0,33.834,,,0.037,0.963,,True,completed
38,car,65.0,295.0,230.0,,2133.538,2.0,2.0,228.0,33.939,,,0.0087,0.9913,,True,completed
110,car,212.0,299.0,87.0,,645.43,1.0,1.0,86.0,13.982,,,0.0115,0.9885,,True,completed
115,car,224.0,303.0,79.0,,745.068,0.0,0.0,79.0,3.196,,,0.0,1.0,,True,completed
36,car,59.0,306.0,247.0,,1870.789,16.0,30.0,217.0,69.26,,,0.1215,0.8785,,True,completed
52,car,93.0,309.0,216.0,,1690.031,8.0,31.0,185.0,61.775,,,0.1435,0.8565,,True,completed
91,car,173.0,309.0,136.0,,1285.838,0.0,0.0,136.0,9.004,,,0.0,1.0,,True,completed
22,car,36.0,311.0,275.0,,2622.398,0.0,0.0,275.0,37.294,,,0.0,1.0,,True,completed
65,car,114.0,316.0,202.0,,1433.178,35.0,45.0,157.0,67.181,,,0.2228,0.7772,,True,completed
61,car,106.0,321.0,215.0,,1415.958,16.0,26.0,189.0,77.181,,,0.1209,0.8791,,True,completed
137,car,261.0,325.0,64.0,,523.052,4.0,5.0,59.0,15.388,,,0.0781,0.9219,,True,completed
39,truck,67.0,329.0,262.0,,1970.255,0.0,4.0,258.0,23.929,,,0.0153,0.9847,,True,completed
117,car,231.0,335.0,104.0,,536.278,22.0,22.0,82.0,54.334,,,0.2115,0.7885,,True,completed
59,truck,101.0,335.0,234.0,,1654.492,0.0,12.0,222.0,33.617,,,0.0513,0.9487,,True,completed
93,car,176.0,335.0,159.0,,1030.017,22.0,22.0,137.0,55.141,,,0.1384,0.8616,,True,completed
9,truck,12.0,336.0,324.0,,1958.396,45.0,48.0,276.0,86.416,,,0.1481,0.8519,,True,completed
120,car,237.0,338.0,101.0,,852.962,9.0,10.0,91.0,22.662,,,0.099,0.901,,True,completed
33,car,54.0,340.0,286.0,,2301.95,1.0,22.0,264.0,51.258,,,0.0769,0.9231,,True,completed
43,car,80.0,348.0,268.0,,1400.139,45.0,94.0,174.0,123.186,,,0.3507,0.6493,,True,completed
30,car,54.0,349.0,295.0,,2151.044,0.0,47.0,248.0,91.259,,,0.1593,0.8407,,True,completed
