step:3600/3600, q_loss:0, rewards:-15.64999728732639, queue:1.7959201388888888, delay:0.06779060363769532, throughput:1427
episode:0/200, real avg travel time:292.4302733006307
intersection:0, mean_episode_reward:-2.6619441509246826, mean_queue:3.8722221851348877
intersection:1, mean_episode_reward:-0.757222056388855, mean_queue:3.844444513320923
intersection:2, mean_episode_reward:-1.4836108684539795, mean_queue:4.1972222328186035
intersection:3, mean_episode_reward:-3.1419427394866943, mean_queue:3.6194443702697754
intersection:4, mean_episode_reward:-0.08861102163791656, mean_queue:3.191666603088379
intersection:5, mean_episode_reward:-0.40361103415489197, mean_queue:3.116666555404663
intersection:6, mean_episode_reward:0.31888893246650696, mean_queue:2.683333396911621
intersection:7, mean_episode_reward:-0.1255556046962738, mean_queue:2.461111068725586
intersection:8, mean_episode_reward:-2.3536112308502197, mean_queue:4.577777862548828
intersection:9, mean_episode_reward:-2.2116661071777344, mean_queue:5.2833333015441895
intersection:10, mean_episode_reward:2.2238898277282715, mean_queue:3.316666603088379
intersection:11, mean_episode_reward:-0.9833332300186157, mean_queue:3.7277777194976807
intersection:12, mean_episode_reward:-1.976111650466919, mean_queue:2.9972221851348877
intersection:13, mean_episode_reward:-2.1383328437805176, mean_queue:3.944444417953491
intersection:14, mean_episode_reward:-1.340277910232544, mean_queue:3.825000047683716
intersection:15, mean_episode_reward:-1.7363892793655396, mean_queue:2.8111112117767334
intersection:16, mean_episode_reward:0.08222223073244095, mean_queue:0.0
intersection:17, mean_episode_reward:0.16527777910232544, mean_queue:0.0
intersection:18, mean_episode_reward:0.1969444751739502, mean_queue:0.0
intersection:19, mean_episode_reward:0.29722216725349426, mean_queue:0.0
intersection:20, mean_episode_reward:0.49861106276512146, mean_queue:0.0
intersection:21, mean_episode_reward:0.36166661977767944, mean_queue:0.0
intersection:22, mean_episode_reward:0.05833333358168602, mean_queue:0.0
intersection:23, mean_episode_reward:0.04694444313645363, mean_queue:0.0
intersection:24, mean_episode_reward:0.10472222417593002, mean_queue:0.0
intersection:25, mean_episode_reward:0.1391666680574417, mean_queue:0.0
intersection:26, mean_episode_reward:0.19777773320674896, mean_queue:0.0
intersection:27, mean_episode_reward:0.47083330154418945, mean_queue:0.0
intersection:28, mean_episode_reward:0.18833334743976593, mean_queue:0.0
intersection:29, mean_episode_reward:0.15888887643814087, mean_queue:0.0
intersection:30, mean_episode_reward:0.17499999701976776, mean_queue:0.0
intersection:31, mean_episode_reward:0.06750000268220901, mean_queue:0.0
