step:3600/3600, q_loss:0, rewards:-15.64999728732639, queue:1.7959201388888888, delay:0.06779060363769532, throughput:1427
episode:0/200, real avg travel time:292.4302733006307
intersection:0, mean_episode_reward:-2.6619441509246826, mean_queue:3.8722221851348877
intersection:1, mean_episode_reward:-0.757222056388855, mean_queue:3.844444513320923
intersection:2, mean_episode_reward:-1.4836108684539795, mean_queue:4.1972222328186035
intersection:3, mean_episode_reward:-3.1419427394866943, mean_queue:3.6194443702697754
intersection:4, mean_episode_reward:-0.08861102163791656, mean_queue:3.191666603088379
intersection:5, mean_episode_reward:-0.40361103415489197, mean_queue:3.116666555404663
intersection:6, mean_episode_reward:0.31888893246650696, mean_queue:2.683333396911621
intersection:7, mean_episode_reward:-0.1255556046962738, mean_queue:2.461111068725586
intersection:8, mean_episode_reward:-2.3536112308502197, mean_queue:4.577777862548828
intersection:9, mean_episode_reward:-2.2116661071777344, mean_queue:5.2833333015441895
intersection:10, mean_episode_reward:2.2238898277282715, mean_queue:3.316666603088379
intersection:11, mean_episode_reward:-0.9833332300186157, mean_queue:3.7277777194976807
intersection:12, mean_episode_reward:-1.976111650466919, mean_queue:2.9972221851348877
intersection:13, mean_episode_reward:-2.1383328437805176, mean_queue:3.944444417953491
intersection:14, mean_episode_reward:-1.340277910232544, mean_queue:3.825000047683716
intersection:15, mean_episode_reward:-1.7363892793655396, mean_queue:2.8111112117767334
intersection:16, mean_episode_reward:0.08222223073244095, mean_queue:0.0
intersection:17, mean_episode_reward:0.16527777910232544, mean_queue:0.0
intersection:18, mean_episode_reward:0.1969444751739502, mean_queue:0.0
intersection:19, mean_episode_reward:0.29722216725349426, mean_queue:0.0
intersection:20, mean_episode_reward:0.49861106276512146, mean_queue:0.0
intersection:21, mean_episode_reward:0.36166661977767944, mean_queue:0.0
intersection:22, mean_episode_reward:0.05833333358168602, mean_queue:0.0
intersection:23, mean_episode_reward:0.04694444313645363, mean_queue:0.0
intersection:24, mean_episode_reward:0.10472222417593002, mean_queue:0.0
intersection:25, mean_episode_reward:0.1391666680574417, mean_queue:0.0
intersection:26, mean_episode_reward:0.19777773320674896, mean_queue:0.0
intersection:27, mean_episode_reward:0.47083330154418945, mean_queue:0.0
intersection:28, mean_episode_reward:0.18833334743976593, mean_queue:0.0
intersection:29, mean_episode_reward:0.15888887643814087, mean_queue:0.0
intersection:30, mean_episode_reward:0.17499999701976776, mean_queue:0.0
intersection:31, mean_episode_reward:0.06750000268220901, mean_queue:0.0
Test step:0/200, travel time :897.8997493734336, rewards:-272.9833550347222, queue:15.102951388888888, delay:0.16781122419569228, throughput:399
step:3600/3600, q_loss:0, rewards:-16.51361083984375, queue:1.902951388888889, delay:0.069302765528361, throughput:1421
episode:1/200, real avg travel time:300.3441238564391
intersection:0, mean_episode_reward:-1.956666350364685, mean_queue:3.299999952316284
intersection:1, mean_episode_reward:-0.8683335185050964, mean_queue:3.7249999046325684
intersection:2, mean_episode_reward:-3.1891674995422363, mean_queue:5.638888835906982
intersection:3, mean_episode_reward:-1.4902772903442383, mean_queue:3.1305556297302246
intersection:4, mean_episode_reward:-1.2963893413543701, mean_queue:3.566666603088379
intersection:5, mean_episode_reward:-1.0041669607162476, mean_queue:3.7333333492279053
intersection:6, mean_episode_reward:0.13388888537883759, mean_queue:3.5416667461395264
intersection:7, mean_episode_reward:-1.2838892936706543, mean_queue:3.663888931274414
intersection:8, mean_episode_reward:-0.8605554103851318, mean_queue:3.5805554389953613
intersection:9, mean_episode_reward:-2.4955546855926514, mean_queue:6.422222137451172
intersection:10, mean_episode_reward:0.9791665077209473, mean_queue:3.7472221851348877
intersection:11, mean_episode_reward:-1.047777771949768, mean_queue:3.472222328186035
intersection:12, mean_episode_reward:-3.113055467605591, mean_queue:4.236111164093018
intersection:13, mean_episode_reward:0.0149999363347888, mean_queue:3.8305554389953613
intersection:14, mean_episode_reward:-0.18805550038814545, mean_queue:2.7138888835906982
intersection:15, mean_episode_reward:-2.2608323097229004, mean_queue:2.5916666984558105
intersection:16, mean_episode_reward:0.10083334147930145, mean_queue:0.0
intersection:17, mean_episode_reward:0.13333334028720856, mean_queue:0.0
intersection:18, mean_episode_reward:0.21222224831581116, mean_queue:0.0
intersection:19, mean_episode_reward:0.3633332848548889, mean_queue:0.0
intersection:20, mean_episode_reward:0.5849999189376831, mean_queue:0.0
intersection:21, mean_episode_reward:0.3644443452358246, mean_queue:0.0
intersection:22, mean_episode_reward:0.04722222313284874, mean_queue:0.0
intersection:23, mean_episode_reward:0.05277778208255768, mean_queue:0.0
intersection:24, mean_episode_reward:0.13555555045604706, mean_queue:0.0
intersection:25, mean_episode_reward:0.1388888657093048, mean_queue:0.0
intersection:26, mean_episode_reward:0.266388863325119, mean_queue:0.0
intersection:27, mean_episode_reward:0.36222219467163086, mean_queue:0.0
intersection:28, mean_episode_reward:0.1711111068725586, mean_queue:0.0
intersection:29, mean_episode_reward:0.18333330750465393, mean_queue:0.0
intersection:30, mean_episode_reward:0.20638886094093323, mean_queue:0.0
intersection:31, mean_episode_reward:0.09000000357627869, mean_queue:0.0
Test step:1/200, travel time :897.8997493734336, rewards:-272.9833550347222, queue:15.102951388888888, delay:0.16781122419569228, throughput:399
step:3600/3600, q_loss:1.461450457572937, rewards:-20.75472683376736, queue:2.3152777777777778, delay:0.08355069160461426, throughput:1327
episode:2/200, real avg travel time:305.9630746043708
intersection:0, mean_episode_reward:-2.613889455795288, mean_queue:4.661110877990723
intersection:1, mean_episode_reward:-0.5236114263534546, mean_queue:4.558333396911621
intersection:2, mean_episode_reward:-2.9013895988464355, mean_queue:6.286110877990723
intersection:3, mean_episode_reward:-2.6836116313934326, mean_queue:4.994444370269775
intersection:4, mean_episode_reward:-2.294722080230713, mean_queue:5.511111259460449
intersection:5, mean_episode_reward:0.395277738571167, mean_queue:2.844444513320923
intersection:6, mean_episode_reward:-0.023889008909463882, mean_queue:4.066666603088379
intersection:7, mean_episode_reward:-2.781388998031616, mean_queue:5.366666793823242
intersection:8, mean_episode_reward:0.22583334147930145, mean_queue:4.300000190734863
intersection:9, mean_episode_reward:-0.1905553787946701, mean_queue:4.18055534362793
intersection:10, mean_episode_reward:-0.93833327293396, mean_queue:4.361111164093018
intersection:11, mean_episode_reward:-1.1324995756149292, mean_queue:4.425000190734863
intersection:12, mean_episode_reward:-4.123612403869629, mean_queue:5.474999904632568
intersection:13, mean_episode_reward:-1.181389570236206, mean_queue:4.5527777671813965
intersection:14, mean_episode_reward:-3.230555534362793, mean_queue:5.097222328186035
intersection:15, mean_episode_reward:-0.8233330845832825, mean_queue:3.4083333015441895
intersection:16, mean_episode_reward:0.039722226560115814, mean_queue:0.0
intersection:17, mean_episode_reward:0.08027778565883636, mean_queue:0.0
intersection:18, mean_episode_reward:0.1458333134651184, mean_queue:0.0
intersection:19, mean_episode_reward:0.29777780175209045, mean_queue:0.0
intersection:20, mean_episode_reward:0.9141665697097778, mean_queue:0.0
intersection:21, mean_episode_reward:0.39666664600372314, mean_queue:0.0
intersection:22, mean_episode_reward:0.11722221225500107, mean_queue:0.0
intersection:23, mean_episode_reward:0.07250000536441803, mean_queue:0.0
intersection:24, mean_episode_reward:0.15527775883674622, mean_queue:0.0
intersection:25, mean_episode_reward:0.301111102104187, mean_queue:0.0
intersection:26, mean_episode_reward:0.26972219347953796, mean_queue:0.0
intersection:27, mean_episode_reward:0.43805554509162903, mean_queue:0.0
intersection:28, mean_episode_reward:0.2730555534362793, mean_queue:0.0
intersection:29, mean_episode_reward:0.27166664600372314, mean_queue:0.0
intersection:30, mean_episode_reward:0.22527776658535004, mean_queue:0.0
intersection:31, mean_episode_reward:0.06861111521720886, mean_queue:0.0
Test step:2/200, travel time :840.502358490566, rewards:-226.32838541666666, queue:14.905555555555555, delay:0.16642888387044272, throughput:424
step:3600/3600, q_loss:3.0102577209472656, rewards:-78.661669921875, queue:9.583333333333334, delay:0.15308126873440212, throughput:961
episode:3/200, real avg travel time:720.3236212278877
intersection:0, mean_episode_reward:-13.186112403869629, mean_queue:15.302778244018555
intersection:1, mean_episode_reward:-11.03860855102539, mean_queue:26.61111068725586
intersection:2, mean_episode_reward:-6.8575005531311035, mean_queue:26.79166603088379
intersection:3, mean_episode_reward:-7.643609523773193, mean_queue:26.255556106567383
intersection:4, mean_episode_reward:-7.309443950653076, mean_queue:20.261110305786133
intersection:5, mean_episode_reward:1.987499713897705, mean_queue:15.858333587646484
intersection:6, mean_episode_reward:-4.872220993041992, mean_queue:15.927778244018555
intersection:7, mean_episode_reward:0.37999987602233887, mean_queue:20.836111068725586
intersection:8, mean_episode_reward:-7.181112289428711, mean_queue:21.600000381469727
intersection:9, mean_episode_reward:0.34777799248695374, mean_queue:9.847222328186035
intersection:10, mean_episode_reward:-4.769999980926514, mean_queue:16.04166603088379
intersection:11, mean_episode_reward:-5.5944437980651855, mean_queue:18.863889694213867
intersection:12, mean_episode_reward:-9.752224922180176, mean_queue:22.094444274902344
intersection:13, mean_episode_reward:-8.470276832580566, mean_queue:14.502778053283691
intersection:14, mean_episode_reward:-5.730554103851318, mean_queue:16.141666412353516
intersection:15, mean_episode_reward:-12.403059005737305, mean_queue:19.73055648803711
intersection:16, mean_episode_reward:0.483611136674881, mean_queue:0.0
intersection:17, mean_episode_reward:1.2438888549804688, mean_queue:0.0
intersection:18, mean_episode_reward:0.8972222208976746, mean_queue:0.0
intersection:19, mean_episode_reward:1.5391665697097778, mean_queue:0.0
intersection:20, mean_episode_reward:3.517777919769287, mean_queue:0.0
intersection:21, mean_episode_reward:1.98472261428833, mean_queue:0.0
intersection:22, mean_episode_reward:0.6052777767181396, mean_queue:0.0
intersection:23, mean_episode_reward:0.1505555510520935, mean_queue:0.0
intersection:24, mean_episode_reward:1.1791666746139526, mean_queue:0.0
intersection:25, mean_episode_reward:0.2616666257381439, mean_queue:0.0
intersection:26, mean_episode_reward:3.2613887786865234, mean_queue:0.0
intersection:27, mean_episode_reward:3.258333444595337, mean_queue:0.0
intersection:28, mean_episode_reward:0.7338889837265015, mean_queue:0.0
intersection:29, mean_episode_reward:2.0941665172576904, mean_queue:0.0
intersection:30, mean_episode_reward:1.228055715560913, mean_queue:0.0
intersection:31, mean_episode_reward:0.9933334589004517, mean_queue:0.0
Test step:3/200, travel time :828.1434977578475, rewards:-194.3197265625, queue:14.675520833333334, delay:0.16813240051269532, throughput:446
step:3600/3600, q_loss:11.847367286682129, rewards:-53.03166232638889, queue:10.684201388888889, delay:0.1529797977871365, throughput:921
episode:4/200, real avg travel time:783.586319218241
intersection:0, mean_episode_reward:-10.603890419006348, mean_queue:20.01944351196289
intersection:1, mean_episode_reward:-0.8047223687171936, mean_queue:16.327777862548828
intersection:2, mean_episode_reward:5.201388359069824, mean_queue:19.697221755981445
intersection:3, mean_episode_reward:-13.6738862991333, mean_queue:28.43055534362793
intersection:4, mean_episode_reward:-1.690555453300476, mean_queue:22.136110305786133
intersection:5, mean_episode_reward:0.5047222971916199, mean_queue:12.219444274902344
intersection:6, mean_episode_reward:-4.019996643066406, mean_queue:27.950000762939453
intersection:7, mean_episode_reward:-2.087498188018799, mean_queue:25.850000381469727
intersection:8, mean_episode_reward:-16.52611541748047, mean_queue:26.155555725097656
intersection:9, mean_episode_reward:4.629444599151611, mean_queue:10.163888931274414
intersection:10, mean_episode_reward:-9.198612213134766, mean_queue:21.93055534362793
intersection:11, mean_episode_reward:7.3016676902771, mean_queue:20.25
intersection:12, mean_episode_reward:-4.574721813201904, mean_queue:22.46388816833496
intersection:13, mean_episode_reward:-5.115275859832764, mean_queue:19.816667556762695
intersection:14, mean_episode_reward:-1.4230562448501587, mean_queue:17.391666412353516
intersection:15, mean_episode_reward:-14.286109924316406, mean_queue:31.09166717529297
intersection:16, mean_episode_reward:0.43888887763023376, mean_queue:0.0
intersection:17, mean_episode_reward:0.5363888740539551, mean_queue:0.0
intersection:18, mean_episode_reward:1.0475001335144043, mean_queue:0.0
intersection:19, mean_episode_reward:2.110833168029785, mean_queue:0.0
intersection:20, mean_episode_reward:0.7330555319786072, mean_queue:0.0
intersection:21, mean_episode_reward:1.0922222137451172, mean_queue:0.0
intersection:22, mean_episode_reward:0.2016666680574417, mean_queue:0.0
intersection:23, mean_episode_reward:0.05027778446674347, mean_queue:0.0
intersection:24, mean_episode_reward:0.483611136674881, mean_queue:0.0
intersection:25, mean_episode_reward:1.355555772781372, mean_queue:0.0
intersection:26, mean_episode_reward:0.6402778029441833, mean_queue:0.0
intersection:27, mean_episode_reward:1.1675000190734863, mean_queue:0.0
intersection:28, mean_episode_reward:0.37444448471069336, mean_queue:0.0
intersection:29, mean_episode_reward:0.101666659116745, mean_queue:0.0
intersection:30, mean_episode_reward:2.8516669273376465, mean_queue:0.0
intersection:31, mean_episode_reward:0.1499999761581421, mean_queue:0.0
Test step:4/200, travel time :740.8664047151277, rewards:-188.63580729166668, queue:13.570833333333333, delay:0.16159897910224066, throughput:509
step:3600/3600, q_loss:21.07080078125, rewards:-57.07138671875, queue:6.854079861111111, delay:0.14371945063273112, throughput:1217
episode:5/200, real avg travel time:634.6179129005752
intersection:0, mean_episode_reward:-7.036388397216797, mean_queue:10.508333206176758
intersection:1, mean_episode_reward:5.669166564941406, mean_queue:10.266666412353516
intersection:2, mean_episode_reward:-5.492223262786865, mean_queue:12.69444465637207
intersection:3, mean_episode_reward:-17.05666732788086, mean_queue:18.094444274902344
intersection:4, mean_episode_reward:-5.292498588562012, mean_queue:11.524999618530273
intersection:5, mean_episode_reward:0.43527793884277344, mean_queue:10.199999809265137
intersection:6, mean_episode_reward:1.866944670677185, mean_queue:10.208333015441895
intersection:7, mean_episode_reward:-15.093053817749023, mean_queue:23.255556106567383
intersection:8, mean_episode_reward:-11.058611869812012, mean_queue:20.01944351196289
intersection:9, mean_episode_reward:6.488055229187012, mean_queue:7.900000095367432
intersection:10, mean_episode_reward:-0.018055591732263565, mean_queue:9.219444274902344
intersection:11, mean_episode_reward:0.7124994993209839, mean_queue:10.608333587646484
intersection:12, mean_episode_reward:-9.35555648803711, mean_queue:13.297222137451172
intersection:13, mean_episode_reward:-1.8708332777023315, mean_queue:16.538888931274414
intersection:14, mean_episode_reward:-5.913055896759033, mean_queue:17.03333282470703
intersection:15, mean_episode_reward:-8.868608474731445, mean_queue:17.961111068725586
intersection:16, mean_episode_reward:0.3727778196334839, mean_queue:0.0
intersection:17, mean_episode_reward:1.0227776765823364, mean_queue:0.0
intersection:18, mean_episode_reward:2.2808332443237305, mean_queue:0.0
intersection:19, mean_episode_reward:0.41777780652046204, mean_queue:0.0
intersection:20, mean_episode_reward:0.6022221446037292, mean_queue:0.0
intersection:21, mean_episode_reward:0.652222216129303, mean_queue:0.0
intersection:22, mean_episode_reward:0.6341666579246521, mean_queue:0.0
intersection:23, mean_episode_reward:0.4911111295223236, mean_queue:0.0
intersection:24, mean_episode_reward:0.5913888812065125, mean_queue:0.0
intersection:25, mean_episode_reward:0.8475000262260437, mean_queue:0.0
intersection:26, mean_episode_reward:1.4616670608520508, mean_queue:0.0
intersection:27, mean_episode_reward:1.0874998569488525, mean_queue:0.0
intersection:28, mean_episode_reward:0.19722220301628113, mean_queue:0.0
intersection:29, mean_episode_reward:1.7055555582046509, mean_queue:0.0
intersection:30, mean_episode_reward:2.151944398880005, mean_queue:0.0
intersection:31, mean_episode_reward:0.29555556178092957, mean_queue:0.0
Test step:5/200, travel time :812.8148893360161, rewards:-181.33971354166667, queue:14.124479166666667, delay:0.1604665968153212, throughput:497
step:3600/3600, q_loss:27.17837905883789, rewards:-49.27887912326389, queue:8.588628472222222, delay:0.14563670688205296, throughput:1020
episode:6/200, real avg travel time:621.5784313725491
intersection:0, mean_episode_reward:-3.632500171661377, mean_queue:6.872222423553467
intersection:1, mean_episode_reward:1.6497219800949097, mean_queue:17.0
intersection:2, mean_episode_reward:0.38138899207115173, mean_queue:28.030555725097656
intersection:3, mean_episode_reward:-13.351388931274414, mean_queue:26.45833396911621
intersection:4, mean_episode_reward:1.1666666269302368, mean_queue:11.869444847106934
intersection:5, mean_episode_reward:7.849721908569336, mean_queue:15.469444274902344
intersection:6, mean_episode_reward:-1.5747250318527222, mean_queue:21.875
intersection:7, mean_episode_reward:-5.485279560089111, mean_queue:17.358333587646484
intersection:8, mean_episode_reward:-5.811666488647461, mean_queue:13.377778053283691
intersection:9, mean_episode_reward:1.8966671228408813, mean_queue:7.849999904632568
intersection:10, mean_episode_reward:2.6386096477508545, mean_queue:11.402777671813965
intersection:11, mean_episode_reward:-11.311942100524902, mean_queue:17.03611183166504
intersection:12, mean_episode_reward:-4.713610649108887, mean_queue:10.741666793823242
intersection:13, mean_episode_reward:-20.323881149291992, mean_queue:26.238889694213867
intersection:14, mean_episode_reward:-12.391109466552734, mean_queue:25.024999618530273
intersection:15, mean_episode_reward:-2.4344446659088135, mean_queue:18.23055648803711
intersection:16, mean_episode_reward:0.32277777791023254, mean_queue:0.0
intersection:17, mean_episode_reward:0.09805556386709213, mean_queue:0.0
intersection:18, mean_episode_reward:3.333611488342285, mean_queue:0.0
intersection:19, mean_episode_reward:2.5847222805023193, mean_queue:0.0
intersection:20, mean_episode_reward:0.5011109709739685, mean_queue:0.0
intersection:21, mean_episode_reward:0.25527775287628174, mean_queue:0.0
intersection:22, mean_episode_reward:0.10138888657093048, mean_queue:0.0
intersection:23, mean_episode_reward:0.15611110627651215, mean_queue:0.0
intersection:24, mean_episode_reward:0.5141667127609253, mean_queue:0.0
intersection:25, mean_episode_reward:1.7211110591888428, mean_queue:0.0
intersection:26, mean_episode_reward:0.9855555891990662, mean_queue:0.0
intersection:27, mean_episode_reward:0.8497222661972046, mean_queue:0.0
intersection:28, mean_episode_reward:0.5022222995758057, mean_queue:0.0
intersection:29, mean_episode_reward:0.6711110472679138, mean_queue:0.0
intersection:30, mean_episode_reward:2.3052775859832764, mean_queue:0.0
intersection:31, mean_episode_reward:1.2666666507720947, mean_queue:0.0
Test step:6/200, travel time :650.4744623655914, rewards:-91.41389973958333, queue:11.16015625, delay:0.1576219982571072, throughput:744
