step:3600/3600, q_loss:0, rewards:-13.686387803819445, queue:1.5090277777777779, delay:0.06255520714653863, throughput:1429
episode:0/200, real avg travel time:251.2855143456963
intersection:0, mean_episode_reward:-2.095277786254883, mean_queue:3.0722222328186035
intersection:1, mean_episode_reward:-1.3494445085525513, mean_queue:3.4361112117767334
intersection:2, mean_episode_reward:-0.7116665244102478, mean_queue:2.952777862548828
intersection:3, mean_episode_reward:-2.3774988651275635, mean_queue:2.827777862548828
intersection:4, mean_episode_reward:-0.5999998450279236, mean_queue:3.019444465637207
intersection:5, mean_episode_reward:0.1319444477558136, mean_queue:2.694444417953491
intersection:6, mean_episode_reward:-0.005277677439153194, mean_queue:2.452777862548828
intersection:7, mean_episode_reward:-0.6888889074325562, mean_queue:2.441666603088379
intersection:8, mean_episode_reward:-1.7230570316314697, mean_queue:3.7916667461395264
intersection:9, mean_episode_reward:-0.9497227072715759, mean_queue:3.538888931274414
intersection:10, mean_episode_reward:0.5958333611488342, mean_queue:2.8611111640930176
intersection:11, mean_episode_reward:-0.6974998712539673, mean_queue:3.200000047683716
intersection:12, mean_episode_reward:-1.6961112022399902, mean_queue:2.61388897895813
intersection:13, mean_episode_reward:-1.6358330249786377, mean_queue:3.4555554389953613
intersection:14, mean_episode_reward:-1.366110920906067, mean_queue:3.299999952316284
intersection:15, mean_episode_reward:-1.606110692024231, mean_queue:2.6305556297302246
intersection:16, mean_episode_reward:0.08638889342546463, mean_queue:0.0
intersection:17, mean_episode_reward:0.13833333551883698, mean_queue:0.0
intersection:18, mean_episode_reward:0.20972222089767456, mean_queue:0.0
intersection:19, mean_episode_reward:0.32305556535720825, mean_queue:0.0
intersection:20, mean_episode_reward:0.4161111116409302, mean_queue:0.0
intersection:21, mean_episode_reward:0.3213889002799988, mean_queue:0.0
intersection:22, mean_episode_reward:0.06000000238418579, mean_queue:0.0
intersection:23, mean_episode_reward:0.05027777701616287, mean_queue:0.0
intersection:24, mean_episode_reward:0.11472222208976746, mean_queue:0.0
intersection:25, mean_episode_reward:0.1552777886390686, mean_queue:0.0
intersection:26, mean_episode_reward:0.2269444614648819, mean_queue:0.0
intersection:27, mean_episode_reward:0.4283332824707031, mean_queue:0.0
intersection:28, mean_episode_reward:0.1758333146572113, mean_queue:0.0
intersection:29, mean_episode_reward:0.17444446682929993, mean_queue:0.0
intersection:30, mean_episode_reward:0.16138888895511627, mean_queue:0.0
intersection:31, mean_episode_reward:0.046111106872558594, mean_queue:0.0
Test step:0/200, travel time :881.3726027397261, rewards:-218.66859809027778, queue:15.046788194444444, delay:0.16454404195149738, throughput:365
step:3600/3600, q_loss:0, rewards:-14.339166937934028, queue:1.5627604166666667, delay:0.06373177104526095, throughput:1429
episode:1/200, real avg travel time:254.44996501049684
intersection:0, mean_episode_reward:-2.1024999618530273, mean_queue:3.191666603088379
intersection:1, mean_episode_reward:-0.4402778148651123, mean_queue:3.055555582046509
intersection:2, mean_episode_reward:-1.9474990367889404, mean_queue:4.074999809265137
intersection:3, mean_episode_reward:-2.0069446563720703, mean_queue:2.7555556297302246
intersection:4, mean_episode_reward:-1.1788887977600098, mean_queue:3.194444417953491
intersection:5, mean_episode_reward:-0.7541666626930237, mean_queue:3.2750000953674316
intersection:6, mean_episode_reward:-0.023333510383963585, mean_queue:2.7833333015441895
intersection:7, mean_episode_reward:-1.0130555629730225, mean_queue:2.9749999046325684
intersection:8, mean_episode_reward:-0.6708335280418396, mean_queue:3.086111068725586
intersection:9, mean_episode_reward:-0.5644446015357971, mean_queue:4.0
intersection:10, mean_episode_reward:-0.8286114931106567, mean_queue:3.2666666507720947
intersection:11, mean_episode_reward:-0.5955556035041809, mean_queue:2.8611111640930176
intersection:12, mean_episode_reward:-2.4325006008148193, mean_queue:3.383333444595337
intersection:13, mean_episode_reward:-0.7391666769981384, mean_queue:3.394444465637207
intersection:14, mean_episode_reward:-0.23138883709907532, mean_queue:2.280555486679077
intersection:15, mean_episode_reward:-2.1111111640930176, mean_queue:2.430555582046509
intersection:16, mean_episode_reward:0.08472222089767456, mean_queue:0.0
intersection:17, mean_episode_reward:0.1458333283662796, mean_queue:0.0
intersection:18, mean_episode_reward:0.22388890385627747, mean_queue:0.0
intersection:19, mean_episode_reward:0.3541666865348816, mean_queue:0.0
intersection:20, mean_episode_reward:0.5461111068725586, mean_queue:0.0
intersection:21, mean_episode_reward:0.3080555200576782, mean_queue:0.0
intersection:22, mean_episode_reward:0.04194444417953491, mean_queue:0.0
intersection:23, mean_episode_reward:0.023055555298924446, mean_queue:0.0
intersection:24, mean_episode_reward:0.12805555760860443, mean_queue:0.0
intersection:25, mean_episode_reward:0.1436111181974411, mean_queue:0.0
intersection:26, mean_episode_reward:0.29055556654930115, mean_queue:0.0
intersection:27, mean_episode_reward:0.33944442868232727, mean_queue:0.0
intersection:28, mean_episode_reward:0.17999999225139618, mean_queue:0.0
intersection:29, mean_episode_reward:0.1972222477197647, mean_queue:0.0
intersection:30, mean_episode_reward:0.21861110627651215, mean_queue:0.0
intersection:31, mean_episode_reward:0.07583332806825638, mean_queue:0.0
Test step:1/200, travel time :881.3726027397261, rewards:-218.66859809027778, queue:15.046788194444444, delay:0.16454404195149738, throughput:365
step:3600/3600, q_loss:1.1807234287261963, rewards:-16.963887532552082, queue:1.96171875, delay:0.07768779330783421, throughput:1346
episode:2/200, real avg travel time:263.17830609212484
intersection:0, mean_episode_reward:-2.215278387069702, mean_queue:4.036110877990723
intersection:1, mean_episode_reward:-0.39416632056236267, mean_queue:3.9277777671813965
intersection:2, mean_episode_reward:-3.1577775478363037, mean_queue:5.441666603088379
intersection:3, mean_episode_reward:-1.6497220993041992, mean_queue:3.116666555404663
intersection:4, mean_episode_reward:-2.2138888835906982, mean_queue:4.35277795791626
intersection:5, mean_episode_reward:-0.1969444453716278, mean_queue:3.280555486679077
intersection:6, mean_episode_reward:0.20416662096977234, mean_queue:3.2638888359069824
intersection:7, mean_episode_reward:-0.9469444155693054, mean_queue:3.8527777194976807
intersection:8, mean_episode_reward:0.18277770280838013, mean_queue:3.2916667461395264
intersection:9, mean_episode_reward:0.3325001299381256, mean_queue:3.336111068725586
intersection:10, mean_episode_reward:-0.7391666173934937, mean_queue:3.758333444595337
intersection:11, mean_episode_reward:-1.9047222137451172, mean_queue:4.666666507720947
intersection:12, mean_episode_reward:-3.445277214050293, mean_queue:4.258333206176758
intersection:13, mean_episode_reward:-2.090277671813965, mean_queue:4.6777777671813965
intersection:14, mean_episode_reward:-1.9938884973526, mean_queue:4.333333492279053
intersection:15, mean_episode_reward:-0.9994446039199829, mean_queue:3.180555582046509
intersection:16, mean_episode_reward:0.04277778044342995, mean_queue:0.0
intersection:17, mean_episode_reward:0.08944443613290787, mean_queue:0.0
intersection:18, mean_episode_reward:0.185555562376976, mean_queue:0.0
intersection:19, mean_episode_reward:0.6791666746139526, mean_queue:0.0
intersection:20, mean_episode_reward:1.0016666650772095, mean_queue:0.0
intersection:21, mean_episode_reward:0.26499998569488525, mean_queue:0.0
intersection:22, mean_episode_reward:0.08361111581325531, mean_queue:0.0
intersection:23, mean_episode_reward:0.0741666629910469, mean_queue:0.0
intersection:24, mean_episode_reward:0.1644444316625595, mean_queue:0.0
