vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,pkw,11.0,138.0,127.0,,1139.427,0.0,0.0,127.0,8.107,,,0.0,1.0,,True,completed
1,pkw,8.0,146.0,138.0,,1442.337,0.0,0.0,138.0,6.656,,,0.0,1.0,,True,completed
14,pkw,70.0,160.0,90.0,,867.152,0.0,0.0,90.0,5.112,,,0.0,1.0,,True,completed
7,pkw,21.0,161.0,140.0,,1465.503,0.0,0.0,140.0,6.94,,,0.0,1.0,,True,completed
10,pkw,54.0,169.0,115.0,,1171.062,0.0,0.0,115.0,8.603,,,0.0,1.0,,True,completed
2,pkw,9.0,176.0,167.0,,1728.601,0.0,0.0,167.0,9.262,,,0.0,1.0,,True,completed
15,pkw,74.0,182.0,108.0,,874.975,12.0,12.0,96.0,27.497,,,0.1111,0.8889,,True,completed
0,pkw,5.0,183.0,178.0,,1743.629,0.0,0.0,178.0,10.359,,,0.0,1.0,,True,completed
8,pkw,34.0,196.0,162.0,,1465.953,0.0,0.0,162.0,10.604,,,0.0,1.0,,True,completed
4,pkw,12.0,205.0,193.0,,1774.478,5.0,5.0,188.0,20.166,,,0.0259,0.9741,,True,completed
26,pkw,117.0,206.0,89.0,,857.118,0.0,0.0,89.0,5.474,,,0.0,1.0,,True,completed
5,pkw,20.0,208.0,188.0,,1774.758,0.0,7.0,181.0,27.012,,,0.0372,0.9628,,True,completed
28,pkw,129.0,212.0,83.0,,868.192,0.0,0.0,83.0,3.714,,,0.0,1.0,,True,completed
27,pkw,123.0,213.0,90.0,,848.321,0.0,0.0,90.0,4.367,,,0.0,1.0,,True,completed
6,pkw,20.0,216.0,196.0,,2028.012,0.0,0.0,196.0,10.789,,,0.0,1.0,,True,completed
20,pkw,98.0,217.0,119.0,,1139.639,4.0,4.0,115.0,14.433,,,0.0336,0.9664,,True,completed
13,pkw,65.0,228.0,163.0,,1454.452,6.0,15.0,148.0,30.79,,,0.092,0.908,,True,completed
17,pkw,82.0,228.0,146.0,,1148.557,16.0,16.0,130.0,26.32,,,0.1096,0.8904,,True,completed
25,pkw,110.0,228.0,118.0,,1172.064,1.0,1.0,117.0,11.513,,,0.0085,0.9915,,True,completed
11,pkw,59.0,230.0,171.0,,1775.39,0.0,0.0,171.0,9.202,,,0.0,1.0,,True,completed
18,pkw,84.0,240.0,156.0,,1469.619,9.0,9.0,147.0,22.239,,,0.0577,0.9423,,True,completed
16,pkw,75.0,241.0,166.0,,1446.781,2.0,18.0,148.0,33.933,,,0.1084,0.8916,,True,completed
23,pkw,103.0,244.0,141.0,,1467.071,0.0,0.0,141.0,7.716,,,0.0,1.0,,True,completed
47,pkw,192.0,246.0,54.0,,565.737,0.0,0.0,54.0,2.083,,,0.0,1.0,,True,completed
31,pkw,144.0,256.0,112.0,,1166.085,0.0,0.0,112.0,5.514,,,0.0,1.0,,True,completed
21,pkw,100.0,261.0,161.0,,1443.101,0.0,0.0,161.0,10.386,,,0.0,1.0,,True,completed
19,pkw,85.0,264.0,179.0,,1736.36,0.0,7.0,172.0,20.944,,,0.0391,0.9609,,True,completed
33,pkw,152.0,264.0,112.0,,1164.437,0.0,0.0,112.0,5.727,,,0.0,1.0,,True,completed
35,pkw,158.0,271.0,113.0,,1161.883,0.0,0.0,113.0,7.429,,,0.0,1.0,,True,completed
45,pkw,191.0,274.0,83.0,,825.642,0.0,0.0,83.0,5.746,,,0.0,1.0,,True,completed
36,pkw,165.0,277.0,112.0,,1179.26,0.0,0.0,112.0,4.866,,,0.0,1.0,,True,completed
9,pkw,43.0,277.0,234.0,,2030.956,0.0,0.0,234.0,14.61,,,0.0,1.0,,True,completed
24,pkw,106.0,279.0,173.0,,1731.549,0.0,0.0,173.0,9.975,,,0.0,1.0,,True,completed
22,pkw,101.0,280.0,179.0,,1756.729,7.0,7.0,172.0,19.002,,,0.0391,0.9609,,True,completed
29,pkw,142.0,282.0,140.0,,1447.404,0.0,0.0,140.0,8.015,,,0.0,1.0,,True,completed
48,pkw,196.0,287.0,91.0,,862.373,0.0,0.0,91.0,5.622,,,0.0,1.0,,True,completed
38,pkw,171.0,291.0,120.0,,1165.61,3.0,3.0,117.0,14.066,,,0.025,0.975,,True,completed
30,pkw,144.0,293.0,149.0,,1438.468,0.0,0.0,149.0,9.883,,,0.0,1.0,,True,completed
34,pkw,153.0,293.0,140.0,,1458.83,0.0,0.0,140.0,7.238,,,0.0,1.0,,True,completed
39,pkw,175.0,298.0,123.0,,1168.377,0.0,0.0,123.0,6.714,,,0.0,1.0,,True,completed
44,pkw,188.0,300.0,112.0,,1169.667,0.0,0.0,112.0,5.38,,,0.0,1.0,,True,completed
12,pkw,65.0,303.0,238.0,,1993.108,0.0,0.0,238.0,14.721,,,0.0,1.0,,True,completed
37,pkw,169.0,309.0,140.0,,1438.621,0.0,0.0,140.0,8.462,,,0.0,1.0,,True,completed
41,pkw,182.0,313.0,131.0,,1159.461,10.0,10.0,121.0,20.423,,,0.0763,0.9237,,True,completed
32,pkw,149.0,321.0,172.0,,1466.796,0.0,0.0,172.0,9.969,,,0.0,1.0,,True,completed
52,pkw,224.0,326.0,102.0,,874.881,5.0,5.0,97.0,14.236,,,0.049,0.951,,True,completed
49,pkw,202.0,348.0,146.0,,1438.471,1.0,1.0,145.0,14.463,,,0.0068,0.9932,,True,completed
42,pkw,183.0,361.0,178.0,,1720.141,0.0,0.0,178.0,10.527,,,0.0,1.0,,True,completed
51,pkw,223.0,362.0,139.0,,1459.242,0.0,0.0,139.0,6.346,,,0.0,1.0,,True,completed
40,pkw,181.0,367.0,186.0,,1469.757,6.0,12.0,174.0,30.33,,,0.0645,0.9355,,True,completed
56,pkw,250.0,373.0,123.0,,1160.445,3.0,3.0,120.0,17.559,,,0.0244,0.9756,,True,completed
72,pkw,318.0,373.0,55.0,,571.525,0.0,0.0,55.0,2.562,,,0.0,1.0,,True,completed
63,pkw,299.0,383.0,84.0,,875.561,0.0,0.0,84.0,4.199,,,0.0,1.0,,True,completed
43,pkw,184.0,390.0,206.0,,1767.094,0.0,0.0,206.0,12.092,,,0.0,1.0,,True,completed
58,pkw,269.0,394.0,125.0,,1177.192,7.0,7.0,118.0,18.052,,,0.056,0.944,,True,completed
84,pkw,349.0,404.0,55.0,,542.697,0.0,0.0,55.0,4.461,,,0.0,1.0,,True,completed
60,pkw,273.0,405.0,132.0,,1153.382,8.0,8.0,124.0,20.072,,,0.0606,0.9394,,True,completed
75,pkw,320.0,405.0,85.0,,872.111,0.0,0.0,85.0,3.957,,,0.0,1.0,,True,completed
