vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
5,pkw,20.0,134.0,114.0,,1173.346,0.0,0.0,114.0,7.398,,,0.0,1.0,,True,completed
2,pkw,8.0,160.0,152.0,,1448.961,7.0,7.0,145.0,20.172,,,0.0461,0.9539,,True,completed
7,pkw,21.0,166.0,145.0,,1465.118,0.0,1.0,144.0,11.81,,,0.0069,0.9931,,True,completed
0,pkw,2.0,167.0,165.0,,1414.293,6.0,7.0,158.0,20.973,,,0.0424,0.9576,,True,completed
1,pkw,5.0,186.0,181.0,,1735.789,0.0,7.0,174.0,23.055,,,0.0387,0.9613,,True,completed
12,pkw,74.0,188.0,114.0,,883.242,8.0,8.0,106.0,6.939,,,0.0702,0.9298,,True,completed
4,pkw,12.0,203.0,191.0,,1460.875,10.0,22.0,169.0,40.805,,,0.1152,0.8848,,True,completed
22,pkw,123.0,205.0,82.0,,846.502,0.0,0.0,82.0,4.473,,,0.0,1.0,,True,completed
21,pkw,117.0,212.0,95.0,,853.93,0.0,0.0,95.0,5.711,,,0.0,1.0,,True,completed
24,pkw,129.0,214.0,85.0,,861.729,0.0,0.0,85.0,4.038,,,0.0,1.0,,True,completed
6,pkw,20.0,216.0,196.0,,1704.193,0.0,20.0,176.0,39.733,,,0.102,0.898,,True,completed
9,pkw,54.0,216.0,162.0,,1174.911,16.0,16.0,146.0,26.336,,,0.0988,0.9012,,True,completed
13,pkw,75.0,219.0,144.0,,1442.708,1.0,1.0,143.0,12.566,,,0.0069,0.9931,,True,completed
3,pkw,9.0,219.0,210.0,,1733.648,2.0,14.0,196.0,30.281,,,0.0667,0.9333,,True,completed
14,pkw,82.0,226.0,144.0,,1142.711,14.0,14.0,130.0,23.26,,,0.0972,0.9028,,True,completed
36,pkw,181.0,236.0,55.0,,572.495,0.0,0.0,55.0,2.475,,,0.0,1.0,,True,completed
16,pkw,98.0,245.0,147.0,,1426.941,0.0,0.0,147.0,16.652,,,0.0,1.0,,True,completed
29,pkw,158.0,269.0,111.0,,1167.334,0.0,0.0,111.0,4.939,,,0.0,1.0,,True,completed
20,pkw,106.0,278.0,172.0,,1732.494,0.0,0.0,172.0,13.863,,,0.0,1.0,,True,completed
39,pkw,191.0,281.0,90.0,,828.016,0.0,0.0,90.0,6.515,,,0.0,1.0,,True,completed
41,pkw,192.0,283.0,91.0,,560.949,30.0,30.0,61.0,37.081,,,0.3297,0.6703,,True,completed
31,pkw,165.0,284.0,119.0,,1175.34,0.0,0.0,119.0,12.218,,,0.0,1.0,,True,completed
17,pkw,100.0,288.0,188.0,,1446.005,2.0,16.0,172.0,37.471,,,0.0851,0.9149,,True,completed
19,pkw,103.0,288.0,185.0,,1465.855,13.0,32.0,153.0,42.675,,,0.173,0.827,,True,completed
33,pkw,171.0,298.0,127.0,,1163.407,6.0,6.0,121.0,21.152,,,0.0472,0.9528,,True,completed
28,pkw,153.0,300.0,147.0,,1461.839,0.0,0.0,147.0,13.673,,,0.0,1.0,,True,completed
8,pkw,43.0,300.0,257.0,,2030.192,1.0,25.0,232.0,38.047,,,0.0973,0.9027,,True,completed
15,pkw,85.0,309.0,224.0,,1743.757,12.0,37.0,187.0,63.789,,,0.1652,0.8348,,True,completed
34,pkw,173.0,311.0,138.0,,1427.21,0.0,0.0,138.0,7.781,,,0.0,1.0,,True,completed
35,pkw,175.0,312.0,137.0,,859.649,38.0,47.0,90.0,58.631,,,0.3431,0.6569,,True,completed
37,pkw,182.0,314.0,132.0,,1161.696,9.0,11.0,121.0,26.435,,,0.0833,0.9167,,True,completed
47,pkw,224.0,322.0,98.0,,878.778,9.0,9.0,89.0,17.909,,,0.0918,0.9082,,True,completed
26,pkw,144.0,324.0,180.0,,1441.729,0.0,27.0,153.0,39.685,,,0.15,0.85,,True,completed
45,pkw,218.0,331.0,113.0,,1160.686,0.0,0.0,113.0,5.829,,,0.0,1.0,,True,completed
11,pkw,70.0,332.0,262.0,,862.561,69.0,173.0,89.0,182.441,,,0.6603,0.3397,,True,completed
27,pkw,153.0,332.0,179.0,,1447.49,0.0,17.0,162.0,33.495,,,0.095,0.905,,True,completed
23,pkw,124.0,343.0,219.0,,2027.979,0.0,15.0,204.0,34.345,,,0.0685,0.9315,,True,completed
51,pkw,244.0,352.0,108.0,,1102.825,0.0,0.0,108.0,6.757,,,0.0,1.0,,True,completed
42,pkw,196.0,354.0,158.0,,1157.644,7.0,34.0,124.0,44.841,,,0.2152,0.7848,,True,completed
