vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
7,pkw,21.0,92.0,71.0,,578.473,9.0,9.0,62.0,17.937,,,0.1268,0.8732,,True,completed
6,pkw,20.0,113.0,93.0,,825.165,7.0,7.0,86.0,8.311,,,0.0753,0.9247,,True,completed
1,pkw,2.0,131.0,129.0,,1164.858,6.0,6.0,123.0,23.161,,,0.0465,0.9535,,True,completed
10,pkw,43.0,132.0,89.0,,877.725,0.0,0.0,89.0,9.004,,,0.0,1.0,,True,completed
2,pkw,5.0,134.0,129.0,,1158.971,8.0,8.0,121.0,23.4,,,0.062,0.938,,True,completed
4,pkw,12.0,143.0,131.0,,1135.36,8.0,8.0,123.0,19.499,,,0.0611,0.9389,,True,completed
13,pkw,65.0,161.0,96.0,,860.103,7.0,7.0,89.0,17.014,,,0.0729,0.9271,,True,completed
0,pkw,2.0,173.0,171.0,,1430.097,6.0,15.0,156.0,33.057,,,0.0877,0.9123,,True,completed
14,pkw,74.0,184.0,110.0,,881.844,10.0,10.0,100.0,14.692,,,0.0909,0.9091,,True,completed
5,pkw,20.0,192.0,172.0,,1467.811,1.0,23.0,149.0,38.505,,,0.1337,0.8663,,True,completed
8,pkw,34.0,196.0,162.0,,1167.431,19.0,26.0,136.0,33.887,,,0.1605,0.8395,,True,completed
24,pkw,117.0,203.0,86.0,,857.397,0.0,0.0,86.0,5.066,,,0.0,1.0,,True,completed
18,pkw,98.0,209.0,111.0,,1136.855,0.0,0.0,111.0,6.941,,,0.0,1.0,,True,completed
15,pkw,82.0,211.0,129.0,,1148.022,5.0,6.0,123.0,23.316,,,0.0465,0.9535,,True,completed
9,pkw,39.0,233.0,194.0,,1440.806,0.0,18.0,176.0,38.362,,,0.0928,0.9072,,True,completed
29,pkw,153.0,236.0,83.0,,858.326,0.0,0.0,83.0,4.415,,,0.0,1.0,,True,completed
3,pkw,9.0,240.0,231.0,,1741.71,1.0,23.0,208.0,50.972,,,0.0996,0.9004,,True,completed
19,pkw,100.0,249.0,149.0,,1440.958,6.0,6.0,143.0,17.705,,,0.0403,0.9597,,True,completed
35,pkw,183.0,252.0,69.0,,564.125,9.0,9.0,60.0,17.228,,,0.1304,0.8696,,True,completed
16,pkw,84.0,253.0,169.0,,1467.367,7.0,15.0,154.0,27.553,,,0.0888,0.9112,,True,completed
12,pkw,65.0,277.0,212.0,,1710.371,0.0,2.0,210.0,19.999,,,0.0094,0.9906,,True,completed
22,pkw,106.0,277.0,171.0,,1730.039,0.0,0.0,171.0,13.348,,,0.0,1.0,,True,completed
20,pkw,101.0,280.0,179.0,,1755.822,6.0,6.0,173.0,19.416,,,0.0335,0.9665,,True,completed
39,pkw,192.0,284.0,92.0,,564.572,30.0,30.0,62.0,35.542,,,0.3261,0.6739,,True,completed
21,pkw,103.0,286.0,183.0,,1465.128,11.0,14.0,169.0,30.64,,,0.0765,0.9235,,True,completed
40,pkw,196.0,294.0,98.0,,856.593,0.0,0.0,98.0,6.596,,,0.0,1.0,,True,completed
25,pkw,123.0,308.0,185.0,,1142.063,13.0,68.0,117.0,79.843,,,0.3676,0.6324,,True,completed
45,pkw,224.0,308.0,84.0,,873.647,0.0,0.0,84.0,3.602,,,0.0,1.0,,True,completed
28,pkw,152.0,313.0,161.0,,1174.663,14.0,30.0,131.0,44.079,,,0.1863,0.8137,,True,completed
17,pkw,85.0,319.0,234.0,,1741.898,2.0,28.0,206.0,52.949,,,0.1197,0.8803,,True,completed
33,pkw,181.0,321.0,140.0,,1463.108,0.0,0.0,140.0,6.821,,,0.0,1.0,,True,completed
27,pkw,144.0,328.0,184.0,,1443.031,7.0,15.0,169.0,29.728,,,0.0815,0.9185,,True,completed
37,pkw,188.0,329.0,141.0,,1169.559,7.0,19.0,122.0,31.51,,,0.1348,0.8652,,True,completed
26,pkw,129.0,333.0,204.0,,1707.909,8.0,22.0,182.0,38.014,,,0.1078,0.8922,,True,completed
32,pkw,175.0,339.0,164.0,,1170.448,16.0,17.0,147.0,34.314,,,0.1037,0.8963,,True,completed
56,pkw,276.0,370.0,94.0,,879.077,4.0,5.0,89.0,9.882,,,0.0532,0.9468,,True,completed
44,pkw,223.0,372.0,149.0,,1462.462,2.0,2.0,147.0,15.991,,,0.0134,0.9866,,True,completed
54,pkw,269.0,380.0,111.0,,1146.893,0.0,0.0,111.0,5.712,,,0.0,1.0,,True,completed
23,pkw,110.0,382.0,272.0,,1175.097,47.0,144.0,128.0,165.24,,,0.5294,0.4706,,True,completed
34,pkw,181.0,382.0,201.0,,2023.752,0.0,1.0,200.0,16.515,,,0.005,0.995,,True,completed
31,pkw,169.0,387.0,218.0,,1437.962,14.0,74.0,144.0,77.87,,,0.3394,0.6606,,True,completed
52,pkw,260.0,389.0,129.0,,1158.588,2.0,2.0,127.0,12.821,,,0.0155,0.9845,,True,completed
50,pkw,250.0,400.0,150.0,,1405.874,1.0,7.0,143.0,12.824,,,0.0467,0.9533,,True,completed
38,pkw,191.0,407.0,216.0,,2053.569,0.0,13.0,203.0,29.377,,,0.0602,0.9398,,True,completed
49,pkw,245.0,412.0,167.0,,1448.318,19.0,19.0,148.0,35.305,,,0.1138,0.8862,,True,completed
80,pkw,344.0,416.0,72.0,,557.029,0.0,0.0,72.0,4.857,,,0.0,1.0,,True,completed
65,pkw,305.0,422.0,117.0,,862.905,25.0,25.0,92.0,38.338,,,0.2137,0.7863,,True,completed
30,pkw,165.0,423.0,258.0,,1174.723,61.0,118.0,140.0,129.105,,,0.4574,0.5426,,True,completed
67,pkw,312.0,423.0,111.0,,1134.96,0.0,0.0,111.0,7.106,,,0.0,1.0,,True,completed
64,pkw,305.0,425.0,120.0,,1166.654,2.0,2.0,118.0,13.596,,,0.0167,0.9833,,True,completed
46,pkw,232.0,431.0,199.0,,1468.633,8.0,22.0,177.0,23.033,,,0.1106,0.8894,,True,completed
71,pkw,320.0,431.0,111.0,,1129.044,0.0,0.0,111.0,7.262,,,0.0,1.0,,True,completed
72,pkw,321.0,432.0,111.0,,1137.907,0.0,0.0,111.0,6.811,,,0.0,1.0,,True,completed
47,pkw,240.0,435.0,195.0,,1719.41,0.0,18.0,177.0,29.76,,,0.0923,0.9077,,True,completed
55,pkw,273.0,440.0,167.0,,1734.042,0.0,0.0,167.0,9.016,,,0.0,1.0,,True,completed
41,pkw,202.0,442.0,240.0,,1446.817,9.0,84.0,156.0,101.344,,,0.35,0.65,,True,completed
51,pkw,255.0,442.0,187.0,,1753.869,11.0,11.0,176.0,27.517,,,0.0588,0.9412,,True,completed
68,pkw,318.0,448.0,130.0,,1121.436,13.0,14.0,116.0,27.074,,,0.1077,0.8923,,True,completed
84,pkw,365.0,450.0,85.0,,854.71,0.0,0.0,85.0,6.39,,,0.0,1.0,,True,completed
43,pkw,212.0,452.0,240.0,,2062.208,0.0,0.0,240.0,13.823,,,0.0,1.0,,True,completed
75,pkw,334.0,452.0,118.0,,1162.452,0.0,0.0,118.0,10.054,,,0.0,1.0,,True,completed
86,pkw,370.0,453.0,83.0,,862.22,0.0,0.0,83.0,3.915,,,0.0,1.0,,True,completed
53,pkw,262.0,458.0,196.0,,1436.194,13.0,44.0,152.0,57.365,,,0.2245,0.7755,,True,completed
60,pkw,299.0,465.0,166.0,,1177.833,26.0,36.0,130.0,51.841,,,0.2169,0.7831,,True,completed
69,pkw,319.0,476.0,157.0,,1437.622,0.0,14.0,143.0,26.164,,,0.0892,0.9108,,True,completed
82,pkw,356.0,476.0,120.0,,1151.347,0.0,0.0,120.0,6.441,,,0.0,1.0,,True,completed
