vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,pkw,11.0,138.0,127.0,,1136.684,0.0,0.0,127.0,8.717,,,0.0,1.0,,True,completed
1,pkw,8.0,146.0,138.0,,1442.337,0.0,0.0,138.0,6.656,,,0.0,1.0,,True,completed
14,pkw,70.0,160.0,90.0,,866.985,0.0,0.0,90.0,5.133,,,0.0,1.0,,True,completed
7,pkw,21.0,173.0,152.0,,1461.958,8.0,8.0,144.0,9.902,,,0.0526,0.9474,,True,completed
10,pkw,54.0,178.0,124.0,,1173.815,5.0,5.0,119.0,17.356,,,0.0403,0.9597,,True,completed
2,pkw,9.0,180.0,171.0,,1731.443,0.0,2.0,169.0,11.952,,,0.0117,0.9883,,True,completed
0,pkw,5.0,183.0,178.0,,1745.255,0.0,0.0,178.0,10.245,,,0.0,1.0,,True,completed
15,pkw,74.0,190.0,116.0,,876.376,17.0,17.0,99.0,25.722,,,0.1466,0.8534,,True,completed
4,pkw,12.0,194.0,182.0,,1774.007,0.0,0.0,182.0,9.212,,,0.0,1.0,,True,completed
8,pkw,34.0,204.0,170.0,,1465.389,0.0,3.0,167.0,18.658,,,0.0176,0.9824,,True,completed
26,pkw,117.0,206.0,89.0,,858.446,0.0,0.0,89.0,5.047,,,0.0,1.0,,True,completed
5,pkw,20.0,208.0,188.0,,1776.053,0.0,10.0,178.0,19.576,,,0.0532,0.9468,,True,completed
28,pkw,129.0,212.0,83.0,,870.11,0.0,0.0,83.0,3.541,,,0.0,1.0,,True,completed
27,pkw,123.0,214.0,91.0,,848.764,0.0,0.0,91.0,4.934,,,0.0,1.0,,True,completed
6,pkw,20.0,226.0,206.0,,2034.926,0.0,3.0,203.0,20.635,,,0.0146,0.9854,,True,completed
13,pkw,65.0,228.0,163.0,,1454.224,6.0,15.0,148.0,30.839,,,0.092,0.908,,True,completed
25,pkw,110.0,228.0,118.0,,1174.823,1.0,1.0,117.0,11.265,,,0.0085,0.9915,,True,completed
20,pkw,98.0,229.0,131.0,,1139.817,10.0,11.0,120.0,17.161,,,0.084,0.916,,True,completed
18,pkw,84.0,239.0,155.0,,1469.664,9.0,9.0,146.0,21.476,,,0.0581,0.9419,,True,completed
17,pkw,82.0,240.0,158.0,,1148.52,24.0,24.0,134.0,29.125,,,0.1519,0.8481,,True,completed
16,pkw,75.0,241.0,166.0,,1444.116,3.0,20.0,146.0,34.468,,,0.1205,0.8795,,True,completed
47,pkw,192.0,246.0,54.0,,564.454,0.0,0.0,54.0,2.199,,,0.0,1.0,,True,completed
11,pkw,59.0,247.0,188.0,,1773.896,0.0,10.0,178.0,19.106,,,0.0532,0.9468,,True,completed
23,pkw,103.0,253.0,150.0,,1468.335,2.0,2.0,148.0,16.566,,,0.0133,0.9867,,True,completed
21,pkw,100.0,261.0,161.0,,1443.364,0.0,0.0,161.0,10.359,,,0.0,1.0,,True,completed
19,pkw,85.0,264.0,179.0,,1741.157,0.0,10.0,169.0,20.7,,,0.0559,0.9441,,True,completed
31,pkw,144.0,268.0,124.0,,1166.107,8.0,8.0,116.0,8.39,,,0.0645,0.9355,,True,completed
35,pkw,158.0,271.0,113.0,,1161.158,0.0,0.0,113.0,7.495,,,0.0,1.0,,True,completed
33,pkw,152.0,272.0,120.0,,1171.148,3.0,3.0,117.0,13.123,,,0.025,0.975,,True,completed
45,pkw,191.0,274.0,83.0,,828.01,0.0,0.0,83.0,5.586,,,0.0,1.0,,True,completed
9,pkw,43.0,276.0,233.0,,2028.067,0.0,0.0,233.0,14.267,,,0.0,1.0,,True,completed
36,pkw,165.0,277.0,112.0,,1177.745,0.0,0.0,112.0,5.002,,,0.0,1.0,,True,completed
24,pkw,106.0,279.0,173.0,,1727.673,0.0,0.0,173.0,9.985,,,0.0,1.0,,True,completed
22,pkw,101.0,282.0,181.0,,1757.227,9.0,10.0,171.0,20.867,,,0.0552,0.9448,,True,completed
48,pkw,196.0,287.0,91.0,,863.167,0.0,0.0,91.0,5.502,,,0.0,1.0,,True,completed
29,pkw,142.0,288.0,146.0,,1440.008,1.0,1.0,145.0,14.346,,,0.0068,0.9932,,True,completed
38,pkw,171.0,290.0,119.0,,1159.231,2.0,2.0,117.0,13.634,,,0.0168,0.9832,,True,completed
34,pkw,153.0,292.0,139.0,,1456.225,0.0,0.0,139.0,6.472,,,0.0,1.0,,True,completed
39,pkw,175.0,298.0,123.0,,1166.486,0.0,0.0,123.0,6.895,,,0.0,1.0,,True,completed
30,pkw,144.0,304.0,160.0,,1444.599,6.0,6.0,154.0,19.431,,,0.0375,0.9625,,True,completed
44,pkw,188.0,309.0,121.0,,1161.529,1.0,6.0,115.0,7.923,,,0.0496,0.9504,,True,completed
12,pkw,65.0,316.0,251.0,,1996.519,0.0,8.0,243.0,27.09,,,0.0319,0.9681,,True,completed
37,pkw,169.0,318.0,149.0,,1441.206,5.0,5.0,144.0,17.579,,,0.0336,0.9664,,True,completed
32,pkw,149.0,321.0,172.0,,1463.73,0.0,0.0,172.0,10.308,,,0.0,1.0,,True,completed
41,pkw,182.0,323.0,141.0,,1161.035,21.0,21.0,120.0,30.339,,,0.1489,0.8511,,True,completed
52,pkw,224.0,336.0,112.0,,873.669,16.0,16.0,96.0,24.356,,,0.1429,0.8571,,True,completed
