vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
2,pkw,8.0,148.0,140.0,,1445.145,0.0,0.0,140.0,8.515,,,0.0,1.0,,True,completed
0,pkw,2.0,149.0,147.0,,1419.49,0.0,0.0,147.0,9.299,,,0.0,1.0,,True,completed
5,pkw,20.0,150.0,130.0,,1173.384,6.0,6.0,124.0,23.394,,,0.0462,0.9538,,True,completed
11,pkw,70.0,154.0,84.0,,863.887,0.0,0.0,84.0,4.296,,,0.0,1.0,,True,completed
7,pkw,21.0,160.0,139.0,,1464.006,0.0,0.0,139.0,5.917,,,0.0,1.0,,True,completed
1,pkw,5.0,172.0,167.0,,1736.792,0.0,0.0,167.0,8.991,,,0.0,1.0,,True,completed
4,pkw,12.0,175.0,163.0,,1464.26,6.0,7.0,156.0,20.135,,,0.0429,0.9571,,True,completed
12,pkw,74.0,178.0,104.0,,881.996,0.0,0.0,104.0,5.604,,,0.0,1.0,,True,completed
6,pkw,20.0,186.0,166.0,,1705.048,0.0,0.0,166.0,10.349,,,0.0,1.0,,True,completed
9,pkw,54.0,188.0,134.0,,1181.091,0.0,0.0,134.0,7.176,,,0.0,1.0,,True,completed
14,pkw,82.0,201.0,119.0,,1144.794,0.0,0.0,119.0,7.079,,,0.0,1.0,,True,completed
3,pkw,9.0,201.0,192.0,,1732.983,0.0,0.0,192.0,12.722,,,0.0,1.0,,True,completed
22,pkw,123.0,205.0,82.0,,847.186,0.0,0.0,82.0,4.393,,,0.0,1.0,,True,completed
21,pkw,117.0,213.0,96.0,,858.654,0.0,0.0,96.0,5.859,,,0.0,1.0,,True,completed
24,pkw,129.0,214.0,85.0,,860.802,0.0,0.0,85.0,4.124,,,0.0,1.0,,True,completed
13,pkw,75.0,225.0,150.0,,1442.914,0.0,6.0,144.0,18.556,,,0.04,0.96,,True,completed
10,pkw,59.0,227.0,168.0,,1775.149,0.0,0.0,168.0,7.104,,,0.0,1.0,,True,completed
36,pkw,181.0,236.0,55.0,,573.577,0.0,0.0,55.0,2.378,,,0.0,1.0,,True,completed
16,pkw,98.0,246.0,148.0,,1428.155,0.0,5.0,143.0,17.515,,,0.0338,0.9662,,True,completed
41,pkw,192.0,249.0,57.0,,567.166,0.0,0.0,57.0,2.494,,,0.0,1.0,,True,completed
19,pkw,103.0,251.0,148.0,,1464.636,0.0,0.0,148.0,14.997,,,0.0,1.0,,True,completed
17,pkw,100.0,260.0,160.0,,1447.328,0.0,0.0,160.0,9.406,,,0.0,1.0,,True,completed
8,pkw,43.0,267.0,224.0,,2032.8,0.0,0.0,224.0,13.627,,,0.0,1.0,,True,completed
18,pkw,101.0,269.0,168.0,,1752.509,0.0,0.0,168.0,8.489,,,0.0,1.0,,True,completed
29,pkw,158.0,269.0,111.0,,1165.321,0.0,0.0,111.0,5.12,,,0.0,1.0,,True,completed
31,pkw,165.0,277.0,112.0,,1176.719,0.0,0.0,112.0,5.094,,,0.0,1.0,,True,completed
25,pkw,138.0,278.0,140.0,,1461.622,0.0,0.0,140.0,7.107,,,0.0,1.0,,True,completed
