vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,car,11.0,138.0,127.0,,1136.4,0.0,0.0,127.0,8.746,,,0.0,1.0,,True,completed
1,car,8.0,151.0,143.0,,1451.022,0.0,0.0,143.0,10.875,,,0.0,1.0,,True,completed
7,car,21.0,161.0,140.0,,1467.264,0.0,0.0,140.0,6.782,,,0.0,1.0,,True,completed
10,car,54.0,168.0,114.0,,1174.738,0.0,0.0,114.0,7.273,,,0.0,1.0,,True,completed
14,truck,70.0,179.0,109.0,,860.497,0.0,0.0,109.0,4.582,,,0.0,1.0,,True,completed
15,car,74.0,183.0,109.0,,880.947,13.0,13.0,96.0,27.954,,,0.1193,0.8807,,True,completed
2,car,9.0,184.0,175.0,,1734.537,0.0,0.0,175.0,16.402,,,0.0,1.0,,True,completed
8,car,34.0,204.0,170.0,,1464.684,0.0,3.0,167.0,18.71,,,0.0176,0.9824,,True,completed
26,car,117.0,206.0,89.0,,854.935,0.0,0.0,89.0,5.711,,,0.0,1.0,,True,completed
5,car,20.0,208.0,188.0,,1777.741,0.0,7.0,181.0,26.741,,,0.0372,0.9628,,True,completed
28,car,129.0,212.0,83.0,,864.491,0.0,0.0,83.0,4.048,,,0.0,1.0,,True,completed
27,car,123.0,214.0,91.0,,846.8,0.0,0.0,91.0,5.128,,,0.0,1.0,,True,completed
20,car,98.0,217.0,119.0,,1136.353,3.0,3.0,116.0,15.035,,,0.0252,0.9748,,True,completed
17,car,82.0,218.0,136.0,,1151.174,5.0,5.0,131.0,16.017,,,0.0368,0.9632,,True,completed
6,car,20.0,224.0,204.0,,2025.287,0.0,3.0,201.0,19.543,,,0.0147,0.9853,,True,completed
0,truck,5.0,226.0,221.0,,1740.105,0.0,0.0,221.0,10.652,,,0.0,1.0,,True,completed
13,car,65.0,228.0,163.0,,1454.527,6.0,15.0,148.0,30.778,,,0.092,0.908,,True,completed
25,car,110.0,228.0,118.0,,1171.577,1.0,1.0,117.0,11.557,,,0.0085,0.9915,,True,completed
18,car,84.0,238.0,154.0,,1463.918,7.0,7.0,147.0,20.75,,,0.0455,0.9545,,True,completed
16,car,75.0,242.0,167.0,,1450.727,2.0,19.0,148.0,34.499,,,0.1138,0.8862,,True,completed
4,truck,12.0,243.0,231.0,,1774.535,1.0,1.0,230.0,16.826,,,0.0043,0.9957,,True,completed
11,car,59.0,247.0,188.0,,1774.582,0.0,10.0,178.0,26.212,,,0.0532,0.9468,,True,completed
23,car,103.0,251.0,148.0,,1465.803,1.0,1.0,147.0,14.77,,,0.0068,0.9932,,True,completed
31,car,144.0,255.0,111.0,,1159.806,0.0,0.0,111.0,5.345,,,0.0,1.0,,True,completed
21,car,100.0,261.0,161.0,,1442.343,0.0,0.0,161.0,10.414,,,0.0,1.0,,True,completed
47,car,192.0,262.0,70.0,,561.815,8.0,8.0,62.0,18.436,,,0.1143,0.8857,,True,completed
22,car,101.0,269.0,168.0,,1758.14,0.0,0.0,168.0,7.882,,,0.0,1.0,,True,completed
33,car,152.0,269.0,117.0,,1173.437,0.0,0.0,117.0,9.907,,,0.0,1.0,,True,completed
35,car,158.0,271.0,113.0,,1159.844,0.0,0.0,113.0,7.613,,,0.0,1.0,,True,completed
45,car,191.0,274.0,83.0,,830.803,0.0,0.0,83.0,5.329,,,0.0,1.0,,True,completed
38,car,171.0,291.0,120.0,,1165.616,3.0,3.0,117.0,14.064,,,0.025,0.975,,True,completed
36,car,165.0,293.0,128.0,,1183.643,9.0,9.0,119.0,20.471,,,0.0703,0.9297,,True,completed
9,truck,43.0,300.0,257.0,,2022.506,0.0,0.0,257.0,12.151,,,0.0,1.0,,True,completed
30,car,144.0,304.0,160.0,,1443.365,6.0,6.0,154.0,19.627,,,0.0375,0.9625,,True,completed
48,car,196.0,305.0,109.0,,861.903,13.0,13.0,96.0,23.669,,,0.1193,0.8807,,True,completed
37,car,169.0,309.0,140.0,,1441.392,0.0,0.0,140.0,7.881,,,0.0,1.0,,True,completed
19,truck,85.0,310.0,225.0,,1737.479,0.0,0.0,225.0,15.065,,,0.0,1.0,,True,completed
12,car,65.0,315.0,250.0,,1993.869,0.0,6.0,244.0,26.283,,,0.024,0.976,,True,completed
32,car,149.0,321.0,172.0,,1464.591,0.0,0.0,172.0,10.242,,,0.0,1.0,,True,completed
39,truck,175.0,322.0,147.0,,1162.397,0.0,0.0,147.0,6.328,,,0.0,1.0,,True,completed
41,car,182.0,323.0,141.0,,1159.291,21.0,21.0,120.0,30.504,,,0.1489,0.8511,,True,completed
24,truck,106.0,326.0,220.0,,1731.762,0.0,0.0,220.0,10.164,,,0.0,1.0,,True,completed
