vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
5,pkw,20.0,134.0,114.0,,1173.346,0.0,0.0,114.0,7.398,,,0.0,1.0,,True,completed
0,pkw,2.0,157.0,155.0,,1414.547,2.0,2.0,153.0,18.509,,,0.0129,0.9871,,True,completed
2,pkw,8.0,160.0,152.0,,1450.219,7.0,7.0,145.0,20.059,,,0.0461,0.9539,,True,completed
11,pkw,70.0,163.0,93.0,,870.832,3.0,3.0,90.0,12.692,,,0.0323,0.9677,,True,completed
7,pkw,21.0,166.0,145.0,,1464.948,0.0,1.0,144.0,11.825,,,0.0069,0.9931,,True,completed
4,pkw,12.0,184.0,172.0,,1461.337,3.0,12.0,160.0,29.093,,,0.0698,0.9302,,True,completed
1,pkw,5.0,188.0,183.0,,1744.587,0.0,7.0,176.0,24.354,,,0.0383,0.9617,,True,completed
12,pkw,74.0,193.0,119.0,,878.307,12.0,12.0,107.0,21.011,,,0.1008,0.8992,,True,completed
9,pkw,54.0,200.0,146.0,,1173.611,8.0,8.0,138.0,19.973,,,0.0548,0.9452,,True,completed
22,pkw,123.0,205.0,82.0,,849.071,0.0,0.0,82.0,3.839,,,0.0,1.0,,True,completed
21,pkw,117.0,212.0,95.0,,854.052,0.0,0.0,95.0,5.692,,,0.0,1.0,,True,completed
14,pkw,82.0,214.0,132.0,,1144.55,6.0,6.0,126.0,20.125,,,0.0455,0.9545,,True,completed
24,pkw,129.0,214.0,85.0,,861.552,0.0,0.0,85.0,4.054,,,0.0,1.0,,True,completed
6,pkw,20.0,216.0,196.0,,1703.75,0.0,20.0,176.0,40.151,,,0.102,0.898,,True,completed
3,pkw,9.0,219.0,210.0,,1732.704,2.0,14.0,196.0,30.458,,,0.0667,0.9333,,True,completed
13,pkw,75.0,220.0,145.0,,1451.644,1.0,1.0,144.0,12.762,,,0.0069,0.9931,,True,completed
10,pkw,59.0,250.0,191.0,,1778.697,7.0,12.0,179.0,29.786,,,0.0628,0.9372,,True,completed
36,pkw,181.0,254.0,73.0,,579.749,12.0,12.0,61.0,19.822,,,0.1644,0.8356,,True,completed
16,pkw,98.0,255.0,157.0,,1422.873,0.0,15.0,142.0,27.292,,,0.0955,0.9045,,True,completed
19,pkw,103.0,262.0,159.0,,1468.748,1.0,8.0,151.0,25.625,,,0.0503,0.9497,,True,completed
29,pkw,158.0,268.0,110.0,,1157.612,0.0,0.0,110.0,4.814,,,0.0,1.0,,True,completed
41,pkw,192.0,273.0,81.0,,562.821,20.0,20.0,61.0,26.904,,,0.2469,0.7531,,True,completed
8,pkw,43.0,276.0,233.0,,2028.286,0.0,5.0,228.0,23.469,,,0.0215,0.9785,,True,completed
20,pkw,106.0,278.0,172.0,,1729.901,0.0,0.0,172.0,13.781,,,0.0,1.0,,True,completed
31,pkw,165.0,278.0,113.0,,1178.597,0.0,0.0,113.0,5.925,,,0.0,1.0,,True,completed
39,pkw,191.0,281.0,90.0,,829.524,0.0,0.0,90.0,6.338,,,0.0,1.0,,True,completed
17,pkw,100.0,288.0,188.0,,1445.543,2.0,16.0,172.0,37.618,,,0.0851,0.9149,,True,completed
25,pkw,138.0,289.0,151.0,,1461.507,0.0,5.0,146.0,18.114,,,0.0331,0.9669,,True,completed
33,pkw,171.0,302.0,131.0,,1160.726,8.0,10.0,121.0,25.426,,,0.0763,0.9237,,True,completed
28,pkw,153.0,304.0,151.0,,1459.111,5.0,5.0,146.0,17.9,,,0.0331,0.9669,,True,completed
15,pkw,85.0,309.0,224.0,,1745.052,12.0,38.0,186.0,63.651,,,0.1696,0.8304,,True,completed
34,pkw,173.0,311.0,138.0,,1425.057,0.0,0.0,138.0,7.99,,,0.0,1.0,,True,completed
37,pkw,182.0,312.0,130.0,,1160.66,8.0,9.0,121.0,24.529,,,0.0692,0.9308,,True,completed
18,pkw,101.0,322.0,221.0,,1756.724,36.0,43.0,178.0,61.079,,,0.1946,0.8054,,True,completed
35,pkw,175.0,322.0,147.0,,858.969,47.0,56.0,91.0,68.692,,,0.381,0.619,,True,completed
