vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
5,pkw,20.0,132.0,112.0,,1178.162,0.0,0.0,112.0,4.964,,,0.0,1.0,,True,completed
2,pkw,8.0,148.0,140.0,,1445.407,0.0,0.0,140.0,8.492,,,0.0,1.0,,True,completed
0,pkw,2.0,149.0,147.0,,1419.49,0.0,0.0,147.0,9.299,,,0.0,1.0,,True,completed
7,pkw,21.0,160.0,139.0,,1461.988,0.0,0.0,139.0,6.257,,,0.0,1.0,,True,completed
1,pkw,5.0,172.0,167.0,,1736.587,0.0,0.0,167.0,9.009,,,0.0,1.0,,True,completed
4,pkw,12.0,175.0,163.0,,1465.379,6.0,7.0,156.0,20.027,,,0.0429,0.9571,,True,completed
12,pkw,74.0,178.0,104.0,,881.449,0.0,0.0,104.0,5.664,,,0.0,1.0,,True,completed
6,pkw,20.0,186.0,166.0,,1705.188,0.0,0.0,166.0,10.381,,,0.0,1.0,,True,completed
9,pkw,54.0,188.0,134.0,,1181.017,0.0,0.0,134.0,7.184,,,0.0,1.0,,True,completed
14,pkw,82.0,201.0,119.0,,1143.829,0.0,0.0,119.0,7.171,,,0.0,1.0,,True,completed
3,pkw,9.0,201.0,192.0,,1732.983,0.0,0.0,192.0,12.722,,,0.0,1.0,,True,completed
22,pkw,123.0,205.0,82.0,,847.186,0.0,0.0,82.0,4.393,,,0.0,1.0,,True,completed
21,pkw,117.0,212.0,95.0,,853.964,0.0,0.0,95.0,5.665,,,0.0,1.0,,True,completed
24,pkw,129.0,214.0,85.0,,861.424,0.0,0.0,85.0,4.066,,,0.0,1.0,,True,completed
13,pkw,75.0,225.0,150.0,,1443.176,0.0,7.0,143.0,18.694,,,0.0467,0.9533,,True,completed
36,pkw,181.0,244.0,63.0,,573.324,2.0,2.0,61.0,10.4,,,0.0317,0.9683,,True,completed
19,pkw,103.0,250.0,147.0,,1467.438,0.0,0.0,147.0,13.774,,,0.0,1.0,,True,completed
16,pkw,98.0,255.0,157.0,,1426.269,0.0,15.0,142.0,27.016,,,0.0955,0.9045,,True,completed
35,pkw,175.0,258.0,83.0,,865.853,0.0,0.0,83.0,4.072,,,0.0,1.0,,True,completed
17,pkw,100.0,260.0,160.0,,1447.53,0.0,0.0,160.0,9.331,,,0.0,1.0,,True,completed
8,pkw,43.0,267.0,224.0,,2030.731,0.0,0.0,224.0,13.889,,,0.0,1.0,,True,completed
15,pkw,85.0,269.0,184.0,,1744.952,3.0,3.0,181.0,23.306,,,0.0163,0.9837,,True,completed
