vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
3,pkw,11.0,136.0,125.0,,1141.206,0.0,0.0,125.0,6.247,,,0.0,1.0,,True,completed
1,pkw,8.0,144.0,136.0,,1448.945,0.0,0.0,136.0,4.306,,,0.0,1.0,,True,completed
7,pkw,21.0,157.0,136.0,,1461.365,0.0,0.0,136.0,3.141,,,0.0,1.0,,True,completed
14,pkw,70.0,158.0,88.0,,868.892,0.0,0.0,88.0,2.901,,,0.0,1.0,,True,completed
15,pkw,74.0,164.0,90.0,,874.473,0.0,0.0,90.0,9.543,,,0.0,1.0,,True,completed
2,pkw,9.0,173.0,164.0,,1731.479,0.0,0.0,164.0,6.248,,,0.0,1.0,,True,completed
0,pkw,5.0,179.0,174.0,,1735.251,0.0,0.0,174.0,7.106,,,0.0,1.0,,True,completed
10,pkw,54.0,184.0,130.0,,1172.996,7.0,7.0,123.0,23.429,,,0.0538,0.9462,,True,completed
4,pkw,12.0,195.0,183.0,,1780.013,0.0,0.0,183.0,9.282,,,0.0,1.0,,True,completed
13,pkw,65.0,201.0,136.0,,1454.563,0.0,0.0,136.0,3.784,,,0.0,1.0,,True,completed
26,pkw,117.0,204.0,87.0,,856.64,0.0,0.0,87.0,3.526,,,0.0,1.0,,True,completed
8,pkw,34.0,204.0,170.0,,1459.65,0.0,5.0,165.0,19.196,,,0.0294,0.9706,,True,completed
20,pkw,98.0,207.0,109.0,,1139.455,0.0,0.0,109.0,4.744,,,0.0,1.0,,True,completed
5,pkw,20.0,209.0,189.0,,1775.351,0.0,5.0,184.0,27.933,,,0.0265,0.9735,,True,completed
28,pkw,129.0,210.0,81.0,,867.78,0.0,0.0,81.0,1.751,,,0.0,1.0,,True,completed
27,pkw,123.0,212.0,89.0,,848.947,0.0,0.0,89.0,3.283,,,0.0,1.0,,True,completed
17,pkw,82.0,219.0,137.0,,1144.562,7.0,7.0,130.0,17.697,,,0.0511,0.9489,,True,completed
16,pkw,75.0,227.0,152.0,,1442.654,0.0,8.0,144.0,20.646,,,0.0526,0.9474,,True,completed
6,pkw,20.0,227.0,207.0,,2027.022,0.0,4.0,203.0,21.909,,,0.0193,0.9807,,True,completed
11,pkw,59.0,237.0,178.0,,1775.402,0.0,3.0,175.0,16.132,,,0.0169,0.9831,,True,completed
47,pkw,192.0,245.0,53.0,,565.36,0.0,0.0,53.0,1.117,,,0.0,1.0,,True,completed
18,pkw,84.0,246.0,162.0,,1472.424,5.0,6.0,156.0,27.96,,,0.037,0.963,,True,completed
25,pkw,110.0,250.0,140.0,,1174.168,11.0,23.0,117.0,33.324,,,0.1643,0.8357,,True,completed
23,pkw,103.0,251.0,148.0,,1472.851,1.0,1.0,147.0,14.265,,,0.0068,0.9932,,True,completed
31,pkw,144.0,254.0,110.0,,1166.639,0.0,0.0,110.0,3.443,,,0.0,1.0,,True,completed
21,pkw,100.0,258.0,158.0,,1444.189,0.0,0.0,158.0,7.172,,,0.0,1.0,,True,completed
22,pkw,101.0,265.0,164.0,,1752.235,0.0,0.0,164.0,4.617,,,0.0,1.0,,True,completed
35,pkw,158.0,270.0,112.0,,1163.945,0.0,0.0,112.0,6.244,,,0.0,1.0,,True,completed
9,pkw,43.0,272.0,229.0,,2032.253,0.0,0.0,229.0,9.417,,,0.0,1.0,,True,completed
45,pkw,191.0,273.0,82.0,,830.351,0.0,0.0,82.0,4.727,,,0.0,1.0,,True,completed
33,pkw,152.0,275.0,123.0,,1163.021,5.0,5.0,118.0,17.074,,,0.0407,0.9593,,True,completed
36,pkw,165.0,275.0,110.0,,1182.626,0.0,0.0,110.0,2.563,,,0.0,1.0,,True,completed
24,pkw,106.0,277.0,171.0,,1729.323,0.0,0.0,171.0,8.203,,,0.0,1.0,,True,completed
29,pkw,142.0,279.0,137.0,,1440.935,0.0,0.0,137.0,5.593,,,0.0,1.0,,True,completed
48,pkw,196.0,284.0,88.0,,853.584,0.0,0.0,88.0,3.43,,,0.0,1.0,,True,completed
30,pkw,144.0,291.0,147.0,,1447.296,0.0,0.0,147.0,6.588,,,0.0,1.0,,True,completed
38,pkw,171.0,293.0,122.0,,1157.68,5.0,5.0,117.0,16.774,,,0.041,0.959,,True,completed
39,pkw,175.0,295.0,120.0,,1165.663,0.0,0.0,120.0,3.97,,,0.0,1.0,,True,completed
34,pkw,153.0,296.0,143.0,,1457.608,0.0,0.0,143.0,10.588,,,0.0,1.0,,True,completed
44,pkw,188.0,297.0,109.0,,1166.092,0.0,0.0,109.0,2.696,,,0.0,1.0,,True,completed
19,pkw,85.0,301.0,216.0,,1745.266,0.0,20.0,196.0,57.525,,,0.0926,0.9074,,True,completed
12,pkw,65.0,303.0,238.0,,1998.133,0.0,0.0,238.0,13.331,,,0.0,1.0,,True,completed
37,pkw,169.0,307.0,138.0,,1447.018,0.0,0.0,138.0,5.666,,,0.0,1.0,,True,completed
41,pkw,182.0,307.0,125.0,,1165.795,2.0,2.0,123.0,13.823,,,0.016,0.984,,True,completed
52,pkw,224.0,314.0,90.0,,876.112,0.0,0.0,90.0,2.114,,,0.0,1.0,,True,completed
32,pkw,149.0,323.0,174.0,,1464.036,0.0,0.0,174.0,12.259,,,0.0,1.0,,True,completed
49,pkw,202.0,339.0,137.0,,1437.207,0.0,0.0,137.0,5.91,,,0.0,1.0,,True,completed
42,pkw,183.0,358.0,175.0,,1720.868,0.0,0.0,175.0,7.372,,,0.0,1.0,,True,completed
51,pkw,223.0,359.0,136.0,,1459.097,0.0,0.0,136.0,3.35,,,0.0,1.0,,True,completed
40,pkw,181.0,370.0,189.0,,1471.47,6.0,13.0,176.0,33.136,,,0.0688,0.9312,,True,completed
56,pkw,250.0,372.0,122.0,,1161.929,2.0,2.0,120.0,16.425,,,0.0164,0.9836,,True,completed
72,pkw,318.0,372.0,54.0,,574.831,0.0,0.0,54.0,1.265,,,0.0,1.0,,True,completed
43,pkw,184.0,384.0,200.0,,1764.642,0.0,0.0,200.0,6.31,,,0.0,1.0,,True,completed
63,pkw,299.0,384.0,85.0,,881.555,0.0,0.0,85.0,4.659,,,0.0,1.0,,True,completed
60,pkw,273.0,388.0,115.0,,1147.494,0.0,0.0,115.0,3.59,,,0.0,1.0,,True,completed
58,pkw,269.0,398.0,129.0,,1180.065,2.0,2.0,127.0,21.793,,,0.0155,0.9845,,True,completed
75,pkw,320.0,403.0,83.0,,871.762,0.0,0.0,83.0,1.989,,,0.0,1.0,,True,completed
84,pkw,349.0,404.0,55.0,,542.832,0.0,0.0,55.0,4.404,,,0.0,1.0,,True,completed
50,pkw,212.0,405.0,193.0,,2058.024,0.0,0.0,193.0,6.004,,,0.0,1.0,,True,completed
68,pkw,305.0,414.0,109.0,,1163.926,0.0,0.0,109.0,3.046,,,0.0,1.0,,True,completed
53,pkw,240.0,415.0,175.0,,1723.554,0.0,2.0,173.0,17.746,,,0.0114,0.9886,,True,completed
70,pkw,309.0,418.0,109.0,,1141.023,0.0,0.0,109.0,4.952,,,0.0,1.0,,True,completed
71,pkw,312.0,423.0,111.0,,1139.924,0.0,0.0,111.0,5.687,,,0.0,1.0,,True,completed
67,pkw,305.0,426.0,121.0,,1164.395,2.0,2.0,119.0,14.93,,,0.0165,0.9835,,True,completed
76,pkw,321.0,429.0,108.0,,1136.826,0.0,0.0,108.0,4.139,,,0.0,1.0,,True,completed
54,pkw,240.0,432.0,192.0,,1980.213,0.0,0.0,192.0,10.001,,,0.0,1.0,,True,completed
83,pkw,343.0,435.0,92.0,,877.974,0.0,0.0,92.0,2.267,,,0.0,1.0,,True,completed
55,pkw,241.0,437.0,196.0,,2031.283,0.0,0.0,196.0,10.509,,,0.0,1.0,,True,completed
65,pkw,302.0,439.0,137.0,,1459.921,0.0,0.0,137.0,4.332,,,0.0,1.0,,True,completed
59,pkw,271.0,441.0,170.0,,1737.452,0.0,0.0,170.0,7.277,,,0.0,1.0,,True,completed
57,pkw,255.0,445.0,190.0,,1753.106,0.0,0.0,190.0,6.727,,,0.0,1.0,,True,completed
90,pkw,370.0,452.0,82.0,,869.135,0.0,0.0,82.0,2.55,,,0.0,1.0,,True,completed
66,pkw,302.0,456.0,154.0,,1476.018,1.0,1.0,153.0,12.264,,,0.0065,0.9935,,True,completed
73,pkw,319.0,458.0,139.0,,1415.843,0.0,0.0,139.0,6.935,,,0.0,1.0,,True,completed
82,pkw,341.0,459.0,118.0,,1153.839,0.0,0.0,118.0,4.095,,,0.0,1.0,,True,completed
64,pkw,301.0,465.0,164.0,,1729.558,0.0,0.0,164.0,6.238,,,0.0,1.0,,True,completed
91,pkw,374.0,465.0,91.0,,877.345,1.0,1.0,90.0,11.038,,,0.011,0.989,,True,completed
78,pkw,334.0,468.0,134.0,,1163.649,3.0,9.0,125.0,27.761,,,0.0672,0.9328,,True,completed
85,pkw,354.0,469.0,115.0,,1171.04,0.0,0.0,115.0,8.605,,,0.0,1.0,,True,completed
74,pkw,320.0,470.0,150.0,,1462.679,0.0,0.0,150.0,11.213,,,0.0,1.0,,True,completed
87,pkw,365.0,473.0,108.0,,858.677,18.0,18.0,90.0,29.384,,,0.1667,0.8333,,True,completed
69,pkw,309.0,475.0,166.0,,1734.681,0.0,0.0,166.0,8.109,,,0.0,1.0,,True,completed
46,pkw,191.0,488.0,297.0,,2060.41,10.0,32.0,265.0,76.403,,,0.1077,0.8923,,True,completed
61,pkw,277.0,489.0,212.0,,1757.604,9.0,9.0,203.0,29.515,,,0.0425,0.9575,,True,completed
95,pkw,385.0,490.0,105.0,,861.259,3.0,3.0,102.0,15.331,,,0.0286,0.9714,,True,completed
94,pkw,382.0,498.0,116.0,,1143.715,0.0,0.0,116.0,4.746,,,0.0,1.0,,True,completed
104,pkw,417.0,499.0,82.0,,860.096,0.0,0.0,82.0,2.89,,,0.0,1.0,,True,completed
62,pkw,279.0,499.0,220.0,,2028.782,0.0,0.0,220.0,8.69,,,0.0,1.0,,True,completed
88,pkw,365.0,504.0,139.0,,1462.574,0.0,0.0,139.0,6.07,,,0.0,1.0,,True,completed
92,pkw,375.0,514.0,139.0,,1481.491,0.0,0.0,139.0,4.664,,,0.0,1.0,,True,completed
118,pkw,458.0,521.0,63.0,,573.492,0.0,0.0,63.0,1.563,,,0.0,1.0,,True,completed
111,pkw,437.0,523.0,86.0,,878.596,0.0,0.0,86.0,5.926,,,0.0,1.0,,True,completed
93,pkw,380.0,526.0,146.0,,1438.455,0.0,0.0,146.0,9.172,,,0.0,1.0,,True,completed
103,pkw,414.0,531.0,117.0,,1131.154,0.0,0.0,117.0,5.948,,,0.0,1.0,,True,completed
98,pkw,398.0,531.0,133.0,,1139.116,10.0,15.0,118.0,28.788,,,0.1128,0.8872,,True,completed
89,pkw,367.0,532.0,165.0,,1467.254,0.0,0.0,165.0,12.451,,,0.0,1.0,,True,completed
106,pkw,423.0,535.0,112.0,,1138.068,0.0,0.0,112.0,5.455,,,0.0,1.0,,True,completed
117,pkw,453.0,541.0,88.0,,865.661,0.0,0.0,88.0,8.71,,,0.0,1.0,,True,completed
97,pkw,396.0,541.0,145.0,,1439.162,0.0,0.0,145.0,13.132,,,0.0,1.0,,True,completed
110,pkw,436.0,544.0,108.0,,1143.141,0.0,0.0,108.0,3.69,,,0.0,1.0,,True,completed
