vehicle_id,vehicle_type,enter_time_s,departure_time_s,travel_time_s,route_distance_m,distance_traveled_m,accumulated_waiting_time_s,custom_wait_s,moving_time_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,moving_fraction,schedule_efficiency,completed_trip,trip_status
2,,15.0,113.0,98.0,,866.474,18.0,19.0,79.0,29.487,,,0.1939,0.8061,,True,completed
25,,112.0,167.0,55.0,,574.178,0.0,1.0,54.0,5.645,,,0.0182,0.9818,,True,completed
6,,40.0,170.0,130.0,,888.548,40.0,41.0,89.0,51.279,,,0.3154,0.6846,,True,completed
8,,58.0,187.0,129.0,,889.678,19.0,20.0,109.0,37.119,,,0.155,0.845,,True,completed
0,,1.0,195.0,194.0,,1742.631,0.0,9.0,185.0,25.526,,,0.0464,0.9536,,True,completed
7,,54.0,195.0,141.0,,1197.125,16.0,29.0,112.0,44.78,,,0.2057,0.7943,,True,completed
14,,78.0,203.0,125.0,,1157.439,0.0,1.0,124.0,11.583,,,0.008,0.992,,True,completed
13,,77.0,209.0,132.0,,1170.991,22.0,23.0,109.0,40.077,,,0.1742,0.8258,,True,completed
1,,10.0,211.0,201.0,,1493.546,19.0,49.0,152.0,74.563,,,0.2438,0.7562,,True,completed
4,,35.0,226.0,191.0,,1747.487,0.0,1.0,190.0,19.883,,,0.0052,0.9948,,True,completed
16,,85.0,240.0,155.0,,1193.051,16.0,42.0,113.0,58.777,,,0.271,0.729,,True,completed
5,,37.0,243.0,206.0,,1494.323,19.0,53.0,153.0,81.035,,,0.2573,0.7427,,True,completed
23,,107.0,250.0,143.0,,1177.795,30.0,31.0,112.0,47.158,,,0.2168,0.7832,,True,completed
10,,63.0,253.0,190.0,,1477.739,29.0,37.0,153.0,55.854,,,0.1947,0.8053,,True,completed
43,,187.0,259.0,72.0,,575.156,0.0,1.0,71.0,7.71,,,0.0139,0.9861,,True,completed
31,,139.0,261.0,122.0,,890.109,35.0,36.0,86.0,46.548,,,0.2951,0.7049,,True,completed
24,,111.0,264.0,153.0,,890.54,31.0,52.0,101.0,69.227,,,0.3399,0.6601,,True,completed
