vehicle_id,enter_time_s,departure_time_s,travel_time_s,accumulated_waiting_time_s,waiting_fraction,completed_trip
2,15.0,100.0,85.0,0.0,0.0,True
6,39.0,121.0,82.0,0.0,0.0,True
8,58.0,150.0,92.0,0.0,0.0,True
0,1.0,162.0,161.0,0.0,0.0,True
1,10.0,167.0,157.0,1.0,0.0064,True
25,112.0,178.0,66.0,0.0,0.0,True
13,77.0,181.0,104.0,0.0,0.0,True
7,54.0,185.0,131.0,0.0,0.0,True
14,78.0,193.0,115.0,0.0,0.0,True
10,63.0,194.0,131.0,0.0,0.0,True
4,35.0,201.0,166.0,0.0,0.0,True
12,75.0,211.0,136.0,0.0,0.0,True
5,37.0,211.0,174.0,0.0,0.0,True
19,91.0,214.0,123.0,0.0,0.0,True
31,139.0,214.0,75.0,0.0,0.0,True
16,85.0,217.0,132.0,0.0,0.0,True
24,111.0,219.0,108.0,0.0,0.0,True
22,105.0,223.0,118.0,0.0,0.0,True
32,140.0,226.0,86.0,0.0,0.0,True
15,80.0,235.0,155.0,0.0,0.0,True
23,107.0,237.0,130.0,0.0,0.0,True
11,71.0,238.0,167.0,0.0,0.0,True
20,99.0,239.0,140.0,0.0,0.0,True
3,28.0,239.0,211.0,0.0,0.0,True
43,187.0,242.0,55.0,0.0,0.0,True
33,140.0,261.0,121.0,0.0,0.0,True
28,118.0,269.0,151.0,0.0,0.0,True
17,86.0,270.0,184.0,0.0,0.0,True
44,198.0,280.0,82.0,0.0,0.0,True
35,147.0,287.0,140.0,0.0,0.0,True
40,176.0,292.0,116.0,0.0,0.0,True
27,115.0,297.0,182.0,0.0,0.0,True
9,62.0,300.0,238.0,0.0,0.0,True
21,102.0,301.0,199.0,0.0,0.0,True
38,170.0,304.0,134.0,0.0,0.0,True
29,119.0,307.0,188.0,0.0,0.0,True
42,179.0,309.0,130.0,0.0,0.0,True
30,138.0,312.0,174.0,0.0,0.0,True
26,112.0,315.0,203.0,6.0,0.0296,True
54,237.0,322.0,85.0,0.0,0.0,True
49,221.0,323.0,102.0,0.0,0.0,True
51,229.0,327.0,98.0,0.0,0.0,True
36,155.0,333.0,178.0,0.0,0.0,True
18,88.0,334.0,246.0,0.0,0.0,True
52,230.0,343.0,113.0,0.0,0.0,True
57,269.0,344.0,75.0,0.0,0.0,True
34,144.0,347.0,203.0,0.0,0.0,True
37,156.0,348.0,192.0,0.0,0.0,True
60,279.0,359.0,80.0,0.0,0.0,True
45,205.0,364.0,159.0,0.0,0.0,True
39,174.0,366.0,192.0,0.0,0.0,True
59,277.0,366.0,89.0,0.0,0.0,True
55,258.0,373.0,115.0,0.0,0.0,True
46,212.0,385.0,173.0,0.0,0.0,True
41,177.0,387.0,210.0,0.0,0.0,True
53,232.0,387.0,155.0,0.0,0.0,True
58,276.0,388.0,112.0,0.0,0.0,True
68,308.0,390.0,82.0,0.0,0.0,True
66,298.0,394.0,96.0,0.0,0.0,True
62,284.0,397.0,113.0,0.0,0.0,True
61,280.0,407.0,127.0,0.0,0.0,True
64,287.0,410.0,123.0,0.0,0.0,True
71,325.0,414.0,89.0,0.0,0.0,True
48,219.0,418.0,199.0,0.0,0.0,True
56,260.0,420.0,160.0,0.0,0.0,True
50,223.0,426.0,203.0,0.0,0.0,True
63,286.0,431.0,145.0,0.0,0.0,True
47,213.0,438.0,225.0,0.0,0.0,True
67,303.0,460.0,157.0,0.0,0.0,True
80,389.0,472.0,83.0,0.0,0.0,True
69,311.0,480.0,169.0,0.0,0.0,True
74,331.0,481.0,150.0,0.0,0.0,True
70,321.0,489.0,168.0,0.0,0.0,True
65,295.0,491.0,196.0,0.0,0.0,True
87,409.0,492.0,83.0,0.0,0.0,True
73,330.0,493.0,163.0,0.0,0.0,True
78,380.0,494.0,114.0,0.0,0.0,True
75,350.0,496.0,146.0,0.0,0.0,True
100,453.0,507.0,54.0,0.0,0.0,True
81,392.0,507.0,115.0,0.0,0.0,True
90,422.0,507.0,85.0,0.0,0.0,True
94,431.0,511.0,80.0,0.0,0.0,True
72,328.0,513.0,185.0,0.0,0.0,True
77,378.0,525.0,147.0,0.0,0.0,True
76,360.0,526.0,166.0,0.0,0.0,True
84,403.0,527.0,124.0,0.0,0.0,True
89,420.0,531.0,111.0,0.0,0.0,True
92,427.0,531.0,104.0,0.0,0.0,True
97,443.0,538.0,95.0,0.0,0.0,True
79,381.0,541.0,160.0,0.0,0.0,True
98,443.0,545.0,102.0,0.0,0.0,True
88,410.0,553.0,143.0,0.0,0.0,True
85,407.0,558.0,151.0,1.0,0.0066,True
104,467.0,563.0,96.0,0.0,0.0,True
112,488.0,566.0,78.0,0.0,0.0,True
110,483.0,575.0,92.0,0.0,0.0,True
108,474.0,581.0,107.0,0.0,0.0,True
83,401.0,581.0,180.0,0.0,0.0,True
86,408.0,584.0,176.0,0.0,0.0,True
91,424.0,586.0,162.0,0.0,0.0,True
116,504.0,589.0,85.0,2.0,0.0235,True
82,398.0,595.0,197.0,0.0,0.0,True
99,444.0,601.0,157.0,0.0,0.0,True
101,454.0,604.0,150.0,0.0,0.0,True
96,437.0,608.0,171.0,0.0,0.0,True
107,473.0,610.0,137.0,0.0,0.0,True
102,466.0,615.0,149.0,0.0,0.0,True
123,535.0,619.0,84.0,0.0,0.0,True
93,429.0,621.0,192.0,1.0,0.0052,True
95,432.0,622.0,190.0,0.0,0.0,True
118,515.0,630.0,115.0,0.0,0.0,True
130,556.0,639.0,83.0,0.0,0.0,True
106,471.0,640.0,169.0,0.0,0.0,True
134,573.0,643.0,70.0,0.0,0.0,True
131,565.0,646.0,81.0,0.0,0.0,True
141,602.0,651.0,49.0,0.0,0.0,True
114,495.0,652.0,157.0,0.0,0.0,True
117,508.0,656.0,148.0,1.0,0.0068,True
127,549.0,656.0,107.0,0.0,0.0,True
109,475.0,658.0,183.0,0.0,0.0,True
113,491.0,661.0,170.0,0.0,0.0,True
137,582.0,667.0,85.0,0.0,0.0,True
129,553.0,669.0,116.0,0.0,0.0,True
103,468.0,680.0,212.0,0.0,0.0,True
105,468.0,681.0,213.0,0.0,0.0,True
121,532.0,699.0,167.0,0.0,0.0,True
122,535.0,703.0,168.0,0.0,0.0,True
143,604.0,705.0,101.0,0.0,0.0,True
125,547.0,708.0,161.0,0.0,0.0,True
124,539.0,709.0,170.0,0.0,0.0,True
120,527.0,711.0,184.0,0.0,0.0,True
126,547.0,716.0,169.0,0.0,0.0,True
132,566.0,716.0,150.0,0.0,0.0,True
115,503.0,721.0,218.0,0.0,0.0,True
111,488.0,722.0,234.0,0.0,0.0,True
135,580.0,722.0,142.0,0.0,0.0,True
119,526.0,725.0,199.0,0.0,0.0,True
142,604.0,727.0,123.0,0.0,0.0,True
136,581.0,733.0,152.0,0.0,0.0,True
153,648.0,741.0,93.0,0.0,0.0,True
140,591.0,745.0,154.0,0.0,0.0,True
156,664.0,749.0,85.0,6.0,0.0706,True
159,673.0,750.0,77.0,0.0,0.0,True
138,583.0,754.0,171.0,0.0,0.0,True
128,550.0,758.0,208.0,0.0,0.0,True
150,638.0,758.0,120.0,0.0,0.0,True
154,652.0,759.0,107.0,0.0,0.0,True
133,571.0,765.0,194.0,0.0,0.0,True
147,622.0,765.0,143.0,0.0,0.0,True
144,612.0,770.0,158.0,0.0,0.0,True
149,638.0,776.0,138.0,0.0,0.0,True
139,584.0,784.0,200.0,4.0,0.02,True
148,623.0,803.0,180.0,0.0,0.0,True
152,645.0,804.0,159.0,0.0,0.0,True
155,657.0,810.0,153.0,0.0,0.0,True
145,617.0,817.0,200.0,0.0,0.0,True
161,684.0,817.0,133.0,0.0,0.0,True
163,695.0,821.0,126.0,0.0,0.0,True
151,640.0,823.0,183.0,7.0,0.0383,True
171,742.0,838.0,96.0,0.0,0.0,True
