vehicle_id,enter_time_s,departure_time_s,travel_time_s,accumulated_waiting_time_s,custom_wait_s,time_loss_s,free_flow_time_s,delay_s,waiting_fraction,completed_trip,trip_status
2,15.0,100.0,85.0,0.0,0.0,5.646,,,0.0,True,completed
6,39.0,121.0,82.0,0.0,0.0,4.794,,,0.0,True,completed
8,58.0,150.0,92.0,0.0,0.0,5.437,,,0.0,True,completed
0,1.0,162.0,161.0,0.0,0.0,10.893,,,0.0,True,completed
1,10.0,167.0,157.0,1.0,1.0,13.152,,,0.0064,True,completed
25,112.0,178.0,66.0,0.0,0.0,5.626,,,0.0,True,completed
13,77.0,181.0,104.0,0.0,0.0,7.92,,,0.0,True,completed
7,54.0,185.0,131.0,0.0,0.0,8.655,,,0.0,True,completed
14,78.0,193.0,115.0,0.0,0.0,8.473,,,0.0,True,completed
10,63.0,194.0,131.0,0.0,0.0,7.743,,,0.0,True,completed
4,35.0,201.0,166.0,0.0,0.0,11.185,,,0.0,True,completed
12,75.0,211.0,136.0,0.0,0.0,6.858,,,0.0,True,completed
5,37.0,211.0,174.0,0.0,0.0,11.748,,,0.0,True,completed
19,91.0,214.0,123.0,0.0,0.0,6.008,,,0.0,True,completed
31,139.0,214.0,75.0,0.0,0.0,4.251,,,0.0,True,completed
16,85.0,217.0,132.0,0.0,0.0,8.777,,,0.0,True,completed
24,111.0,219.0,108.0,0.0,0.0,9.92,,,0.0,True,completed
22,105.0,223.0,118.0,0.0,0.0,6.842,,,0.0,True,completed
32,140.0,226.0,86.0,0.0,0.0,4.815,,,0.0,True,completed
15,80.0,235.0,155.0,0.0,0.0,9.373,,,0.0,True,completed
23,107.0,237.0,130.0,0.0,0.0,9.493,,,0.0,True,completed
11,71.0,238.0,167.0,0.0,0.0,11.547,,,0.0,True,completed
20,99.0,239.0,140.0,0.0,0.0,8.49,,,0.0,True,completed
3,28.0,239.0,211.0,0.0,0.0,11.198,,,0.0,True,completed
43,187.0,242.0,55.0,0.0,0.0,4.326,,,0.0,True,completed
33,140.0,261.0,121.0,0.0,0.0,6.067,,,0.0,True,completed
28,118.0,269.0,151.0,0.0,0.0,8.526,,,0.0,True,completed
17,86.0,270.0,184.0,0.0,0.0,12.301,,,0.0,True,completed
44,198.0,280.0,82.0,0.0,0.0,4.395,,,0.0,True,completed
35,147.0,287.0,140.0,0.0,0.0,8.306,,,0.0,True,completed
40,176.0,292.0,116.0,0.0,0.0,11.267,,,0.0,True,completed
27,115.0,297.0,182.0,0.0,0.0,10.92,,,0.0,True,completed
9,62.0,300.0,238.0,0.0,0.0,16.838,,,0.0,True,completed
21,102.0,301.0,199.0,0.0,0.0,12.986,,,0.0,True,completed
38,170.0,304.0,134.0,0.0,0.0,12.656,,,0.0,True,completed
29,119.0,307.0,188.0,0.0,0.0,14.492,,,0.0,True,completed
42,179.0,309.0,130.0,0.0,0.0,7.548,,,0.0,True,completed
30,138.0,312.0,174.0,0.0,0.0,14.153,,,0.0,True,completed
26,112.0,315.0,203.0,6.0,6.0,27.478,,,0.0296,True,completed
54,237.0,322.0,85.0,0.0,0.0,6.912,,,0.0,True,completed
49,221.0,323.0,102.0,0.0,0.0,8.049,,,0.0,True,completed
51,229.0,327.0,98.0,0.0,0.0,6.232,,,0.0,True,completed
36,155.0,333.0,178.0,0.0,0.0,11.057,,,0.0,True,completed
18,88.0,334.0,246.0,0.0,0.0,16.421,,,0.0,True,completed
52,230.0,343.0,113.0,0.0,0.0,6.76,,,0.0,True,completed
57,269.0,344.0,75.0,0.0,0.0,3.962,,,0.0,True,completed
34,144.0,347.0,203.0,0.0,0.0,12.418,,,0.0,True,completed
37,156.0,348.0,192.0,0.0,0.0,9.271,,,0.0,True,completed
60,279.0,359.0,80.0,0.0,0.0,6.223,,,0.0,True,completed
45,205.0,364.0,159.0,0.0,0.0,12.532,,,0.0,True,completed
39,174.0,366.0,192.0,0.0,0.0,13.357,,,0.0,True,completed
59,277.0,366.0,89.0,0.0,0.0,5.019,,,0.0,True,completed
55,258.0,373.0,115.0,0.0,0.0,6.533,,,0.0,True,completed
46,212.0,385.0,173.0,0.0,0.0,10.889,,,0.0,True,completed
41,177.0,387.0,210.0,0.0,0.0,13.452,,,0.0,True,completed
53,232.0,387.0,155.0,0.0,0.0,8.095,,,0.0,True,completed
58,276.0,388.0,112.0,0.0,0.0,6.259,,,0.0,True,completed
68,308.0,390.0,82.0,0.0,0.0,6.232,,,0.0,True,completed
66,298.0,394.0,96.0,0.0,0.0,6.339,,,0.0,True,completed
62,284.0,397.0,113.0,0.0,0.0,6.73,,,0.0,True,completed
61,280.0,407.0,127.0,0.0,0.0,7.41,,,0.0,True,completed
64,287.0,410.0,123.0,0.0,0.0,7.841,,,0.0,True,completed
71,325.0,414.0,89.0,0.0,0.0,5.457,,,0.0,True,completed
48,219.0,418.0,199.0,0.0,0.0,15.248,,,0.0,True,completed
56,260.0,420.0,160.0,0.0,0.0,9.918,,,0.0,True,completed
50,223.0,426.0,203.0,0.0,0.0,16.121,,,0.0,True,completed
63,286.0,431.0,145.0,0.0,0.0,7.767,,,0.0,True,completed
