vehicle_id,enter_time_s,departure_time_s,travel_time_s,accumulated_waiting_time_s,waiting_fraction,completed_trip,trip_status
10017,2281.0,,1319.0,100.0,0.0758,False,on_map_at_end
6216,2998.0,,602.0,100.0,0.1661,False,on_map_at_end
6211,1424.0,,2176.0,100.0,0.046,False,on_map_at_end
6208,2985.0,,615.0,100.0,0.1626,False,on_map_at_end
6204,1423.0,,2177.0,100.0,0.0459,False,on_map_at_end
6201,2982.0,,618.0,100.0,0.1618,False,on_map_at_end
6199,1423.0,,2177.0,100.0,0.0459,False,on_map_at_end
6194,1420.0,,2180.0,100.0,0.0459,False,on_map_at_end
6190,1419.0,,2181.0,100.0,0.0459,False,on_map_at_end
6182,1416.0,,2184.0,100.0,0.0458,False,on_map_at_end
6181,1415.0,,2185.0,100.0,0.0458,False,on_map_at_end
6179,2979.0,,621.0,100.0,0.161,False,on_map_at_end
6174,1414.0,,2186.0,100.0,0.0457,False,on_map_at_end
6173,1414.0,,2186.0,100.0,0.0457,False,on_map_at_end
6172,1414.0,,2186.0,100.0,0.0457,False,on_map_at_end
6169,1413.0,,2187.0,100.0,0.0457,False,on_map_at_end
6168,1413.0,,2187.0,100.0,0.0457,False,on_map_at_end
6166,1413.0,,2187.0,100.0,0.0457,False,on_map_at_end
6161,2972.0,,628.0,100.0,0.1592,False,on_map_at_end
6155,1410.0,,2190.0,100.0,0.0457,False,on_map_at_end
6153,1993.0,,1607.0,100.0,0.0622,False,on_map_at_end
6152,1407.0,,2193.0,100.0,0.0456,False,on_map_at_end
6146,1407.0,,2193.0,100.0,0.0456,False,on_map_at_end
6145,1408.0,,2192.0,100.0,0.0456,False,on_map_at_end
6141,1407.0,,2193.0,100.0,0.0456,False,on_map_at_end
6140,1407.0,,2193.0,100.0,0.0456,False,on_map_at_end
6135,1407.0,,2193.0,100.0,0.0456,False,on_map_at_end
6129,2964.0,,636.0,100.0,0.1572,False,on_map_at_end
6123,1407.0,,2193.0,100.0,0.0456,False,on_map_at_end
6115,2957.0,,643.0,100.0,0.1555,False,on_map_at_end
6110,1401.0,,2199.0,100.0,0.0455,False,on_map_at_end
6214,2993.0,,607.0,100.0,0.1647,False,on_map_at_end
6218,1427.0,,2173.0,100.0,0.046,False,on_map_at_end
6103,1400.0,,2200.0,100.0,0.0455,False,on_map_at_end
6225,1429.0,,2171.0,100.0,0.0461,False,on_map_at_end
6407,1467.0,,2133.0,100.0,0.0469,False,on_map_at_end
6399,1466.0,,2134.0,100.0,0.0469,False,on_map_at_end
6395,1463.0,,2137.0,100.0,0.0468,False,on_map_at_end
6389,1462.0,,2138.0,100.0,0.0468,False,on_map_at_end
6384,1460.0,,2140.0,100.0,0.0467,False,on_map_at_end
6381,1460.0,,2140.0,100.0,0.0467,False,on_map_at_end
6380,2090.0,,1510.0,100.0,0.0662,False,on_map_at_end
6365,1455.0,,2145.0,100.0,0.0466,False,on_map_at_end
6356,1453.0,,2147.0,100.0,0.0466,False,on_map_at_end
6355,1452.0,,2148.0,100.0,0.0466,False,on_map_at_end
6350,1450.0,,2150.0,100.0,0.0465,False,on_map_at_end
6335,2063.0,,1537.0,100.0,0.0651,False,on_map_at_end
6334,1444.0,,2156.0,100.0,0.0464,False,on_map_at_end
6324,1443.0,,2157.0,100.0,0.0464,False,on_map_at_end
6320,1443.0,,2157.0,100.0,0.0464,False,on_map_at_end
6318,1444.0,,2156.0,100.0,0.0464,False,on_map_at_end
6317,1443.0,,2157.0,100.0,0.0464,False,on_map_at_end
6306,1443.0,,2157.0,100.0,0.0464,False,on_map_at_end
6297,1443.0,,2157.0,100.0,0.0464,False,on_map_at_end
6293,1442.0,,2158.0,100.0,0.0463,False,on_map_at_end
6288,1441.0,,2159.0,100.0,0.0463,False,on_map_at_end
6287,1441.0,,2159.0,100.0,0.0463,False,on_map_at_end
6283,1442.0,,2158.0,100.0,0.0463,False,on_map_at_end
6280,1441.0,,2159.0,100.0,0.0463,False,on_map_at_end
6274,1442.0,,2158.0,100.0,0.0463,False,on_map_at_end
6270,1441.0,,2159.0,100.0,0.0463,False,on_map_at_end
6252,1439.0,,2161.0,100.0,0.0463,False,on_map_at_end
6234,1432.0,,2168.0,100.0,0.0461,False,on_map_at_end
6227,3001.0,,599.0,100.0,0.1669,False,on_map_at_end
6109,1401.0,,2199.0,100.0,0.0455,False,on_map_at_end
6101,1400.0,,2200.0,100.0,0.0455,False,on_map_at_end
6416,1467.0,,2133.0,100.0,0.0469,False,on_map_at_end
5934,2833.0,,767.0,100.0,0.1304,False,on_map_at_end
5927,1362.0,,2238.0,100.0,0.0447,False,on_map_at_end
5926,2830.0,,770.0,100.0,0.1299,False,on_map_at_end
5921,1360.0,,2240.0,100.0,0.0446,False,on_map_at_end
5920,1360.0,,2240.0,100.0,0.0446,False,on_map_at_end
5919,2828.0,,772.0,100.0,0.1295,False,on_map_at_end
5913,1357.0,,2243.0,100.0,0.0446,False,on_map_at_end
5905,1353.0,,2247.0,100.0,0.0445,False,on_map_at_end
5903,2822.0,,778.0,100.0,0.1285,False,on_map_at_end
5900,1352.0,,2248.0,100.0,0.0445,False,on_map_at_end
5899,2819.0,,781.0,100.0,0.128,False,on_map_at_end
5897,1350.0,,2250.0,100.0,0.0444,False,on_map_at_end
