vehicle_id,enter_time_s,departure_time_s,travel_time_s,accumulated_waiting_time_s,waiting_fraction,completed_trip
124779_406_0,25206.0,25218.0,12.0,0.0,0.0,True
98305_395_0,25212.0,25223.0,11.0,0.0,0.0,True
102535_396_0,25219.0,25232.0,13.0,0.0,0.0,True
147209_416_0,25221.0,25234.0,13.0,0.0,0.0,True
123965_406_0,25219.0,25250.0,31.0,0.0,0.0,True
160150_421_0,25221.0,25252.0,31.0,0.0,0.0,True
91582_392_0,25219.0,25254.0,35.0,0.0,0.0,True
102501_396_0,25245.0,25258.0,13.0,0.0,0.0,True
121258_405_0,25241.0,25262.0,21.0,1.0,0.0476,True
126742_407_0,25243.0,25262.0,19.0,0.0,0.0,True
120663_405_0,25247.0,25263.0,16.0,0.0,0.0,True
113509_402_0,25249.0,25265.0,16.0,0.0,0.0,True
130147_409_0,25252.0,25265.0,13.0,0.0,0.0,True
102630_396_0,25253.0,25267.0,14.0,0.0,0.0,True
122194_406_0,25256.0,25268.0,12.0,0.0,0.0,True
122376_406_0,25255.0,25268.0,13.0,0.0,0.0,True
135103_411_0,25257.0,25269.0,12.0,0.0,0.0,True
152958_419_0,25258.0,25270.0,12.0,0.0,0.0,True
125613_406_0,25260.0,25272.0,12.0,0.0,0.0,True
133955_411_0,25262.0,25274.0,12.0,0.0,0.0,True
129253_408_0,25264.0,25277.0,13.0,0.0,0.0,True
135201_411_0,25265.0,25278.0,13.0,0.0,0.0,True
134807_411_0,25263.0,25279.0,16.0,0.0,0.0,True
86189_391_0,25267.0,25279.0,12.0,0.0,0.0,True
120275_405_0,25266.0,25280.0,14.0,0.0,0.0,True
57065_374_0,25268.0,25281.0,13.0,0.0,0.0,True
82015_389_0,25269.0,25281.0,12.0,0.0,0.0,True
136204_411_0,25270.0,25282.0,12.0,0.0,0.0,True
129519_408_0,25270.0,25283.0,13.0,0.0,0.0,True
135431_411_0,25272.0,25283.0,11.0,0.0,0.0,True
146814_416_0,25272.0,25284.0,12.0,0.0,0.0,True
125316_406_0,25273.0,25285.0,12.0,0.0,0.0,True
118286_405_0,25274.0,25286.0,12.0,0.0,0.0,True
